"","site","Latitude (degrees)...2","Longitude (degrees)...3","Years","Site Id","Name","Principal Investigator","Data Availability","Vegetation Abbreviation (IGBP)","Vegetation Description (IGBP)","Climate Class Abbreviation (Koeppen)","Climate Class Description (Koeppen)","Mean Average Precipitation (mm)","Mean Average Tempurature (degrees C)","Country","Latitude (degrees)...16","Longitude (degrees)...17","Elevation (m)","...19","start_year","end_year","NEE_gCm2y1","GPPdayPartition_gCm2y1","GPPnightPartition_gCm2y1","RECOdayPartition_gCm2y1","RECOnightPartition_gCm2y1","ET_mm_year","X","lat","lon","Koppen_Geiger","Topsoil_Organic_Carbon","Subsoil_Organic_Carbon","RockType","MinAge","Elevation","CodeKoppen_Geiger","resFit3_ET","resFit3_GPPNight"
"11","US-Ne1",41.16506,-96.47664,18,"US-Ne1","Mead - irrigated continuous maize site","Andy Suyker (asuyker1@unl.edu)",NA,"CRO","Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.","Dfa","Humid Continental: humid with severe winter, no dry season, hot summer",790.37,10.07,"USA",41.16506,-96.47664,361,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",2001,2013,-266.0990308,1597.906615,1539.133846,1273.036231,1273.036231,706.8194468,14,41.16506,-96.47664,"25",2.02999997138977,1.06270003318787,"Sedimentary","Upper Cretaceous",361,"Dfa",86.4809983833763,160.425911426207
"12","US-Ne3",41.17967,-96.43965,18,"US-Ne3","Mead - rainfed maize-soybean rotation site","Andy Suyker (asuyker1@unl.edu)",NA,"CRO","Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.","Dfa","Humid Continental: humid with severe winter, no dry season, hot summer",783.68,10.11,"USA",41.17967,-96.43965,363,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",2001,2013,-171.2046715,1254.779775,1129.452792,958.2488462,958.2488462,650.9313943,15,41.17967,-96.43965,"25",2.02999997138977,1.06270003318787,"Sedimentary","Upper Cretaceous",363,"Dfa",30.8906485330198,-246.646814507466
"13","US-Syv",46.242,-89.3477,18,"US-Syv","Sylvania Wilderness Area","Ankur Desai (desai@aos.wisc.edu)",NA,"MF","Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.","Dfb","Warm Summer Continental: significant precipitation in all seasons",826,3.81,"USA",46.242,-89.3477,540,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",2001,2014,-34.4206509,1197.1433,1390.448,1356.0284,1356.0284,467.2527839,17,46.242,-89.3477,"26",0.645829975605011,0.180350005626678,"Plutonic","Early Archean",540,"Dfb",41.5006945321399,103.447448816281
"14","US-SRM",31.8214,-110.8661,17,"US-SRM","Santa Rita Mesquite","Russell Scott (russ.scott@ars.usda.gov)",NA,"WSA","Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.","Bsk","Steppe: warm winter",380,17.92,"USA",31.8214,-110.8661,1120,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2004,2014,44.48436364,354.1020909,278.3151818,322.7995455,322.7995455,319.5237996,18,31.8214,-110.8661,"6",0.220139995217323,0.144999995827675,"Sedimentary","Quaternary",1120,"Bsk",-47.8328951722298,-186.82686248542
"15","US-ARM",36.6058,-97.4888,17,"US-ARM","ARM Southern Great Plains site- Lamont","Sebastien Biraud (SCBiraud@lbl.gov)",NA,"CRO","Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.","Cfa","Humid Subtropical: mild with no dry season, hot summer",843,14.76,"USA",36.6058,-97.4888,314,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2003,2012,-43.131014,730.2608,685.6572,642.5262,642.5262,521.0457146,19,36.6058,-97.4888,"14",1.1599999666214,0.705299973487854,"Sedimentary","Lower Permian",314,"Cfa",-168.579766240272,-369.505142843184
"16","US-Me2",44.4523,-121.5574,17,"US-Me2","Metolius mature ponderosa pine","Bev Law (bev.law@oregonstate.edu)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Csb","Mediterranean: mild with dry, warm summer",523,6.28,"USA",44.4523,-121.5574,1253,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",2002,2014,-587.975,1659.445385,1683.487692,1095.511692,1095.511692,545.5575643,20,44.4523,-121.5574,"18",1.45000004768372,0.578289985656738,"Volcanic","Pliocene",1253,"Csb",2.66453525910038e-15,1.63424829224823e-13
"17","CA-TP1",42.66093611,-80.55951944,16,"CA-TP1","Ontario - Turkey Point 2002 Plantation White Pine","M. Altaf Arain (arainm@mcmaster.ca)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Dfb","Warm Summer Continental: significant precipitation in all seasons",1036,8,"Canada",42.66093611,-80.55951944,265,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",2003,2014,-59.907975,962.2540833,861.086,803.7425,803.7425,333.5472176,21,42.66093611,-80.55951944,"26",0.246329993009567,0.133980005979538,"Sedimentary","Middle Devonian",265,"Dfb",-75.0798033092144,-166.829760105917
"18","CA-TP3",42.70681111,-80.34831389,16,"CA-TP3","Ontario - Turkey Point 1974 Plantation White Pine","M. Altaf Arain (arainm@mcmaster.ca)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Dfb","Warm Summer Continental: significant precipitation in all seasons",1036,8,"Canada",42.70681111,-80.34831389,184,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",2002,2014,-511.7927692,670.8138462,604.2923077,161.8425385,161.8425385,470.1221582,22,42.70681111,-80.34831389,"26",1.60000002384186,1.60000002384186,"Sedimentary","Middle Devonian",184,"Dfb",49.4381799802524,-529.260739092104
"19","CA-TP4",42.710161,-80.357376,16,"CA-TP4","Ontario - Turkey Point 1939 Plantation White Pine","M. Altaf Arain (arainm@mcmaster.ca)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Dfb","Warm Summer Continental: significant precipitation in all seasons",1036,8,"Canada",42.710161,-80.357376,184,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",2002,2014,-91.72832308,1377.899231,1445.154308,1353.426154,1353.426154,434.0680692,23,42.710161,-80.357376,"26",1.60000002384186,1.60000002384186,"Sedimentary","Middle Devonian",184,"Dfb",13.3840909802525,311.601261207896
"20","US-Wkg",31.7365,-109.9419,15,"US-Wkg","Walnut Gulch Kendall Grasslands","Russell Scott (russ.scott@ars.usda.gov)",NA,"GRA","Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.","Bsk","Steppe: warm winter",407,15.64,"USA",31.7365,-109.9419,1531,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",2004,2014,-9.469464545,344.5031818,234.4124455,224.9432727,224.9432727,273.9789968,25,31.7365,-109.9419,"7",0.191780000925064,0.144999995827675,"Sedimentary","Quaternary",1531,"Bsk",23.3594444481227,166.555714919606
"21","CA-Oas",53.62889,-106.19779,15,"CA-Oas","Saskatchewan - Western Boreal, Mature Aspen","T. Andrew Black (andrew.black@ubc.ca)",NA,"DBF","Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.","Dfc","Subarctic: severe winter, no dry season, cool summer",428.53,0.34,"Canada",53.62889,-106.19779,530,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",1996,2010,-113.5183591,1130.501867,1103.676933,990.1589333,990.1589333,362.1198797,28,53.62889,-106.19779,"27",1.49129998683929,0.362309992313385,"Volcanic","Triassic",530,"Dfc",43.0491712367836,313.736979954048
"22","CA-Man",55.87962,-98.48081,15,"CA-Man","Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)","Brian Amiro (Brian_Amiro@umanitoba.ca)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Dfc","Subarctic: severe winter, no dry season, cool summer",520,-3.2,"Canada",55.87962,-98.48081,259,"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",1994,2008,-11.57368747,617.1435867,1406.460133,1476.319,1476.319,269.6732703,30,55.87962,-98.48081,"27",5.41270017623901,0.604499995708466,"Sedimentary","Lower Cretaceous",259,"Dfc",-46.6800995522143,34.730678635875
"23","US-IB2",41.84062,-88.24103,14,"US-IB2","Fermi National Accelerator Laboratory- Batavia (Prairie site)","Roser Matamala (matamala@anl.gov)",NA,"GRA","Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.","Dfa","Humid Continental: humid with severe winter, no dry season, hot summer",930.25,9.04,"USA",41.84062,-88.24103,226.5,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",2004,2011,-164.5739125,1216.963375,1187.228,1022.657375,1022.657375,592.2165311,32,41.84062,-88.24103,"25",1.18949997425079,0.435000002384186,"Sedimentary","Lower Cretaceous",226.5,"Dfa",-48.1424205051022,-366.889997034192
"24","CA-Obs",53.98717,-105.11779,14,"CA-Obs","Saskatchewan - Western Boreal, Mature Black Spruce","T. Andrew Black (andrew.black@ubc.ca)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Dfc","Subarctic: severe winter, no dry season, cool summer",405.6,0.79,"Canada",53.98717,-105.11779,628.94,"1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",1999,2010,-52.32066917,884.8254167,854.5363333,802.2151667,802.2151667,307.9674103,34,53.98717,-105.11779,"27",3.30629992485046,0.30281999707222,"Sedimentary","Quaternary",628.94,"Dfc",46.6800995522143,-34.7306786358759
"25","US-Ivo",68.4865,-155.7503,14,"US-Ivo","Ivotuk","Donatella Zona (dzona@mail.sdsu.edu)",NA,"WET","Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water","ET","Tundra",304,-8.28,"USA",68.4865,-155.7503,568,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",2004,2007,-18.546956,322.24575,292.5875,274.04075,274.04075,176.8205643,35,68.4865,-155.7503,"19",3.48819994926453,4.6399998664856,"Sedimentary","Lower Mississippian",568,"ET",1.33226762955019e-14,7.105427357601e-15
"26","US-Whs",31.7438,-110.0522,13,"US-Whs","Walnut Gulch Lucky Hills Shrub","Russ Scott (russ.scott@ars.usda.gov)",NA,"OSH","Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.","Bsk","Steppe: warm winter",320,17.6,"USA",31.7438,-110.0522,1370,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2007,2014,26.8784875,182.8865875,111.271425,138.149925,138.149925,251.2251712,36,31.7438,-110.0522,"7",0.870000004768372,0.870000004768372,"Sedimentary","Silurian",1370,"Bsk",-23.3594444481227,-166.555714919606
"27","US-UMd",45.5625,-84.6975,13,"US-UMd","UMBS Disturbance","Peter Curtis (curtis.7@osu.edu)",NA,"DBF","Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.","Dfb","Warm Summer Continental: significant precipitation in all seasons",803,5.83,"USA",45.5625,-84.6975,239,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2007,2014,-402.0535,1469.3375,1478.245,1076.19175,1076.19175,445.7860216,46,45.5625,-84.6975,"26",NA,NA,"Volcanic","Quaternary",239,"Dfb",15.5056777831283,367.940279169695
"28","US-SRG",31.789379,-110.827675,12,"US-SRG","Santa Rita Grassland","Russell Scott (russ.scott@ars.usda.gov)",NA,"GRA","Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.","Bsk","Steppe: warm winter",420,17,"USA",31.789379,-110.827675,1291,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2008,2014,-8.161097286,436.9617143,428.9568571,420.7957143,420.7957143,389.7360134,49,31.789379,-110.827675,"6",0.220139995217323,0.144999995827675,"Sedimentary","Lower Pennsylvanian",1291,"Bsk",47.8328951722297,186.826862485421
"29","US-Blo",38.8953,-120.6328,11,"US-Blo","Blodgett Forest","Allen Goldstein (ahg@berkeley.edu)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Csa","Mediterranean: mild with dry, hot summer",1226,11.09,"USA",38.8953,-120.6328,1315,"1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007",1997,2007,-404.7542091,1640.650909,1588.787364,1229.913182,1229.913182,745.9958189,56,38.8953,-120.6328,"9",0.791589975357056,0.144999995827675,"Sedimentary","Lower Permian",1315,"Csa",4.44089209850063e-15,-5.6843418860808e-14
"30","US-Myb",38.049861,-121.76498,10,"US-Myb","Mayberry Wetland","Dennis Baldocchi (baldocchi@berkeley.edu)",NA,"WET","Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water","Csa","Mediterranean: mild with dry, hot summer",338,15.9,"USA",38.049861,-121.76498,-4,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2011,2014,-69.506375,1454.78025,1472.59975,1403.093,1403.093,1381.980315,71,38.049861,-121.76498,"8",1.1599999666214,1.1599999666214,"Plutonic","Early Cretaceous",-4,"Csa",-9.76996261670138e-15,-2.1316282072803e-14
"31","US-Oho",41.5545,-83.8438,10,"US-Oho","Oak Openings","Jiquan Chen (jqchen@msu.edu)",NA,"DBF","Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.","Dfa","Humid Continental: humid with severe winter, no dry season, hot summer",849,10.1,"USA",41.5545,-83.8438,230,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013",2004,2013,-845.127,1778.279,1814.235,969.1071,969.1071,620.5871951,74,41.5545,-83.8438,"25",2.60999989509583,2.60999989509583,"Sedimentary","Quaternary",230,"Dfa",-19.2507768682272,264.681577081878
"32","US-Twt",38.105533,-121.6521,9,"US-Twt","Twitchell Island","Dennis Baldocchi (baldocchi@berkeley.edu)",NA,"CRO","Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.","Csa","Mediterranean: mild with dry, hot summer",421,15.6,"USA",38.105533,-121.6521,-7,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",2009,2014,106.1415833,1246.996667,1358.455,1464.596667,1464.596667,1079.906934,81,38.105533,-121.6521,"8",6.38000011444092,6.38000011444092,"Sedimentary","Miocene",-7,"Csa",-134.809881175179,-503.818335966837
"33","US-Tw1",38.1074,-121.6469,9,"US-Tw1","Twitchell Wetland West Pond","Dennis Baldocchi (baldocchi@berkeley.edu)",NA,"WET","Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water","Csa","Mediterranean: mild with dry, hot summer",421,15.5,"USA",38.1074,-121.6469,-9,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2012,2014,-954.6793333,2235.58,2368.7,1414.02,1414.02,1349.824399,82,38.1074,-121.6469,"8",6.38000011444092,6.38000011444092,"Sedimentary","Miocene",-9,"Csa",134.809881175179,503.818335966837
"34","US-Me6",44.3232842,-121.6078,9,"US-Me6","Metolius Young Pine Burn","Bev Law (bev.law@oregonstate.edu)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Csb","Mediterranean: mild with dry, warm summer",494.34068966,7.5949137931,"USA",44.3232842,-121.6078,998,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",2010,2014,-292.6724,885.2004,965.572,672.8992,672.8992,387.9136354,83,44.3232842,-121.6078,"18",1.45000004768372,0.578289985656738,"Sedimentary","Middle Devonian",998,"Csb",-4.44089209850063e-15,-2.34479102800833e-13
"35","US-KS2",28.6086,-80.6715,8,"US-KS2","Kennedy Space Center (scrub oak)","Ross Hinkle (rhinkle@ucf.edu)",NA,"CSH","Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.","Cwa","Humid Subtropical: dry winter, hot summer",1294,21.66,"USA",28.6086,-80.6715,3,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006",2003,2006,-296.01225,1833.4925,1830.2625,1534.25,1534.25,904.4980091,90,28.6086,-80.6715,"14",1.74000000953674,1.74000000953674,"Sedimentary","Quaternary",3,"Cwa",168.579766240272,369.505142843183
