"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_DESC", 
"CA-Ca1", "23621", "GRP_SITE_DESC", "1949 Douglas-fir stand;  Tower Type 20" triangular tower; Latitude/Longitude 49.86725N  125.33360W (GPS survey, 2003.  Coordinates updated/corrected May, 2006); Elevation 320 m; North-east facing terrain, 5-10 deg slope;  Mean Air Temp. 8.3 °C* ;  Mean Annual Precipitation 1461 mm * ; Date Operations Began June 1997 ;  Frequency of EC Measurements 20.83 Hz;  Frequency of Other Met. Sensors 1 - 4 sec, year round ; Soil Respiration Measurements 30 min., automated soil respiration system in 2000,  periodically during growing season using portable system in 2002 ; * 1998-2001 averages from the 1948 Douglas-fir stand meteorological tower", 
"CA-Ca2", "23597", "GRP_SITE_DESC", "Tower Type:  10" triangular tower; Latitude/Longitude 49.87048N -125.29087W (GPS survey, 2003.  Coordinates updated/corrected May, 2006); Elevation approx. 180m; Mean Air Temp. (for the growing season) 8.3 C*; Mean Annual Precipitation 1461 mm *; Date Operations Began August 2000; Frequency of EC Measurements 7.7 Hz (2000 ­ 2001), 20 Hz (2002); Frequency of Other Met. Sensors 4 sec, year round; Soil Respiration Measurements Periodically during growing season using portable system in 2002; * 1998-2001 averages from the 1948 Douglas-fir stand meteorological tower", 
"CA-Ca3", "23580", "GRP_SITE_DESC", "Site: 1988 Harvested Douglas Fir (Pole-sapling); Tower Type 10" triangular tower; Latitude/Longitude 49.53462N -124.90044W (GPS survey, 2003.  Coordinates updated/corrected May, 2006); Elevation approx. 120m; Mean Air Temp. (for the growing season) 9.7 C *; Mean Annual Precipitation 1179 mm *; Date Operations Began: September 2001; Frequency of EC Measurements 20 Hz; Frequency of Other Met. Sensors 4 sec, year round; Soil Respiration Measurements Periodically during growing season using portable system in 2002; * 30-yr climate normals from the Comox Airport", 
"CA-Cbo", "5100", "GRP_SITE_DESC", "Mixed deciduous forest from natural regrowth.", 
"CA-CF1", "30733", "GRP_SITE_DESC", "Fen site dominated by sedges.  Flat, high water table.  Frozen for long periods each year.  Close to Arctic Ocean coast so affected by land/sea breezes and coastal weather.", 
"CA-CF2", "30759", "GRP_SITE_DESC", "Fen site dominated by sedges.  Flat, high water table.  Frozen for long periods each year.  Close to Arctic Ocean coast so affected by land/sea breezes and coastal weather.", 
"CA-Cha", "6781", "GRP_SITE_DESC", "mature balsam fir forest", 
"CA-DBB", "30796", "GRP_SITE_DESC", "Disturbed raised bog ecosystem (peat harvesting 1957 to 1963). Site has been restored and rewetted in 2007 by ditch blocking.", 
"CA-DL1", "12625", "GRP_SITE_DESC", "Low Arctic government research station approximately 70 km north of treeline.  The government run weather station began recording in 1996.  The flux tower footprint includes a topographically-driven mix of Low shrub and Tussock, sedge- dwarf shrub tundra types.", 
"CA-DL2", "12646", "GRP_SITE_DESC", "Low Arctic government research station approximately 70 km north of treeline.  The government run weather station began recording in 1996.  The flux tower footprint includes a wet sedge meadow with short palsa-like birch shrub mounds", 
"CA-ER1", "81335", "GRP_SITE_DESC", "This is an agricultural site that typically grows corn.  It is part of a larger research project on N2O fluxes from different fertilizer treatments.  The site is relatively flat and homogenous.  The site has been managed as agricultural land since the 1960’s and records exist of the previously-grown crops.", 
"CA-Gro", "3339", "GRP_SITE_DESC", "Groundhog River (FCRN or CCP site "ON-OMW") is situated in a typical boreal mixedwood forest in northeastern Ontario (48.217 degrees north and 82.156 degrees west) about 80 km southwest of Timmins in Reeves Twp. near the Groundhog River. Rowe (1972) places the site in the Missinaibi-Cabonga Section of the Boreal Forest Region. In terms of ecoregion and ecozone, the site is in the Lake Timiskaming Lowlands of the Boreal Shield. The forest developed after high-grade logging in the 1930's. The average age in 2013 is estimated at beteen 75  and 80 years. The forest is dominated by five species characteristic of Ontario boreal mixedwoods: trembling aspen (Populus tremuloides Michx.), black spruce (Picea mariana (Mill.) B.S.P.), white spruce (Picea glauca (Moench.) Voss.), white birch (Betula papyrifera Marsh.), and balsam fir (Abies balsamea (L.) Mill.). The surficial geology is a lacustrine deposit of varved or massive clays, silts and silty sands. The soil is an orthic gleysol with a soil moisture regime classified as fresh to very fresh. Plonski (1974) rates it as a site class 1. The topography is simple and flat with an overall elevation of 340 m ASL.", 
"CA-HPC", "81591", "GRP_SITE_DESC", "Southern Arctic boreal woodland (Picea mariana) site with sparse needleleaf vegetation > 2m, continuous permafrost", 
"CA-KLP", "33718", "GRP_SITE_DESC", "Ontario Ministry of Environment and Climate Change's Environmental Monitoring and Reporting Branch has established five carbon flux monitoring towers in Ontario’s Far North as part of its Climate Change Modelling and Monitoring program. These long term monitoring stations measure carbon exchange and a suite of soil and meteorological parameters over peatland ecosystems to better understand carbon cycling in Ontario’s Far North. Information produced by these monitoring stations will assist the province in land use planning and the development of climate change adaptation strategies.", 
"CA-Let", "1094", "GRP_SITE_DESC", "Latitude 49.43° N; Longitude 112.56° W, altitude 951 meters,Mixed Grass Prairie that includes the following major species: Agropyron spp. (Wheat Grasses), Tragopogon dubius (Goat’s Beard), Vicia americana (Wild Vetch), Koleria cristata (June Grass), Eurotia lanata (Winter Fat), Stipa comata (Spear Grass), Achillea millefolium (Yarrow); Artemisia frigida (Pasture Sage); Carex spp. (Sedges), Bouteloua gracilis (Blue Grama Grass). Maximum canopy height varies from year to year", 
"CA-LuM", "15424", "GRP_SITE_DESC", "wetland flooded due to dam construction to build a reservoir in 1952, eventually slight nutirent inflow into the wetland from the reservoir", 
"CA-MA1", "22326", "GRP_SITE_DESC", "This field had been in perennial forages (grass with small amount of legume) for several decades.  Field size = 39 ha.  In 2008, the producer tilled the land so that part of the summer had perennial forage, and the remainder was fallow.  In 2009, oats were planted.  In 2010, canola was planted.  In 2011, oats were planted. See Table 3 in Taylor et al (2013) describing site management practices.", 
"CA-MA2", "22305", "GRP_SITE_DESC", "This field had been in perennial forages (grass with small amount of legume) for several decades.  Field size = 60 ha.  In 2009, the producer tilled the land so that part of the summer had perennial forage, and the remainder was fallow (see effect outlined by Fraser and Amiro 2013).  In 2010, oats were planted.  In 2011, the field was too wet to plant and remained fallow.  Cattle were in the field for a brief period in June 2011to feed on weeds.  See Table 2 in Taylor et al (2013) describing site management practices.", 
"CA-MA3", "22283", "GRP_SITE_DESC", "This field has been in perennial forages (grass (timothy, fescue, brome) with small amount of legume) for several decades.  Field size = 40 ha.  Hay was harvested once each year. Cattle were placed in the field each autumn to graze.  See Table 1 in Taylor et al (2013) describing site management practices.", 
"CA-Man", "6221", "GRP_SITE_DESC", "55.880° N, 98.481° W, elevation of 259 m, Boreal coniferous: Black spruce; occasional larch present in poorly-drained areas. Groundcover is moss (feathermosses and Sphagnum), Labrador Tea, Vaccinium, and willows are a main component of the understory. It was established in 1993 as a BOREAS site.", 
"CA-Mer", "7900", "GRP_SITE_DESC", "The Mer Bleue peatland is primarily a large ombrotrophic bog located in the Ottawa River Valley, 10 km east of Ottawa, Ontario, Canada (45.40º N lat., 75.50º W long.). Mean annual temperature is 6.3ºC ranging from -10.5ºC in January to 21.0ºC in July. Mean annual precipitation is 943 mm, 268 mm of which falls during the summer months (Environment Canada; climate normals). Peat began to form approximately 8500 years ago, but the bog phase began later, about 6400 years ago (Lafleur et al., 2003; Richard, pers. comm.). The peat depth now ranges from 2 m at the edge to >5 m in the middle. Beaver ponds are found at the lagg margin of the bog. The bog is dominated by plant communities comprised primarily of the ericaceous shrubs Chamaedaphne calyculata (L.) Moench, Ledum groenlandicum Oeder, and Kalmia angustifolia L. Clusters of the deciduous shrub Vaccinium myrtilloides Michx. and the tufted sedge Eriophorum vaginatum L. are fairly common across the bog. The most common tree species found in the bog are Larix laricina (Duroi) K. Koch., Betula populifolia Marshall and Picea mariana (Miller) BSP occurring less frequently. In the poor fen, located to the north of the bog proper, community composition is primarily composed of the ericaceous shrubs listed above, including higher densities of K. angustifolia and Andromeda glaucophylla Link. The primary sedge in this area is Carex oligosperma Michx. All sites are dominated by an under story of bryophytes, mainly Sphagnum magellanicum Brid., Sphagnum capillifolium (Ehrh.) Hedw., and Polytrichum strictum Brid. in the bog, with Sphagnum papillosum Lindb., and Sphagnum fallax (Klinggr.) Klinggr. common in the wetter portions of the poor fen", 
"CA-MR3", "79350", "GRP_SITE_DESC", "The Mattheis Ranch is a 4977 ha working cattle ranch located near Duchess in southern Alberta, Canada, and is mostly characterized by native prairie vegetation. Recently, this site has become a research area managed by the Rangeland Research Institute (University of Alberta), offering the possibility of long-term monitoring of ecosystem dynamics under management regimes typical of this region. The E3 tower site has a slightly varied microtopography with mixed species grass vegetation cover.", 
"CA-MR5", "79369", "GRP_SITE_DESC", "The Mattheis Ranch is a 4977 ha working cattle ranch located near Duchess in southern Alberta, Canada, and is mostly characterized by native prairie vegetation. Recently, this site has become a research area managed by the Rangeland Research Institute (University of Alberta), offering the possibility of long-term monitoring of ecosystem dynamics under management regimes typical of this region. The E5 tower site has a flat microtopography and uniform vegetation cover.", 
"CA-Na1", "5101", "GRP_SITE_DESC", "immature balsam fir forest", 
"CA-Na2", "4196", "GRP_SITE_DESC", "Young balsam fir forest, to be thinned fall 2004", 
"CA-NS1", "6716", "GRP_SITE_DESC", "The UCI-1850 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.", 
"CA-NS2", "3315", "GRP_SITE_DESC", "The UCI-1930 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.", 
"CA-NS3", "5034", "GRP_SITE_DESC", "The UCI-1964 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.", 
"CA-NS4", "5041", "GRP_SITE_DESC", "The UCI-1964 wet site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.", 
"CA-NS5", "5046", "GRP_SITE_DESC", "The UCI-1981 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.", 
"CA-NS6", "5003", "GRP_SITE_DESC", "The UCI-1989 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.", 
"CA-NS7", "4107", "GRP_SITE_DESC", "The UCI-1998 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.", 
"CA-NS8", "8415", "GRP_SITE_DESC", "The UCI-2003 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.", 
"CA-Oas", "7019", "GRP_SITE_DESC", "53.62889° N, 106.19779° W, elabation of 600.63 m,BOREAS 1994, 1996, BERMS climate and flux measurements began Dec. 1996", 
"CA-Obs", "1948", "GRP_SITE_DESC", "53.98717° N, 105.11779° W, elavation of 628.94 m, BOREAS 1994, 1996, BERMS climate measurements began Dec. 1996 and flux measurements in Apr. 1999", 
"CA-Ojp", "9642", "GRP_SITE_DESC", "53.91634° N, 104.69203° W, elavation of 579.27 m, BOREAS 1994, BERMS climate measurements began Mar. 1997 and flux measurements Aug. 1999", 
"CA-Qc2", "33607", "GRP_SITE_DESC", "Quebec - Eastern Boreal; Black Spruce forest harvested in 1975.", 
"CA-Qcu", "9334", "GRP_SITE_DESC", "The ground is gently rolling with a weak slope (<5%). In mesic areas (designated as well to moderately well
drained areas, according to the Canadian System of Soil Classification (Agriculture Canada Expert Committee on Soil Survey, 1983)), the soil is a ferro-humic to humic podzol covered by an organic layer having an average depth of 26 cm (Fig. 1). In humid areas, the soil is organic (imperfectly to poorly drained) with an average organic layer of 125 cm. Mesic areas accounted for approximately 75% of the total surface area of the footprint and humid areas accounted for 25%.  Full-time continuous measurements eneded in 2011.  Intermittent measurements are on-going as resources permit.", 
"CA-Qfo", "7064", "GRP_SITE_DESC", "49.69247° N / 74.34204° W, elevation of 387 mm, 90 - 100 yr old Black Spruce, Jack Pine, feather moss", 
"CA-RPn", "85972", "GRP_SITE_DESC", "The tower is located in a natural bog close to the village Robinsons on the west coast of Newfoundland (Canada), adjacent to an abandoned peatland pasture. The extent of the site is about 30 ha. Eddy covariance towers were installed in 2013. Dominated by hummock-hollow pattern with presence of several small natural, permanently inundated pools. Sphagnum moss, ericaceous shrubs and sedges are characteristic. Gray reindeer lichen present. Canopy height is 0.2 m.", 
"CA-RPp", "85984", "GRP_SITE_DESC", "The tower is located in an abandoned peatland pasture close to the village Robinsons on the west coast of Newfoundland (Canada), adjacent to a natural bog. The extent of the site is about 20 ha. Eddy covariance towers were installed in 2013. The site used to be an ombrotrophic bog until ditches were excavated in the 1970s to drain the site. Around 1985 pasture forage grasses were introduced and active pasture and fertilization followed for 10 years. Around 1995, the site was abandoned, but drainage retains. Dominated by reed canary grass, herbaceous and graminoid species, low shrubs. Sphagnum moss cover is much less than in the adjacent natural bog. Canopy height is about 1 m.", 
"CA-SCB", "85757", "GRP_SITE_DESC", "The Scotty Creek bog flux tower is located in an organic-rich collapse-scar bog about 50 km south of Fort Simpson in the Taiga Plains of the Mackenzie watershed. The tower was installed in 2014 and operates an open-path EC system year-round running on solar power only. The collapse-scar bog is treeless and free of permafrost.", 
"CA-SCC", "30598", "GRP_SITE_DESC", "The Scotty Creek flux tower is located in an organic-rich  boreal forest-wetland landscape about 50 km south of Fort Simpson in the Taiga Plains of the Mackenzie watershed. The tower was installed in 2013 and operates an open-path EC system year-round running on solar power only. Flux footprints contain about 50 % forested peat plateaus and 50 % wetlands (i.e., collapse-scar bogs). The forests are underlain by permafrost, while the treeless wetlands are permafrost-free. The tower itself is located on a forested peat plateau. Black spruce tree density on plateaus is sparse and the mean canopy height is ca. 5 m.", 
"CA-SF1", "5902", "GRP_SITE_DESC", "Regenerated jack pine (Pinus banksiana) following fire in 1977; canopy height 6 m and LAI = 2.8.  Some black spruce understory developing.  Trees tend to be clumpy, with some clear spaces that can be easily walked thorugh, and other areas are thick.  Fire killed coarse woody debris on the ground, that is soft and decomposing.  Very few perched trunks. Understory are short shrubs such as Vaccinium and Arctostaphylus uva-ursi.", 
"CA-SF2", "5058", "GRP_SITE_DESC", "Amiro_et_al_2006, AFM/136:...The 1989 burn site (F89) was northeast of Prince Albert National Park, Saskatchewan, with the humancaused fire covering 13,500 ha. Parts of the area had been logged prior to the fire, and slash residues would have been burned in some locations. Parts of the area were aerially seeded with jack pine seeds in the winter of 1990.                          The present tree canopy was composed of balsam poplar (Populus balsamifera L.), jack pine, trembling aspen, and birch (Betula papyrifera Marsh.) and prior to the fire, the stand consisted of these same species aswell asblack spruce.Deadsnags of black spruce and jack pinewere still standing, althoughmost had fallen over and formed a leaningmix of dry, dead tree boles. The understory vegetation consisted mostly of black spruce saplings, saplings of the tree overstory species, bearberry, blueberry (Vaccinium myrtilloides Michx.), raspberry (Rubus idaeus L.), rose (Rosa acicularis Lindl.), bunchberry (Cornus canadensis L.), and reed grass (Calamagrostis canadensis (Michx.) Nutt.).", 
"CA-SF3", "5059", "GRP_SITE_DESC", "The 1998 burn site (F98) was in the east part of
Prince Albert National Park, Saskatchewan, in the
Waskesiu Fire, ignited by lightning that burned about
1700 ha in July 1998. The pre-fire forest consisted of
jack pine and black spruce stands, with some intermixed
aspen. The fire was severe, consuming much of the top layer of organic soil and killing all trees. In 2001, much
of the regenerating vegetation consisted of aspen
saplings about 1 m tall and shorter jack pine and black
spruce seedlings. An overstory of dead, leafless jack
pine trees dominated at a height of 18 m. Sparse grass
and herbs, such as fireweed (Epilobium angustifolium
L.) covered the ground. There were a large number of
fallen dead trees, mostly perched above the ground and
not decomposing quickly.", 
"CA-SJ1", "301", "GRP_SITE_DESC", "53.908408° N, 104.655885° W, elavation of 580m, BERMS climate and flux measurements began in Spring 2001", 
"CA-SJ2", "6228", "GRP_SITE_DESC", "53.944737° N, 104.649340° W, BERMS flux and climate measurements to begin by Mar 2003", 
"CA-SJ3", "1127", "GRP_SITE_DESC", "53.87581° N, 104.64529° W, BOREAS 1994, 1996, BERMS climate and flux measurements to begin Spring 2003", 
"CA-SMC", "81479", "GRP_SITE_DESC", "Boreal forest-peatland landscape with discontinuous permafrost, 19 km southeast of Wrigley, NT, Canada", 
"CA-TP1", "12134", "GRP_SITE_DESC", "Plantation established in 2002 on a former sandy agricultural field, which was abandoned three years prior to planting", 
"CA-TP2", "12166", "GRP_SITE_DESC", "Plantation established in 1989 over sandy agriculture land", 
"CA-TP3", "12194", "GRP_SITE_DESC", "White pine plantation established in 1974 over sandy abandoned land", 
"CA-TP4", "12226", "GRP_SITE_DESC", "White pine plantation established in 1939 over sandy abandoned land", 
"CA-TPD", "12261", "GRP_SITE_DESC", "The forest is approximately 90 years old. Naturally regenerated on sandy terrain and abandoned agricultural land. Predominantly hardwood species with a few scattered conifers. Site has been managed (thinned) in the past. It has a high biodiversity with 573 tree and plant species, 102 bird species, 23 mamal species and 22 reptile and amphibian species (SWALSREP Report, 1999).  The dominant tree species is white oak (Quercus alba), with other scattered broadleaf Carolinian species including sugar and red maple (Acer saccharum, A. rubrum), American beech (Fagus grandifolia), black and red oak (Q. velutina, Q. rubra) and white ash (Fraxinus americana) . There are also scattered conifers, mostly white and red pine (Pinus strobes, P. resinosa), comprising about 5% of the trees. Average tree height is 25.7 m with a stand density of 504 ± 18 trees per hectare. Average tree diameter at breast height is 22.3 cm and basal area is 0.06 m2 or approximately 29 square meters per hectare.", 
"CA-TVC", "81506", "GRP_SITE_DESC", "Southern Arctic tundra site, erect-shrub tundra, tundra dominated by low shrubs <40 cm, continuous permafrost", 
"CA-WP1", "8782", "GRP_SITE_DESC", "Latitude: 54.9538359° N Longitude:  112.4669767° W, the site is dominated by stunted trees of Larix laricina and Picea mariana, with Betula pumila, Ledum groenlandicum and Salix sp. (shrubs) and a wide range of moss species. There is also an abundant dwarf-shrub and herb layer including: Andromeda polifolia, Carex sp., Empetrum nigrum, Menyanthese trifoliata, Oxycoccus microcarpus, Potentilla palustris, Rubus acaulis, Smilacina trifolia, Vaccinium vitis-idea.", 
"CA-WP2", "107", "GRP_SITE_DESC", "Peatland (poor fen)           Alberta.       55.5375°N, 112.3343°W                North of the AB-WPL site.", 
"CA-WP3", "7735", "GRP_SITE_DESC", "Peatland (rich fen)      Alberta.     54.47°N, 113.32°W          Southwest of the AB-WPL site.", 
"CL-SDF", "30268", "GRP_SITE_DESC", "Located at the Senda Darwin Biological Station, in a old-growth rainforest. Locally named as Nordpatagonian type of forest. The station is 15 km east of Ancud, in the Chiloé Island, close to the Huicha river.", 
"CL-SDP", "30245", "GRP_SITE_DESC", "Located at the Senda Darwin Biological Station, in a old-growth rainforest. Locally named "pomponal"  from the common name of Sphagnum, is an anthropogenic peatland, formed after the forest is cut or a forest fire. The station is 15 km east of Ancud, in the Chiloé Island, close to the Huicha river.", 
"CR-Fsc", "31090", "GRP_SITE_DESC", "The research site is located in a sugar cane cropland generally harvested in December. Sugarcane is irrigated(furrow irrigation) sporadically only during the dry season (January-April).Crop height varies from 0m to 4m.", 
"CR-Lse", "5011", "GRP_SITE_DESC", "Site was occupied by Native Americans since 3000 B.P. practicing shifting cultivation. Some selective cutting along rivers (heart of palm). Charcoal dating indicate fires 2400 B.P. and 1100 B.P. Some clearing for pasture/cocoa production, second growth, humid tropical rain forest. Site resides on land presently owned by the Organization for Tropical Studies.", 
"CR-Nmr", "31079", "GRP_SITE_DESC", "The research site is located in a cropland where melon and upland rice are grown alternatively every year. Melon is irrigated and grown during the dry season (January-April), and rice is rainfeed and grown during the rainy season  (July-Novebember).Melon canopy height varies from 0 to 0.35m and rice canopy height from 0 to 1.1m.", 
"CR-SoC", "12536", "GRP_SITE_DESC", "The Texas A&M Soltis Center for Research and Education is located in San Juan de Peñas Blancas, San Ramón, Costa Rica. In 2009, Charles W. "Bill" and Wanda Soltis donated a new facility to the university and granted it a long-term lease on the adjacent 250 acres of land. The site hosts both primary and secondary growth rainforest, the later of which was selectively logged between the 1950's and the 1990's. It is best classified as a lower montane forest, located in the transitional area between the upper and lower montane cloud forests and the lowland rainforests. Temperatures average 23°C with 4200 mm/yr of rainfall; a short drier period typically occurs between January and April. Estimates suggest that the site hosts more than 2000 species of vascular plants, with dominant vegetation types including plants in the Sapotaceae, Moracea, and Malvaceae families.", 
"MX-EMg", "85722", "GRP_SITE_DESC", "The vegetation is Mediterranean-climate closed shrubland on shallow sandy soils. Eddy flux measurements began in 2008, 20 years after the last wildfire. The site has been grazed lightly and sporadically.", 
"MX-Lpa", "8445", "GRP_SITE_DESC", "As evident by some very large Cardon (5-7 meters), according to Coyle and Roberts, 1975, extent vegetation has likely been around at least 200 years. Until about 15 years ago from 1996, site was used for livestock production and selective firewood extraction. However, when I look over the fence where there has been livestock activity, not much difference", 
"MX-PMm", "83428", "GRP_SITE_DESC", "The tower is located at the “Dr. Alfredo Barrera Marín” Botanical Garden. The surface monitored is covered with mangrove that grows in a fringe parallel to the northeastern coast (ca. 1 km) of the Yucatan Peninsula. The dominant species are Conocarpus erectus and Rhizophora mangle, which grow intertwined and relatively stunted (max tree height is 5m). Under the influence of trade winds and frequent stroms. The vegetation is regenerating after complete defoliation due to hurricane Wilma (cat. 4) passing in October 2005. The site is seasonally flooded by rainfall excess with no apparent influence of marine surface water inputs. The terrain of the monitored surface is flat, while the area downwind of the tower presents a slope which corresponds to an ancient coast line. There is extensive urban development in the coastal dune along the coast mainly for tourism use (Mayan Riviera). The soil is of recent geological origin (Miocene) with calcareous characteristics (Lithosol-Rendzina type).", 
"PA-Bar", "5897", "GRP_SITE_DESC", "Barro Colorado Island is a humid tropical forest with high biodiversity, around 300 species in 50 ha. The climate has a sever dty season from and of December to end of April. Several decidous species drop their leaves during this period. Lianas are very abundant in this forest accounting up to 30% of leaf area.", 
