"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOM_DIST_MGMT", 
"CA-SJ2", "6758", "GRP_DOM_DIST_MGMT", "Fire", 
"CA-SJ3", "1667", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-SJ3", "7625", "GRP_DOM_DIST_MGMT", "Fire", 
"CA-SMC", "81467", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CA-TP1", "12126", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"CA-TP1", "12140", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-TP2", "12158", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-TP3", "12186", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-TP4", "12218", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-TPD", "12254", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-TVC", "81500", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CL-SDF", "30253", "GRP_DOM_DIST_MGMT", "Forestry", 
"CL-SDP", "30230", "GRP_DOM_DIST_MGMT", "Grazing", 
"CL-SDP", "30231", "GRP_DOM_DIST_MGMT", "Agriculture", 
"CR-Fsc", "31087", "GRP_DOM_DIST_MGMT", "Drought", 
"CR-Fsc", "31102", "GRP_DOM_DIST_MGMT", "Agriculture", 
"CR-Nmr", "31068", "GRP_DOM_DIST_MGMT", "Agriculture", 
"CR-Nmr", "31069", "GRP_DOM_DIST_MGMT", "Drought", 
"CR-SoC", "12528", "GRP_DOM_DIST_MGMT", "Forestry", 
"MX-EMg", "85718", "GRP_DOM_DIST_MGMT", "Grazing", 
"MX-EMg", "85726", "GRP_DOM_DIST_MGMT", "Fire", 
"MX-EMg", "85730", "GRP_DOM_DIST_MGMT", "Drought", 
"PE-QFR", "86026", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"PR-xGU", "85631", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"PR-xLA", "85597", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"PR-xLA", "85608", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-A32", "30059", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-A74", "30079", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-ADR", "15374", "GRP_DOM_DIST_MGMT", "Drought", 
"US-AR1", "15956", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-AR2", "15976", "GRP_DOM_DIST_MGMT", "agriculture", 
"US-ARM", "22334", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-ASH", "86815", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-ASL", "86758", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-ASM", "86738", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Bar", "3360", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-BCM", "87303", "GRP_DOM_DIST_MGMT", "Fire", 
"US-BCM", "87310", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-Beo", "81617", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-Bi1", "30371", "GRP_DOM_DIST_MGMT", "agriculture", 
"US-Bi2", "31249", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Bsg", "29691", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-CdM", "86832", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-CdM", "86847", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Ced", "12658", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"US-Ced", "12674", "GRP_DOM_DIST_MGMT", "Fire", 
"US-CF1", "84802", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-CF2", "84822", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-CF3", "84842", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-CF4", "84862", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Cms", "84705", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-CRT", "12766", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-CRT", "12781", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-CRT", "12785", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-CS1", "83392", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-CS3", "87374", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Cst", "13210", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Cst", "13226", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-CZ1", "30806", "GRP_DOM_DIST_MGMT", "Drought", 
"US-CZ2", "30820", "GRP_DOM_DIST_MGMT", "Drought", 
"US-CZ2", "30821", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"US-CZ2", "30822", "GRP_DOM_DIST_MGMT", "Fire", 
"US-CZ3", "30850", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-CZ3", "30851", "GRP_DOM_DIST_MGMT", "Drought", 
"US-CZ4", "30836", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-Dea", "11407", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-DFK", "87350", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Dk1", "3365", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Dk3", "5082", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-Dk3", "10200", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-DPP", "86734", "GRP_DOM_DIST_MGMT", "Fire", 
"US-DPW", "86879", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-DPW", "86889", "GRP_DOM_DIST_MGMT", "Fire", 
"US-EML", "11146", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-Fcr", "85258", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Fmf", "11996", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Fuf", "12016", "GRP_DOM_DIST_MGMT", "undisturbed", 
"US-Fwf", "12041", "GRP_DOM_DIST_MGMT", "Fire", 
"US-GBT", "16017", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-GCE", "86853", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-GLE", "15996", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"US-Ha1", "22188", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-Ha2", "12585", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"US-HBK", "81461", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Hn2", "83481", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-Ho1", "11450", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Ho2", "11482", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Ho3", "11778", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-HRN", "87841", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-HRS", "33529", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-HVs", "84661", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-IB1", "8466", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-IB2", "2519", "GRP_DOM_DIST_MGMT", "Fire", 
"US-IB2", "29984", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-ICh", "12066", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-ICs", "12086", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-ICt", "12106", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-JLR", "85694", "GRP_DOM_DIST_MGMT", "Fire", 
"US-KCM", "33557", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-KFB", "13168", "GRP_DOM_DIST_MGMT", "Fire", 
"US-KFB", "13181", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-KFS", "11515", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-KFS", "11526", "GRP_DOM_DIST_MGMT", "Fire", 
"US-KL1", "14589", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-KL1", "14606", "GRP_DOM_DIST_MGMT", "drought", 
"US-KL2", "14614", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-KL2", "14631", "GRP_DOM_DIST_MGMT", "drought", 
"US-KL3", "14640", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-KL3", "14657", "GRP_DOM_DIST_MGMT", "drought", 
"US-KLS", "13194", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-KM1", "14666", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-KM1", "14683", "GRP_DOM_DIST_MGMT", "drought", 
"US-KM2", "14692", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-KM2", "14709", "GRP_DOM_DIST_MGMT", "drought", 
"US-KM3", "14719", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-KM3", "14736", "GRP_DOM_DIST_MGMT", "drought", 
"US-KM3", "14741", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-KM4", "14747", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-KM4", "14764", "GRP_DOM_DIST_MGMT", "drought", 
"US-KM4", "14769", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-Kon", "11530", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Kon", "11543", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-KS1", "15540", "GRP_DOM_DIST_MGMT", "Fire", 
"US-KS1", "15555", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-KS2", "15564", "GRP_DOM_DIST_MGMT", "Fire", 
"US-KS2", "15580", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-KS3", "79251", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-KS4", "79898", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-KUO", "11698", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-KUT", "11758", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-LA1", "85113", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-LA2", "85135", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-LA3", "85148", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-LL1", "83553", "GRP_DOM_DIST_MGMT", "Fire", 
"US-LL1", "83558", "GRP_DOM_DIST_MGMT", "Drought", 
"US-LL1", "83561", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-LL2", "83576", "GRP_DOM_DIST_MGMT", "Drought", 
"US-LL2", "83577", "GRP_DOM_DIST_MGMT", "Fire", 
"US-LL2", "83590", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-LL3", "83595", "GRP_DOM_DIST_MGMT", "Fire", 
"US-LL3", "83608", "GRP_DOM_DIST_MGMT", "Drought", 
"US-LL3", "83613", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Los", "22190", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-Me1", "7622", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Me2", "22210", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-Me3", "5917", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Me5", "5916", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Me6", "22212", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Mj1", "29749", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Mj2", "29729", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-MMS", "4167", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Mpj", "15433", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Mpj", "15444", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"US-MtB", "87255", "GRP_DOM_DIST_MGMT", "Drought", 
"US-MtB", "87261", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Myb", "22202", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Myb", "22203", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-NC1", "12821", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-NC1", "12837", "GRP_DOM_DIST_MGMT", "Drought", 
"US-NC1", "12842", "GRP_DOM_DIST_MGMT", "Hydrologic Event", 
"US-NC1", "12845", "GRP_DOM_DIST_MGMT", "Storm or Wind", 
"US-NC2", "12850", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-NC2", "12866", "GRP_DOM_DIST_MGMT", "Drought", 
"US-NC2", "12870", "GRP_DOM_DIST_MGMT", "Hydrologic Event", 
"US-NC2", "12874", "GRP_DOM_DIST_MGMT", "Storm or Wind", 
"US-NC3", "12879", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-NC3", "12894", "GRP_DOM_DIST_MGMT", "Drought", 
"US-NC3", "12897", "GRP_DOM_DIST_MGMT", "Hydrologic Event", 
"US-NC3", "12899", "GRP_DOM_DIST_MGMT", "Storm or Wind", 
"US-NC4", "12901", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-NC4", "12917", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-Ne1", "2517", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Ne2", "9356", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Ne3", "1666", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-NGC", "85185", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-NR1", "11575", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Nrf", "30904", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-Nrs", "30867", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-Oho", "12790", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-Oho", "12805", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-Oho", "12811", "GRP_DOM_DIST_MGMT", "Drought", 
"US-OWC", "85896", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-PFa", "22194", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-PFa", "22195", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-PFa", "22196", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"US-PFa", "22197", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-PHM", "30024", "GRP_DOM_DIST_MGMT", "Hydrologic Event", 
"US-PHM", "30025", "GRP_DOM_DIST_MGMT", "Drought", 
"US-PLM", "79847", "GRP_DOM_DIST_MGMT", "Hydrologic Event", 
"US-Prr", "84750", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-PSH", "86811", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-PSL", "86791", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-RC1", "84882", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-RC2", "84917", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-RC3", "84899", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-RC4", "84935", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-RC5", "84952", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-RFE", "29946", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Ro1", "14510", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Ro2", "14536", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Ro3", "14562", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Ro4", "14484", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Ro5", "30126", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Ro6", "30152", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Rpf", "85300", "GRP_DOM_DIST_MGMT", "Fire", 
"US-RRC", "79831", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Rwf", "88126", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Rws", "17068", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-Sag", "84671", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-SB1", "13238", "GRP_DOM_DIST_MGMT", "forestry", 
"US-SB2", "23548", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-SB3", "84629", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-SdH", "12272", "GRP_DOM_DIST_MGMT", "grazing", 
"US-Seg", "15451", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Seg", "15462", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Seg", "15465", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-Ses", "15469", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Ses", "15480", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-Shd", "5081", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Skr", "11902", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-Slt", "13031", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"US-Slt", "13048", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Snd", "22214", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Sne", "30001", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Snf", "84768", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-SO2", "15919", "GRP_DOM_DIST_MGMT", "Fire", 
"US-SO3", "15937", "GRP_DOM_DIST_MGMT", "Fire", 
"US-SO4", "15903", "GRP_DOM_DIST_MGMT", "Fire", 
"US-SP1", "3363", "GRP_DOM_DIST_MGMT", "Fire", 
"US-SP1", "8468", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-SP2", "5920", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-SP3", "3364", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-SRG", "11845", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-SRM", "11176", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-SRM", "22199", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Srr", "30946", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-Srr", "30947", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-Srr", "30948", "GRP_DOM_DIST_MGMT", "Drought", 
"US-SSH", "30680", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Sta", "12492", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-StS", "30095", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-StS", "30096", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-StS", "30097", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-SuM", "13060", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-SuS", "13079", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-SuW", "13100", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Syv", "22192", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-Ton", "8463", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Tur", "85320", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Tw1", "22205", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-Tw1", "22206", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Tw2", "29996", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Tw3", "22207", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Tw4", "22208", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Tw4", "22209", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-Tw5", "84622", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-Tw5", "84624", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Twt", "22204", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Tx1", "86543", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Tx1", "86552", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Tx1", "86560", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Tx2", "79560", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Tx2", "79562", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Tx2", "79565", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Tx3", "79533", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Tx3", "81573", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Tx4", "79590", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Tx4", "81575", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Tx5", "79617", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Tx5", "79618", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Tx5", "81578", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Tx6", "79646", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Tx7", "79694", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Tx8", "86692", "GRP_DOM_DIST_MGMT", "Hydrologic Event", 
"US-Tx9", "79666", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Tx9", "79673", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Tx9", "79685", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-Tx9", "86606", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-Tx9", "86608", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-Uaf", "81351", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-UiA", "87894", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-UiB", "87923", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-UiC", "87936", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-ULM", "29702", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-UMB", "12329", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-UMB", "12345", "GRP_DOM_DIST_MGMT", "Fire", 
"US-UMd", "12362", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Var", "8464", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Vcm", "15486", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Vcm", "15497", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Vcm", "15500", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"US-Vcm", "15503", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Vcp", "15505", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Vcp", "15516", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Vcp", "15519", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Vcs", "30480", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Vcs", "30481", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Vcs", "30482", "GRP_DOM_DIST_MGMT", "Fire", 
"US-Vcs", "30483", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"US-VFP", "84969", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-WCr", "14448", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-Wdn", "12510", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-Wgr", "29705", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-Whs", "22201", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"US-Wjs", "15523", "GRP_DOM_DIST_MGMT", "Drought", 
"US-Wkg", "11798", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-Wpp", "29713", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-WPT", "12740", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"US-WPT", "12755", "GRP_DOM_DIST_MGMT", "Temperature extreme", 
"US-WPT", "12760", "GRP_DOM_DIST_MGMT", "Storm or wind", 
"US-Wwt", "29716", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-xAB", "85360", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-xAE", "86237", "GRP_DOM_DIST_MGMT", "Fire", 
"US-xAE", "86238", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-xBR", "79805", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-xCL", "79484", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-xCL", "79489", "GRP_DOM_DIST_MGMT", "Fire", 
"US-xCL", "79490", "GRP_DOM_DIST_MGMT", "Land cover change", 
"US-xCP", "30459", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-xDS", "85499", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-xDS", "85502", "GRP_DOM_DIST_MGMT", "Fire", 
