"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_BIOMASS_TREE", "AG_BIOMASS_TREE_ORGAN", "AG_BIOMASS_TREE_PHEN", "AG_BIOMASS_TREE_UNIT", "AG_BIOMASS_DATE", "AG_BIOMASS_COMMENT", "AG_BIOMASS_APPROACH", "AG_BIOMASS_TREE_SPATIAL_VARIABILITY", "AG_BIOMASS_TREE_SPATIAL_REP_NUMBER", "AG_BIOMASS_DATE_UNC", 
"CA-TP1", "28169", "GRP_AG_BIOMASS_TREE", "25.9681258325829", "Total", "Mixed/unknown", "gC m-2", "20041001", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [aboveground live biomass=0.021*(Diameter at base)^2.73]  and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP1", "28171", "GRP_AG_BIOMASS_TREE", "64.6881286174318", "Foliage", "Mixed/unknown", "gC m-2", "20050928", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.011*(Diameter at base)^2.67]  and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP1", "28508", "GRP_AG_BIOMASS_TREE", "313.426839743818", "Total", "Mixed/unknown", "gC m-2", "20061002", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [aboveground live biomass=0.021*(Diameter at base)^2.73]  and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP1", "28509", "GRP_AG_BIOMASS_TREE", "263.668796831788", "Wood", "Mixed/unknown", "gC m-2", "20071016", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.006*(Diameter at base)^2.813]  [branch biomass=0.004*(Diameter at base)^2.76] and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP1", "29002", "GRP_AG_BIOMASS_TREE", "169.031896058935", "Wood", "Mixed/unknown", "gC m-2", "20061002", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.006*(Diameter at base)^2.813]  [branch biomass=0.004*(Diameter at base)^2.76] and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP1", "29468", "GRP_AG_BIOMASS_TREE", "12.6933781131057", "Foliage", "Mixed/unknown", "gC m-2", "20041001", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.011*(Diameter at base)^2.67]  and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP1", "29469", "GRP_AG_BIOMASS_TREE", "145.293563420699", "Foliage", "Mixed/unknown", "gC m-2", "20061002", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.011*(Diameter at base)^2.67]  and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP2", "26719", "GRP_AG_BIOMASS_TREE", "3786.40489238314", "Total", "Mixed/unknown", "gC m-2", "20061026", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [total aboveground biomass=0.0275*(DBH)^2.712 minus dead branches (= 0.0115*(DBH)^2.239]  and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "26854", "GRP_AG_BIOMASS_TREE", "4110.36032130042", "Total", "Mixed/unknown", "gC m-2", "20070927", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [total aboveground biomass=0.0275*(DBH)^2.712 minus dead branches (= 0.0115*(DBH)^2.239]  and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "26855", "GRP_AG_BIOMASS_TREE", "528.155329371326", "Foliage", "Mixed/unknown", "gC m-2", "20050926", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.0026*(DBH)^2.85]  and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "27289", "GRP_AG_BIOMASS_TREE", "481.241600229226", "Foliage", "Mixed/unknown", "gC m-2", "20040923", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.0026*(DBH)^2.85]  and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "27290", "GRP_AG_BIOMASS_TREE", "2596.34713505405", "Wood", "Mixed/unknown", "gC m-2", "20040923", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.0258*(DBH)^2.451] + [branch biomass=0.0014*(DBH)^3.356] and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "28176", "GRP_AG_BIOMASS_TREE", "3433.86420854702", "Total", "Mixed/unknown", "gC m-2", "20050926", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [total aboveground biomass=0.0275*(DBH)^2.712 minus dead branches (= 0.0115*(DBH)^2.239]  and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "28177", "GRP_AG_BIOMASS_TREE", "583.68942232659", "Foliage", "Mixed/unknown", "gC m-2", "20061026", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.0026*(DBH)^2.85]  and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "28178", "GRP_AG_BIOMASS_TREE", "3134.63154472368", "Total", "Mixed/unknown", "gC m-2", "20040923", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [total aboveground biomass=0.0275*(DBH)^2.712 minus dead branches (= 0.0115*(DBH)^2.239]  and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "28179", "GRP_AG_BIOMASS_TREE", "3429.8517667658", "Wood", "Mixed/unknown", "gC m-2", "20070927", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.0258*(DBH)^2.451] + [branch biomass=0.0014*(DBH)^3.356] and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "28281", "GRP_AG_BIOMASS_TREE", "2849.34936427494", "Wood", "Mixed/unknown", "gC m-2", "20050926", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.0258*(DBH)^2.451] + [branch biomass=0.0014*(DBH)^3.356] and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "28517", "GRP_AG_BIOMASS_TREE", "3149.25385305409", "Wood", "Mixed/unknown", "gC m-2", "20061026", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.0258*(DBH)^2.451] + [branch biomass=0.0014*(DBH)^3.356] and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP2", "29118", "GRP_AG_BIOMASS_TREE", "635.476098713809", "Foliage", "Mixed/unknown", "gC m-2", "20070927", "Total aboveground (TT) includes bark;", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.0026*(DBH)^2.85]  and 2) stem density (1317 stems ha-1) from inventory data", , , , 
"CA-TP3", "26860", "GRP_AG_BIOMASS_TREE", "4702.52955456656", "Wood", "Mixed/unknown", "gC m-2", "20040927", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.037*(DBH)^2.513] + [branch biomass=0.0001*(DBH)^4.217] and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "27010", "GRP_AG_BIOMASS_TREE", "332", "Foliage", "Mixed/unknown", "gC m-2", "20071104", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.00005*(DBH)^4.01448]  and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "27565", "GRP_AG_BIOMASS_TREE", "297", "Foliage", "Mixed/unknown", "gC m-2", "20050926", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.00005*(DBH)^4.01448]  and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "27566", "GRP_AG_BIOMASS_TREE", "5379", "Total", "Mixed/unknown", "gC m-2", "20061024", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [total aboveground biomass=0.0201*(DBH)^2.926 minus dead branches (= 0.0051*(DBH)^2.641]  and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "27924", "GRP_AG_BIOMASS_TREE", "5146", "Total", "Mixed/unknown", "gC m-2", "20050926", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [total aboveground biomass=0.0201*(DBH)^2.926 minus dead branches (= 0.0051*(DBH)^2.641]  and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "27925", "GRP_AG_BIOMASS_TREE", "315", "Foliage", "Mixed/unknown", "gC m-2", "20061024", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.00005*(DBH)^4.01448]  and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "27926", "GRP_AG_BIOMASS_TREE", "5028.81522795488", "Wood", "Mixed/unknown", "gC m-2", "20061024", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.037*(DBH)^2.513] + [branch biomass=0.0001*(DBH)^4.217] and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "28190", "GRP_AG_BIOMASS_TREE", "4819.57206973857", "Wood", "Mixed/unknown", "gC m-2", "20050926", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.037*(DBH)^2.513] + [branch biomass=0.0001*(DBH)^4.217] and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "28287", "GRP_AG_BIOMASS_TREE", "5015", "Total", "Mixed/unknown", "gC m-2", "20040927", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [total aboveground biomass=0.0201*(DBH)^2.926 minus dead branches (= 0.0051*(DBH)^2.641]  and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "29013", "GRP_AG_BIOMASS_TREE", "5551", "Total", "Mixed/unknown", "gC m-2", "20071104", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [total aboveground biomass=0.0201*(DBH)^2.926 minus dead branches (= 0.0051*(DBH)^2.641]  and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "29128", "GRP_AG_BIOMASS_TREE", "287", "Foliage", "Mixed/unknown", "gC m-2", "20040927", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.00005*(DBH)^4.01448]  and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP3", "29129", "GRP_AG_BIOMASS_TREE", "5179.51853012583", "Wood", "Mixed/unknown", "gC m-2", "20071104", "Total aboveground (TT) includes bark; non-woody biomass is almost 100% moss biomass", "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.037*(DBH)^2.513] + [branch biomass=0.0001*(DBH)^4.217] and 2) stem density (1633 stems ha-1) from inventory data", , , , 
"CA-TP4", "25245", "GRP_AG_BIOMASS_TREE", "9789.081398075", "Wood", "Mixed/unknown", "gC m-2", "20040927", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "25381", "GRP_AG_BIOMASS_TREE", "181.887518977798", "Foliage", "Mixed/unknown", "gC m-2", "20040927", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "25503", "GRP_AG_BIOMASS_TREE", "182.931674604518", "Foliage", "Mixed/unknown", "gC m-2", "20051009", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "25504", "GRP_AG_BIOMASS_TREE", "10960.8023226852", "Total", "Mixed/unknown", "gC m-2", "20051009", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "25654", "GRP_AG_BIOMASS_TREE", "11141.7244836555", "Total", "Mixed/unknown", "gC m-2", "20061024", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "26166", "GRP_AG_BIOMASS_TREE", "10129.9333782516", "Wood", "Mixed/unknown", "gC m-2", "20071024", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "26167", "GRP_AG_BIOMASS_TREE", "11288.8312548001", "Total", "Mixed/unknown", "gC m-2", "20071024", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "26267", "GRP_AG_BIOMASS_TREE", "9995.88651420698", "Wood", "Mixed/unknown", "gC m-2", "20061024", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "26393", "GRP_AG_BIOMASS_TREE", "10916.1543567165", "Total", "Mixed/unknown", "gC m-2", "20040927", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "26523", "GRP_AG_BIOMASS_TREE", "191.40579705428", "Foliage", "Mixed/unknown", "gC m-2", "20071024", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "26649", "GRP_AG_BIOMASS_TREE", "9829.70677702144", "Wood", "Mixed/unknown", "gC m-2", "20051009", "Total aboveground (TT) includes bark", , , , , 
"CA-TP4", "26650", "GRP_AG_BIOMASS_TREE", "187.91680341376", "Foliage", "Mixed/unknown", "gC m-2", "20061024", "Total aboveground (TT) includes bark", , , , , 
"CA-WP1", "25979", "GRP_AG_BIOMASS_TREE", "337.7", "Total", "Mixed/unknown", "gC m-2", "2003", "data from three 20x20m plots", , , , , 
"US-Atq", "24071", "GRP_AG_BIOMASS_TREE", "0", "Foliage", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-Atq", "24073", "GRP_AG_BIOMASS_TREE", "0", "Wood", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-Atq", "24074", "GRP_AG_BIOMASS_TREE", "0", "Total", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-Bar", "24091", "GRP_AG_BIOMASS_TREE", "150", "Foliage", "Mixed/unknown", "gC m-2", "20040530", "12 FIA plots surrounding tower", , , , , 
"US-Bar", "24497", "GRP_AG_BIOMASS_TREE", "10600", "Wood", "Mixed/unknown", "gC m-2", "20040530", "12 FIA plots surrounding tower", "C.M. Hoover (Ed.). 2008. Field measurements for forest carbon monitoring: A landscape-scale approach. Springer, New York (in press).", , , , 
"US-Brw", "24335", "GRP_AG_BIOMASS_TREE", "0", "Total", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-Brw", "24601", "GRP_AG_BIOMASS_TREE", "0", "Foliage", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-Brw", "24987", "GRP_AG_BIOMASS_TREE", "0", "Wood", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-Dk2", "24114", "GRP_AG_BIOMASS_TREE", "0", "Total", "Mixed/unknown", "gC m-2", "20021007", "Estimated based on allometric equations for DBH (Clark et al. 2006)", , , , , 
"US-Dk2", "25156", "GRP_AG_BIOMASS_TREE", "18000", "Wood", "Mixed/unknown", "gC m-2", "20021007", "Estimated based on allometric equations for DBH (Clark et al. 2006)", , , , , 
"US-Dk3", "25410", "GRP_AG_BIOMASS_TREE", "7345", "Wood", "Mixed/unknown", "gC m-2", "2001", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
