"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "LAI_TYPE", "LAI_COMMENT", "LAI_TOT", "LAI_CLUMP", "LAI_METHOD", "LAI_APPROACH", "LAI_DATE", "LAI_U", "LAI_TOT_SPATIAL_VARIABILITY", "LAI_O_DEC", "LAI_O_DEC_SPATIAL_REP_NUMBER", "LAI_O_DEC_SPATIAL_VARIABILITY", "LAI_O_EVG", "LAI_O_EVG_SPATIAL_VARIABILITY", "LAI_U_SPATIAL_REP_NUMBER", "LAI_U_SPATIAL_VARIABILITY", "LAI_TOT_SPATIAL_REP_NUMBER", "LAI_DATE_UNC", 
"CA-Let", "27745", "GRP_LAI", "LAI", "mean of 6 replicates", "0.54", , "Other", "LI-3100 Area Meter", "19990621", , , , , , , , , , , , 
"CA-Let", "27746", "GRP_LAI", "LAI", "mean of 6 replicates", "0.29", , "Other", "LI-3100 Area Meter", "19990719", , , , , , , , , , , , 
"CA-Let", "27747", "GRP_LAI", "LAI", "mean of 6 replicates", "0.27", , "Other", "LI-3100 Area Meter", "19990803", , , , , , , , , , , , 
"CA-Let", "27748", "GRP_LAI", "LAI", "mean of 6 replicates", "0.92", , "Other", "LI-3100 Area Meter", "20020704", , , , , , , , , , , , 
"CA-Let", "27749", "GRP_LAI", "LAI", "mean of 6 replicates", "1.07", , "Other", "LI-3100 Area Meter", "20020715", , , , , , , , , , , , 
"CA-Let", "27750", "GRP_LAI", "LAI", "mean of 6 replicates", "0.94", , "Other", "LI-3100 Area Meter", "20050808", , , , , , , , , , , , 
"CA-Let", "27751", "GRP_LAI", "LAI", "mean of 6 replicates", "0.18", , "Other", "LI-3100 Area Meter", "20061010", , , , , , , , , , , , 
"CA-Let", "28009", "GRP_LAI", "LAI", "mean of 6 replicates", "0.74", , "Other", "LI-3100 Area Meter", "19980617", , , , , , , , , , , , 
"CA-Let", "28010", "GRP_LAI", "LAI", "mean of 6 replicates", "0.3", , "Other", "LI-3100 Area Meter", "19980902", , , , , , , , , , , , 
"CA-Let", "28011", "GRP_LAI", "LAI", "mean of 6 replicates", "0.97", , "Other", "LI-3100 Area Meter", "20030616", , , , , , , , , , , , 
"CA-Let", "28012", "GRP_LAI", "LAI", "mean of 6 replicates", "0.27", , "Other", "LI-3100 Area Meter", "19980923", , , , , , , , , , , , 
"CA-Let", "28013", "GRP_LAI", "LAI", "mean of 6 replicates", "0.66", , "Other", "LI-3100 Area Meter", "20030716", , , , , , , , , , , , 
"CA-Let", "28014", "GRP_LAI", "LAI", "mean of 6 replicates", "0.46", , "Other", "LI-3100 Area Meter", "20030730", , , , , , , , , , , , 
"CA-Let", "28015", "GRP_LAI", "LAI", "mean of 6 replicates", "0.51", , "Other", "LI-3100 Area Meter", "20030819", , , , , , , , , , , , 
"CA-Let", "28016", "GRP_LAI", "LAI", "mean of 6 replicates", "0.15", , "Other", "LI-3100 Area Meter", "20041004", , , , , , , , , , , , 
"CA-Let", "28017", "GRP_LAI", "LAI", "mean of 6 replicates", "0.85", , "Other", "LI-3100 Area Meter", "20060619", , , , , , , , , , , , 
"CA-Let", "28355", "GRP_LAI", "LAI", "mean of 6 replicates", "0.24", , "Other", "LI-3100 Area Meter", "20010716", , , , , , , , , , , , 
"CA-Let", "28356", "GRP_LAI", "LAI", "mean of 6 replicates", "0.64", , "Other", "LI-3100 Area Meter", "20030702", , , , , , , , , , , , 
"CA-Let", "28357", "GRP_LAI", "LAI", "mean of 6 replicates", "0.35", , "Other", "LI-3100 Area Meter", "19980520", , , , , , , , , , , , 
"CA-Let", "28358", "GRP_LAI", "LAI", "mean of 6 replicates", "0.17", , "Other", "LI-3100 Area Meter", "20001016", , , , , , , , , , , , 
"CA-Let", "28359", "GRP_LAI", "LAI", "mean of 6 replicates", "0.36", , "Other", "LI-3100 Area Meter", "19990525", , , , , , , , , , , , 
"CA-Let", "28360", "GRP_LAI", "LAI", "mean of 6 replicates", "0.45", , "Other", "LI-3100 Area Meter", "20000515", , , , , , , , , , , , 
"CA-Let", "28361", "GRP_LAI", "LAI", "mean of 6 replicates", "0.22", , "Other", "LI-3100 Area Meter", "20020605", , , , , , , , , , , , 
"CA-Let", "28362", "GRP_LAI", "LAI", "mean of 6 replicates", "1.09", , "Other", "LI-3100 Area Meter", "20020812", , , , , , , , , , , , 
"CA-Let", "28363", "GRP_LAI", "LAI", "mean of 6 replicates", "0.2", , "Other", "LI-3100 Area Meter", "20031002", , , , , , , , , , , , 
"CA-Let", "28364", "GRP_LAI", "LAI", "mean of 6 replicates", "0.14", , "Other", "LI-3100 Area Meter", "20040506", , , , , , , , , , , , 
"CA-Let", "28365", "GRP_LAI", "LAI", "mean of 6 replicates", "0.3", , "Other", "LI-3100 Area Meter", "20040805", , , , , , , , , , , , 
"CA-Let", "28366", "GRP_LAI", "LAI", "mean of 6 replicates", "0.37", , "Other", "LI-3100 Area Meter", "20040915", , , , , , , , , , , , 
"CA-Let", "28367", "GRP_LAI", "LAI", "mean of 6 replicates", "0.3", , "Other", "LI-3100 Area Meter", "20050505", , , , , , , , , , , , 
"CA-Let", "28368", "GRP_LAI", "LAI", "mean of 6 replicates", "0.72", , "Other", "LI-3100 Area Meter", "20050908", , , , , , , , , , , , 
"CA-Let", "28369", "GRP_LAI", "LAI", "mean of 6 replicates", "0.28", , "Other", "LI-3100 Area Meter", "20051012", , , , , , , , , , , , 
"CA-Let", "28370", "GRP_LAI", "LAI", "mean of 6 replicates", "0.04", , "Other", "LI-3100 Area Meter", "20061024", , , , , , , , , , , , 
"CA-Let", "28622", "GRP_LAI", "LAI", "mean of 6 replicates", "0.43", , "Other", "LI-3100 Area Meter", "19990511", , , , , , , , , , , , 
"CA-Let", "28623", "GRP_LAI", "LAI", "mean of 6 replicates", "0.38", , "Other", "LI-3100 Area Meter", "20021009", , , , , , , , , , , , 
"CA-Let", "28624", "GRP_LAI", "LAI", "mean of 6 replicates", "0.13", , "Other", "LI-3100 Area Meter", "20030416", , , , , , , , , , , , 
"CA-Let", "28625", "GRP_LAI", "LAI", "mean of 6 replicates", "0.15", , "Other", "LI-3100 Area Meter", "19990423", , , , , , , , , , , , 
"CA-Let", "28626", "GRP_LAI", "LAI", "mean of 6 replicates", "0.22", , "Other", "LI-3100 Area Meter", "20001002", , , , , , , , , , , , 
"CA-Let", "28627", "GRP_LAI", "LAI", "mean of 6 replicates", "0.04", , "Other", "LI-3100 Area Meter", "20010912", , , , , , , , , , , , 
"CA-Let", "28628", "GRP_LAI", "LAI", "mean of 6 replicates", "0", , "Other", "LI-3100 Area Meter", "20020417", , , , , , , , , , , , 
"CA-Let", "28629", "GRP_LAI", "LAI", "mean of 6 replicates", "0.81", , "Other", "LI-3100 Area Meter", "20030528", , , , , , , , , , , , 
"CA-Let", "28630", "GRP_LAI", "LAI", "mean of 6 replicates", "0.1", , "Other", "LI-3100 Area Meter", "20041025", , , , , , , , , , , , 
"CA-Let", "28631", "GRP_LAI", "LAI", "mean of 6 replicates", "0.24", , "Other", "LI-3100 Area Meter", "20050426", , , , , , , , , , , , 
"CA-Let", "28632", "GRP_LAI", "LAI", "mean of 6 replicates", "0.27", , "Other", "LI-3100 Area Meter", "20060501", , , , , , , , , , , , 
"CA-Let", "28633", "GRP_LAI", "LAI", "mean of 6 replicates", "0.34", , "Other", "LI-3100 Area Meter", "20060518", , , , , , , , , , , , 
"CA-Let", "28634", "GRP_LAI", "LAI", "mean of 6 replicates", "0.47", , "Other", "LI-3100 Area Meter", "20060605", , , , , , , , , , , , 
"CA-Let", "28698", "GRP_LAI", "LAI", "mean of 6 replicates", "1.22", , "Other", "LI-3100 Area Meter", "20020731", , , , , , , , , , , , 
"CA-Let", "28699", "GRP_LAI", "LAI", "mean of 6 replicates", "0.38", , "Other", "LI-3100 Area Meter", "20040603", , , , , , , , , , , , 
"CA-Let", "28700", "GRP_LAI", "LAI", "mean of 6 replicates", "0.76", , "Other", "LI-3100 Area Meter", "20040629", , , , , , , , , , , , 
"CA-Let", "28701", "GRP_LAI", "LAI", "mean of 6 replicates", "1.06", , "Other", "LI-3100 Area Meter", "20050725", , , , , , , , , , , , 
"CA-Let", "28702", "GRP_LAI", "LAI", "mean of 6 replicates", "0.3", , "Other", "LI-3100 Area Meter", "20060911", , , , , , , , , , , , 
"CA-Let", "28859", "GRP_LAI", "LAI", "mean of 6 replicates", "0.27", , "Other", "LI-3100 Area Meter", "20010523", , , , , , , , , , , , 
"CA-Let", "28860", "GRP_LAI", "LAI", "mean of 6 replicates", "0.4", , "Other", "LI-3100 Area Meter", "20010607", , , , , , , , , , , , 
"CA-Let", "28861", "GRP_LAI", "LAI", "mean of 6 replicates", "0.5", , "Other", "LI-3100 Area Meter", "20010620", , , , , , , , , , , , 
"CA-Let", "28862", "GRP_LAI", "LAI", "mean of 6 replicates", "0.89", , "Other", "LI-3100 Area Meter", "19980701", , , , , , , , , , , , 
"CA-Let", "28863", "GRP_LAI", "LAI", "mean of 6 replicates", "0.89", , "Other", "LI-3100 Area Meter", "19980714", , , , , , , , , , , , 
"CA-Let", "28864", "GRP_LAI", "LAI", "mean of 6 replicates", "0.16", , "Other", "LI-3100 Area Meter", "19990825", , , , , , , , , , , , 
"CA-Let", "28865", "GRP_LAI", "LAI", "mean of 6 replicates", "1.18", , "Other", "LI-3100 Area Meter", "20020722", , , , , , , , , , , , 
"CA-Let", "28866", "GRP_LAI", "LAI", "mean of 6 replicates", "0.6", , "Other", "LI-3100 Area Meter", "20040616", , , , , , , , , , , , 
"CA-Let", "28867", "GRP_LAI", "LAI", "mean of 6 replicates", "0.73", , "Other", "LI-3100 Area Meter", "20040712", , , , , , , , , , , , 
"CA-Let", "28868", "GRP_LAI", "LAI", "mean of 6 replicates", "1.08", , "Other", "LI-3100 Area Meter", "20050705", , , , , , , , , , , , 
"CA-Let", "28869", "GRP_LAI", "LAI", "mean of 6 replicates", "1.06", , "Other", "LI-3100 Area Meter", "20050714", , , , , , , , , , , , 
"CA-Let", "28870", "GRP_LAI", "LAI", "mean of 6 replicates", "0.93", , "Other", "LI-3100 Area Meter", "20050823", , , , , , , , , , , , 
"CA-Let", "28871", "GRP_LAI", "LAI", "mean of 6 replicates", "0.47", , "Other", "LI-3100 Area Meter", "20060828", , , , , , , , , , , , 
"CA-Let", "28872", "GRP_LAI", "LAI", "mean of 6 replicates", "0.34", , "Other", "LI-3100 Area Meter", "20060925", , , , , , , , , , , , 
"CA-Let", "29230", "GRP_LAI", "LAI", "mean of 6 replicates", "0.22", , "Other", "LI-3100 Area Meter", "20000711", , , , , , , , , , , , 
"CA-Let", "29231", "GRP_LAI", "LAI", "mean of 6 replicates", "0.64", , "Other", "LI-3100 Area Meter", "19980603", , , , , , , , , , , , 
"CA-Let", "29232", "GRP_LAI", "LAI", "mean of 6 replicates", "0.28", , "Other", "LI-3100 Area Meter", "19980511", , , , , , , , , , , , 
"CA-Let", "29233", "GRP_LAI", "LAI", "mean of 6 replicates", "0.45", , "Other", "LI-3100 Area Meter", "20030501", , , , , , , , , , , , 
"CA-Let", "29234", "GRP_LAI", "LAI", "mean of 6 replicates", "0.41", , "Other", "LI-3100 Area Meter", "20050613", , , , , , , , , , , , 
"CA-Let", "29235", "GRP_LAI", "LAI", "mean of 6 replicates", "0.74", , "Other", "LI-3100 Area Meter", "20060718", , , , , , , , , , , , 
"CA-Let", "29334", "GRP_LAI", "LAI", "mean of 6 replicates", "0.1", , "Other", "LI-3100 Area Meter", "20010801", , , , , , , , , , , , 
"CA-Let", "29335", "GRP_LAI", "LAI", "mean of 6 replicates", "0.79", , "Other", "LI-3100 Area Meter", "20020904", , , , , , , , , , , , 
"CA-Let", "29336", "GRP_LAI", "LAI", "mean of 6 replicates", "0.43", , "Other", "LI-3100 Area Meter", "20000626", , , , , , , , , , , , 
"CA-Let", "29337", "GRP_LAI", "LAI", "mean of 6 replicates", "0.14", , "Other", "LI-3100 Area Meter", "20000724", , , , , , , , , , , , 
"CA-Let", "29338", "GRP_LAI", "LAI", "mean of 6 replicates", "0.39", , "Other", "LI-3100 Area Meter", "19980526", , , , , , , , , , , , 
"CA-Let", "29339", "GRP_LAI", "LAI", "mean of 6 replicates", "0.08", , "Other", "LI-3100 Area Meter", "20010425", , , , , , , , , , , , 
"CA-Let", "29340", "GRP_LAI", "LAI", "mean of 6 replicates", "0.55", , "Other", "LI-3100 Area Meter", "19990615", , , , , , , , , , , , 
"CA-Let", "29341", "GRP_LAI", "LAI", "mean of 6 replicates", "1.1", , "Other", "LI-3100 Area Meter", "20020820", , , , , , , , , , , , 
"CA-Let", "29342", "GRP_LAI", "LAI", "mean of 6 replicates", "0.47", , "Other", "LI-3100 Area Meter", "20030514", , , , , , , , , , , , 
"CA-Let", "29343", "GRP_LAI", "LAI", "mean of 6 replicates", "0.23", , "Other", "LI-3100 Area Meter", "20040519", , , , , , , , , , , , 
"CA-Let", "29344", "GRP_LAI", "LAI", "mean of 6 replicates", "0.51", , "Other", "LI-3100 Area Meter", "20050524", , , , , , , , , , , , 
"CA-Let", "29345", "GRP_LAI", "LAI", "mean of 6 replicates", "0.54", , "Other", "LI-3100 Area Meter", "20050929", , , , , , , , , , , , 
"CA-Let", "29346", "GRP_LAI", "LAI", "mean of 6 replicates", "0.88", , "Other", "LI-3100 Area Meter", "20060705", , , , , , , , , , , , 
"CA-Let", "29347", "GRP_LAI", "LAI", "mean of 6 replicates", "0.55", , "Other", "LI-3100 Area Meter", "20060731", , , , , , , , , , , , 
"CA-Let", "29554", "GRP_LAI", "LAI", "mean of 6 replicates", "0.44", , "Other", "LI-3100 Area Meter", "19990705", , , , , , , , , , , , 
"CA-Let", "29555", "GRP_LAI", "LAI", "mean of 6 replicates", "0.43", , "Other", "LI-3100 Area Meter", "20000612", , , , , , , , , , , , 
"CA-Let", "29556", "GRP_LAI", "LAI", "mean of 6 replicates", "0.13", , "Other", "LI-3100 Area Meter", "20000808", , , , , , , , , , , , 
"CA-Let", "29557", "GRP_LAI", "LAI", "mean of 6 replicates", "0.43", , "Other", "LI-3100 Area Meter", "20000529", , , , , , , , , , , , 
"CA-Let", "29558", "GRP_LAI", "LAI", "mean of 6 replicates", "0.08", , "Other", "LI-3100 Area Meter", "20020527", , , , , , , , , , , , 
"CA-Let", "29559", "GRP_LAI", "LAI", "mean of 6 replicates", "0.52", , "Other", "LI-3100 Area Meter", "20020618", , , , , , , , , , , , 
"CA-Let", "29560", "GRP_LAI", "LAI", "mean of 6 replicates", "0.09", , "Other", "LI-3100 Area Meter", "20040421", , , , , , , , , , , , 
"CA-Let", "29561", "GRP_LAI", "LAI", "mean of 6 replicates", "0.67", , "Other", "LI-3100 Area Meter", "20040723", , , , , , , , , , , , 
"CA-Let", "29562", "GRP_LAI", "LAI", "mean of 6 replicates", "0.36", , "Other", "LI-3100 Area Meter", "20040824", , , , , , , , , , , , 
"CA-Man", "25859", "GRP_LAI", "LAI", "Gower et al. (1997, J Geophy Res 102, 29029-29041)", "4.2", , , , "1994", , , , , , , , , , , , 
"CA-Man", "26251", "GRP_LAI", "LAI", "Gower et al. (1997, J Geophy Res 102, 29029-29041)", "4.8", , "Other", "LAI-3000 and TRAC", "2003", , , , , , , , , , , , 
"CA-Mer", "25829", "GRP_LAI", "LAI", "~220/1999; calculated from the leaf mass and density for individual species", "1.3", , "other", , "19990808", , , , , , , , , , , , 
"CA-Mer", "26208", "GRP_LAI", "LAI", "measrued followed Fluxnet-Canada protocol; also see Bubier et al. (2006, Can. J. Bot. 84, 910-23)", "1.2", , "LAI_2000", , "20030831", , , , , , , , , , , , 
"CA-Na1", "23891", "GRP_LAI", "LAI", "source:
Chen_et_al AFM_2006
", "8.4", , , , , , , , , , , , , , , , 
"CA-NS1", "24015", "GRP_LAI", "LAI", , "5.68", , , , , "0.52", , , , , , , , , , , 
"CA-NS2", "24917", "GRP_LAI", "LAI", , "7.8", , , , , "1.017", , , , , , , , , , , 
"CA-NS3", "24529", "GRP_LAI", "LAI", , "5.33", , , , , "4.481", , , , , , , , , , , 
"CA-NS5", "24403", "GRP_LAI", "LAI", , "5.49", , , , , "3.03", , , , , , , , , , , 
"CA-NS6", "24144", "GRP_LAI", "LAI", , "2.97", , , , , "2.755", , , , , , , , , , , 
"CA-NS7", "24530", "GRP_LAI", "LAI", , "1.36", , , , , "1.32", , , , , , , , , , , 
"CA-Oas", "27111", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=3", "2.22", "0.98", "other", , "19970606", , "0.01", , , , , , , , , , 
"CA-Oas", "27112", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=6", "2.13", "0.98", "other", , "19980611", , "0.54", , , , , , , , , , 
"CA-Oas", "27113", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=3", "3.04", "0.98", "other", , "20010831", , "0.01", , , , , , , , , , 
"CA-Oas", "27114", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=2", "0.23", "0.98", "other", , "20020604", , "0.02", , , , , , , , , , 
"CA-Oas", "27115", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=1", "2.52", "0.98", "other", , "20040803", , , , , , , , , , , , 
"CA-Oas", "27412", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=7", "2.47", "0.98", "other", , "19970904", , "0.26", , , , , , , , , , 
"CA-Oas", "27413", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=2", "2.02", "0.98", "other", , "20020618", , "0.04", , , , , , , , , , 
"CA-Oas", "27653", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=4", "2.15", "0.98", "other", , "19970612", , "0.59", , , , , , , , , , 
"CA-Oas", "27654", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=3", "2.55", "0.98", "other", , "19980820", , "0.25", , , , , , , , , , 
"CA-Oas", "27655", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=6", "2.43", "0.98", "other", , "20050726", , "0.32", , , , , , , , , , 
"CA-Oas", "27753", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=1", "0.09", "0.98", "other", , "19981008", , , , , , , , , , , , 
"CA-Oas", "27754", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=5", "0.87", "0.98", "other", , "19990507", , "0.01", , , , , , , , , , 
"CA-Oas", "27755", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=7", "1.71", "0.98", "other", , "19990527", , "0.07", , , , , , , , , , 
"CA-Oas", "27756", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=6", "2.72", "0.98", "other", , "19990730", , "0.05", , , , , , , , , , 
"CA-Oas", "28021", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=1", "1.93", "0.98", "other", , "19970812", , , , , , , , , , , , 
"CA-Oas", "28022", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=4", "1.97", "0.98", "other", , "19970906", , "0.11", , , , , , , , , , 
"CA-Oas", "28023", "GRP_LAI", "LAI", "LAI 2000 + TRAC, POTR5, n=2", "2.34", "0.98", "other", , "20020828", , "0.02", , , , , , , , , , 
