"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SPP_COMMENT", "SPP_O", "SPP_UNIT", "SPP_O_PERC", "SPP_APPROACH", "SPP_DATE", "SPP_O_PERC_SPATIAL_REP_NUMBER", "SPP_O_PERC_SPATIAL_VARIABILITY", "SPP_DATE_UNC", 
"CA-Let", "26328", "GRP_SPP_O", "Flanagan et al. (2002, Global Change Biology 8, 599-615)", "TRDU (NRCS plant code)", "Unknown", , , , , , , 
"CA-Man", "26639", "GRP_SPP_O", "Gower et al. (1997, J Geophy Res 102, 29029-29041)", "PIMA (NRCS plant code)", "Unknown", "90", , "1994", , , , 
"CA-Mer", "25704", "GRP_SPP_O", "Moore et al. (2002, Ecology 90, 25-36) (2007, Ecosystems 10,949-963)", "CHCA2 (NRCS plant code)", "Unknown", , , "2003", , , , 
"CA-Mer", "25705", "GRP_SPP_O", "Moore et al. (2002, Ecology 90, 25-36) (2007, Ecosystems 10,949-963)", "LEGL (NRCS plant code)", "Unknown", , , "2003", , , , 
"CA-Mer", "26592", "GRP_SPP_O", "Moore et al. (2002, Ecology 90, 25-36) (2007, Ecosystems 10,949-963)", "KAAN (NRCS plant code)", "Unknown", , , "2003", , , , 
"CA-Na1", "24947", "GRP_SPP_O", "is comprised of predominantly balsam fir of 32-37 years old; basal area is 26 m2/ha", "Balsam Fir (Abies balsamea)", "Unknown", , , , , , , 
"CA-NS1", "24296", "GRP_SPP_O", , "Picea mariana", "Unknown", , , , , , , 
"CA-NS2", "24175", "GRP_SPP_O", , "Picea mariana", "Unknown", , , , , , , 
"CA-NS3", "24422", "GRP_SPP_O", , "Jack Pine (Pinus banksiana), Black Spruce (Picea mariana)", "Unknown", , , , , , , 
"CA-NS5", "23922", "GRP_SPP_O", , "Jack Pine (Pinus banksiana)", "Unknown", , , , , , , 
"CA-NS6", "25067", "GRP_SPP_O", , "Rosa sp. Fireweed (Epibolium augustifolium); Labrador tea Ledum groenlandicum); Alder (Alnus crispa); Willow (Salix Spp)", "Unknown", , , , , , , 
"CA-NS7", "24176", "GRP_SPP_O", , "Rosa sp. Fireweed (Epibolium augustifolium); Labrador tea Ledum groenlandicum); Alder (Alnus crispa); Willow (Salix Spp)", "Unknown", , , , , , , 
"CA-Oas", "26586", "GRP_SPP_O", "measured followed Fluxnet-Canada protocol", "POTR5 (NRCS plant code)", "Unknown", "90", , , , , , 
"CA-Obs", "25328", "GRP_SPP_O", "followed Fluxnet-Canada protocol", "PIMA (NRCS plant code)", "Unknown", "100", , "2000", , , , 
"CA-Ojp", "26396", "GRP_SPP_O", "measured followed Fluxnet-Canada protocol", "PIBA2 (NRCS plant code)", "Unknown", "100", , "1999", , , , 
"CA-Qcu", "24185", "GRP_SPP_O", "black spruce (Picea mariana) and jack pine (Pinus banksiana) [regenerating], Vaccinium spp., Ledum groenlandicum, Kalmia angustifolia, moss.", "Picea mariana, Pinus banksiana, Vaccinium spp., Ledum groenlandicum, Kalmia angustifolia,", "Unknown", , , , , , , 
"CA-Qfo", "26001", "GRP_SPP_O", "measured followed Fluxnet-Canada protocol", "PIMA (NRCS plant code)", "Unknown", "90", , "2005", , , , 
"CA-SF1", "23923", "GRP_SPP_O", , "Jackpine (7m tall) and Black Spruce (2-3 m), regenerated after 1977 fire", "Unknown", , , , , , , 
"CA-SF2", "24423", "GRP_SPP_O", , "Young jackpine, black spruce, trembling poplar, balsam poplar, regenerated after 1989 fire", "Unknown", , , , , , , 
"CA-SF3", "24812", "GRP_SPP_O", , "Young jackpine, black spruce and trembling aspen following 1998 fire", "Unknown", , , , , , , 
"CA-SJ1", "26702", "GRP_SPP_O", "measured followed Fluxnet-Canada protocol", "PIBA2 (NRCS plant code)", "Unknown", "100", , "2005", , , , 
"CA-SJ2", "28992", "GRP_SPP_O", "refers to the percent of the ground cover. Measured followed Fluxnet-Canada protocol", "PIBA2 (NRCS plant code)", "Unknown", "8.9", , "20050513", , , , 
"CA-SJ3", "27904", "GRP_SPP_O", "measured followed Fluxnet-Canada protocol", "PIBA2 (NRCS plant code)", "Unknown", "100", , "2005", , , , 
"CA-TP1", "29467", "GRP_SPP_O", "inventory", "PIST (NRCS plant code)", "Unknown", "100", "Canadian national forest inventory protocol: full inventory of 3 plots (each 400m2)", "20041001", , , , 
"CA-TP2", "27910", "GRP_SPP_O", "inventory", "PIST (NRCS plant code)", "Unknown", "97", "Canadian national forest inventory protocol: full inventory of 3 plots (each 400m2)", "20040923", , , , 
"CA-TP3", "28285", "GRP_SPP_O", "inventory", "PIST (NRCS plant code)", "Unknown", "94", "Canadian national forest inventory protocol: full inventory of 3 plots (each 400m2)", "20040927", , , , 
"CA-TP4", "26165", "GRP_SPP_O", "inventory", "PIST (NRCS plant code)", "Unknown", "82", , "20040927", , , , 
"CA-WP1", "25742", "GRP_SPP_O", , "LALA (NRCS plant code)", "Unknown", , , , , , , 
"CA-WP1", "25743", "GRP_SPP_O", , "BEPU4 (NRCS plant code)", "Unknown", , , , , , , 
"CA-WP1", "25978", "GRP_SPP_O", , "PIMA (NRCS plant code)", "Unknown", , , , , , , 
"CA-WP2", "24555", "GRP_SPP_O", "
Poor Fen dominated by Sphagnum moss", "Sphagnum moss", "Unknown", , , , , , , 
"CA-WP3", "24424", "GRP_SPP_O", "Rich fen dominated by Carex lasiocarpa, with a ground layer of ‘brown mosses’", "Carex lasiocarpa, brown mosses", "Unknown", , , , , , , 
"CR-Lse", "24177", "GRP_SPP_O", "second growth, humid tropical rain forest.  5000 species of vascular plants, more than 700 species are trees", "second growth, humid tropical rain forest.  5000 species of vascular plants, more than 700 species are trees", "Unknown", , , , , , , 
"MX-Lpa", "24556", "GRP_SPP_O", "'Arid-tropical region, sarcocaulescent scrub, transition between the Nonoran desert of the northern peninsula and the tropical dry forest of the Sierra de La Laguna, 85% of vegetation includes is represented by dominant 7 species.", "Prosopis articulata, Fouguieria diguetti, Bursera microphylla, Cyrtocarpa edulis, Jatropha cinerea, Jatropha cuneata", "Unknown", , , , , , , 
"US-ARb", "23798", "GRP_SPP_O", , "PERENNIAL WARM SEASON GRASSES", "Unknown", , , , , , , 
"US-ARc", "24948", "GRP_SPP_O", , "PERENNIAL WARM SEASON GRASSES", "Unknown", , , , , , , 
"US-ARM", "24179", "GRP_SPP_O", , "wheat (2002,2003,2004,2006);     corn ( 2005)   soybeans (in 2006 soybeans were planted after wheat, rather than fallow)", "Unknown", , , , , , , 
"US-Atq", "24250", "GRP_SPP_O", , "ERVA4 (NRCS plant code)", "Unknown", "100", , , , , , 
"US-Bar", "27051", "GRP_SPP_O", "based on 12 FIA-style plots arrayed around the tower", "BEPA (NRCS plant code)", "Unknown", "9", "C.M. Hoover (Ed.). 2008. Field measurements for forest carbon monitoring: A landscape-scale approach. Springer, New York (in press).", , , , , 
"US-Bar", "27052", "GRP_SPP_O", "based on 12 FIA-style plots arrayed around the tower", "POGR4 (NRCS plant code)", "Unknown", , "C.M. Hoover (Ed.). 2008. Field measurements for forest carbon monitoring: A landscape-scale approach. Springer, New York (in press).", , , , , 
"US-Bar", "27349", "GRP_SPP_O", "based on 12 FIA-style plots arrayed around the tower", "FAGR (NRCS plant code)", "Unknown", "2", "C.M. Hoover (Ed.). 2008. Field measurements for forest carbon monitoring: A landscape-scale approach. Springer, New York (in press).", , , , , 
"US-Bar", "27966", "GRP_SPP_O", "based on 12 FIA-style plots arrayed around the tower", "ACRU (NRCS plant code)", "Unknown", "28", "C.M. Hoover (Ed.). 2008. Field measurements for forest carbon monitoring: A landscape-scale approach. Springer, New York (in press).", , , , , 
"US-Bar", "28577", "GRP_SPP_O", "based on 12 FIA-style plots arrayed around the tower", "TSCA (NRCS plant code)", "Unknown", "17", "C.M. Hoover (Ed.). 2008. Field measurements for forest carbon monitoring: A landscape-scale approach. Springer, New York (in press).", , , , , 
"US-Bar", "29513", "GRP_SPP_O", "based on 12 FIA-style plots arrayed around the tower", "BEAL2 (NRCS plant code)", "Unknown", "5", "C.M. Hoover (Ed.). 2008. Field measurements for forest carbon monitoring: A landscape-scale approach. Springer, New York (in press).", , , , , 
"US-Bkg", "25071", "GRP_SPP_O", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.brookings.01", "temperate grassland", "Unknown", , , , , , , 
"US-Blk", "24684", "GRP_SPP_O", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.blackhills_sd_ponderosa.01; Dominant species composition: Ponderosa pine", "Ponderosa pine", "Unknown", , , , , , , 
"US-Blo", "24186", "GRP_SPP_O", , "Ponderosa pine", "Unknown", , , , , , , 
"US-Bn1", "24562", "GRP_SPP_O", "black spruce                  homogeneous stands of black spruce (Picea mariana) with a mean canopy height of 4 m and a mean age of 80 yearThe sparse understory consisted primarily of shrubs (Ledum palustre, Vaccinium uliginosum, and V. vitis-idaea). The dominant ground cover species were feathermoss (Pleurozium schreberi and Rhytidium rugosum) and lichen (Cladonia spp. and Stereocaulon spp.).", "black spruce", "Unknown", , , , , , , 
"US-Bn2", "24679", "GRP_SPP_O", "deciduous aspen and willow (Populus tremuloides and Salix spp.).The sparse understory vegetation included shrubs (Salix spp., Ledum paustre, Rosa acicularis, Vaccinium uliginosum, and Vaccinium vitis-idaea), black spruce (Picea mariana), and grasses (Festuca spp. and Calamagrostis lapponica), separated by patches of moss in open areas (Polytrichum spp.).", "Populus tremuloides and Salix spp.", "Unknown", , , , , , , 
"US-Bn3", "24187", "GRP_SPP_O", "bunch grasses (Festuca altaica) and deciduous shrubs (<1m); Moss cover expanded in each consecutive year since the burn and consisted of Polytrichum and Ceratodon", "bunch grasses (Festuca altaica) and deciduous shrubs", "Unknown", , , , , , , 
"US-Bo1", "24680", "GRP_SPP_O", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.bondville.01", "Annual rotation between Corn (C4) - 2005, Soybeans (C3) - 2006", "Unknown", , , , , , , 
"US-Bo2", "25070", "GRP_SPP_O", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.bondville.02", "Annual rotation between Corn (C4) - 2004, Soybeans (C3) - 2005", "Unknown", , , , , , , 
"US-Brw", "24354", "GRP_SPP_O", , "ARFU2 (NRCS plant code)", "Unknown", , , , , , , 
"US-Brw", "24499", "GRP_SPP_O", , "CAAQ (NRCS plant code)", "Unknown", , , , , , , 
"US-Brw", "24887", "GRP_SPP_O", , "DUFI (NRCS plant code)", "Unknown", , , , , , , 
"US-Dk1", "29165", "GRP_SPP_O", "SCPH (FEAR3); variable; Festuca arundinacea Shreb. (tall fescue, i.e. Schedonorus phoenix [Scop.]) with mix of C3/C4 grasses and forbs. Composition variable depending on season, time since mow, and drought.", "SCPH (NRCS plant code)", "Unknown", , , , , , , 
"US-Dk2", "23737", "GRP_SPP_O", "Species composition spatially variable with respect to relatively wet and dry plots. For basal and sapwood area, see Oishi AC, Oren R, Stoy PC (2008) Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements. Measurements above come from: Pataki, D.E. and Oren, R., 2003. Species differences in stomatal control of water loss at the canopy scale in a mature bottomland deciduous forest. Advances in Water Resources, 26(12): 1267-1278.", "QUAL (NRCS plant code)", "Unknown", "5", , "1997", , , , 
"US-Dk2", "24115", "GRP_SPP_O", "Species composition spatially variable with respect to relatively wet and dry plots. For basal and sapwood area, see Oishi AC, Oren R, Stoy PC (2008) Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements. Measurements above come from: Pataki, D.E. and Oren, R., 2003. Species differences in stomatal control of water loss at the canopy scale in a mature bottomland deciduous forest. Advances in Water Resources, 26(12): 1267-1278.", "PITA (NRCS plant code)", "Unknown", "1", , "1997", , , , 
"US-Dk2", "24269", "GRP_SPP_O", "Species composition spatially variable with respect to relatively wet and dry plots. For basal and sapwood area, see Oishi AC, Oren R, Stoy PC (2008) Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements. Measurements above come from: Pataki, D.E. and Oren, R., 2003. Species differences in stomatal control of water loss at the canopy scale in a mature bottomland deciduous forest. Advances in Water Resources, 26(12): 1267-1278.", "CAAL27 (NRCS plant code)", "Unknown", "46", , "1997", , , , 
"US-Dk2", "24373", "GRP_SPP_O", "Species composition spatially variable with respect to relatively wet and dry plots. For basal and sapwood area, see Oishi AC, Oren R, Stoy PC (2008) Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements. Measurements above come from: Pataki, D.E. and Oren, R., 2003. Species differences in stomatal control of water loss at the canopy scale in a mature bottomland deciduous forest. Advances in Water Resources, 26(12): 1267-1278.", "LIST2 (NRCS plant code)", "Unknown", "15", , "1997", , , , 
"US-Dk2", "24906", "GRP_SPP_O", "Species composition spatially variable with respect to relatively wet and dry plots. For basal and sapwood area, see Oishi AC, Oren R, Stoy PC (2008) Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements. Measurements above come from: Pataki, D.E. and Oren, R., 2003. Species differences in stomatal control of water loss at the canopy scale in a mature bottomland deciduous forest. Advances in Water Resources, 26(12): 1267-1278.", "LITU (NRCS plant code)", "Unknown", "21", , "1997", , , , 
"US-Dk2", "24907", "GRP_SPP_O", "spatially variable;Species composition spatially variable with respect to relatively wet and dry plots. For basal and sapwood area, see Oishi AC, Oren R, Stoy PC (2008) Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements. Measurements above come from: Pataki, D.E. and Oren, R., 2003. Species differences in stomatal control of water loss at the canopy scale in a mature bottomland deciduous forest. Advances in Water Resources, 26(12): 1267-1278.", "QUMI (NRCS plant code)", "Unknown", , , "1997", , , , 
"US-Dk2", "25157", "GRP_SPP_O", "Species composition spatially variable with respect to relatively wet and dry plots. For basal and sapwood area, see Oishi AC, Oren R, Stoy PC (2008) Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements. Measurements above come from: Pataki, D.E. and Oren, R., 2003. Species differences in stomatal control of water loss at the canopy scale in a mature bottomland deciduous forest. Advances in Water Resources, 26(12): 1267-1278.", "ACRU (NRCS plant code)", "Unknown", "4", , "1997", , , , 
"US-Dk2", "25158", "GRP_SPP_O", "spatially variable, more prevalent in wet subplot; Species composition spatially variable with respect to relatively wet and dry plots. For basal and sapwood area, see Oishi AC, Oren R, Stoy PC (2008) Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements. Measurements above come from: Pataki, D.E. and Oren, R., 2003. Species differences in stomatal control of water loss at the canopy scale in a mature bottomland deciduous forest. Advances in Water Resources, 26(12): 1267-1278.", "QUPH (NRCS plant code)", "Unknown", , , "1997", , , , 
"US-Dk2", "26049", "GRP_SPP_O", "Species composition spatially variable with respect to relatively wet and dry plots. For basal and sapwood area, see Oishi AC, Oren R, Stoy PC (2008) Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements. Measurements above come from: Pataki, D.E. and Oren, R., 2003. Species differences in stomatal control of water loss at the canopy scale in a mature bottomland deciduous forest. Advances in Water Resources, 26(12): 1267-1278.", "CAGL8 (NRCS plant code)", "Unknown", "9", , "1997", , , , 
"US-Dk3", "27849", "GRP_SPP_O", "90% of basal area was Pinus taeda in 2002", "PITA (NRCS plant code)", "Unknown", "90", , "2002", , , , 
"US-Fmf", "27368", "GRP_SPP_O", "pinus ponderosa", "PIPO (NRCS plant code)", "Unknown", "95", , "2005", , , , 
"US-Fmf", "27987", "GRP_SPP_O", "quercus  gambelii", "QUGA (NRCS plant code)", "Unknown", "5", , "2005", , , , 
"US-FR2", "23926", "GRP_SPP_O", "Source: template", "Ashe juniper, Honey mesquite, King Ranch Bluestem", "Unknown", , , , , , , 
"US-Fuf", "27376", "GRP_SPP_O", "pinus ponderosa", "PIPO (NRCS plant code)", "Unknown", "95", , "2005", , , , 
"US-Fuf", "29533", "GRP_SPP_O", "quercus  gambelii", "QUGA (NRCS plant code)", "Unknown", "5", , "2005", , , , 
"US-Fwf", "27382", "GRP_SPP_O", "grasses, early successional shrubs and forbs; before the fire: pinus ponderosa", "(see comment)", "Unknown", "100", , , , , , 
"US-Goo", "23799", "GRP_SPP_O", "Source: http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.goodwin_creek.01", "temperate grassland", "Unknown", , , , , , , 
"US-Ha1", "17367", "GRP_SPP_O", "Overstory is >10 cm DBH.  Understory is 1-10 cm DBH.  Raw data and data descriptions are located at ftp.as.harvard.edu/pub/nigec/HU_Wofsy/hf_data/ecological_data.", "Betula alleghaniensis", "% Mass", "3.41", "estimates of mass are from diamater measurements scaled using allometric equations", "2010", "34", "6.59", , 
"US-Ha1", "17373", "GRP_SPP_O", , "Acer rubrum", "Unknown", "20.37", , "2010", "34", "14.78", , 
"US-Ha1", "17379", "GRP_SPP_O", , "Quercus rubra", "Unknown", "45.24", , "2010", "34", "25.99", , 
"US-Ha1", "17385", "GRP_SPP_O", , "Quercus velutina", "Unknown", "3.81", , "2010", "34", "9.31", , 
"US-Ha1", "17391", "GRP_SPP_O", , "Fagus grandifolia", "Unknown", "0.91", , "2010", "34", "1.82", , 
"US-Ha1", "17397", "GRP_SPP_O", , "Betula lenta", "Unknown", "1.5", , "2010", "34", "4.21", , 
"US-Ha1", "17403", "GRP_SPP_O", , "Pinus strobus", "Unknown", "4.11", , "2010", "34", "8.78", , 
"US-Ha1", "17409", "GRP_SPP_O", , "Prunus serotina", "Unknown", "3.05", , "2010", "34", "8.26", , 
"US-Ha1", "17415", "GRP_SPP_O", , "Fraxinus americana", "Unknown", "2.48", , "2010", "34", "8.96", , 
"US-Ha1", "17421", "GRP_SPP_O", , "Betula populifolia", "Unknown", "0.66", , "2010", "34", "3.27", , 
"US-Ha1", "17427", "GRP_SPP_O", , "Tsuga canadensis", "Unknown", "7.14", , "2010", "34", "13.86", , 
"US-Ha1", "17433", "GRP_SPP_O", , "Picea glauca", "Unknown", "0.74", , "2010", "34", "2.7", , 
"US-Ha1", "17439", "GRP_SPP_O", , "Acer pennsylvanicum", "Unknown", "0.03", , "2010", "34", "0.16", , 
"US-Ha1", "17445", "GRP_SPP_O", , "Betula papyrifera", "Unknown", "1.11", , "2010", "34", "5.28", , 
"US-Ha1", "17451", "GRP_SPP_O", , "Pinus resinosa", "Unknown", "5.44", , "2010", "34", "18.68", , 
"US-Ha1", "23689", "GRP_SPP_O", , "ACRU (NRCS plant code)", "Unknown", , , , , , , 
"US-Ha1", "23820", "GRP_SPP_O", , "QURU (NRCS plant code)", "Unknown", , , , , , , 
"US-Ha1", "23821", "GRP_SPP_O", , "TSCA (NRCS plant code)", "Unknown", , , , , , , 
"US-Ha2", "24558", "GRP_SPP_O", , "Tsuga canadensis", "Unknown", , , , , , , 
"US-Ho1", "23971", "GRP_SPP_O", , "PIRU (NRCS plant code)", "Unknown", "41", "FIA Inventory plots at 30 degree radii around tower with subplots located at 50, 100, 200, and 400 m distant from tower", "1998", , , , 
"US-Ho1", "25126", "GRP_SPP_O", , "TSCA (NRCS plant code)", "Unknown", "25", "FIA Inventory plots at 30 degree radii around tower with subplots located at 50, 100, 200, and 400 m distant from tower", "1998", , , , 
"US-Ho2", "24076", "GRP_SPP_O", , "PIRU (NRCS plant code)", "Unknown", "41", "FIA Inventory plots at 30 degree radii around tower with subplots located at 50, 100, 200, and 400 m distant from tower", "1998", , , , 
"US-Ho2", "24478", "GRP_SPP_O", , "TSCA (NRCS plant code)", "Unknown", "25", "FIA Inventory plots at 30 degree radii around tower with subplots located at 50, 100, 200, and 400 m distant from tower", "1998", , , , 
"US-Ho3", "23712", "GRP_SPP_O", , "TSCA (NRCS plant code)", "Unknown", "44", "FIA Inventory plots at 30 degree radii around tower with subplots located at 50, 100, 200, and 400m distance from tower (n=48)", "2005", , , , 
"US-Ho3", "24736", "GRP_SPP_O", , "PIRU (NRCS plant code)", "Unknown", "20", "FIA Inventory plots at 30 degree radii around tower with subplots located at 50, 100, 200, and 400m distance from tower (n=48)", "2005", , , , 
"US-Ho3", "26903", "GRP_SPP_O", , "ACRU (NRCS plant code)", "Unknown", , "FIA Inventory plots at 30 degree radii around tower with subplots located at 50, 100, 200, and 400m distance from tower (n=48)", "2005", , , , 
"US-HVa", "24563", "GRP_SPP_O", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.happy_valley.01", "Eriophorum vaginatum, Betula nana, Ledum palustre, Vaccinium vitis-idaea, Carex bigelowii, Salix pulchra", "Unknown", , , , , , , 
"US-IB1", "23853", "GRP_SPP_O", , "ZEMA (NRCS plant code)", "Unknown", , , "2007", , , , 
"US-IB1", "24096", "GRP_SPP_O", , "ZEMA (NRCS plant code)", "Unknown", , , "2005", , , , 
"US-IB1", "24500", "GRP_SPP_O", , "GLMA4 (NRCS plant code)", "Unknown", , , "2004", , , , 
"US-IB1", "24501", "GRP_SPP_O", , "GLMA4 (NRCS plant code)", "Unknown", , , "2006", , , , 
"US-IB2", "23854", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "RAP1 (NRCS plant code)", "Unknown", "4", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2008", , , , 
"US-IB2", "23855", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "MOF1 (NRCS plant code)", "Unknown", "4", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2008", , , , 
"US-IB2", "23989", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "ANGE (NRCS plant code)", "Unknown", "18", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2006", , , , 
"US-IB2", "23990", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "SCOA6 (NRCS plant code)", "Unknown", "75", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2008", , , , 
"US-IB2", "24103", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "SILA3 (NRCS plant code)", "Unknown", "10", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2003", , , , 
"US-IB2", "24255", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "MEAL12 (NRCS plant code)", "Unknown", "80", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2006", , , , 
"US-IB2", "24363", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "SIIN2 (NRCS plant code)", "Unknown", "10", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2003", , , , 
"US-IB2", "24364", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "MEAL12 (NRCS plant code)", "Unknown", "7", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2008", , , , 
"US-IB2", "24641", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "SOCA6 (NRCS plant code)", "Unknown", "18", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2006", , , , 
"US-IB2", "24759", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "ANGE (NRCS plant code)", "Unknown", "6", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2003", , , , 
"US-IB2", "24760", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "SONU2 (NRCS plant code)", "Unknown", "6", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2003", , , , 
