"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "LAND_OWNERSHIP", "LAND_OWNER", 
"US-JRn", "87880", "GRP_LAND_OWNERSHIP", "private", , 
"US-KFS", "30936", "GRP_LAND_OWNERSHIP", "public", "University of Kansas", 
"US-KL1", "14592", "GRP_LAND_OWNERSHIP", "Private", "Michigan State University", 
"US-KL2", "14617", "GRP_LAND_OWNERSHIP", "Private", "Michigan State University", 
"US-KL3", "14643", "GRP_LAND_OWNERSHIP", "Private", "Michigan State University", 
"US-KLS", "30941", "GRP_LAND_OWNERSHIP", "private", "The Land Institute", 
"US-KM1", "14669", "GRP_LAND_OWNERSHIP", "Private", "Mrs. Edythe Marshall", 
"US-KM2", "14695", "GRP_LAND_OWNERSHIP", "Private", "Mrs. Edythe Marshall", 
"US-KM3", "14722", "GRP_LAND_OWNERSHIP", "Private", "Mrs. Edythe Marshall", 
"US-KM4", "14750", "GRP_LAND_OWNERSHIP", "Private", "Mrs. Edythe Marshall", 
"US-KS1", "15543", "GRP_LAND_OWNERSHIP", "Public", "NASA", 
"US-KS2", "15567", "GRP_LAND_OWNERSHIP", "public", "NASA", 
"US-KS3", "79255", "GRP_LAND_OWNERSHIP", "public", "Managed as Wildlife Refuge USFWS and Owned by NASA", 
"US-KS4", "79902", "GRP_LAND_OWNERSHIP", "public", "Owned by NASA maaged by USFWS", 
"US-KUO", "11701", "GRP_LAND_OWNERSHIP", "private", , 
"US-KUT", "11761", "GRP_LAND_OWNERSHIP", "public", , 
"US-LA1", "85108", "GRP_LAND_OWNERSHIP", "private", "Apache Corporation", 
"US-LA2", "85136", "GRP_LAND_OWNERSHIP", "public", "Louisiana Dept. of Wildlife & Fisheries - Salvador Wildlife Management Area", 
"US-LA3", "85158", "GRP_LAND_OWNERSHIP", "private", "Apache Corporation", 
"US-LGr", "13010", "GRP_LAND_OWNERSHIP", "Private", "Private farmer", 
"US-LL1", "83554", "GRP_LAND_OWNERSHIP", "private", "Robert W. Woodruff Foundation", 
"US-LL2", "83583", "GRP_LAND_OWNERSHIP", "private", "Robert W. Woodruff Foundation", 
"US-LL3", "83601", "GRP_LAND_OWNERSHIP", "private", "Robert W. Woodruff Foundation", 
"US-Los", "15281", "GRP_LAND_OWNERSHIP", "public", "State of Wisconsin Department of Conservation and Natural Resources", 
"US-Me1", "6881", "GRP_LAND_OWNERSHIP", "Public", "Forest service", 
"US-Me2", "12965", "GRP_LAND_OWNERSHIP", "private", "Ponderosa Land & Cattle Timber Products, previously owned by Weyerhauser.", 
"US-Me3", "17278", "GRP_LAND_OWNERSHIP", "public", "Forest  Service", 
"US-Me4", "5214", "GRP_LAND_OWNERSHIP", "Public", "Forest Service", 
"US-Me5", "7743", "GRP_LAND_OWNERSHIP", "Private", "Ponderosa Land & Cattle Timber Products, previously owned by Weyerhauser.", 
"US-Me6", "11559", "GRP_LAND_OWNERSHIP", "private", , 
"US-Men", "33585", "GRP_LAND_OWNERSHIP", "public", "Land owned by UW-Madison", 
"US-Mj1", "29754", "GRP_LAND_OWNERSHIP", "private", , 
"US-Mj2", "29734", "GRP_LAND_OWNERSHIP", "private", , 
"US-MMS", "11720", "GRP_LAND_OWNERSHIP", "public", "Forestry Division/ DNR", 
"US-MOz", "17088", "GRP_LAND_OWNERSHIP", "public", "University of Missouri, Columbia, MO", 
"US-Mpj", "15436", "GRP_LAND_OWNERSHIP", "private", "Deer Canyon Preserve, Heritage Land Conservancy", 
"US-MRM", "30526", "GRP_LAND_OWNERSHIP", "private", "Williams TransCo", 
"US-MtB", "87258", "GRP_LAND_OWNERSHIP", "public", "United States Forest Service", 
"US-Myb", "11199", "GRP_LAND_OWNERSHIP", "public", "State of California", 
"US-NC1", "12824", "GRP_LAND_OWNERSHIP", "Private", "Weyerhaeuser Company", 
"US-NC2", "12853", "GRP_LAND_OWNERSHIP", "Private", "Weyerhaeuser Company", 
"US-NC3", "12882", "GRP_LAND_OWNERSHIP", "Private", "Weyerhaeuser Company", 
"US-NC4", "84748", "GRP_LAND_OWNERSHIP", "public", "US Fish and Wildlife Service, Alligator River National Wildlife Refuge", 
"US-Ne1", "3378", "GRP_LAND_OWNERSHIP", "Public", "University of Nebraska", 
"US-Ne2", "5933", "GRP_LAND_OWNERSHIP", "Public", "University of Nebraska", 
"US-Ne3", "808", "GRP_LAND_OWNERSHIP", "Public", "University of Nebraska", 
"US-NGB", "13258", "GRP_LAND_OWNERSHIP", "Private", "Native American Corporation. Owned by the Ukpeaġvik Iñupiat Corporation (UIC) and managed by UMIAQ, LLC, a subsidiary of UIC", 
"US-NGC", "79241", "GRP_LAND_OWNERSHIP", "private", "Council Native Corporation", 
"US-NR1", "11578", "GRP_LAND_OWNERSHIP", "public", "USDA Forest Service (Roosevelt National Forest)", 
"US-Nrf", "30910", "GRP_LAND_OWNERSHIP", "Public", "Billy Frank Jr. Nisqually National Wildlife Refuge", 
"US-Nrs", "30870", "GRP_LAND_OWNERSHIP", "Public", "Billy Frank Jr. Nisqually National Wildlife Refuge", 
"US-OF1", "30650", "GRP_LAND_OWNERSHIP", "private", , 
"US-OF2", "30631", "GRP_LAND_OWNERSHIP", "private", , 
"US-Oho", "12793", "GRP_LAND_OWNERSHIP", "Public", "The Meteroparks of Toledo Area", 
"US-ORv", "11218", "GRP_LAND_OWNERSHIP", "public", "The Ohio State University", 
"US-OWC", "14791", "GRP_LAND_OWNERSHIP", "public", "Managed as a cooperative partnership between NOAA and the Ohio Department of Natural Resources, Division of Wildlife", 
"US-PFa", "15236", "GRP_LAND_OWNERSHIP", "private", "Wisconsin Public Broadcasting.  Note that while the tower itself is on private land, most of the surrounding land is US Forest Service land (Chequamegon-Nicollet National Forest).  The flux footprint also includes state land and additional private land.", 
"US-PFb", "87417", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFc", "87440", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFd", "87463", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFe", "87486", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFf", "87509", "GRP_LAND_OWNERSHIP", "private", "Ann Wojcieszak", 
"US-PFg", "87519", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFh", "87559", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFi", "87582", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFj", "87605", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFk", "87624", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFL", "87638", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFm", "87670", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFn", "87693", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFo", "87716", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFp", "87739", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFq", "87790", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFr", "87767", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFs", "87808", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PFt", "87831", "GRP_LAND_OWNERSHIP", "public", "US Forest Service", 
"US-PHM", "30030", "GRP_LAND_OWNERSHIP", "public", "US  Fish and Wildlife Service", 
"US-PLM", "79852", "GRP_LAND_OWNERSHIP", "public", "US  Fish and Wildlife Service", 
"US-Pnp", "79407", "GRP_LAND_OWNERSHIP", "public", "Land owned by UW-Madison", 
"US-Prr", "11885", "GRP_LAND_OWNERSHIP", "private", "University of Alaska, Fairbanks", 
"US-PSH", "86797", "GRP_LAND_OWNERSHIP", "private", "Not public at this time", 
"US-PSL", "86775", "GRP_LAND_OWNERSHIP", "private", "Not public at this time", 
"US-RC3", "84903", "GRP_LAND_OWNERSHIP", "Public", "Washington State University", 
"US-RFE", "29950", "GRP_LAND_OWNERSHIP", "public", "National Wildlife Refuge (USFWS)", 
"US-RFW", "29967", "GRP_LAND_OWNERSHIP", "public", "National Wildlife Refuge (USFWS)", 
"US-Rls", "30709", "GRP_LAND_OWNERSHIP", "public", "USDI Bureau of Land Management", 
"US-Rms", "30612", "GRP_LAND_OWNERSHIP", "public", "USDI Bureau of Land Management", 
"US-Ro1", "14513", "GRP_LAND_OWNERSHIP", "public", "University of Minnesota", 
"US-Ro2", "14539", "GRP_LAND_OWNERSHIP", "public", "University of Minnesota", 
"US-Ro3", "14565", "GRP_LAND_OWNERSHIP", "public", "University of Minnesota", 
"US-Ro4", "14487", "GRP_LAND_OWNERSHIP", "public", "MN Department of Natural Resources", 
"US-Ro5", "30132", "GRP_LAND_OWNERSHIP", "public", "Minnesota Department of Natural Resources", 
"US-Ro6", "30158", "GRP_LAND_OWNERSHIP", "public", "Minnesota Department of Natural Resources", 
"US-Rpf", "85287", "GRP_LAND_OWNERSHIP", "public", "Poker Flat Research Range", 
"US-RRC", "79826", "GRP_LAND_OWNERSHIP", "Private", "Owned by Virginia Commonealth University", 
"US-Rwe", "88140", "GRP_LAND_OWNERSHIP", "public", "USDI Bureau of Land Management", 
"US-Rwf", "88127", "GRP_LAND_OWNERSHIP", "public", "USDI Bureau of Land Management", 
"US-Rws", "17071", "GRP_LAND_OWNERSHIP", "public", "USDI Bureau of Land Management", 
"US-SB1", "13241", "GRP_LAND_OWNERSHIP", "private", "Sweet Briar College", 
"US-SB2", "23552", "GRP_LAND_OWNERSHIP", "private", "Sweet Briar College", 
"US-SB3", "84631", "GRP_LAND_OWNERSHIP", "private", "Sweet Briar College", 
"US-SdH", "12275", "GRP_LAND_OWNERSHIP", "public", "University of Nebraska", 
"US-SDU", "13150", "GRP_LAND_OWNERSHIP", "private", "urban/private", 
"US-Seg", "15454", "GRP_LAND_OWNERSHIP", "public", "Sevilleta Fish and Wildlife Refuge", 
"US-Ses", "15472", "GRP_LAND_OWNERSHIP", "public", "Sevilleta Fish and Wildlife Refuge", 
"US-SHC", "33682", "GRP_LAND_OWNERSHIP", "public", "USFS", 
"US-Shd", "1118", "GRP_LAND_OWNERSHIP", "Private", "Francis K Murphy", 
"US-SHS", "30506", "GRP_LAND_OWNERSHIP", "private", "private", 
"US-Skr", "11905", "GRP_LAND_OWNERSHIP", "Public", "National Park Service, Dept. of Interior", 
"US-Slt", "13034", "GRP_LAND_OWNERSHIP", "public", "Brendan Byrne State Forest, leased to USFS", 
"US-Snd", "11237", "GRP_LAND_OWNERSHIP", "public", "State of California", 
"US-Sne", "30006", "GRP_LAND_OWNERSHIP", "public", "Ca Dept Water Resources", 
"US-Snf", "84780", "GRP_LAND_OWNERSHIP", "public", "California Department of Water Resources", 
"US-SO2", "15922", "GRP_LAND_OWNERSHIP", "private", "San Diego State University", 
"US-SO3", "15940", "GRP_LAND_OWNERSHIP", "private", "San Diego State University", 
"US-SO4", "15906", "GRP_LAND_OWNERSHIP", "private", "San Diego State University", 
"US-SP1", "1134", "GRP_LAND_OWNERSHIP", "Public", "University of Florida", 
"US-SP2", "304", "GRP_LAND_OWNERSHIP", "Private", "Private", 
"US-SP3", "8792", "GRP_LAND_OWNERSHIP", "Private", "Private", 
"US-SRC", "86651", "GRP_LAND_OWNERSHIP", "public", "University of Arizona", 
"US-SRG", "11848", "GRP_LAND_OWNERSHIP", "public", "University of Arizona College of Agriculture", 
"US-SRM", "11179", "GRP_LAND_OWNERSHIP", "public", "University of Arizona College of Agriculture", 
"US-Srr", "30954", "GRP_LAND_OWNERSHIP", "Public", "Solano Land Trust", 
"US-SSH", "30685", "GRP_LAND_OWNERSHIP", "public", "The Pennsylvania State University", 
"US-Sta", "12495", "GRP_LAND_OWNERSHIP", "public", "BLM", 
"US-StJ", "13289", "GRP_LAND_OWNERSHIP", "public", "State of Delaware", 
"US-StS", "30104", "GRP_LAND_OWNERSHIP", "private", "Hobcaw Barony: The Belle Baruch Foundation", 
"US-SuM", "13063", "GRP_LAND_OWNERSHIP", "private", , 
"US-SuS", "13082", "GRP_LAND_OWNERSHIP", "private", , 
"US-SuW", "13103", "GRP_LAND_OWNERSHIP", "private", , 
"US-Syv", "15316", "GRP_LAND_OWNERSHIP", "public", "USDA Forest Service.  Ottawa National Forest.", 
"US-SZ1", "85800", "GRP_LAND_OWNERSHIP", "private", "Ross Jordan", 
"US-SZ2", "85838", "GRP_LAND_OWNERSHIP", "private", "Ross Jordan", 
"US-SZ3", "85859", "GRP_LAND_OWNERSHIP", "private", "Ross Jordan", 
"US-Ton", "4332", "GRP_LAND_OWNERSHIP", "Private", "Mr. Tonzi", 
"US-Tur", "85304", "GRP_LAND_OWNERSHIP", "private", "Turner Enterprises, Inc.", 
"US-Tw1", "12564", "GRP_LAND_OWNERSHIP", "public", "California Department of Water Resources", 
"US-Tw2", "11268", "GRP_LAND_OWNERSHIP", "public", "California Department of Water Resources", 
"US-Tw3", "15356", "GRP_LAND_OWNERSHIP", "public", "California Department of Water Resources", 
"US-Tw4", "11307", "GRP_LAND_OWNERSHIP", "public", "State of California", 
"US-Tw5", "84628", "GRP_LAND_OWNERSHIP", "public", "California Department of Water Resources", 
"US-Twt", "11936", "GRP_LAND_OWNERSHIP", "Public", "Department of Water Resources", 
"US-Tx1", "86566", "GRP_LAND_OWNERSHIP", "public", "Stiles Farm Foundation", 
"US-Tx2", "79578", "GRP_LAND_OWNERSHIP", "public", "United States Department of Agriculture - Agricultural Research Service (USDA-ARS)", 
"US-Tx3", "86580", "GRP_LAND_OWNERSHIP", "public", "USDA-ARS", 
"US-Tx4", "79597", "GRP_LAND_OWNERSHIP", "public", "United States Department of Agriculture - Agricultural Research Service (USDA-ARS)", 
"US-Tx5", "79625", "GRP_LAND_OWNERSHIP", "public", "Texas A&M AgriLife Research", 
"US-Tx6", "79643", "GRP_LAND_OWNERSHIP", "public", , 
"US-Tx7", "79715", "GRP_LAND_OWNERSHIP", "public", "Stiles Farm Foundation", 
