"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "UTC_OFFSET", "UTC_OFFSET_COMMENT", "UTC_OFFSET_DATE_START", 
"CA-SJ1", "3640", "GRP_UTC_OFFSET", "-6", , , 
"CA-SJ2", "2782", "GRP_UTC_OFFSET", "-6", , , 
"CA-SJ3", "5340", "GRP_UTC_OFFSET", "-6", , , 
"CA-SMC", "81476", "GRP_UTC_OFFSET", "-7", , "201707181300", 
"CA-TP1", "12139", "GRP_UTC_OFFSET", "-5", , , 
"CA-TP2", "12171", "GRP_UTC_OFFSET", "-5", , , 
"CA-TP3", "12199", "GRP_UTC_OFFSET", "-5", , , 
"CA-TP4", "12231", "GRP_UTC_OFFSET", "-5", , , 
"CA-TPD", "12266", "GRP_UTC_OFFSET", "-5", , , 
"CA-TVC", "81509", "GRP_UTC_OFFSET", "-7", , "201304281030", 
"CA-WP1", "1063", "GRP_UTC_OFFSET", "-7", , , 
"CA-WP2", "1064", "GRP_UTC_OFFSET", "-7", , , 
"CA-WP3", "1932", "GRP_UTC_OFFSET", "-7", , , 
"CL-SDF", "30273", "GRP_UTC_OFFSET", "-4", , , 
"CL-SDP", "30250", "GRP_UTC_OFFSET", "-4", , , 
"CR-Fsc", "31099", "GRP_UTC_OFFSET", "0", "datasets is in UTC time which is +6h from CR local time all the year around", "201407022030", 
"CR-Lse", "33543", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"CR-Nmr", "31085", "GRP_UTC_OFFSET", "0", "datasets are in UTC time which is +6h from CR local time all the year around", "201407181830", 
"CR-SoC", "12542", "GRP_UTC_OFFSET", "-6", , "20140627", 
"MX-EMg", "85716", "GRP_UTC_OFFSET", "-8", , , 
"MX-Lpa", "6749", "GRP_UTC_OFFSET", "-7", , , 
"MX-PMm", "83426", "GRP_UTC_OFFSET", "-5", "Daylight saving time is not observed in Quintana Roo since 2014", , 
"PA-Bar", "772", "GRP_UTC_OFFSET", "5", , , 
"PE-QFR", "86034", "GRP_UTC_OFFSET", "-5", , , 
"PE-TNR", "85917", "GRP_UTC_OFFSET", "-5", , , 
"PR-xGU", "85624", "GRP_UTC_OFFSET", "-4", "Atlantic Standard Time (AST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"PR-xLA", "85600", "GRP_UTC_OFFSET", "-4", "Atlantic Standard Time (AST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-A03", "85025", "GRP_UTC_OFFSET", "-9", "Alaska Standard Time is UTC-9", , 
"US-A10", "85080", "GRP_UTC_OFFSET", "-9", "Alaska Standard Time is UTC-9", , 
"US-A32", "30068", "GRP_UTC_OFFSET", "-6", "Central Standard Time is UTC-6", , 
"US-A39", "85059", "GRP_UTC_OFFSET", "-6", "Central Standard Time is UTC-6", , 
"US-A74", "30083", "GRP_UTC_OFFSET", "-6", "Central Standard Time is UTC-6", , 
"US-Act", "81636", "GRP_UTC_OFFSET", "-5", , "201701131600", 
"US-ADR", "15389", "GRP_UTC_OFFSET", "-8", , , 
"US-Akn", "33611", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-ALQ", "83466", "GRP_UTC_OFFSET", "-6", , , 
"US-An1", "33612", "GRP_UTC_OFFSET", "-9", "Added by AMF data processing team for data QAQC checks.", , 
"US-An2", "33613", "GRP_UTC_OFFSET", "-9", "Added by AMF data processing team for data QAQC checks.", , 
"US-An3", "33614", "GRP_UTC_OFFSET", "-9", "Added by AMF data processing team for data QAQC checks.", , 
"US-AR1", "33615", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-AR2", "33616", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-ARb", "33617", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-ARc", "33618", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-ARM", "11143", "GRP_UTC_OFFSET", "-6", , , 
"US-ASH", "86824", "GRP_UTC_OFFSET", "-7", "Dataloggers kept in Pacific Daylight Time (GMT-7) year round", "201610121730", 
"US-ASL", "86768", "GRP_UTC_OFFSET", "-7", "Dataloggers kept in Pacific Daylight Time (GMT-7) year round", "201610041230", 
"US-ASM", "86752", "GRP_UTC_OFFSET", "-7", "Dataloggers kept in Pacific Daylight Time (GMT-7) year round", "201609271730", 
"US-Atq", "14896", "GRP_UTC_OFFSET", "-9", , , 
"US-Aud", "6179", "GRP_UTC_OFFSET", "-7", , , 
"US-Bar", "1073", "GRP_UTC_OFFSET", "-5", , , 
"US-BCM", "87884", "GRP_UTC_OFFSET", "-5", , , 
"US-BdA", "13323", "GRP_UTC_OFFSET", "-6", , , 
"US-BdC", "13341", "GRP_UTC_OFFSET", "-6", , , 
"US-Beo", "81613", "GRP_UTC_OFFSET", "-8", , , 
"US-Bes", "11836", "GRP_UTC_OFFSET", "-8", "Alaskan standard time", , 
"US-Bi1", "84726", "GRP_UTC_OFFSET", "-8", , , 
"US-Bi2", "31264", "GRP_UTC_OFFSET", "-8", , , 
"US-Bkg", "7891", "GRP_UTC_OFFSET", "-6", , , 
"US-Blk", "33544", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-Blo", "14403", "GRP_UTC_OFFSET", "-8", , , 
"US-Bn1", "7882", "GRP_UTC_OFFSET", "-9", , , 
"US-Bn2", "7000", "GRP_UTC_OFFSET", "-9", , , 
"US-Bn3", "2780", "GRP_UTC_OFFSET", "-9", , , 
"US-Bo1", "9598", "GRP_UTC_OFFSET", "-6", , , 
"US-Bo2", "7007", "GRP_UTC_OFFSET", "-6", , , 
"US-Br1", "33545", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-Br2", "33619", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-Br3", "33546", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-BRG", "30578", "GRP_UTC_OFFSET", "-5", "Monroe County utilizes daylight savings time(DST), however the tower clock is not set to observe DST", , 
"US-Brw", "14937", "GRP_UTC_OFFSET", "-9", , , 
"US-Bsg", "16096", "GRP_UTC_OFFSET", "0", , , 
"US-BSM", "31129", "GRP_UTC_OFFSET", "-5", , , 
"US-BZB", "87199", "GRP_UTC_OFFSET", "-9", "The -9 offset is for Alaska Standard Time.", , 
"US-BZF", "87209", "GRP_UTC_OFFSET", "-9", "The -9 offset is for Alaska Standard Time.", , 
"US-BZL", "87228", "GRP_UTC_OFFSET", "-9", "The -9 offset is for Alaska Standard Time.", , 
"US-BZo", "87282", "GRP_UTC_OFFSET", "-9", "The -9 offset is for Alaska Standard Time.", , 
"US-BZS", "87183", "GRP_UTC_OFFSET", "-9", "The -9 offset is for Alaska Standard Time.", , 
"US-CaV", "33620", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-CdM", "86837", "GRP_UTC_OFFSET", "-6", , "20190510", 
"US-Ced", "33621", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-CF1", "84819", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time", "20170511", 
"US-CF2", "84839", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time", "20170512", 
"US-CF3", "84859", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time", "20170602", 
"US-CF4", "84879", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time", "20170602", 
"US-ChR", "33622", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-Cms", "84703", "GRP_UTC_OFFSET", "-9", , , 
"US-Cop", "33623", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-CPk", "10224", "GRP_UTC_OFFSET", "-7", , "20090101", 
"US-CRT", "12780", "GRP_UTC_OFFSET", "-5", , , 
"US-CS1", "89940", "GRP_UTC_OFFSET", "-6", , , 
"US-CS2", "89939", "GRP_UTC_OFFSET", "-6", , , 
"US-CS3", "89938", "GRP_UTC_OFFSET", "-6", , , 
"US-Cst", "13225", "GRP_UTC_OFFSET", "-5", "central daylight time", , 
"US-Ctn", "33624", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-CZ1", "33547", "GRP_UTC_OFFSET", "-8", , , 
"US-CZ2", "33548", "GRP_UTC_OFFSET", "-8", , , 
"US-CZ3", "33549", "GRP_UTC_OFFSET", "-8", , , 
"US-CZ4", "33550", "GRP_UTC_OFFSET", "-8", , , 
"US-Dea", "11420", "GRP_UTC_OFFSET", "-8", , , 
"US-Deu", "11440", "GRP_UTC_OFFSET", "-8", , , 
"US-DFK", "87347", "GRP_UTC_OFFSET", "-6", , , 
"US-Dia", "11513", "GRP_UTC_OFFSET", "-8", "Timestamp is Pacific Standard Time", , 
"US-Dix", "33625", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-Dk1", "33626", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-Dk2", "33627", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-Dk3", "33628", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-DPP", "86921", "GRP_UTC_OFFSET", "-5", , , 
"US-DPW", "87287", "GRP_UTC_OFFSET", "-5", , "20130513", 
"US-EDN", "84721", "GRP_UTC_OFFSET", "-8", , , 
"US-Elm", "33629", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-EML", "33630", "GRP_UTC_OFFSET", "-9", "Added by AMF data processing team for data QAQC checks.", , 
"US-Esm", "33631", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-Fcr", "85263", "GRP_UTC_OFFSET", "-9", , , 
"US-Fmf", "33632", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-FPe", "5344", "GRP_UTC_OFFSET", "-6", , , 
"US-FR1", "33633", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-FR2", "7009", "GRP_UTC_OFFSET", "-6", , , 
"US-FR3", "33634", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-Fuf", "33635", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-Fwf", "33636", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-GBT", "33637", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-GCE", "86870", "GRP_UTC_OFFSET", "0", "data are collected and processed in UTC time", "201307091820", 
"US-GLE", "33638", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-GMF", "33639", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-Goo", "9608", "GRP_UTC_OFFSET", "-6", , , 
"US-GZ1", "85762", "GRP_UTC_OFFSET", "-8", , , 
"US-GZ2", "85813", "GRP_UTC_OFFSET", "-8", , , 
"US-GZ3", "85880", "GRP_UTC_OFFSET", "-8", , , 
"US-Ha1", "11973", "GRP_UTC_OFFSET", "-5", , , 
"US-Ha2", "12599", "GRP_UTC_OFFSET", "-5", , , 
"US-HB1", "79519", "GRP_UTC_OFFSET", "-5", , , 
"US-HB2", "79869", "GRP_UTC_OFFSET", "-5", , , 
"US-HB3", "86459", "GRP_UTC_OFFSET", "-5", , , 
"US-HBK", "81453", "GRP_UTC_OFFSET", "-5", , , 
"US-Hn1", "83534", "GRP_UTC_OFFSET", "-8", , , 
"US-Hn2", "83498", "GRP_UTC_OFFSET", "-8", , , 
"US-Hn3", "83515", "GRP_UTC_OFFSET", "-8", , , 
"US-Ho1", "11463", "GRP_UTC_OFFSET", "-5", , , 
"US-Ho2", "11497", "GRP_UTC_OFFSET", "-5", , , 
"US-Ho3", "11793", "GRP_UTC_OFFSET", "-5", , , 
"US-HPY", "30558", "GRP_UTC_OFFSET", "5", "offset never changed", , 
"US-HRA", "12939", "GRP_UTC_OFFSET", "-6", , , 
"US-HRC", "12957", "GRP_UTC_OFFSET", "-6", , , 
"US-HRP", "31151", "GRP_UTC_OFFSET", "-5", , , 
"US-HRS", "33640", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-HVa", "33641", "GRP_UTC_OFFSET", "-9", "Added by AMF data processing team for data QAQC checks.", , 
"US-HVs", "84652", "GRP_UTC_OFFSET", "-9", , , 
"US-IB1", "4449", "GRP_UTC_OFFSET", "-6", , , 
"US-IB2", "5335", "GRP_UTC_OFFSET", "-6", , , 
"US-ICh", "12081", "GRP_UTC_OFFSET", "-9", , , 
"US-ICs", "12101", "GRP_UTC_OFFSET", "-9", , , 
"US-ICt", "12121", "GRP_UTC_OFFSET", "-9", , , 
"US-Ivo", "14917", "GRP_UTC_OFFSET", "-9", , , 
"US-JLN", "85675", "GRP_UTC_OFFSET", "-5", "EST", "201803141110", 
"US-JLR", "85702", "GRP_UTC_OFFSET", "-5", "EST", "201803141110", 
"US-JRn", "87863", "GRP_UTC_OFFSET", "-5", , "201709300000", 
"US-KCM", "33642", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-KFB", "30933", "GRP_UTC_OFFSET", "-6", , , 
"US-KFS", "30935", "GRP_UTC_OFFSET", "-6", , , 
"US-KL1", "14605", "GRP_UTC_OFFSET", "-5", , , 
"US-KL2", "14630", "GRP_UTC_OFFSET", "-5", , , 
"US-KL3", "14656", "GRP_UTC_OFFSET", "-5", , , 
"US-KLS", "30940", "GRP_UTC_OFFSET", "-6", , , 
"US-KM1", "14682", "GRP_UTC_OFFSET", "-5", , , 
"US-KM2", "14708", "GRP_UTC_OFFSET", "-5", , , 
"US-KM3", "14735", "GRP_UTC_OFFSET", "-5", , , 
"US-KM4", "14763", "GRP_UTC_OFFSET", "-5", , , 
"US-Kon", "30942", "GRP_UTC_OFFSET", "-6", , , 
"US-KS1", "15554", "GRP_UTC_OFFSET", "-5.00", , , 
"US-KS2", "15579", "GRP_UTC_OFFSET", "-5.00", , , 
"US-KS3", "86923", "GRP_UTC_OFFSET", "-5", , "201712120000", 
"US-KS4", "79893", "GRP_UTC_OFFSET", "-5", , "20170418", 
"US-KUO", "11713", "GRP_UTC_OFFSET", "-6", , , 
"US-KUT", "11773", "GRP_UTC_OFFSET", "-6", , , 
"US-LA1", "85178", "GRP_UTC_OFFSET", "-6", , , 
"US-LA2", "85179", "GRP_UTC_OFFSET", "-6", , , 
"US-LA3", "85149", "GRP_UTC_OFFSET", "-6", , , 
"US-LGr", "13021", "GRP_UTC_OFFSET", "-5", , , 
"US-Lin", "33645", "GRP_UTC_OFFSET", "-8", "Added by AMF data processing team for data QAQC checks.", , 
"US-LL1", "83556", "GRP_UTC_OFFSET", "-5", , , 
"US-LL2", "83573", "GRP_UTC_OFFSET", "-5", , , 
"US-LL3", "83605", "GRP_UTC_OFFSET", "-5", , , 
"US-Los", "15293", "GRP_UTC_OFFSET", "-6", , , 
"US-LPH", "9609", "GRP_UTC_OFFSET", "-5", , , 
"US-LWW", "33646", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-Me1", "3644", "GRP_UTC_OFFSET", "-8", , , 
"US-Me2", "12976", "GRP_UTC_OFFSET", "-8", , , 
"US-Me3", "17297", "GRP_UTC_OFFSET", "-8", , , 
"US-Me4", "3645", "GRP_UTC_OFFSET", "-8", , , 
"US-Me5", "33647", "GRP_UTC_OFFSET", "-8", "Added by AMF data processing team for data QAQC checks.", , 
"US-Me6", "88165", "GRP_UTC_OFFSET", "-8", , , 
"US-Men", "81403", "GRP_UTC_OFFSET", "-6", , , 
"US-Mj1", "29766", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time", , 
"US-Mj2", "29746", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time", , 
"US-MMS", "11731", "GRP_UTC_OFFSET", "-5", , , 
"US-MOz", "17097", "GRP_UTC_OFFSET", "-6.00", , , 
"US-Mpj", "12395", "GRP_UTC_OFFSET", "-7", , , 
"US-Mpj", "15443", "GRP_UTC_OFFSET", "-7", , "200701010000", 
"US-MRf", "33648", "GRP_UTC_OFFSET", "-8", "Added by AMF data processing team for data QAQC checks.", , 
"US-MRM", "30538", "GRP_UTC_OFFSET", "5", "offset never changed", , 
"US-MtB", "87249", "GRP_UTC_OFFSET", "-7", , , 
"US-Myb", "11209", "GRP_UTC_OFFSET", "-8", , , 
"US-NC1", "12836", "GRP_UTC_OFFSET", "-5", , , 
"US-NC2", "12865", "GRP_UTC_OFFSET", "-5", , , 
"US-NC3", "12893", "GRP_UTC_OFFSET", "-5", , , 
"US-NC4", "12916", "GRP_UTC_OFFSET", "-5", , , 
"US-Ne1", "5336", "GRP_UTC_OFFSET", "-6", , , 
"US-Ne2", "9600", "GRP_UTC_OFFSET", "-6", , , 
"US-Ne3", "7002", "GRP_UTC_OFFSET", "-6", , , 
"US-NGB", "13268", "GRP_UTC_OFFSET", "-9", , , 
"US-NGC", "87882", "GRP_UTC_OFFSET", "-9", , , 
"US-NMj", "33649", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"US-NR1", "11590", "GRP_UTC_OFFSET", "-7", , , 
"US-NR2", "33650", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-Nrf", "30926", "GRP_UTC_OFFSET", "-8", , , 
"US-Nrs", "30884", "GRP_UTC_OFFSET", "-8", , , 
"US-OF1", "30662", "GRP_UTC_OFFSET", "-6", , , 
"US-OF2", "30643", "GRP_UTC_OFFSET", "-6", , , 
"US-Oho", "12804", "GRP_UTC_OFFSET", "-5", , , 
"US-ORv", "11230", "GRP_UTC_OFFSET", "-5", , , 
"US-OWC", "14801", "GRP_UTC_OFFSET", "-5", , , 
"US-PFa", "15247", "GRP_UTC_OFFSET", "-6", , , 
"US-PFb", "87420", "GRP_UTC_OFFSET", "-5", , , 
"US-PFc", "87443", "GRP_UTC_OFFSET", "-5", , , 
"US-PFd", "87466", "GRP_UTC_OFFSET", "-5", , , 
"US-PFe", "87489", "GRP_UTC_OFFSET", "-5", , , 
"US-PFf", "87512", "GRP_UTC_OFFSET", "-5", , , 
"US-PFg", "87522", "GRP_UTC_OFFSET", "-5", , , 
"US-PFh", "87562", "GRP_UTC_OFFSET", "-5", , , 
"US-PFi", "87528", "GRP_UTC_OFFSET", "-5", , , 
"US-PFj", "87608", "GRP_UTC_OFFSET", "-5", , , 
"US-PFk", "87627", "GRP_UTC_OFFSET", "-5", , , 
"US-PFL", "87637", "GRP_UTC_OFFSET", "-5", , , 
"US-PFm", "87673", "GRP_UTC_OFFSET", "-5", , , 
"US-PFn", "87696", "GRP_UTC_OFFSET", "-5", , , 
"US-PFo", "87719", "GRP_UTC_OFFSET", "-5", , , 
"US-PFp", "87742", "GRP_UTC_OFFSET", "-5", , , 
"US-PFq", "87793", "GRP_UTC_OFFSET", "-5", , , 
"US-PFr", "87770", "GRP_UTC_OFFSET", "-5", , , 
"US-PFs", "87811", "GRP_UTC_OFFSET", "-5", , , 
"US-PFt", "87834", "GRP_UTC_OFFSET", "-5", , , 
"US-PHM", "30044", "GRP_UTC_OFFSET", "-5", , , 
"US-PLM", "79866", "GRP_UTC_OFFSET", "-5", , , 
"US-Pnp", "81410", "GRP_UTC_OFFSET", "-6", , , 
"US-Pon", "33651", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-Prr", "11896", "GRP_UTC_OFFSET", "-9", , , 
"US-PSH", "86806", "GRP_UTC_OFFSET", "-7", "Dataloggers kept in Pacific Daylight Time (GMT-7) year round", "201610141730", 
"US-PSL", "86781", "GRP_UTC_OFFSET", "-7", "Dataloggers kept in Pacific Daylight Time (GMT-7) year round", "201608061230", 
"US-RC1", "84896", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time", "201108200000", 
"US-RC2", "84932", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time", "201206280000", 
"US-RC3", "84914", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time", "201110180000", 
"US-RC4", "84949", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time", "201207110000", 
"US-RC5", "84966", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time", "201306130000", 
"US-RFE", "29961", "GRP_UTC_OFFSET", "-7", , , 
"US-RFW", "29978", "GRP_UTC_OFFSET", "-7", , , 
"US-Rls", "30707", "GRP_UTC_OFFSET", "-7", , , 
"US-Rms", "30624", "GRP_UTC_OFFSET", "-7", , , 
"US-Ro1", "15841", "GRP_UTC_OFFSET", "-6", "Local: CST", "200305210000", 
"US-Ro2", "15867", "GRP_UTC_OFFSET", "-6", "local: CST", "200305210000", 
"US-Ro3", "14578", "GRP_UTC_OFFSET", "-6", "Local: CST", "200305210000", 
"US-Ro4", "14500", "GRP_UTC_OFFSET", "-6", "Local Time: CST", "201401100000", 
"US-Ro5", "30149", "GRP_UTC_OFFSET", "-6", "Local: CST", "200305210000", 
"US-Ro6", "30175", "GRP_UTC_OFFSET", "-6", "Local: CST", "200305210000", 
"US-Rpf", "85292", "GRP_UTC_OFFSET", "-9", , , 
"US-Rwe", "88145", "GRP_UTC_OFFSET", "-7", , , 
"US-Rwf", "88117", "GRP_UTC_OFFSET", "-7", , , 
"US-Rws", "17082", "GRP_UTC_OFFSET", "-7", , , 
"US-Sag", "84684", "GRP_UTC_OFFSET", "-9", , , 
"US-SB1", "13251", "GRP_UTC_OFFSET", "-5", "eastern standard time", , 
"US-SB2", "23566", "GRP_UTC_OFFSET", "-5", "eastern time", , 
"US-SB3", "84638", "GRP_UTC_OFFSET", "-5", "eastern time", , 
"US-SCc", "33570", "GRP_UTC_OFFSET", "-8", , , 
"US-SCd", "33571", "GRP_UTC_OFFSET", "-8", , , 
"US-SCf", "33572", "GRP_UTC_OFFSET", "-8", , , 
"US-SCg", "33573", "GRP_UTC_OFFSET", "-8", , , 
"US-SCs", "33574", "GRP_UTC_OFFSET", "-8", , , 
"US-SCw", "33575", "GRP_UTC_OFFSET", "-8", , , 
"US-SdH", "33652", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-SDU", "13161", "GRP_UTC_OFFSET", "-7", "All data have an MST  timestamp (-7 hours UTC/GMT).", , 
"US-Seg", "11630", "GRP_UTC_OFFSET", "-7", , , 
"US-Seg", "15461", "GRP_UTC_OFFSET", "-7", , "200701010000", 
