"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "MAT", "MAP", "CLIMATE_KOEPPEN", 
"US-ICh", "12065", "GRP_CLIM_AVG", "-7.4", "318", "ET", 
"US-ICs", "12085", "GRP_CLIM_AVG", "-7.4", "318", "ET", 
"US-ICt", "12105", "GRP_CLIM_AVG", "-7.4", "318", "ET", 
"US-Ivo", "14901", "GRP_CLIM_AVG", "-8.28", "304", "ET", 
"US-JLN", "85680", "GRP_CLIM_AVG", "13.1", "1120", "Cfa", 
"US-JLR", "85710", "GRP_CLIM_AVG", "13.1", "1120", "Cfa", 
"US-JRn", "87869", "GRP_CLIM_AVG", "13.2", "1095.5", "Cfa", 
"US-KCM", "33553", "GRP_CLIM_AVG", "6.4", "879", "Dfa", 
"US-KFB", "13167", "GRP_CLIM_AVG", "12.77", "867", "Cfa", 
"US-KFS", "11514", "GRP_CLIM_AVG", "12", "1014", "Cfa", 
"US-KL1", "14588", "GRP_CLIM_AVG", "9.9", "1027", "Dfa", 
"US-KL2", "14613", "GRP_CLIM_AVG", "9.9", "1027", "Dfa", 
"US-KL3", "14639", "GRP_CLIM_AVG", "9.9", "1027", "Dfa", 
"US-KLS", "13193", "GRP_CLIM_AVG", "12", "812", "Cfa", 
"US-KM1", "14665", "GRP_CLIM_AVG", "9.9", "1027", "Dfa", 
"US-KM2", "14691", "GRP_CLIM_AVG", "9.9", "1027", "Dfa", 
"US-KM3", "14718", "GRP_CLIM_AVG", "9.9", "1027", "Dfa", 
"US-KM4", "14746", "GRP_CLIM_AVG", "9.9", "1027", "Dfa", 
"US-Kon", "11529", "GRP_CLIM_AVG", "12.77", "867", "Cfa", 
"US-KS1", "15539", "GRP_CLIM_AVG", "21.90", "1266", "Cwa", 
"US-KS2", "15563", "GRP_CLIM_AVG", "21.66", "1294", "Cwa", 
"US-KS3", "79250", "GRP_CLIM_AVG", "22.3", "1340", "Cfa", 
"US-KS4", "79891", "GRP_CLIM_AVG", "22.3", "1340", "Cwa", 
"US-KUO", "11697", "GRP_CLIM_AVG", "7.9", "777", "Dfa", 
"US-KUT", "11757", "GRP_CLIM_AVG", "7.9", "777", "Dfa", 
"US-LA1", "85117", "GRP_CLIM_AVG", "20.7", "1625", "Cfa", 
"US-LA2", "85123", "GRP_CLIM_AVG", "20.2", "1655", "Cfa", 
"US-LA3", "85155", "GRP_CLIM_AVG", "20.9", "1623", "Cfa", 
"US-LGr", "13007", "GRP_CLIM_AVG", "15", "450", "BSh", 
"US-LL1", "83572", "GRP_CLIM_AVG", "20", "1310", "Cfa", 
"US-LL2", "83587", "GRP_CLIM_AVG", "20", "1310", "Cfa", 
"US-LL3", "83597", "GRP_CLIM_AVG", "20", "1310", "Cfa", 
"US-Los", "15278", "GRP_CLIM_AVG", "4.08", "828", "Dfb", 
"US-LPH", "1727", "GRP_CLIM_AVG", "6.73", "1071", "Dfb", 
"US-LWW", "8515", "GRP_CLIM_AVG", "16.09", "805.12", "Cfa", 
"US-Me1", "5127", "GRP_CLIM_AVG", "7.88", "704.61", "Csb", 
"US-Me2", "12962", "GRP_CLIM_AVG", "6.28", "523", "Csb", 
"US-Me3", "17275", "GRP_CLIM_AVG", "7.07", "719", "Csb", 
"US-Me4", "7671", "GRP_CLIM_AVG", "7.61", "1038.82", "Csb", 
"US-Me5", "1714", "GRP_CLIM_AVG", "6.47", "590.81", "Csb", 
"US-Me6", "11556", "GRP_CLIM_AVG", "7.5949137931", "494.34068966", "Csb", 
"US-Men", "33580", "GRP_CLIM_AVG", "7.94", "875", "Dfa", 
"US-Mj1", "29748", "GRP_CLIM_AVG", "6.6", "388", "Bsk", 
"US-Mj2", "29728", "GRP_CLIM_AVG", "6.6", "388", "Bsk", 
"US-MMS", "11717", "GRP_CLIM_AVG", "10.85", "1032", "Cfa", 
"US-MOz", "17085", "GRP_CLIM_AVG", "12.11", "986", "Cfa", 
"US-Mpj", "30374", "GRP_CLIM_AVG", "10.5", "385", "BSk", 
"US-MRf", "4228", "GRP_CLIM_AVG", "10.24", "1819.59", "Csb", 
"US-MRM", "30520", "GRP_CLIM_AVG", "13.5", "1120", "Cfa", 
"US-MtB", "87252", "GRP_CLIM_AVG", "9.3", "790", "Dwb", 
"US-Myb", "11196", "GRP_CLIM_AVG", "15.9", "338", "Csa", 
"US-NC1", "12820", "GRP_CLIM_AVG", "16.6", "1320", "Cfa", 
"US-NC2", "12849", "GRP_CLIM_AVG", "16.6", "1320", "Cfa", 
"US-NC3", "12878", "GRP_CLIM_AVG", "16.6", "1320", "Cfa", 
"US-NC4", "12900", "GRP_CLIM_AVG", "16.6", "1311", "Cfa", 
"US-Ne1", "3413", "GRP_CLIM_AVG", "10.07", "790.37", "Dfa", 
"US-Ne2", "4231", "GRP_CLIM_AVG", "10.08", "788.89", "Dfa", 
"US-Ne3", "5129", "GRP_CLIM_AVG", "10.11", "783.68", "Dfa", 
"US-NGB", "13255", "GRP_CLIM_AVG", "-11.27", "171", "ET", 
"US-NGC", "79236", "GRP_CLIM_AVG", , , "ET", 
"US-NMj", "8517", "GRP_CLIM_AVG", "4.73", "854.01", "Dfb", 
"US-NR1", "11574", "GRP_CLIM_AVG", "1.5", "800", "Dfc", 
"US-NR2", "5130", "GRP_CLIM_AVG", "0.43", "595.37", "Dfc", 
"US-Nrf", "30903", "GRP_CLIM_AVG", "10.3", "1269", "Csb", 
"US-Nrs", "30866", "GRP_CLIM_AVG", "10.3", "1269", "Csb", 
"US-OF1", "30645", "GRP_CLIM_AVG", "-16.3", "1277.1", "Cfa", 
"US-OF2", "30626", "GRP_CLIM_AVG", "-16.3", "1277.1", "Cfa", 
"US-Oho", "12789", "GRP_CLIM_AVG", "10.1", "849", "Dfa", 
"US-ORv", "11215", "GRP_CLIM_AVG", "11.63", "1499.1", "Cfa", 
"US-OWC", "14788", "GRP_CLIM_AVG", "10.7", "930", "Dfb", 
"US-PFa", "15233", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFb", "87421", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFc", "87444", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFd", "87467", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFe", "87490", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFf", "87513", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFg", "87523", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFh", "87563", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFi", "87529", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFj", "87586", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFk", "87628", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFL", "87634", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFm", "87674", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFn", "87697", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFo", "87720", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFp", "87743", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFq", "87794", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFr", "87771", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFs", "87812", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PFt", "87835", "GRP_CLIM_AVG", "4.33", "823", "Dfb", 
"US-PHM", "30023", "GRP_CLIM_AVG", "7.2", "1262", "Dfa", 
"US-PLM", "79846", "GRP_CLIM_AVG", "8.7", "1262", "Dfa", 
"US-Pnp", "79410", "GRP_CLIM_AVG", "7.94", "875", "Dfa", 
"US-Pon", "2587", "GRP_CLIM_AVG", "14.94", "866.34", "Cfa", 
"US-Prr", "11882", "GRP_CLIM_AVG", "-2", "275", "Dwc", 
"US-PSH", "86808", "GRP_CLIM_AVG", "15.6", "191", "Bsk", 
"US-PSL", "86776", "GRP_CLIM_AVG", "16.7", "311", "Bsk", 
"US-RC1", "84881", "GRP_CLIM_AVG", "9", "550", "Dsb", 
"US-RC2", "84916", "GRP_CLIM_AVG", "9", "550", "Dsb", 
"US-RC3", "84898", "GRP_CLIM_AVG", "10", "280", "Dsb", 
"US-RC4", "84934", "GRP_CLIM_AVG", "9", "680", "Dsb", 
"US-RC5", "84951", "GRP_CLIM_AVG", "11", "230", "Dsb", 
"US-RFE", "29945", "GRP_CLIM_AVG", "10.2", "468", "Bsk", 
"US-RFW", "29963", "GRP_CLIM_AVG", "10.2", "468", "Bsk", 
"US-Rls", "30716", "GRP_CLIM_AVG", "8.4", "333", "Bsh", 
"US-Rms", "30608", "GRP_CLIM_AVG", "5.4", "800", "Bsh", 
"US-Ro1", "14509", "GRP_CLIM_AVG", "6.4", "879", "Dfa", 
"US-Ro2", "14535", "GRP_CLIM_AVG", "6.4", "879", "Dfa", 
"US-Ro3", "14561", "GRP_CLIM_AVG", "6.4", "879", "Dfa", 
"US-Ro4", "14483", "GRP_CLIM_AVG", "6.4", "879", "Dfa", 
"US-Ro5", "30125", "GRP_CLIM_AVG", "6.4", "879", "Dfa", 
"US-Ro6", "30151", "GRP_CLIM_AVG", "6.4", "879", "Dfa", 
"US-Rpf", "85294", "GRP_CLIM_AVG", "-0.8", "450", "Dwc", 
"US-RRC", "79839", "GRP_CLIM_AVG", "15.4", "1117", "Dfa", 
"US-Rwe", "88143", "GRP_CLIM_AVG", "5.4", "800", "Bsh", 
"US-Rwf", "88130", "GRP_CLIM_AVG", "6.5", "505", "Bsh", 
"US-Rws", "17067", "GRP_CLIM_AVG", "8.9", "290", "Bsk", 
"US-Sag", "84756", "GRP_CLIM_AVG", "-8", "121", "Dfc", 
"US-SB1", "31005", "GRP_CLIM_AVG", "12.7", "1016", "Cfa", 
"US-SB2", "23547", "GRP_CLIM_AVG", "12.7", "1016", "Cfa", 
"US-SB3", "84642", "GRP_CLIM_AVG", "12.7", "1016", "Cfa", 
"US-SdH", "12271", "GRP_CLIM_AVG", , , "Dsb", 
"US-SDU", "13147", "GRP_CLIM_AVG", "10.04", "406", "Bsk", 
"US-Seg", "30400", "GRP_CLIM_AVG", "13.667", "273.304", "BSk", 
"US-Ses", "30425", "GRP_CLIM_AVG", "13.722", "275.082", "BSk", 
"US-SHC", "33674", "GRP_CLIM_AVG", "5.2", "850", "Csb", 
"US-Shd", "6805", "GRP_CLIM_AVG", "14.32", "897.91", "Cfa", 
"US-SHS", "30501", "GRP_CLIM_AVG", "13.5", "1120", "Cfa", 
"US-Skr", "11901", "GRP_CLIM_AVG", "23.77", "1259", "Cwa", 
"US-Slt", "13030", "GRP_CLIM_AVG", "11.04", "1138", "Dfa", 
"US-Snd", "11234", "GRP_CLIM_AVG", "15.6", "358", "Csa", 
"US-Sne", "30000", "GRP_CLIM_AVG", "16.09", "311", "Csa", 
"US-Snf", "84762", "GRP_CLIM_AVG", , , "Csa", 
"US-SO2", "15918", "GRP_CLIM_AVG", "13.63", "553", "Csa", 
"US-SO3", "15936", "GRP_CLIM_AVG", "13.29", "576", "Csa", 
"US-SO4", "15902", "GRP_CLIM_AVG", , , "Csa", 
"US-SP1", "6800", "GRP_CLIM_AVG", "20.06", "1309.77", "Cfa", 
"US-SP2", "3418", "GRP_CLIM_AVG", "20.07", "1314.41", "Cfa", 
"US-SP3", "5975", "GRP_CLIM_AVG", "20.25", "1312.35", "Cfa", 
"US-SP4", "37", "GRP_CLIM_AVG", "20", "1319.63", "Cfa", 
