"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "BASAL_AREA", "BASAL_AREA_DATE", "BASAL_AREA_SPATIAL_REP_NUMBER", "BASAL_AREA_SPATIAL_VARIABILITY", "BASAL_AREA_SPP", "BASAL_AREA_APPROACH", "BASAL_AREA_DATE_UNC", "BASAL_AREA_COMMENT", 
"US-Ha1", "17525", "GRP_BASAL_AREA", "0.66", "20061114", "34", "2.17", "Picea glauca", , , , 
"US-Ha1", "17528", "GRP_BASAL_AREA", "1.03", "20061114", "34", "1.56", "Betula alleghaniensis", , , , 
"US-Ha1", "17531", "GRP_BASAL_AREA", "0.85", "20071120", "34", "3.17", "Fraxinus americana", , , , 
"US-Ha1", "17534", "GRP_BASAL_AREA", "0.44", "20071120", "34", "1.16", "Betula lenta", , , , 
"US-Ha1", "17537", "GRP_BASAL_AREA", "0.31", "20071120", "34", "0.64", "Fagus grandifolia", , , , 
"US-Ha1", "17540", "GRP_BASAL_AREA", "1.02", "20071120", "34", "2.37", "Quercus velutina", , , , 
"US-Ha1", "17543", "GRP_BASAL_AREA", "0.94", "20071120", "34", "2.54", "Prunus serotina", , , , 
"US-Ha1", "17546", "GRP_BASAL_AREA", "0.18", "20071120", "34", "0.92", "Betula populifolia", , , , 
"US-Ha1", "17549", "GRP_BASAL_AREA", "4.83", "20071120", "34", "9.81", "Tsuga canadensis", , , , 
"US-Ha1", "17552", "GRP_BASAL_AREA", "7.86", "20071120", "34", "4.6", "Acer rubrum", , , , 
"US-Ha1", "17555", "GRP_BASAL_AREA", "13.46", "20071120", "34", "10.63", "Quercus rubra", , , , 
"US-Ha1", "17558", "GRP_BASAL_AREA", "2.78", "20071120", "34", "9.33", "Pinus resinosa", , , , 
"US-Ha1", "17561", "GRP_BASAL_AREA", "0.02", "20071120", "34", "0.12", "Acer pennsylvanicum", , , , 
"US-Ha1", "17564", "GRP_BASAL_AREA", "0.18", "20071120", "34", "0.72", "Betula papyrifera", , , , 
"US-Ha1", "17567", "GRP_BASAL_AREA", "2.33", "20071120", "34", "4.79", "Pinus strobus", , , , 
"US-Ha1", "17570", "GRP_BASAL_AREA", "0.67", "20071120", "34", "2.17", "Picea glauca", , , , 
"US-Ha1", "17573", "GRP_BASAL_AREA", "1.05", "20071120", "34", "1.57", "Betula alleghaniensis", , , , 
"US-Ha1", "17576", "GRP_BASAL_AREA", "0.86", "20081120", "34", "3.2", "Fraxinus americana", , , , 
"US-Ha1", "17579", "GRP_BASAL_AREA", "0.45", "20081120", "34", "1.17", "Betula lenta", , , , 
"US-Ha1", "17582", "GRP_BASAL_AREA", "0.32", "20081120", "34", "0.65", "Fagus grandifolia", , , , 
"US-Ha1", "17585", "GRP_BASAL_AREA", "1.04", "20081120", "34", "2.41", "Quercus velutina", , , , 
"US-Ha1", "17588", "GRP_BASAL_AREA", "0.93", "20081120", "34", "2.56", "Prunus serotina", , , , 
"US-Ha1", "17591", "GRP_BASAL_AREA", "0.18", "20081120", "34", "0.93", "Betula populifolia", , , , 
"US-Ha1", "17594", "GRP_BASAL_AREA", "4.9", "20081120", "34", "9.91", "Tsuga canadensis", , , , 
"US-Ha1", "17597", "GRP_BASAL_AREA", "7.87", "20081120", "34", "4.69", "Acer rubrum", , , , 
"US-Ha1", "17600", "GRP_BASAL_AREA", "13.55", "20081120", "34", "10.39", "Quercus rubra", , , , 
"US-Ha1", "17603", "GRP_BASAL_AREA", "2.8", "20081120", "34", "9.39", "Pinus resinosa", , , , 
"US-Ha1", "17606", "GRP_BASAL_AREA", "0.02", "20081120", "34", "0.13", "Acer pennsylvanicum", , , , 
"US-Ha1", "17609", "GRP_BASAL_AREA", "0.18", "20081120", "34", "0.72", "Betula papyrifera", , , , 
"US-Ha1", "17612", "GRP_BASAL_AREA", "2.37", "20081120", "34", "4.86", "Pinus strobus", , , , 
"US-Ha1", "17615", "GRP_BASAL_AREA", "0.67", "20081120", "34", "2.18", "Picea glauca", , , , 
"US-Ha1", "17618", "GRP_BASAL_AREA", "1.06", "20081120", "34", "1.58", "Betula alleghaniensis", , , , 
"US-Ha1", "17621", "GRP_BASAL_AREA", "0.87", "20091201", "34", "3.23", "Fraxinus americana", , , , 
"US-Ha1", "17624", "GRP_BASAL_AREA", "0.45", "20091201", "34", "1.18", "Betula lenta", , , , 
"US-Ha1", "17627", "GRP_BASAL_AREA", "0.34", "20091201", "34", "0.66", "Fagus grandifolia", , , , 
"US-Ha1", "17630", "GRP_BASAL_AREA", "1.06", "20091201", "34", "2.45", "Quercus velutina", , , , 
"US-Ha1", "17633", "GRP_BASAL_AREA", "0.93", "20091201", "34", "2.58", "Prunus serotina", , , , 
"US-Ha1", "17636", "GRP_BASAL_AREA", "0.18", "20091201", "34", "0.94", "Betula populifolia", , , , 
"US-Ha1", "17639", "GRP_BASAL_AREA", "5.01", "20091201", "34", "10.03", "Tsuga canadensis", , , , 
"US-Ha1", "17642", "GRP_BASAL_AREA", "7.87", "20091201", "34", "4.75", "Acer rubrum", , , , 
"US-Ha1", "17645", "GRP_BASAL_AREA", "13.74", "20091201", "34", "10.45", "Quercus rubra", , , , 
"US-Ha1", "17648", "GRP_BASAL_AREA", "2.8", "20091201", "34", "9.4", "Pinus resinosa", , , , 
"US-Ha1", "17651", "GRP_BASAL_AREA", "0.02", "20091201", "34", "0.13", "Acer pennsylvanicum", , , , 
"US-Ha1", "17654", "GRP_BASAL_AREA", "0.18", "20091201", "34", "0.73", "Betula papyrifera", , , , 
"US-Ha1", "17657", "GRP_BASAL_AREA", "2.32", "20091201", "34", "4.84", "Pinus strobus", , , , 
"US-Ha1", "17660", "GRP_BASAL_AREA", "0.62", "20091201", "34", "2", "Picea glauca", , , , 
"US-Ha1", "17663", "GRP_BASAL_AREA", "1.06", "20091201", "34", "1.61", "Betula alleghaniensis", , , , 
"US-Ha1", "17666", "GRP_BASAL_AREA", "0.85", "20101207", "34", "3.2", "Fraxinus americana", , , , 
"US-Ha1", "17669", "GRP_BASAL_AREA", "0.46", "20101207", "34", "1.19", "Betula lenta", , , , 
"US-Ha1", "17672", "GRP_BASAL_AREA", "0.36", "20101207", "34", "0.68", "Fagus grandifolia", , , , 
"US-Ha1", "17675", "GRP_BASAL_AREA", "1.09", "20101207", "34", "2.51", "Quercus velutina", , , , 
"US-Ha1", "17678", "GRP_BASAL_AREA", "0.89", "20101207", "34", "2.59", "Prunus serotina", , , , 
"US-Ha1", "17681", "GRP_BASAL_AREA", "0.15", "20101207", "34", "0.73", "Betula populifolia", , , , 
"US-Ha1", "17684", "GRP_BASAL_AREA", "5.08", "20101207", "34", "10.15", "Tsuga canadensis", , , , 
"US-Ha1", "17687", "GRP_BASAL_AREA", "7.93", "20101207", "34", "4.78", "Acer rubrum", , , , 
"US-Ha1", "17690", "GRP_BASAL_AREA", "14.03", "20101207", "34", "10.68", "Quercus rubra", , , , 
"US-Ha1", "17693", "GRP_BASAL_AREA", "2.73", "20101207", "34", "9.3", "Pinus resinosa", , , , 
"US-Ha1", "17696", "GRP_BASAL_AREA", "0.02", "20101207", "34", "0.13", "Acer pennsylvanicum", , , , 
"US-Ha1", "17699", "GRP_BASAL_AREA", "0.18", "20101207", "34", "0.73", "Betula papyrifera", , , , 
"US-Ha1", "17702", "GRP_BASAL_AREA", "2.35", "20101207", "34", "4.89", "Pinus strobus", , , , 
"US-Ha1", "17705", "GRP_BASAL_AREA", "0.56", "20101207", "34", "1.98", "Picea glauca", , , , 
"US-Ha1", "17708", "GRP_BASAL_AREA", "1.05", "20101207", "34", "1.62", "Betula alleghaniensis", , , , 
"US-Ha1", "17711", "GRP_BASAL_AREA", "0.87", "20111201", "34", "3.25", "Fraxinus americana", , , , 
"US-Ha1", "17714", "GRP_BASAL_AREA", "0.48", "20111201", "34", "1.22", "Betula lenta", , , , 
"US-Ha1", "17717", "GRP_BASAL_AREA", "0.39", "20111201", "34", "0.7", "Fagus grandifolia", , , , 
"US-Ha1", "17720", "GRP_BASAL_AREA", "1.11", "20111201", "34", "2.54", "Quercus velutina", , , , 
"US-Ha1", "17723", "GRP_BASAL_AREA", "0.9", "20111201", "34", "2.61", "Prunus serotina", , , , 
"US-Ha1", "17726", "GRP_BASAL_AREA", "0.15", "20111201", "34", "0.73", "Betula populifolia", , , , 
"US-Ha1", "17729", "GRP_BASAL_AREA", "5.23", "20111201", "34", "10.28", "Tsuga canadensis", , , , 
"US-Ha1", "17732", "GRP_BASAL_AREA", "7.97", "20111201", "34", "4.84", "Acer rubrum", , , , 
"US-Ha1", "17735", "GRP_BASAL_AREA", "14.23", "20111201", "34", "10.8", "Quercus rubra", , , , 
"US-Ha1", "17738", "GRP_BASAL_AREA", "2.75", "20111201", "34", "9.35", "Pinus resinosa", , , , 
"US-Ha1", "17741", "GRP_BASAL_AREA", "0.02", "20111201", "34", "0.13", "Acer pennsylvanicum", , , , 
"US-Ha1", "17744", "GRP_BASAL_AREA", "0.18", "20111201", "34", "0.74", "Betula papyrifera", , , , 
"US-Ha1", "17747", "GRP_BASAL_AREA", "2.31", "20111201", "34", "4.75", "Pinus strobus", , , , 
"US-Ha1", "17750", "GRP_BASAL_AREA", "0.53", "20111201", "34", "1.89", "Picea glauca", , , , 
"US-Ha1", "17753", "GRP_BASAL_AREA", "1.04", "20111201", "34", "1.64", "Betula alleghaniensis", , , , 
"US-Ha1", "17756", "GRP_BASAL_AREA", "0.87", "20121204", "34", "3.25", "Fraxinus americana", , , , 
"US-Ha1", "17759", "GRP_BASAL_AREA", "0.48", "20121204", "34", "1.22", "Betula lenta", , , , 
"US-Ha1", "17762", "GRP_BASAL_AREA", "0.36", "20121204", "34", "0.69", "Fagus grandifolia", , , , 
"US-Ha1", "17765", "GRP_BASAL_AREA", "1.13", "20121204", "34", "2.58", "Quercus velutina", , , , 
"US-Ha1", "17768", "GRP_BASAL_AREA", "0.9", "20121204", "34", "2.62", "Prunus serotina", , , , 
"US-Ha1", "17771", "GRP_BASAL_AREA", "0.15", "20121204", "34", "0.73", "Betula populifolia", , , , 
"US-Ha1", "17774", "GRP_BASAL_AREA", "5.35", "20121204", "34", "10.4", "Tsuga canadensis", , , , 
"US-Ha1", "17777", "GRP_BASAL_AREA", "7.97", "20121204", "34", "4.85", "Acer rubrum", , , , 
"US-Ha1", "17780", "GRP_BASAL_AREA", "14.44", "20121204", "34", "10.97", "Quercus rubra", , , , 
"US-Ha1", "17783", "GRP_BASAL_AREA", "2.76", "20121204", "34", "9.4", "Pinus resinosa", , , , 
"US-Ha1", "17786", "GRP_BASAL_AREA", "0.01", "20121204", "34", "0.06", "Acer pennsylvanicum", , , , 
"US-Ha1", "17789", "GRP_BASAL_AREA", "0.18", "20121204", "34", "0.74", "Betula papyrifera", , , , 
"US-Ha1", "17792", "GRP_BASAL_AREA", "2.26", "20121204", "34", "4.79", "Pinus strobus", , , , 
"US-Ha1", "17795", "GRP_BASAL_AREA", "0.38", "20121204", "34", "1.36", "Picea glauca", , , , 
"US-Ha1", "17798", "GRP_BASAL_AREA", "1.04", "20121204", "34", "1.67", "Betula alleghaniensis", , , , 
"US-Ha1", "17801", "GRP_BASAL_AREA", "0.89", "20131212", "34", "3.31", "Fraxinus americana", , , , 
"US-Ha1", "17804", "GRP_BASAL_AREA", "0.52", "20131212", "34", "1.29", "Betula lenta", , , , 
"US-Ha1", "17807", "GRP_BASAL_AREA", "0.37", "20131212", "34", "0.72", "Fagus grandifolia", , , , 
"US-Ha1", "17810", "GRP_BASAL_AREA", "1.15", "20131212", "34", "2.63", "Quercus velutina", , , , 
"US-Ha1", "17813", "GRP_BASAL_AREA", "0.91", "20131212", "34", "2.65", "Prunus serotina", , , , 
"US-Ha1", "17816", "GRP_BASAL_AREA", "0.15", "20131212", "34", "0.75", "Betula populifolia", , , , 
"US-Ha1", "17819", "GRP_BASAL_AREA", "5.61", "20131212", "34", "10.67", "Tsuga canadensis", , , , 
"US-Ha1", "17822", "GRP_BASAL_AREA", "8.21", "20131212", "34", "5.01", "Acer rubrum", , , , 
"US-Ha1", "17825", "GRP_BASAL_AREA", "14.7", "20131212", "34", "11.11", "Quercus rubra", , , , 
"US-Ha1", "17828", "GRP_BASAL_AREA", "2.82", "20131212", "34", "9.59", "Pinus resinosa", , , , 
"US-Ha1", "17831", "GRP_BASAL_AREA", "0.01", "20131212", "34", "0.07", "Acer pennsylvanicum", , , , 
"US-Ha1", "17834", "GRP_BASAL_AREA", "0.18", "20131212", "34", "0.75", "Betula papyrifera", , , , 
"US-Ha1", "17837", "GRP_BASAL_AREA", "2.32", "20131212", "34", "4.88", "Pinus strobus", , , , 
"US-Ha1", "17840", "GRP_BASAL_AREA", "0.36", "20131212", "34", "1.26", "Picea glauca", , , , 
"US-Ha1", "17843", "GRP_BASAL_AREA", "1.1", "20131212", "34", "1.75", "Betula alleghaniensis", , , , 
"US-Ha1", "17849", "GRP_BASAL_AREA", "0.39", "19991027", "34", "1.07", "Betula lenta", , , , 
"US-Ha1", "17853", "GRP_BASAL_AREA", "0.2", "19991027", "34", "0.5", "Fagus grandifolia", , , , 
"US-Ha1", "17857", "GRP_BASAL_AREA", "0.92", "19991027", "34", "2.08", "Quercus velutina", , , , 
"US-Ha1", "17861", "GRP_BASAL_AREA", "0.95", "19991027", "34", "2.48", "Prunus serotina", , , , 
"US-Ha1", "17865", "GRP_BASAL_AREA", "0.27", "19991027", "34", "1.45", "Betula populifolia", , , , 
"US-Ha1", "17869", "GRP_BASAL_AREA", "4.21", "19991027", "34", "9", "Tsuga canadensis", , , , 
"US-Ha1", "17873", "GRP_BASAL_AREA", "8.08", "19991027", "34", "4.66", "Acer rubrum", , , , 
"US-Ha1", "17877", "GRP_BASAL_AREA", "11.94", "19991027", "34", "9.55", "Quercus rubra", , , , 
"US-Ha1", "17881", "GRP_BASAL_AREA", "2.72", "19991027", "34", "9.04", "Pinus resinosa", , , , 
"US-Ha1", "17885", "GRP_BASAL_AREA", "0.05", "19991027", "34", "0.22", "Acer pennsylvanicum", , , , 
"US-Ha1", "17889", "GRP_BASAL_AREA", "0.29", "19991027", "34", "0.74", "Betula papyrifera", , , , 
"US-Ha1", "17893", "GRP_BASAL_AREA", "2.15", "19991027", "34", "4.35", "Pinus strobus", , , , 
"US-Ha1", "17897", "GRP_BASAL_AREA", "0.67", "19991027", "34", "2.21", "Picea glauca", , , , 
"US-Ha1", "17901", "GRP_BASAL_AREA", "1.07", "19991027", "34", "1.5", "Betula alleghaniensis", , , , 
"US-Ha1", "17905", "GRP_BASAL_AREA", "0.85", "20001024", "34", "3.35", "Fraxinus americana", , , , 
"US-Ha1", "17909", "GRP_BASAL_AREA", "0.37", "20001024", "34", "1.07", "Betula lenta", , , , 
"US-Ha1", "17913", "GRP_BASAL_AREA", "0.2", "20001024", "34", "0.51", "Fagus grandifolia", , , , 
"US-Ha1", "17917", "GRP_BASAL_AREA", "0.93", "20001024", "34", "2.11", "Quercus velutina", , , , 
"US-Ha1", "17921", "GRP_BASAL_AREA", "0.95", "20001024", "34", "2.5", "Prunus serotina", , , , 
"US-Ha1", "17925", "GRP_BASAL_AREA", "0.27", "20001024", "34", "1.46", "Betula populifolia", , , , 
"US-Ha1", "17929", "GRP_BASAL_AREA", "4.2", "20001024", "34", "9.01", "Tsuga canadensis", , , , 
"US-Ha1", "17933", "GRP_BASAL_AREA", "8.22", "20001024", "34", "4.75", "Acer rubrum", , , , 
"US-Ha1", "17937", "GRP_BASAL_AREA", "12.1", "20001024", "34", "9.66", "Quercus rubra", , , , 
"US-Ha1", "17941", "GRP_BASAL_AREA", "2.73", "20001024", "34", "9.09", "Pinus resinosa", , , , 
"US-Ha1", "17945", "GRP_BASAL_AREA", "0.06", "20001024", "34", "0.32", "Acer pennsylvanicum", , , , 
"US-Ha1", "17949", "GRP_BASAL_AREA", "0.29", "20001024", "34", "0.74", "Betula papyrifera", , , , 
"US-Ha1", "17953", "GRP_BASAL_AREA", "2.14", "20001024", "34", "4.36", "Pinus strobus", , , , 
"US-Ha1", "17956", "GRP_BASAL_AREA", "0.67", "20001024", "34", "2.21", "Picea glauca", , , , 
"US-Ha1", "17960", "GRP_BASAL_AREA", "1.14", "20001024", "34", "1.57", "Betula alleghaniensis", , , , 
"US-Ha1", "17964", "GRP_BASAL_AREA", "0.88", "20011026", "34", "3.4", "Fraxinus americana", , , , 
"US-Ha1", "17968", "GRP_BASAL_AREA", "0.38", "20011026", "34", "1.09", "Betula lenta", , , , 
"US-Ha1", "17972", "GRP_BASAL_AREA", "0.21", "20011026", "34", "0.53", "Fagus grandifolia", , , , 
"US-Ha1", "17976", "GRP_BASAL_AREA", "0.96", "20011026", "34", "2.16", "Quercus velutina", , , , 
"US-Ha1", "17980", "GRP_BASAL_AREA", "0.94", "20011026", "34", "2.42", "Prunus serotina", , , , 
"US-Ha1", "17984", "GRP_BASAL_AREA", "0.27", "20011026", "34", "1.46", "Betula populifolia", , , , 
"US-Ha1", "17988", "GRP_BASAL_AREA", "4.39", "20011026", "34", "9.17", "Tsuga canadensis", , , , 
"US-Ha1", "17992", "GRP_BASAL_AREA", "7.96", "20011026", "34", "4.72", "Acer rubrum", , , , 
"US-Ha1", "17996", "GRP_BASAL_AREA", "12.31", "20011026", "34", "9.78", "Quercus rubra", , , , 
"US-Ha1", "18000", "GRP_BASAL_AREA", "2.77", "20011026", "34", "9.22", "Pinus resinosa", , , , 
"US-Ha1", "18004", "GRP_BASAL_AREA", "0.07", "20011026", "34", "0.33", "Acer pennsylvanicum", , , , 
"US-Ha1", "18008", "GRP_BASAL_AREA", "0.3", "20011026", "34", "0.75", "Betula papyrifera", , , , 
"US-Ha1", "18012", "GRP_BASAL_AREA", "2.25", "20011026", "34", "4.72", "Pinus strobus", , , , 
"US-Ha1", "18016", "GRP_BASAL_AREA", "0.68", "20011026", "34", "2.25", "Picea glauca", , , , 
"US-Ha1", "18020", "GRP_BASAL_AREA", "1.09", "20011026", "34", "1.63", "Betula alleghaniensis", , , , 
"US-Ha1", "18024", "GRP_BASAL_AREA", "0.88", "20021114", "34", "3.42", "Fraxinus americana", , , , 
"US-Ha1", "18028", "GRP_BASAL_AREA", "0.38", "20021114", "34", "1.09", "Betula lenta", , , , 
"US-Ha1", "18032", "GRP_BASAL_AREA", "0.22", "20021114", "34", "0.55", "Fagus grandifolia", , , , 
"US-Ha1", "18036", "GRP_BASAL_AREA", "0.98", "20021114", "34", "2.19", "Quercus velutina", , , , 
"US-Ha1", "18040", "GRP_BASAL_AREA", "0.94", "20021114", "34", "2.48", "Prunus serotina", , , , 
"US-Ha1", "18044", "GRP_BASAL_AREA", "0.28", "20021114", "34", "1.49", "Betula populifolia", , , , 
"US-Ha1", "18048", "GRP_BASAL_AREA", "4.45", "20021114", "34", "9.31", "Tsuga canadensis", , , , 
"US-Ha1", "18052", "GRP_BASAL_AREA", "7.74", "20021114", "34", "4.62", "Acer rubrum", , , , 
"US-Ha1", "18056", "GRP_BASAL_AREA", "12.46", "20021114", "34", "9.93", "Quercus rubra", , , , 
"US-Ha1", "18060", "GRP_BASAL_AREA", "2.73", "20021114", "34", "9.08", "Pinus resinosa", , , , 
"US-Ha1", "18064", "GRP_BASAL_AREA", "0.07", "20021114", "34", "0.33", "Acer pennsylvanicum", , , , 
"US-Ha1", "18068", "GRP_BASAL_AREA", "0.28", "20021114", "34", "0.76", "Betula papyrifera", , , , 
"US-Ha1", "18072", "GRP_BASAL_AREA", "2.25", "20021114", "34", "4.69", "Pinus strobus", , , , 
"US-Ha1", "18076", "GRP_BASAL_AREA", "0.68", "20021114", "34", "2.24", "Picea glauca", , , , 
"US-Ha1", "18080", "GRP_BASAL_AREA", "1.07", "20021114", "34", "1.57", "Betula alleghaniensis", , , , 
"US-Ha1", "18084", "GRP_BASAL_AREA", "0.89", "20031113", "34", "3.45", "Fraxinus americana", , , , 
"US-Ha1", "18088", "GRP_BASAL_AREA", "0.39", "20031113", "34", "1.11", "Betula lenta", , , , 
"US-Ha1", "18092", "GRP_BASAL_AREA", "0.22", "20031113", "34", "0.55", "Fagus grandifolia", , , , 
"US-Ha1", "18096", "GRP_BASAL_AREA", "0.99", "20031113", "34", "2.22", "Quercus velutina", , , , 
"US-Ha1", "18100", "GRP_BASAL_AREA", "0.93", "20031113", "34", "2.44", "Prunus serotina", , , , 
"US-Ha1", "18104", "GRP_BASAL_AREA", "0.28", "20031113", "34", "1.5", "Betula populifolia", , , , 
"US-Ha1", "18108", "GRP_BASAL_AREA", "4.52", "20031113", "34", "9.44", "Tsuga canadensis", , , , 
"US-Ha1", "18112", "GRP_BASAL_AREA", "7.69", "20031113", "34", "4.49", "Acer rubrum", , , , 
"US-Ha1", "18116", "GRP_BASAL_AREA", "12.6", "20031113", "34", "10", "Quercus rubra", , , , 
"US-Ha1", "18120", "GRP_BASAL_AREA", "2.74", "20031113", "34", "9.12", "Pinus resinosa", , , , 
"US-Ha1", "18124", "GRP_BASAL_AREA", "0.07", "20031113", "34", "0.34", "Acer pennsylvanicum", , , , 
"US-Ha1", "18128", "GRP_BASAL_AREA", "0.27", "20031113", "34", "0.75", "Betula papyrifera", , , , 
"US-Ha1", "18132", "GRP_BASAL_AREA", "2.29", "20031113", "34", "4.76", "Pinus strobus", , , , 
"US-Ha1", "18136", "GRP_BASAL_AREA", "0.68", "20031113", "34", "2.23", "Picea glauca", , , , 
"US-Ha1", "18140", "GRP_BASAL_AREA", "1.07", "20031113", "34", "1.58", "Betula alleghaniensis", , , , 
"US-Ha1", "18144", "GRP_BASAL_AREA", "0.9", "20041103", "34", "3.47", "Fraxinus americana", , , , 
"US-Ha1", "18148", "GRP_BASAL_AREA", "0.41", "20041103", "34", "1.15", "Betula lenta", , , , 
"US-Ha1", "18152", "GRP_BASAL_AREA", "0.25", "20041103", "34", "0.6", "Fagus grandifolia", , , , 
"US-Ha1", "18156", "GRP_BASAL_AREA", "1.01", "20041103", "34", "2.25", "Quercus velutina", , , , 
"US-Ha1", "18160", "GRP_BASAL_AREA", "0.93", "20041103", "34", "2.44", "Prunus serotina", , , , 
"US-Ha1", "18164", "GRP_BASAL_AREA", "0.24", "20041103", "34", "1.25", "Betula populifolia", , , , 
"US-Ha1", "18168", "GRP_BASAL_AREA", "4.64", "20041103", "34", "9.55", "Tsuga canadensis", , , , 
"US-Ha1", "18172", "GRP_BASAL_AREA", "7.77", "20041103", "34", "4.5", "Acer rubrum", , , , 
"US-Ha1", "18176", "GRP_BASAL_AREA", "12.79", "20041103", "34", "10.13", "Quercus rubra", , , , 
"US-Ha1", "18180", "GRP_BASAL_AREA", "2.75", "20041103", "34", "9.16", "Pinus resinosa", , , , 
"US-Ha1", "18184", "GRP_BASAL_AREA", "0.06", "20041103", "34", "0.34", "Acer pennsylvanicum", , , , 
"US-Ha1", "18188", "GRP_BASAL_AREA", "0.23", "20041103", "34", "0.75", "Betula papyrifera", , , , 
"US-Ha1", "18192", "GRP_BASAL_AREA", "2.32", "20041103", "34", "4.81", "Pinus strobus", , , , 
"US-Ha1", "18196", "GRP_BASAL_AREA", "0.68", "20041103", "34", "2.24", "Picea glauca", , , , 
"US-Ha1", "18200", "GRP_BASAL_AREA", "1.01", "20041103", "34", "1.52", "Betula alleghaniensis", , , , 
"US-Ha1", "18204", "GRP_BASAL_AREA", "0.83", "20051102", "34", "3.09", "Fraxinus americana", , , , 
"US-Ha1", "18208", "GRP_BASAL_AREA", "0.42", "20051102", "34", "1.16", "Betula lenta", , , , 
"US-Ha1", "18212", "GRP_BASAL_AREA", "0.27", "20051102", "34", "0.61", "Fagus grandifolia", , , , 
