"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_WATER", "DM_DATE", "DM_COMMENT", "DM_SURF", "DM_SURF_MEAS_UNC", "DM_DATE_START", "DM_DATE_END", 
"US-Ne1", "3663", "GRP_DM_WATER", "Irrigation", "20010713", "86.9 hr CW rotation, 3504 kWh", , , , , 
"US-Ne1", "3664", "GRP_DM_WATER", "Irrigation", "20010729", "3552 Kwh, 89.3 hrs CW  rotation", , , , , 
"US-Ne1", "4468", "GRP_DM_WATER", "Irrigation", "20050705", , , , , , 
"US-Ne1", "4469", "GRP_DM_WATER", "Irrigation", "20050720", , , , , , 
"US-Ne1", "4473", "GRP_DM_WATER", "Irrigation", "20030712", , , , , , 
"US-Ne1", "4483", "GRP_DM_WATER", "Irrigation", "20020521", , , , , , 
"US-Ne1", "4484", "GRP_DM_WATER", "Irrigation", "20020625", , , , , , 
"US-Ne1", "4489", "GRP_DM_WATER", "Irrigation", "20040806", , , , , , 
"US-Ne1", "4491", "GRP_DM_WATER", "Irrigation", "20070712", , , , , , 
"US-Ne1", "4496", "GRP_DM_WATER", "Irrigation", "20010708", "3504kw, 86.9 hrs/rev", , , , , 
"US-Ne1", "4497", "GRP_DM_WATER", "Irrigation", "20010814", , , , , , 
"US-Ne1", "5357", "GRP_DM_WATER", "Irrigation", "20020711", , , , , , 
"US-Ne1", "5359", "GRP_DM_WATER", "Irrigation", "20060620", , , , , , 
"US-Ne1", "5360", "GRP_DM_WATER", "Irrigation", "20060702", "93.0 hr CW from 270.", , , , , 
"US-Ne1", "5363", "GRP_DM_WATER", "Irrigation", "20040719", , , , , , 
"US-Ne1", "5364", "GRP_DM_WATER", "Irrigation", "20070706", , , , , , 
"US-Ne1", "5368", "GRP_DM_WATER", "Irrigation", "20010807", "3648kWhr, 89.2 hr CW  rotation", , , , , 
"US-Ne1", "6210", "GRP_DM_WATER", "Irrigation", "20040730", "91 hr", , , , , 
"US-Ne1", "6218", "GRP_DM_WATER", "Irrigation", "20010718", "3552 kWh, 86.9 hr CW  rotation", , , , , 
"US-Ne1", "7024", "GRP_DM_WATER", "Irrigation", "20050624", , , , , , 
"US-Ne1", "7025", "GRP_DM_WATER", "Irrigation", "20050723", , , , , , 
"US-Ne1", "7044", "GRP_DM_WATER", "Irrigation", "20060710", , , , , , 
"US-Ne1", "7048", "GRP_DM_WATER", "Irrigation", "20070702", , , , , , 
"US-Ne1", "7049", "GRP_DM_WATER", "Irrigation", "20070717", , , , , , 
"US-Ne1", "7050", "GRP_DM_WATER", "Irrigation", "20070728", , , , , , 
"US-Ne1", "7902", "GRP_DM_WATER", "Irrigation", "20050816", , , , , , 
"US-Ne1", "7904", "GRP_DM_WATER", "Irrigation", "20030719", , , , , , 
"US-Ne1", "7905", "GRP_DM_WATER", "Irrigation", "20040801", , , , , , 
"US-Ne1", "7922", "GRP_DM_WATER", "Irrigation", "20020811", , , , , , 
"US-Ne1", "7923", "GRP_DM_WATER", "Irrigation", "20060627", , , , , , 
"US-Ne1", "7924", "GRP_DM_WATER", "Irrigation", "20060720", , , , , , 
"US-Ne1", "7925", "GRP_DM_WATER", "Irrigation", "20040909", , , , , , 
"US-Ne1", "7927", "GRP_DM_WATER", "Irrigation", "20070627", , , , , , 
"US-Ne1", "8747", "GRP_DM_WATER", "Irrigation", "20050715", , , , , , 
"US-Ne1", "8748", "GRP_DM_WATER", "Irrigation", "20050803", , , , , , 
"US-Ne1", "8751", "GRP_DM_WATER", "Irrigation", "20030727", , , , , , 
"US-Ne1", "8769", "GRP_DM_WATER", "Irrigation", "20050509", , , , , , 
"US-Ne1", "8777", "GRP_DM_WATER", "Irrigation", "20010625", "CW rotation", , , , , 
"US-Ne1", "9615", "GRP_DM_WATER", "Irrigation", "20050709", , , , , , 
"US-Ne1", "9618", "GRP_DM_WATER", "Irrigation", "20030807", , , , , , 
"US-Ne1", "9629", "GRP_DM_WATER", "Irrigation", "20060717", , , , , , 
"US-Ne1", "9637", "GRP_DM_WATER", "Irrigation", "20010704", "86.8hr CW rotation", , , , , 
"US-Ne1", "9638", "GRP_DM_WATER", "Irrigation", "20011001", , , , , , 
"US-Ne2", "270", "GRP_DM_WATER", "Irrigation", "20040917", , , , , , 
"US-Ne2", "272", "GRP_DM_WATER", "Irrigation", "20050713", , , , , , 
"US-Ne2", "273", "GRP_DM_WATER", "Irrigation", "20050803", , , , , , 
"US-Ne2", "274", "GRP_DM_WATER", "Irrigation", "20060724", , , , , , 
"US-Ne2", "1097", "GRP_DM_WATER", "Irrigation", "20040831", , , , , , 
"US-Ne2", "1957", "GRP_DM_WATER", "Irrigation", "20070802", , , , , , 
"US-Ne2", "2798", "GRP_DM_WATER", "Irrigation", "20030802", , , , , , 
"US-Ne2", "2799", "GRP_DM_WATER", "Irrigation", "20040811", , , , , , 
"US-Ne2", "2800", "GRP_DM_WATER", "Irrigation", "20050818", , , , , , 
"US-Ne2", "2803", "GRP_DM_WATER", "Irrigation", "20070728", , , , , , 
"US-Ne2", "3651", "GRP_DM_WATER", "Irrigation", "20030811", , , , , , 
"US-Ne2", "3655", "GRP_DM_WATER", "Irrigation", "20070713", , , , , , 
"US-Ne2", "4475", "GRP_DM_WATER", "Irrigation", "20030728", , , , , , 
"US-Ne2", "4477", "GRP_DM_WATER", "Irrigation", "20040804", , , , , , 
"US-Ne2", "4478", "GRP_DM_WATER", "Irrigation", "20050623", , , , , , 
"US-Ne2", "4479", "GRP_DM_WATER", "Irrigation", "20050708", , , , , , 
"US-Ne2", "4480", "GRP_DM_WATER", "Irrigation", "20050827", , , , , , 
"US-Ne2", "4494", "GRP_DM_WATER", "Irrigation", "20010704", , , , , , 
"US-Ne2", "5352", "GRP_DM_WATER", "Irrigation", "20050718", "106 hr CW from 97. Completed 7/23 7:00am", , , , , 
"US-Ne2", "5354", "GRP_DM_WATER", "Irrigation", "20060729", , , , , , 
"US-Ne2", "6197", "GRP_DM_WATER", "Irrigation", "20030716", , , , , , 
"US-Ne2", "6215", "GRP_DM_WATER", "Irrigation", "20030703", , , , , , 
"US-Ne2", "7029", "GRP_DM_WATER", "Irrigation", "20030712", , , , , , 
"US-Ne2", "7030", "GRP_DM_WATER", "Irrigation", "20030720", , , , , , 
"US-Ne2", "7031", "GRP_DM_WATER", "Irrigation", "20030902", , , , , , 
"US-Ne2", "7035", "GRP_DM_WATER", "Irrigation", "20050509", , , , , , 
"US-Ne2", "7039", "GRP_DM_WATER", "Irrigation", "20070628", , , , , , 
"US-Ne2", "7040", "GRP_DM_WATER", "Irrigation", "20070723", , , , , , 
"US-Ne2", "7053", "GRP_DM_WATER", "Irrigation", "20010708", , , , , , 
"US-Ne2", "7055", "GRP_DM_WATER", "Irrigation", "20020807", , , , , , 
"US-Ne2", "7906", "GRP_DM_WATER", "Irrigation", "20030806", , , , , , 
"US-Ne2", "7907", "GRP_DM_WATER", "Irrigation", "20030829", , , , , , 
"US-Ne2", "7910", "GRP_DM_WATER", "Irrigation", "20050724", , , , , , 
"US-Ne2", "7912", "GRP_DM_WATER", "Irrigation", "20060625", , , , , , 
"US-Ne2", "7913", "GRP_DM_WATER", "Irrigation", "20060803", , , , , , 
"US-Ne2", "7916", "GRP_DM_WATER", "Irrigation", "20070707", , , , , , 
"US-Ne2", "7929", "GRP_DM_WATER", "Irrigation", "20010629", "0.81 in 66 Hr", , , , , 
"US-Ne2", "7930", "GRP_DM_WATER", "Irrigation", "20020717", , , , , , 
"US-Ne2", "7931", "GRP_DM_WATER", "Irrigation", "20020730", , , , , , 
"US-Ne2", "8753", "GRP_DM_WATER", "Irrigation", "20030724", , , , , , 
"US-Ne2", "8754", "GRP_DM_WATER", "Irrigation", "20030818", , , , , , 
"US-Ne2", "8755", "GRP_DM_WATER", "Irrigation", "20040730", , , , , , 
"US-Ne2", "8756", "GRP_DM_WATER", "Irrigation", "20040817", , , , , , 
"US-Ne2", "8758", "GRP_DM_WATER", "Irrigation", "20070702", , , , , , 
"US-Ne2", "8771", "GRP_DM_WATER", "Irrigation", "20010625", , , , , , 
"US-Ne2", "8772", "GRP_DM_WATER", "Irrigation", "20020711", , , , , , 
"US-Ne2", "8773", "GRP_DM_WATER", "Irrigation", "20020722", , , , , , 
"US-Ne2", "8774", "GRP_DM_WATER", "Irrigation", "20020814", , , , , , 
"US-Ne2", "9622", "GRP_DM_WATER", "Irrigation", "20050629", , , , , , 
"US-Ne2", "9624", "GRP_DM_WATER", "Irrigation", "20070718", , , , , , 
"US-Ne2", "9635", "GRP_DM_WATER", "Irrigation", "20010713", , , , , , 
"US-ORv", "16132", "GRP_DM_WATER", "Human induced flooding", , "Wetland park was created and 2 experimental wetlands flooded. Vegetation in the western experimental wetland was planted with ndigenous species.", "100", "100", "1993", "1994", 
