"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_NAME", 
"CA-Na1", "23000060", "GRP_HEADER", "New Brunswick - 1967 Balsam Fir - Nashwaak Lake Site 01 (Mature balsam fir forest)", 
"CA-Na2", "23000061", "GRP_HEADER", "New Brunswick - 1975 Balsam Fir - Nashwaak Lake site 02 (Young balsam fir forest  to be thinned fall 2004)", 
"CA-NS1", "23000062", "GRP_HEADER", "UCI-1850 burn site", 
"CA-NS2", "23000063", "GRP_HEADER", "UCI-1930 burn site", 
"CA-NS3", "23000064", "GRP_HEADER", "UCI-1964 burn site", 
"CA-NS4", "23000065", "GRP_HEADER", "UCI-1964 burn site wet", 
"CA-NS5", "23000066", "GRP_HEADER", "UCI-1981 burn site", 
"CA-NS6", "23000067", "GRP_HEADER", "UCI-1989 burn site", 
"CA-NS7", "23000068", "GRP_HEADER", "UCI-1998 burn site", 
"CA-NS8", "23000069", "GRP_HEADER", "UCI-2003 burn site", 
"CA-Oas", "23000070", "GRP_HEADER", "Saskatchewan - Western Boreal, Mature Aspen", 
"CA-Obs", "23000071", "GRP_HEADER", "Saskatchewan - Western Boreal, Mature Black Spruce", 
"CA-Ojp", "23000072", "GRP_HEADER", "Saskatchewan - Western Boreal, Mature Jack Pine", 
"CA-Qc2", "23000855", "GRP_HEADER", "Quebec - 1975 Harvested Black Spruce (HBS75)", 
"CA-Qcu", "23000073", "GRP_HEADER", "Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover", 
"CA-Qfo", "23000074", "GRP_HEADER", "Quebec - Eastern Boreal, Mature Black Spruce", 
"CA-RPn", "23001041", "GRP_HEADER", "Robinsons_Natural_Bog_NL", 
"CA-RPp", "23001042", "GRP_HEADER", "Robinsons_Peatland_Pasture_NL", 
"CA-SCB", "23001033", "GRP_HEADER", "Scotty Creek Bog", 
"CA-SCC", "23000692", "GRP_HEADER", "Scotty Creek Landscape", 
"CA-SF1", "23000075", "GRP_HEADER", "Saskatchewan - Western Boreal, forest burned in 1977", 
"CA-SF2", "23000076", "GRP_HEADER", "Saskatchewan - Western Boreal, forest burned in 1989", 
"CA-SF3", "23000077", "GRP_HEADER", "Saskatchewan - Western Boreal, forest burned in 1998", 
"CA-SJ1", "23000079", "GRP_HEADER", "Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994", 
"CA-SJ2", "23000080", "GRP_HEADER", "Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002", 
"CA-SJ3", "23000081", "GRP_HEADER", "Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)", 
"CA-SMC", "23000969", "GRP_HEADER", "Smith Creek", 
"CA-TP1", "23000082", "GRP_HEADER", "Ontario - Turkey Point 2002 Plantation White Pine", 
"CA-TP2", "23000083", "GRP_HEADER", "Ontario - Turkey Point 1989 Plantation White Pine", 
"CA-TP3", "23000084", "GRP_HEADER", "Ontario - Turkey Point 1974 Plantation White Pine", 
"CA-TP4", "23000085", "GRP_HEADER", "Ontario - Turkey Point 1939 Plantation White Pine", 
"CA-TPD", "23000524", "GRP_HEADER", "Ontario - Turkey Point Mature Deciduous", 
"CA-TVC", "23000970", "GRP_HEADER", "Trail Valley Creek", 
"CA-WP1", "23000086", "GRP_HEADER", "Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen", 
"CA-WP2", "23000087", "GRP_HEADER", "Alberta - Western Peatland - Poor Fen (Sphagnum moss)", 
"CA-WP3", "23000088", "GRP_HEADER", "Alberta - Western Peatland - Rich Fen  (Carex)", 
"CL-SDF", "23000686", "GRP_HEADER", "Senda Darwin Forest", 
"CL-SDP", "23000687", "GRP_HEADER", "Senda Darwin Peatland", 
"CR-Fsc", "23000717", "GRP_HEADER", "Filadelfia sugar cane cropland", 
"CR-Lse", "23000118", "GRP_HEADER", "La Selva", 
"CR-Nmr", "23000716", "GRP_HEADER", "Nicoya melon-rice cropland", 
"CR-SoC", "23000530", "GRP_HEADER", "Soltis Center", 
"MX-EMg", "23000828", "GRP_HEADER", "El Mogor", 
"MX-Lpa", "23000245", "GRP_HEADER", "La Paz", 
"MX-PMm", "23000980", "GRP_HEADER", "Puerto Morelos mangrove", 
"PA-Bar", "23000516", "GRP_HEADER", "Barro Colorado Island", 
"PE-QFR", "23001043", "GRP_HEADER", "Quistococha Forest Reserve", 
"PE-TNR", "23001040", "GRP_HEADER", "Tambopata", 
"PR-xGU", "23001030", "GRP_HEADER", "NEON Guanica Forest (GUAN)", 
"PR-xLA", "23001029", "GRP_HEADER", "NEON Lajas Experimental Station (LAJA)", 
"US-A03", "23001006", "GRP_HEADER", "ARM-AMF3-Oliktok", 
"US-A10", "23001008", "GRP_HEADER", "ARM-NSA-Barrow", 
"US-A32", "23000683", "GRP_HEADER", "ARM-SGP Medford hay pasture", 
"US-A39", "23001007", "GRP_HEADER", "ARM-SGP-Morrison", 
"US-A74", "23000684", "GRP_HEADER", "ARM SGP milo field", 
"US-Act", "23000973", "GRP_HEADER", "Acton Lake Flux Tower Site", 
"US-ADR", "23000664", "GRP_HEADER", "Amargosa Desert Research Site (ADRS)", 
"US-Akn", "23000507", "GRP_HEADER", "Aiken", 
"US-ALQ", "23000981", "GRP_HEADER", "Allequash Creek Site", 
"US-An1", "23000508", "GRP_HEADER", "Anaktuvuk River Severe Burn", 
"US-An2", "23000509", "GRP_HEADER", "Anaktuvuk River Moderate Burn", 
"US-An3", "23000510", "GRP_HEADER", "Anaktuvuk River Unburned", 
"US-AR1", "23000503", "GRP_HEADER", "ARM USDA UNL OSU Woodward Switchgrass 1", 
"US-AR2", "23000504", "GRP_HEADER", "ARM USDA UNL OSU Woodward Switchgrass 2", 
"US-ARb", "23000328", "GRP_HEADER", "ARM Southern Great Plains burn site- Lamont", 
"US-ARc", "23000329", "GRP_HEADER", "ARM Southern Great Plains control site- Lamont", 
"US-ARM", "23000331", "GRP_HEADER", "ARM Southern Great Plains site- Lamont", 
"US-ASH", "23001069", "GRP_HEADER", "USSL San Joaquin Valley Almond High Salinity", 
"US-ASL", "23001067", "GRP_HEADER", "USSL San Joaquin Valley Almond Low Salinity", 
"US-ASM", "23001068", "GRP_HEADER", "USSL San Joaquin Valley Almond Medium Salinity", 
"US-Atq", "23000333", "GRP_HEADER", "Atqasuk", 
"US-Aud", "23000332", "GRP_HEADER", "Audubon Research Ranch", 
"US-Bar", "23000334", "GRP_HEADER", "Bartlett Experimental Forest", 
"US-BCM", "23001082", "GRP_HEADER", "Blue Cypress Marsh", 
"US-BdA", "23000553", "GRP_HEADER", "Burdette Farm Rice Field - AWD", 
"US-BdC", "23000552", "GRP_HEADER", "Burdette Farm Rice Field - conventional", 
"US-Beo", "23000972", "GRP_HEADER", "Barrow Environmental Observatory (BEO) tower", 
"US-Bes", "23000529", "GRP_HEADER", "Barrow-Bes (Biocomplexity Experiment South tower)", 
"US-Bi1", "23000690", "GRP_HEADER", "Bouldin Island Alfalfa", 
"US-Bi2", "23000721", "GRP_HEADER", "Bouldin Island corn", 
"US-Bkg", "23000346", "GRP_HEADER", "Brookings", 
"US-Blk", "23000335", "GRP_HEADER", "Black Hills", 
"US-Blo", "23000337", "GRP_HEADER", "Blodgett Forest", 
"US-Bn1", "23000338", "GRP_HEADER", "Bonanza Creek, 1920 Burn site near Delta Junction", 
"US-Bn2", "23000339", "GRP_HEADER", "Bonanza Creek, 1987 Burn site near Delta Junction", 
"US-Bn3", "23000340", "GRP_HEADER", "Bonanza Creek, 1999 Burn site near Delta Junction", 
"US-Bo1", "23000341", "GRP_HEADER", "Bondville", 
"US-Bo2", "23000342", "GRP_HEADER", "Bondville (companion site)", 
"US-Br1", "23000343", "GRP_HEADER", "Brooks Field Site 10- Ames", 
"US-Br2", "23000344", "GRP_HEADER", "Brooks Field Site 1011- Ames", 
"US-Br3", "23000345", "GRP_HEADER", "Brooks Field Site 11- Ames", 
"US-BRG", "23000697", "GRP_HEADER", "Bayles Road Grassland Tower", 
"US-Brw", "23000347", "GRP_HEADER", "Barrow", 
"US-Bsg", "23000669", "GRP_HEADER", "Burns Sagebrush", 
"US-BSM", "23000714", "GRP_HEADER", "Barnstable Great Marsh", 
"US-BZB", "23001077", "GRP_HEADER", "Bonanza Creek Thermokarst Bog", 
"US-BZF", "23001079", "GRP_HEADER", "Bonanza Creek Rich Fen", 
"US-BZL", "23001080", "GRP_HEADER", "Goldstream Valley Thermokarst Lake", 
"US-BZo", "23001078", "GRP_HEADER", "Bonanza Creek Old Thermokarst Bog", 
"US-BZS", "23001076", "GRP_HEADER", "Bonanza Creek Black Spruce", 
"US-CaV", "23000348", "GRP_HEADER", "Canaan Valley", 
"US-CdM", "23001072", "GRP_HEADER", "Cedar Mesa", 
"US-Ced", "23000349", "GRP_HEADER", "Cedar Bridge", 
"US-CF1", "23000995", "GRP_HEADER", "CAF-LTAR Cook East", 
"US-CF2", "23000996", "GRP_HEADER", "CAF-LTAR Cook West", 
"US-CF3", "23000998", "GRP_HEADER", "CAF-LTAR Boyd North", 
"US-CF4", "23000997", "GRP_HEADER", "CAF-LTAR Boyd South", 
"US-ChR", "23000350", "GRP_HEADER", "Chestnut Ridge", 
"US-Cms", "23000991", "GRP_HEADER", "Central Marsh", 
"US-Cop", "23000494", "GRP_HEADER", "Corral Pocket", 
"US-CPk", "23000521", "GRP_HEADER", "Chimney Park", 
"US-CRT", "23000537", "GRP_HEADER", "Curtice Walter-Berger cropland", 
"US-CS1", "23000979", "GRP_HEADER", "Central Sands Irrigated Agricultural Field", 
"US-CS2", "23001084", "GRP_HEADER", "Tri county school Pine Forest", 
"US-CS3", "23001085", "GRP_HEADER", "Central Sands Irrigated Agricultural Field", 
"US-Cst", "23000549", "GRP_HEADER", "Crossett Experimental Forest", 
"US-Ctn", "23000466", "GRP_HEADER", "Cottonwood", 
"US-Cwt", "23001005", "GRP_HEADER", "Coweeta", 
"US-CZ1", "23000705", "GRP_HEADER", "Sierra Critical Zone, Sierra Transect, Oak/Pine Woodland, San Joaquin Experimental Range", 
"US-CZ2", "23000707", "GRP_HEADER", "Sierra Critical Zone, Sierra Transect, Ponderosa Pine Forest, Soaproot Saddle", 
"US-CZ3", "23000709", "GRP_HEADER", "Sierra Critical Zone, Sierra Transect, Sierran Mixed Conifer, P301", 
"US-CZ4", "23000708", "GRP_HEADER", "Sierra Critical Zone, Sierra Transect, Subalpine Forest, Shorthair", 
"US-Dea", "23000526", "GRP_HEADER", "California UC ANR Desert Research and Extension Center Alfalfa", 
"US-Deu", "23000527", "GRP_HEADER", "California UC ANR Desert Research and Extension Center Urban Farm Tower", 
"US-DFK", "23001083", "GRP_HEADER", "Dairy Forage Research Center - Kernza", 
"US-Dia", "23000512", "GRP_HEADER", "Diablo", 
"US-Dix", "23000356", "GRP_HEADER", "Fort Dix", 
"US-Dk1", "23000357", "GRP_HEADER", "Duke Forest-open field", 
"US-Dk2", "23000358", "GRP_HEADER", "Duke Forest-hardwoods", 
"US-Dk3", "23000359", "GRP_HEADER", "Duke Forest - loblolly pine", 
"US-DPP", "23001065", "GRP_HEADER", "Disney Wilderness Preserve Pine Flatwoods", 
"US-DPW", "23001074", "GRP_HEADER", "Disney Wilderness Preserve Wetland", 
"US-EDN", "23000993", "GRP_HEADER", "Eden Landing Ecological Reserve", 
"US-Elm", "23000467", "GRP_HEADER", "Everglades (long hydroperiod marsh)", 
"US-EML", "23000522", "GRP_HEADER", "Eight Mile Lake Permafrost thaw gradient, Healy Alaska.", 
"US-Esm", "23000468", "GRP_HEADER", "Everglades (short hydroperiod marsh)", 
"US-Fcr", "23001016", "GRP_HEADER", "Cascaden Ridge Fire Scar", 
"US-Fmf", "23000361", "GRP_HEADER", "Flagstaff - Managed Forest", 
"US-FPe", "23000364", "GRP_HEADER", "Fort Peck", 
"US-FR1", "23000365", "GRP_HEADER", "Freeman Ranch- Grassland", 
"US-FR2", "23000366", "GRP_HEADER", "Freeman Ranch- Mesquite Juniper", 
"US-FR3", "23000367", "GRP_HEADER", "Freeman Ranch- Woodland", 
"US-Fuf", "23000362", "GRP_HEADER", "Flagstaff - Unmanaged Forest", 
"US-Fwf", "23000363", "GRP_HEADER", "Flagstaff - Wildfire", 
"US-GBT", "23000666", "GRP_HEADER", "GLEES Brooklyn Tower", 
"US-GCE", "23001073", "GRP_HEADER", "Georgia Coastal Ecosystems LTER Flux Tower", 
"US-GLE", "23000368", "GRP_HEADER", "GLEES", 
"US-GMF", "23000369", "GRP_HEADER", "Great Mountain Forest", 
"US-Goo", "23000370", "GRP_HEADER", "Goodwin Creek", 
"US-GZ1", "23001034", "GRP_HEADER", "Genesee, ID On-farm site Zone 1", 
"US-GZ2", "23001035", "GRP_HEADER", "Genesee, ID On-farm site Zone 2", 
"US-GZ3", "23001036", "GRP_HEADER", "Genesee, ID On-farm site Zone 3", 
"US-Ha1", "23000371", "GRP_HEADER", "Harvard Forest EMS Tower (HFR1)", 
"US-Ha2", "23000372", "GRP_HEADER", "Harvard Forest Hemlock Site", 
"US-HB1", "23000948", "GRP_HEADER", "North Inlet Crab Haul Creek", 
"US-HB2", "23000964", "GRP_HEADER", "Hobcaw Barony Mature Longleaf Pine", 
"US-HB3", "23001062", "GRP_HEADER", "Hobcaw Barony Longleaf Pine Restoration", 
"US-HBK", "23000968", "GRP_HEADER", "Hubbard Brook Experimental Forest", 
"US-Hn1", "23000982", "GRP_HEADER", "Hanford 300 Area", 
"US-Hn2", "23000983", "GRP_HEADER", "Hanford 100H grassland", 
"US-Hn3", "23000984", "GRP_HEADER", "Hanford 100H sagebrush", 
"US-Ho1", "23000373", "GRP_HEADER", "Howland Forest (main tower)", 
"US-Ho2", "23000374", "GRP_HEADER", "Howland Forest (west tower)", 
"US-Ho3", "23000375", "GRP_HEADER", "Howland Forest (harvest site)", 
"US-HPY", "23000696", "GRP_HEADER", "Hawk Property", 
"US-HRA", "23000541", "GRP_HEADER", "Humnoke Farm Rice Field - AWD", 
"US-HRC", "23000540", "GRP_HEADER", "Humnoke Farm Rice Field - conventional", 
"US-HRN", "23001105", "GRP_HEADER", "Humnoke Carr North Rice Field", 
"US-HRP", "23000715", "GRP_HEADER", "Herring River Phragmites", 
"US-HRS", "23000936", "GRP_HEADER", "Humnoke Carr South Rice Field", 
"US-HVa", "23000376", "GRP_HEADER", "Happy Valley", 
"US-HVs", "23000992", "GRP_HEADER", "Happy Valley Wet Sedge Tundra", 
"US-IB1", "23000377", "GRP_HEADER", "Fermi National Accelerator Laboratory- Batavia (Agricultural site)", 
"US-IB2", "23000378", "GRP_HEADER", "Fermi National Accelerator Laboratory- Batavia (Prairie site)", 
"US-ICh", "23000499", "GRP_HEADER", "Imnavait Creek Watershed Heath Tundra", 
"US-ICs", "23000496", "GRP_HEADER", "Imnavait Creek Watershed Wet Sedge Tundra", 
"US-ICt", "23000497", "GRP_HEADER", "Imnavait Creek Watershed Tussock Tundra", 
"US-Ivo", "23000379", "GRP_HEADER", "Ivotuk", 
"US-JLN", "23001031", "GRP_HEADER", "Jackson Lane - natural", 
"US-JLR", "23001032", "GRP_HEADER", "Jackson Lane - restored", 
"US-JRn", "23001106", "GRP_HEADER", "WV Jacks Run", 
"US-KCM", "23000470", "GRP_HEADER", "KCMP Tall Tower", 
"US-KFB", "23000547", "GRP_HEADER", "Konza Prairie LTER (4B)", 
"US-KFS", "23000498", "GRP_HEADER", "Kansas Field Station", 
"US-KL1", "23000656", "GRP_HEADER", "KBS Lux Arbor Reserve Corn", 
"US-KL2", "23000657", "GRP_HEADER", "KBS Lux Arbor Reserve Switchgrass", 
"US-KL3", "23000658", "GRP_HEADER", "KBS Lux Arbor Reserve Prairie", 
"US-KLS", "23000546", "GRP_HEADER", "Kansas Land Institute", 
"US-KM1", "23000659", "GRP_HEADER", "KBS Marshall Farms Corn", 
"US-KM2", "23000660", "GRP_HEADER", "KBS Marshall Farms Prairie", 
"US-KM3", "23000661", "GRP_HEADER", "KBS Marshall Farms Switchgrass", 
"US-KM4", "23000662", "GRP_HEADER", "KBS Marshall Farms Smooth Brome Grass (Ref)", 
"US-Kon", "23000383", "GRP_HEADER", "Konza Prairie LTER (KNZ)", 
"US-KS1", "23000384", "GRP_HEADER", "Kennedy Space Center (slash pine)", 
"US-KS2", "23000385", "GRP_HEADER", "Kennedy Space Center (scrub oak)", 
"US-KS3", "23000942", "GRP_HEADER", "Kennedy Space Center (salt marsh)", 
"US-KS4", "23000965", "GRP_HEADER", "Kennedy Space Center (Spartina marsh)", 
"US-KUO", "23000386", "GRP_HEADER", "KUOM tower", 
"US-KUT", "23000511", "GRP_HEADER", "KUOM Turfgrass Field", 
"US-LA1", "23001009", "GRP_HEADER", "Pointe-aux-Chenes Brackish Marsh", 
"US-LA2", "23001010", "GRP_HEADER", "Salvador WMA Freshwater Marsh", 
"US-LA3", "23001011", "GRP_HEADER", "Barataria Bay Saline Marsh", 
"US-LGr", "23000542", "GRP_HEADER", "Lockney Grassland", 
"US-Lin", "23000513", "GRP_HEADER", "Lindcove Orange Orchard", 
"US-LL1", "23000985", "GRP_HEADER", "Longleaf Pine - Baker (Mesic site)", 
"US-LL2", "23000986", "GRP_HEADER", "Longleaf Pine - Dubignion (Intermediate site)", 
"US-LL3", "23000987", "GRP_HEADER", "Longleaf Pine - Red Dirt (Xeric site)", 
"US-Los", "23000388", "GRP_HEADER", "Lost Creek", 
"US-LPH", "23000389", "GRP_HEADER", "Little Prospect Hill", 
"US-LWW", "23000391", "GRP_HEADER", "Little Washita Watershed", 
"US-Me1", "23000393", "GRP_HEADER", "Metolius - Eyerly burn", 
"US-Me2", "23000394", "GRP_HEADER", "Metolius mature ponderosa pine", 
"US-Me3", "23000395", "GRP_HEADER", "Metolius-second young aged pine", 
"US-Me4", "23000396", "GRP_HEADER", "Metolius-old aged ponderosa pine", 
"US-Me5", "23000397", "GRP_HEADER", "Metolius-first young aged pine", 
"US-Me6", "23000493", "GRP_HEADER", "Metolius Young Pine Burn", 
"US-Men", "23000937", "GRP_HEADER", "Lake Mendota, Center for Limnology Site", 
"US-Mj1", "23000679", "GRP_HEADER", "Montana Judith Basin wheat field", 
"US-Mj2", "23000680", "GRP_HEADER", "Montana Judith Basin summer fallow field", 
"US-MMS", "23000398", "GRP_HEADER", "Morgan Monroe State Forest", 
"US-MOz", "23000399", "GRP_HEADER", "Missouri Ozark Site", 
"US-Mpj", "23000473", "GRP_HEADER", "Mountainair Pinyon-Juniper Woodland", 
"US-MRf", "23000360", "GRP_HEADER", "Mary's River (Fir) site", 
"US-MRM", "23000695", "GRP_HEADER", "Marsh Resource Meadowlands Mitigation Bank", 
"US-MtB", "23000400", "GRP_HEADER", "Mt Bigelow", 
"US-Myb", "23000505", "GRP_HEADER", "Mayberry Wetland", 
"US-NC1", "23000401", "GRP_HEADER", "NC_Clearcut", 
"US-NC2", "23000402", "GRP_HEADER", "NC_Loblolly Plantation", 
"US-NC3", "23000538", "GRP_HEADER", "NC_Clearcut#3", 
"US-NC4", "23000539", "GRP_HEADER", "NC_AlligatorRiver", 
"US-Ne1", "23000403", "GRP_HEADER", "Mead - irrigated continuous maize site", 
"US-Ne2", "23000404", "GRP_HEADER", "Mead - irrigated maize-soybean rotation site", 
"US-Ne3", "23000405", "GRP_HEADER", "Mead - rainfed maize-soybean rotation site", 
"US-NGB", "23000533", "GRP_HEADER", "NGEE Arctic Barrow", 
"US-NGC", "23000940", "GRP_HEADER", "NGEE Arctic Council", 
"US-NMj", "23000406", "GRP_HEADER", "Northern Michigan Jack Pine Stand", 
"US-NR1", "23000408", "GRP_HEADER", "Niwot Ridge Forest (LTER NWT1)", 
"US-NR2", "23000409", "GRP_HEADER", "Niwot Ridge Forest (USGS site)", 
"US-Nrf", "23000711", "GRP_HEADER", "Nisqually reference", 
"US-Nrs", "23000710", "GRP_HEADER", "Nisqually restoring", 
"US-OF1", "23000699", "GRP_HEADER", "Osceola Farm Rice Field - SW", 
"US-OF2", "23000700", "GRP_HEADER", "Osceola Farm Rice Field - NW", 
"US-Oho", "23000411", "GRP_HEADER", "Oak Openings", 
"US-ORv", "23000501", "GRP_HEADER", "Olentangy River Wetland Research Park", 
"US-OWC", "23000663", "GRP_HEADER", "Old Woman Creek", 
"US-PFa", "23000412", "GRP_HEADER", "Park Falls/WLEF", 
"US-PFb", "23001086", "GRP_HEADER", "NW1 Pine-1 CHEESEHEAD 2019", 
"US-PFc", "23001087", "GRP_HEADER", "NW2 Aspen-1 CHEESEHEAD 2019", 
"US-PFd", "23001088", "GRP_HEADER", "NW3 Tussock-1 CHEESEHEAD 2019", 
"US-PFe", "23001089", "GRP_HEADER", "NW4 Lake-1 CHEESEHEAD 2019", 
"US-PFf", "23001090", "GRP_HEADER", "NW5 Grass-1 CHEESEHEAD 2019", 
"US-PFg", "23001091", "GRP_HEADER", "NE1 Pine-2 CHEESEHEAD 2019", 
"US-PFh", "23001092", "GRP_HEADER", "NE2 Pine-3 CHEESEHEAD 2019", 
"US-PFi", "23001093", "GRP_HEADER", "NE3 Hardwood-1 CHEESEHEAD 2019", 
"US-PFj", "23001094", "GRP_HEADER", "NE4 Maple-1 CHEESEHEAD 2019", 
"US-PFk", "23001095", "GRP_HEADER", "SW1 Aspen-2 CHEESEHEAD 2019", 
"US-PFL", "23001096", "GRP_HEADER", "SW2 Aspen-3 CHEESEHEAD 2019", 
"US-PFm", "23001097", "GRP_HEADER", "SW3 Hardwood-2 CHEESEHEAD 2019", 
"US-PFn", "23001098", "GRP_HEADER", "SW4 Hardwood-3 CHEESEHEAD 2019", 
"US-PFo", "23001099", "GRP_HEADER", "SE1 Lake-2 CHEESEHEAD 2019", 
"US-PFp", "23001100", "GRP_HEADER", "SE2 Hardwood-4 CHEESEHEAD 2019", 
"US-PFq", "23001101", "GRP_HEADER", "SE3 Aspen-4 CHEESEHEAD 2019", 
"US-PFr", "23001102", "GRP_HEADER", "SE4 Tussock-2 CHEESEHEAD 2019", 
"US-PFs", "23001103", "GRP_HEADER", "SE5 Aspen-5 CHEESEHEAD 2019", 
"US-PFt", "23001104", "GRP_HEADER", "SE6 Pine-4 CHEESEHEAD 2019", 
"US-PHM", "23000677", "GRP_HEADER", "Plum Island High Marsh", 
"US-PLM", "23000963", "GRP_HEADER", "Plum Island Low Marsh", 
"US-Pnp", "23000938", "GRP_HEADER", "Lake Mendota, Picnic Point Site", 
"US-Pon", "23000413", "GRP_HEADER", "Ponca City", 
"US-Prr", "23000525", "GRP_HEADER", "Poker Flat Research Range Black Spruce Forest", 
"US-PSH", "23001071", "GRP_HEADER", "USSL San Joaquin Valley Pistachio High", 
"US-PSL", "23001070", "GRP_HEADER", "USSL San Joaquin Valley Pistachio Low", 
"US-RC1", "23001000", "GRP_HEADER", "Cook Agronomy Farm - No Till", 
"US-RC2", "23000999", "GRP_HEADER", "Cook Agronomy Farm - Conventional Till", 
"US-RC3", "23001001", "GRP_HEADER", "WSU Lind Dryland Research Station", 
"US-RC4", "23001002", "GRP_HEADER", "Moscow Mountain on-farm site", 
"US-RC5", "23001003", "GRP_HEADER", "Moses Lake on-farm site", 
"US-RFE", "23000681", "GRP_HEADER", "RockyFlats - East site", 
"US-RFW", "23000682", "GRP_HEADER", "RockyFlats - West site", 
"US-Rls", "23000702", "GRP_HEADER", "RCEW Low Sagebrush", 
"US-Rms", "23000698", "GRP_HEADER", "RCEW Mountain Big Sagebrush", 
"US-Ro1", "23000417", "GRP_HEADER", "Rosemount- G21", 
"US-Ro2", "23000418", "GRP_HEADER", "Rosemount- C7", 
"US-Ro3", "23000419", "GRP_HEADER", "Rosemount- G19", 
"US-Ro4", "23000655", "GRP_HEADER", "Rosemount Prairie", 
"US-Ro5", "23000688", "GRP_HEADER", "Rosemount I18_South", 
"US-Ro6", "23000689", "GRP_HEADER", "Rosemount I18_North", 
"US-Rpf", "23001015", "GRP_HEADER", "Poker Flat Research Range: Succession from fire scar to deciduous forest", 
"US-RRC", "23000962", "GRP_HEADER", "Rice Rivers Center Marsh", 
"US-Rwe", "23001111", "GRP_HEADER", "RCEW Reynolds Mountain East", 
"US-Rwf", "23001112", "GRP_HEADER", "RCEW Upper Sheep Prescibed Fire", 
"US-Rws", "23000674", "GRP_HEADER", "Reynolds Creek Wyoming big sagebrush", 
"US-Sag", "23000990", "GRP_HEADER", "Sag River", 
"US-SB1", "23000550", "GRP_HEADER", "Sweet Briar Land-Atmosphere Research Station", 
"US-SB2", "23000676", "GRP_HEADER", "Sweet Briar Grass", 
"US-SB3", "23000989", "GRP_HEADER", "Sweet Briar Clearcut", 
