"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "ACKNOWLEDGEMENT", "ACKNOWLEDGEMENT_COMMENT", 
"CA-SCC", "30580", "GRP_ACKNOWLEDGEMENT", "Eddy covariance and supporting measurements at the 
Scotty Creek Research Station were funded by the Canada Research Chairs, Natural Sciences and Engineering Research Council Discovery Grant and various Canada Foundation for Innovation programs. We are grateful for the support of the Liidlii Kue First Nation and Jean-Marie River First Nation for their support of the Scotty Creek Research Station.", , 
"CA-SF1", "6738", "GRP_ACKNOWLEDGEMENT", "The data collection was funded by the Canadian Forest Service (Natural Resources Canada) and by Parks Canada as part of the BERMS (Boreal Ecosystem Research and Monitoring Sites) initiative in collaboration with the Fluxnet Canada Research Network and the Canadian Carbon Program (supported by the Canadian National Science and Engineering Research Council (NSERC), the Canadian Foundation for Climate and Atmospheric Sciences and the BIOCAP Canada Foundation).", "When heavily using this site in a paper.", 
"CA-SF2", "2496", "GRP_ACKNOWLEDGEMENT", "The data collection was funded by the Canadian Forest Service (Natural Resources Canada) and by Parks Canada as part of the BERMS (Boreal Ecosystem Research and Monitoring Sites) initiative in collaboration with the Fluxnet Canada Research Network and the Canadian Carbon Program (supported by the Canadian National Science and Engineering Research Council (NSERC), the Canadian Foundation for Climate and Atmospheric Sciences and the BIOCAP Canada Foundation).", "When heavily using this site in a paper.", 
"CA-SF3", "1646", "GRP_ACKNOWLEDGEMENT", "The data collection was funded by the Canadian Forest Service (Natural Resources Canada) and by Parks Canada as part of the BERMS (Boreal Ecosystem Research and Monitoring Sites) initiative in collaboration with the Fluxnet Canada Research Network and the Canadian Carbon Program (supported by the Canadian National Science and Engineering Research Council (NSERC), the Canadian Foundation for Climate and Atmospheric Sciences and the BIOCAP Canada Foundation).", "When heavily using this site in a paper.", 
"CA-SMC", "81465", "GRP_ACKNOWLEDGEMENT", "Eddy covariance and supporting measurements at the Smith Creek research site were funded by the Canada Research Chairs, Natural Sciences and Engineering Research Council Discovery Grant and various Canada Foundation for Innovation programs.", , 
"CA-TVC", "81569", "GRP_ACKNOWLEDGEMENT", "Eddy covariance and supporting measurements at the  Trail Valley Creek Research Station were funded by the Canada Research Chairs, Natural Sciences and Engineering Research Council Discovery Grant and various Canada Foundation for Innovation programs.", , 
"CR-Fsc", "85938", "GRP_ACKNOWLEDGEMENT", "Funded by NSERC grant WTWPJ 506082-2016 (AgWIT project through Water JPI and FACCEJPI 2016 Joint Call).
Additional thanks for their support to the research manager at the farm (Fermin Subiros) and the field technician (Grethel Rojas) for their support.", , 
"CR-Nmr", "85939", "GRP_ACKNOWLEDGEMENT", "Supported by grant number WTWPJ 506082-2016 (NSERC grant-AgWIT project through Water JPI and FACCEJPI 2016 Joint Call). Additional thanks for their support to the farm's manager  (Manuel Vargas) and the field technician (Grethel Rojas).", , 
"CR-SoC", "12526", "GRP_ACKNOWLEDGEMENT", "This research was supported by the Office of Science (BER), U.S. Department of Energy.", , 
"MX-Lpa", "7594", "GRP_ACKNOWLEDGEMENT", "P.I. Walter Oechel.  CIBNOR, BCS, MX.  San Diego State Univeristy, CA. USA.  National Science Foundaiton.", "Site PI Walter Oechel.  Support provided by CIBNOR, BCS, MX; SDSU, CA, USA; and the National Science Foundation.", 
"MX-PMm", "83436", "GRP_ACKNOWLEDGEMENT", "CONACyT is acknowledged for providing all funds (INFR-2016-01 N° 269269 to SAB) for the infrastructure related to flux measurements. El Colegio de la Frontera Sur is acknowledged for providing funds for site operation and maintenance.", , 
"PE-TNR", "85905", "GRP_ACKNOWLEDGEMENT", "Subcontract EU-Geocarbon 283080,  grant 57-2018-FONDECYT-BM-IADT-MU, support from the Scottisch Alliance for Geosciences and the Environment (SAGES), PUCP and AIDER (Peru).", , 
"PR-xGU", "85629", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"PR-xLA", "85592", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-A03", "85018", "GRP_ACKNOWLEDGEMENT", "This site is supported by the U.S. Dept. of Energy's Office of Biological and Environmental Research ARM program.", "For more information, please contact Dave Billesbach", 
"US-A10", "85085", "GRP_ACKNOWLEDGEMENT", "This site is supported by the U.S. Dept. of Energy's Office of Biological and Environmental Research ARM program.", "For more information, please contact Dave Billesbach", 
"US-A32", "30065", "GRP_ACKNOWLEDGEMENT", "This site is supported by the U.S. Dept. of Energy's Office of Biological and Environmental Research ARM program.", "For more information, please contact Dave Billesbach", 
"US-A39", "85073", "GRP_ACKNOWLEDGEMENT", "This site is supported by the U.S. Dept. of Energy's Office of Biological and Environmental Research ARM program.", "For more information, please contact Dave Billesbach", 
"US-A74", "30071", "GRP_ACKNOWLEDGEMENT", "This site is supported by the U.S. Dept. of Energy's Office of Biological and Environmental Research ARM program.", "For more information, please contact Dave Billesbach", 
"US-ADR", "15372", "GRP_ACKNOWLEDGEMENT", "Funding provided by USGS Nevada Water Science Center, USGS Toxic Substances Hydrology Program", , 
"US-ARM", "22343", "GRP_ACKNOWLEDGEMENT", "This research was supported by the Office of Biological and Environmental Research of the US Department of Energy under contract No. DE-AC02-05CH11231 as part of the Atmospheric Radiation Measurement Program (ARM)", , 
"US-Beo", "81620", "GRP_ACKNOWLEDGEMENT", "Supported by U.S. DOE, under Contract No. DE-AC02-05CH11231 to LBNL.", "Acknowledge the Global Change Research Group,  San Diego State University (SDSU), the funding agency (NSF, NASA, DOE), and the Pis (D Zona and W Oechel) and data manager (J Goodrich) of the tower", 
"US-BRG", "30560", "GRP_ACKNOWLEDGEMENT", "The Bayles Road grassland tower is supported by the Department of Energy via the Ameriflux Management Project administered by Lawrence Berkeley National Lab, and by the National Science Foundation, Division of Environmental Biology (DEB 1552747 )", , 
"US-Bsg", "16081", "GRP_ACKNOWLEDGEMENT", "Supported by  NOAA", , 
"US-BSM", "31108", "GRP_ACKNOWLEDGEMENT", "This research was primarily funded by the NOAA National Estuarine Research Reserve Science Collaborative (NA09NOS4190153 and NA14NOS4190145) and NSF MRI (DBI-959333).", , 
"US-CF1", "84800", "GRP_ACKNOWLEDGEMENT", "The USDA-ARS supported Cook Agronomy Farm Long-Term Agro-ecosystem Research site provided data for this work.", , 
"US-CF2", "84820", "GRP_ACKNOWLEDGEMENT", "The USDA-ARS supported Cook Agronomy Farm Long-Term Agro-ecosystem Research site provided data for this work.", , 
"US-CF3", "84840", "GRP_ACKNOWLEDGEMENT", "The USDA-ARS supported Cook Agronomy Farm Long-Term Agro-ecosystem Research site provided data for this work.", , 
"US-CF4", "84860", "GRP_ACKNOWLEDGEMENT", "The USDA-ARS supported Cook Agronomy Farm Long-Term Agro-ecosystem Research site provided data for this work.", , 
"US-CRT", "12764", "GRP_ACKNOWLEDGEMENT", "Supported by NOAA (NA10OAR4170224) & NSF (NSF1034791)", "Acknowledgement Walter Berger for fully support", 
"US-CS1", "83394", "GRP_ACKNOWLEDGEMENT", "This work was funded by an award to UW-Madison from WPVGA and the Wisconsin DNR", , 
"US-CS2", "87369", "GRP_ACKNOWLEDGEMENT", "This work was funded by an award to UW-Madison from WPVGA and the Wisconsin DNR", , 
"US-CS3", "87384", "GRP_ACKNOWLEDGEMENT", "This work was funded by an award to UW-Madison from WPVGA and the Wisconsin DNR", , 
"US-Cst", "13208", "GRP_ACKNOWLEDGEMENT", "USDA Forest Serivce - Southern Research Station", "subject to change", 
"US-Cwt", "85004", "GRP_ACKNOWLEDGEMENT", "Funding provided by the USDA Forest Service, Southern Research Station and EPA agreement number 13-IA-11330140-044", , 
"US-DFK", "87346", "GRP_ACKNOWLEDGEMENT", "We thank Patagonia Provisions for funding for this project", , 
"US-Fcr", "85268", "GRP_ACKNOWLEDGEMENT", "Supported by grants from JAMSTEC under the JAMSTEC-IARC collaboration study, and JSPS KAKENHI, Japan.", "Acknowledge JSPS KAKENHI.", 
"US-GCE", "86851", "GRP_ACKNOWLEDGEMENT", "Data provided by the Georgia Coastal Ecosystems LTER program, funded by the National Science Foundation under grants OCE-1237140 and OCE-1832178", , 
"US-GZ1", "85779", "GRP_ACKNOWLEDGEMENT", "Funded through award #2017-68002-26819 from the National Institute of Food and Agriculture", , 
"US-GZ2", "85826", "GRP_ACKNOWLEDGEMENT", "Funded through award #2017-68002-26819 from the National Institute of Food and Agriculture", , 
"US-GZ3", "85887", "GRP_ACKNOWLEDGEMENT", "Funded through award #2017-68002-26819 from the National Institute of Food and Agriculture", , 
"US-Ha1", "30451", "GRP_ACKNOWLEDGEMENT", "Operation of the US-Ha1 site is supported by the AmeriFlux Management Project with funding by the U.S. Department of Energy’s Office of Science under Contract No. DE-AC02-05CH11231, and additionally is a part of the Harvard Forest LTER site supported by the National Science Foundation (DEB-1237491).", , 
"US-Ha2", "79381", "GRP_ACKNOWLEDGEMENT", "Operation of the US-Ha2 site is supported by the AmeriFlux Management Project with funding by the U.S. Department of Energy’s Office of Science under Contract No. DE-AC02-05CH11231, and additionally is a part of the Harvard Forest LTER site supported by the National Science Foundation (DEB-1237491).", , 
"US-HB1", "86480", "GRP_ACKNOWLEDGEMENT", "This site is partially supported by the South Carolina Sea Grant Consortium with NOAA financial assistance number NA18OAR4170091.  The site is maintained in cooperation with the North Inlet-Winyah Bay National Estuarine Research Reserve.  We thank the Belle W. Baruch Foundation for making the property available for research.", , 
"US-HB2", "79870", "GRP_ACKNOWLEDGEMENT", "Thank you to the Belle W. Baruch Foundation for hosting the site.", , 
"US-HB3", "86454", "GRP_ACKNOWLEDGEMENT", "Thank you to the Belle W. Baruch Foundation for hosting the site.", , 
"US-Hn1", "83544", "GRP_ACKNOWLEDGEMENT", "This research was supported by the U.S. Department of Energy (DOE), Office of Biological and Environmental Research (BER), as part of BER's Subsurface Biogeochemistry Research Program (SBR).", , 
"US-Hn2", "83485", "GRP_ACKNOWLEDGEMENT", "This research was supported by the U.S. Department of Energy (DOE), Office of Biological and Environmental Research (BER), as part of BER's Subsurface Biogeochemistry Research Program (SBR).", , 
"US-Hn3", "83523", "GRP_ACKNOWLEDGEMENT", "This research was supported by the U.S. Department of Energy (DOE), Office of Biological and Environmental Research (BER), as part of BER's Subsurface Biogeochemistry Research Program (SBR).", , 
"US-HRN", "88166", "GRP_ACKNOWLEDGEMENT", "This work was funded through the U.S. Geological Survey under Cooperative Agreements G11AP20066 and G16AP00040 administered by the Arkansas Water Resources Center at the University of Arkansas, the USDA-NRCS under Cooperative Agreement 68-7103-17-119, and the NSF under award no. 1752083.", , 
"US-HRP", "31131", "GRP_ACKNOWLEDGEMENT", "This research was primarily funded by the NOAA National Estuarine Research Reserve Science Collaborative (NA09NOS4190153 and NA14NOS4190145) and NSF MRI (DBI-959333).", , 
"US-HRS", "88170", "GRP_ACKNOWLEDGEMENT", "This work was funded through the U.S. Geological Survey under Cooperative Agreements G11AP20066 and G16AP00040 administered by the Arkansas Water Resources Center at the University of Arkansas, the USDA-NRCS under Cooperative Agreement 68-7103-17-119, and the NSF under award no. 1752083.", , 
"US-HVs", "84665", "GRP_ACKNOWLEDGEMENT", "National Science Foundation, Arctic Systems Science, Land-Atmosphere-Ice-Interactions Program (OPP-9216109).", "Agricultural, Forestry and Fishery Research Council, MAFF, Japan", 
"US-KL1", "14587", "GRP_ACKNOWLEDGEMENT", "Supported by DOE (DE-FC02-07ER64494, DE-AC05-76RL01830) & NSF-LTER (DEB 1027253)", , 
"US-KL2", "14612", "GRP_ACKNOWLEDGEMENT", "Supported by DOE (DE-FC02-07ER64494, DE-AC05-76RL01830) & NSF-LTER (DEB 1027253)", , 
"US-KL3", "14638", "GRP_ACKNOWLEDGEMENT", "Supported by DOE (DE-FC02-07ER64494, DE-AC05-76RL01830) & NSF-LTER (DEB 1027253)", , 
"US-KM1", "14664", "GRP_ACKNOWLEDGEMENT", "Supported by DOE (DE-FC02-07ER64494, DE-AC05-76RL01830) & NSF-LTER (DEB 1027253)", , 
"US-KM2", "14690", "GRP_ACKNOWLEDGEMENT", "Supported by DOE (DE-FC02-07ER64494, DE-AC05-76RL01830) & NSF-LTER (DEB 1027253)", , 
"US-KM3", "14717", "GRP_ACKNOWLEDGEMENT", "Supported by DOE (DE-FC02-07ER64494, DE-AC05-76RL01830) & NSF-LTER (DEB 1027253)", , 
"US-KM4", "14745", "GRP_ACKNOWLEDGEMENT", "Supported by DOE (DE-FC02-07ER64494, DE-AC05-76RL01830) & NSF-LTER (DEB 1027253)", , 
"US-KS3", "79249", "GRP_ACKNOWLEDGEMENT", "Thanks to AmeriFlux, DOE, NASA Kennedy Space Center, and US Fish and Wildlife Service.
", , 
"US-KS4", "79900", "GRP_ACKNOWLEDGEMENT", "Thanks to NASA Kennedy Space Center and USFWS Merritt Island National Wildlife Refuge", , 
"US-KUO", "11696", "GRP_ACKNOWLEDGEMENT", "The KUOM flux study was funded by NASA (NNG04GN80G) as a component of the NACP", , 
"US-KUT", "11756", "GRP_ACKNOWLEDGEMENT", "The KUOM flux study was funded by NASA (NNG04GN80G) as a component of the NACP", , 
"US-LA1", "85102", "GRP_ACKNOWLEDGEMENT", "Funding for this research was provided by Louisiana Coastal Protection and Restoration Authority, USGS Climate and Land Use Change R&D Program, and USGS LandCarbon Program. We thank Apache Louisiana Minerals (through agreement with CH2M) for allowing us to install studies on their lands immediately adjacent to Pointe-aux-Chenes WMA.  Any use of trade, product, or firm names is for descriptive purposes only and does not imply endorsement by the U.S. Government.", , 
"US-LA2", "85144", "GRP_ACKNOWLEDGEMENT", "Funding for this research was provided by Louisiana Coastal Protection and Restoration Authority, USGS Climate and Land Use Change R&D Program, and USGS LandCarbon Program. We thank the Louisiana Department of Wildlife and Fisheries for allowing access to study sites.  Any use of trade, product, or firm names is for descriptive purposes only and does not imply endorsement by the U.S. Government.", , 
"US-LA3", "85161", "GRP_ACKNOWLEDGEMENT", "Funding for this research was provided by the USGS LandCarbon Program and USGS Ecosystems Mission Area. We thank Apache Louisiana Minerals for allowing us to install studies on their lands.  Any use of trade, product, or firm names is for descriptive purposes only and does not imply endorsement by the U.S. Government.", , 
"US-LGr", "13006", "GRP_ACKNOWLEDGEMENT", "Supported by USDA-NIFA, under the Contract No.  2012-67009-19595.", , 
"US-Me1", "7957", "GRP_ACKNOWLEDGEMENT", "DOE acknowledgment for Eyerly site research: This research was supported by the Of?ce of Science (BER), U.S. Department of Energy (DOE, Grant no. DE-FG02-06ER64318)", , 
"US-Me2", "12961", "GRP_ACKNOWLEDGEMENT", "The Metolius AmeriFlux research was supported by the Office of Science (BER), U.S. Department of Energy, Grant No. DE-FG02-06ER64318).", , 
"US-Me3", "17274", "GRP_ACKNOWLEDGEMENT", "The Metolius AmeriFlux research was supported by the Office of Science (BER), U.S. Department of Energy, Grant No. DE-FG02-06ER64318).", , 
"US-Me4", "310", "GRP_ACKNOWLEDGEMENT", "This study was supported by NASA (grant # NAG5-7531), and the Office of Science (BER), U.S. Department of Energy (grant # FG0300ER63014).", , 
"US-Me5", "3680", "GRP_ACKNOWLEDGEMENT", "This study was funded by NASA (grant # NAG5-7531), and DOE (grant # FG0300ER63014).", , 
"US-Me6", "11555", "GRP_ACKNOWLEDGEMENT", "This research was supported by the Ofﬁce of Science (BER), US Department of Energy (Award DE SC0005322), and a Leopoldina Research Fellowship to NKR (LPDS 2009-37)", , 
"US-Mj1", "29747", "GRP_ACKNOWLEDGEMENT", "Work was supported by the MT Wheat & Barley Committee, USDA NIFA Hatch project 228396, & NSF DEB 1552976.", , 
"US-Mj2", "29727", "GRP_ACKNOWLEDGEMENT", "Work was supported by the MT Wheat & Barley Committee, USDA NIFA Hatch project 228396, & NSF DEB 1552976.", , 
"US-MMS", "11716", "GRP_ACKNOWLEDGEMENT", "Research at the MMSF site was supported by the Office of Science (BER), U.S. Department of Energy, Grant No. DE-FG02-07ER64371", , 
"US-MOz", "30122", "GRP_ACKNOWLEDGEMENT", "The MOFLUX site is supported by Oak Ridge National Laboratory’s Terrestrial Ecosystem Science (TES) Scientific Focus Area (SFA), which in turn is supported by the U.S. Department of Energy, Office of Science, Office of Biological and Environmental Research Program, Climate and Environmental Sciences Division.", , 
"US-MtB", "87259", "GRP_ACKNOWLEDGEMENT", "Funding for the Mt. Bigelow operation and maintenance was provided by National Science Foundation EAR awards 0724958 and 1331408 to the Catalina-Jemez Critical Zone Observatory.", , 
"US-Myb", "11195", "GRP_ACKNOWLEDGEMENT", "Biometeorology Lab, University of California, Berkeley, PI:  Dennis Baldocchi", , 
"US-NGB", "13254", "GRP_ACKNOWLEDGEMENT", "This work was supported by the U.S. Department of Energy, Office of Science, Biological and Environmental Research", "Users are expected to acknowledge data products with a citation, web site information downloads with a citation, or general NGEE Arctic information as an acknowledgment or personal bibliographic web communication, if no other citation form is applicable. When publishing original analyses and results based on NGEE Arctic data, users are expected to acknowledge the agency or organization that supported the collection of the original data.", 
"US-NGC", "79386", "GRP_ACKNOWLEDGEMENT", "The Next-Generation Ecosystem Experiments (NGEE Arctic) project is supported by the Office of Biological and Environmental Research in the DOE Office of Science.", , 
"US-NR1", "88068", "GRP_ACKNOWLEDGEMENT", "Funding for the AmeriFlux core site US-NR1 data was provided by the U.S. Department of Energy’s Office of Science.", , 
"US-Nrf", "30902", "GRP_ACKNOWLEDGEMENT", "USGS Land Carbon Program and United States Fish and Wildlife Service", "This project also leverages existing research from the National Aeronautics and Space Administration-Carbon Monitoring System program (Project #: NNH14AY67I) and the Estuary and Salmon Restoration Program (Project #: 13-1583P).", 
"US-Nrs", "30865", "GRP_ACKNOWLEDGEMENT", "USGS Land Carbon Program and United States Fish and Wildlife Service", "This project also leverages existing research from the National Aeronautics and Space Administration-Carbon Monitoring System program (Project #: NNH14AY67I) and the Estuary and Salmon Restoration Program (Project #: 13-1583P).", 
"US-Oho", "12788", "GRP_ACKNOWLEDGEMENT", "USDA FS Southern Global Change Program (cooperative agreements 03-CA-11330147-073 and 04-CA-11330147-238)", "Tim Schetter, Karen Menard, Russ Maneval, and the Metroparks of the Toledo Area provide the access to the Oak Openings Preserve Park and offer logistical support.", 
"US-OWC", "85897", "GRP_ACKNOWLEDGEMENT", "NOAA National Estuarine Research Reserve System (NERRS). System-wide Monitoring Program. Data accessed from the NOAA NERRS Centralized Data Management Office website: http://www.nerrsdata.org/", "Additional to the Ameriflux acknowledgement. Use http://www.nerrsdata.org/ for additional met data for this site, not available through Ameriflux.", 
"US-PFb", "87419", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFc", "87442", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFd", "87465", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFe", "87488", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFf", "87511", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFg", "87521", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFh", "87561", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFi", "87527", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFj", "87607", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFk", "87626", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFL", "87649", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFm", "87672", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", "Acknowledge the National Center for Atmospheric Research Earth Observing Laboratory, National Science Foundation, AmeriFlux Management Project", 
"US-PFn", "87695", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFo", "87718", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFp", "87741", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFq", "87792", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFr", "87769", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFs", "87810", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-PFt", "87833", "GRP_ACKNOWLEDGEMENT", "Supported by National Science Foundation (NSF) Award #1822420", , 
"US-Prr", "81462", "GRP_ACKNOWLEDGEMENT", "The US-Prr site is supported by JAMSTEC and IARC/UAF collaboration study (JICS) and Arctic Challenge for Sustainability Project (ArCS).", , 
"US-RC1", "84880", "GRP_ACKNOWLEDGEMENT", "The Regional Approaches to Cliamte Change project was funded by award #2011-68002-30191 from the National Institute of Food and Agriculture.", , 
"US-RC2", "84915", "GRP_ACKNOWLEDGEMENT", "The Regional Approaches to Cliamte Change project was funded by award #2011-68002-30191 from the National Institute of Food and Agriculture.", , 
"US-RC3", "84897", "GRP_ACKNOWLEDGEMENT", "The Regional Approaches to Cliamte Change project was funded by award #2011-68002-30191 from the National Institute of Food and Agriculture.", , 
"US-RC4", "84933", "GRP_ACKNOWLEDGEMENT", "The Regional Approaches to Cliamte Change project was funded by award #2011-68002-30191 from the National Institute of Food and Agriculture.", , 
"US-RC5", "84950", "GRP_ACKNOWLEDGEMENT", "The Regional Approaches to Cliamte Change project was funded by award #2011-68002-30191 from the National Institute of Food and Agriculture.", , 
"US-Rls", "33706", "GRP_ACKNOWLEDGEMENT", "Support for the Reynolds Creek Critical Zone Observatory Cooperative is provided by USDA ARS and NSF Grant #EAR 1331872.", , 
"US-Rms", "33707", "GRP_ACKNOWLEDGEMENT", "Support for the Reynolds Creek Critical Zone Observatory Cooperative is provided by USDA ARS and NSF Grant #EAR 1331872.", , 
"US-Rpf", "85286", "GRP_ACKNOWLEDGEMENT", "Supported by Arctic Challenge for Sustainability (ArCS) project by the Ministry of Education, Culture, Sports, Science and Technology, Japan.", "Acknowledge the ArCS Project", 
"US-RRC", "79843", "GRP_ACKNOWLEDGEMENT", "We acknowledge Virginia Commonwealth University and the Dominion Charitable Foundation for support.", , 
"US-Rwf", "88124", "GRP_ACKNOWLEDGEMENT", "Support for the Reynolds Creek Critical Zone Observatory Cooperative is provided by USDA ARS and NSF Grant #EAR 1331872.", , 
"US-Rws", "33709", "GRP_ACKNOWLEDGEMENT", "Support for the Reynolds Creek Critical Zone Observatory Cooperative is provided by USDA ARS and NSF Grant #EAR 1331872.", , 
"US-SB1", "81413", "GRP_ACKNOWLEDGEMENT", "The Thomas F. and Kate Miller Jeffress Memorial Trust, Bank of America, Trustee", , 
"US-SB1", "81414", "GRP_ACKNOWLEDGEMENT", "USDA-NIFA Project 2017-68002-26612", , 
"US-SB2", "81416", "GRP_ACKNOWLEDGEMENT", "USDA-NIFA Project 2017-68002-26612", , 
"US-SB2", "81418", "GRP_ACKNOWLEDGEMENT", "The Global Change Center at Virginia Tech", , 
"US-SB3", "84647", "GRP_ACKNOWLEDGEMENT", "Virginia Tech Global Change Center", , 
"US-SDU", "13146", "GRP_ACKNOWLEDGEMENT", "Check with PI for data updates, descriptions, and ackknowledgements before using data in publications.", , 
