"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SOIL_TEX_CLAY", "SOIL_TEX_PROFILE_MIN", "SOIL_TEX_PROFILE_MAX", "SOIL_TEX_HORIZON", "SOIL_TEX_COMMENT", "SOIL_TEX_SAND", "SOIL_TEX_SILT", "SOIL_TEX_WATER_HOLD_CAP", "SOIL_TEX_DATE", "SOIL_TEX_ROCK", "SOIL_TEX_ROCK_SPATIAL_VARIABILITY", 
"US-MOz", "23911", "GRP_SOIL_TEX", , "0", "200", "Total", "Weller: 305  Clinkenbeard:  51
Stephen Pallardy: choose Weller as representative for site; Weller: 2  Clinkenbeard:  0.65
Stephen Pallardy: choose Weller as representative for site", , , "305", , , , 
"US-MOz", "24171", "GRP_SOIL_TEX", , "0", "165", "B", "(range 1-20) Weller: 1.65  Clinkenbeard: 0.36", "10.5", , , , , , 
"US-MOz", "24172", "GRP_SOIL_TEX", , "0", "165", "B", "(range 50-70) Weller: 1.65  Clinkenbeard: 0.36", , "60", , , , , 
"US-MOz", "24173", "GRP_SOIL_TEX", "34", "0", "165", "B", "(range 20-48) Weller: 1.65  Clinkenbeard: 0.36", , , , , , , 
"US-MOz", "24937", "GRP_SOIL_TEX", , "0", "38", "A", "(range 5-10) Weller: 0.38  Clinkenbeard:  0.25
Stephen Pallardy: choose Weller as representative for site", "7.5", , , , , , 
"US-MOz", "24938", "GRP_SOIL_TEX", "15", "0", "38", "A", "(range 12-18) Weller: 0.38  Clinkenbeard:  0.25
Stephen Pallardy: choose Weller as representative for site", , , , , , , 
"US-Ne1", "28886", "GRP_SOIL_TEX", "37", , , , , "11", "52", , , , , 
"US-Ne2", "27667", "GRP_SOIL_TEX", "33", , , , , "12", "55", , , , , 
"US-Ne3", "28384", "GRP_SOIL_TEX", "35", , , , , "8", "57", , , , , 
"US-NR1", "24666", "GRP_SOIL_TEX", , "0", "15", "Total", , , , "150", , , , 
"US-PFa", "28542", "GRP_SOIL_TEX", "6.63", , , , "0-30 cm. P. Bolstad", "59.31", "34", , , , , 
"US-Shd", "23739", "GRP_SOIL_TEX", , "1", "13", , "(5-6); Soil at Tallgrass Prairie Site: silty clay loam of Wolco-Dwight complex (Pachic Argiustolls & Typic Natrustolls) ; George Burba. Y:Okla-SRLAIBiomass&SoilsProperties of OK soils.doc.", "5.5", , , , , , 
"US-Shd", "23740", "GRP_SOIL_TEX", , "13", "53", , "(6-7); Soil at Tallgrass Prairie Site: silty clay loam of Wolco-Dwight complex (Pachic Argiustolls & Typic Natrustolls) ; George Burba. Y:Okla-SRLAIBiomass&SoilsProperties of OK soils.doc.", "6.5", , , , , , 
"US-Shd", "23741", "GRP_SOIL_TEX", , "84", "104", , "(4-5); Soil at Tallgrass Prairie Site: silty clay loam of Wolco-Dwight complex (Pachic Argiustolls & Typic Natrustolls) ; George Burba. Y:Okla-SRLAIBiomass&SoilsProperties of OK soils.doc.", "4.5", , , , , , 
"US-Shd", "24007", "GRP_SOIL_TEX", "29", "13", "53", , "Soil at Tallgrass Prairie Site: silty clay loam of Wolco-Dwight complex (Pachic Argiustolls & Typic Natrustolls) ; George Burba. Y:Okla-SRLAIBiomass&SoilsProperties of OK soils.doc.", , "64", , , , , 
"US-Shd", "24121", "GRP_SOIL_TEX", , "104", "150", , "(4-5); Soil at Tallgrass Prairie Site: silty clay loam of Wolco-Dwight complex (Pachic Argiustolls & Typic Natrustolls) ; George Burba. Y:Okla-SRLAIBiomass&SoilsProperties of OK soils.doc.", "4.5", , , , , , 
"US-Shd", "24377", "GRP_SOIL_TEX", "25", "1", "13", , "Soil at Tallgrass Prairie Site: silty clay loam of Wolco-Dwight complex (Pachic Argiustolls & Typic Natrustolls) ; George Burba. Y:Okla-SRLAIBiomass&SoilsProperties of OK soils.doc.", , "69", , , , , 
"US-Shd", "24378", "GRP_SOIL_TEX", "43", "53", "84", , "Soil at Tallgrass Prairie Site: silty clay loam of Wolco-Dwight complex (Pachic Argiustolls & Typic Natrustolls) ; George Burba. Y:Okla-SRLAIBiomass&SoilsProperties of OK soils.doc.", , "52", , , , , 
"US-Shd", "24780", "GRP_SOIL_TEX", , "53", "84", , "(4-5); Soil at Tallgrass Prairie Site: silty clay loam of Wolco-Dwight complex (Pachic Argiustolls & Typic Natrustolls) ; George Burba. Y:Okla-SRLAIBiomass&SoilsProperties of OK soils.doc.", "4.5", , , , , , 
"US-Shd", "26056", "GRP_SOIL_TEX", "45", "84", "104", , "Soil at Tallgrass Prairie Site: silty clay loam of Wolco-Dwight complex (Pachic Argiustolls & Typic Natrustolls) ; George Burba. Y:Okla-SRLAIBiomass&SoilsProperties of OK soils.doc.", , "50", , , , , 
"US-Shd", "26057", "GRP_SOIL_TEX", "50", "104", "150", , "Soil at Tallgrass Prairie Site: silty clay loam of Wolco-Dwight complex (Pachic Argiustolls & Typic Natrustolls) ; George Burba. Y:Okla-SRLAIBiomass&SoilsProperties of OK soils.doc.", , "45", , , , , 
"US-Slt", "27480", "GRP_SOIL_TEX", , "40", "80", , "includes clay; in > 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", , "2.6", , , , , 
"US-Slt", "27808", "GRP_SOIL_TEX", , "20", "40", , "in > 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", "79.3", , , , "17.1", "16.7", 
"US-Slt", "28082", "GRP_SOIL_TEX", , "20", "40", , "includes clay; in > 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", , "3.6", , , , , 
"US-Slt", "28424", "GRP_SOIL_TEX", , "40", "80", , "includes clay; in < 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", "95.2", "4.8", , , , , 
"US-Slt", "28770", "GRP_SOIL_TEX", , "0", "10", , "in > 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", "82.9", "3.8", , , "13.3", "20.0", 
"US-Slt", "28771", "GRP_SOIL_TEX", , "10", "20", , "in > 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", "83.6", , , , "12.1", "15.5", 
"US-Slt", "28772", "GRP_SOIL_TEX", , "40", "80", , "in > 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", "50.8", , , , "46.6", "22.6", 
"US-Slt", "28803", "GRP_SOIL_TEX", , "10", "20", , "includes clay; in > 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", , "4.3", , , , , 
"US-Slt", "29303", "GRP_SOIL_TEX", , "10", "20", , "includes clay; in < 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", "95.1", "4.9", , , , , 
"US-Slt", "29411", "GRP_SOIL_TEX", , "20", "40", , "includes clay; in < 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", "95.7", "4.3", , , , , 
"US-Slt", "29615", "GRP_SOIL_TEX", , "0", "10", , "includes clay; in < 2 mm fraction; n = 15 total, 3 soil cores per tree census plot.", "95.6", "4.4", , , , , 
"US-SP1", "27977", "GRP_SOIL_TEX", "1", , , , , "99", "0", , , , , 
"US-SP2", "28590", "GRP_SOIL_TEX", "1", , , , , "99", "0", , , , , 
"US-SP3", "27357", "GRP_SOIL_TEX", "1", , , , , "99", "0", , , , , 
"US-SRM", "26911", "GRP_SOIL_TEX", "15", , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", , , , , , , 
"US-SRM", "27061", "GRP_SOIL_TEX", , , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", , "10", , , , , 
"US-SRM", "27063", "GRP_SOIL_TEX", , , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", "74", , , , , , 
"US-SRM", "27065", "GRP_SOIL_TEX", , , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", "87", , , , , , 
"US-SRM", "27600", "GRP_SOIL_TEX", "6", , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", , , , , , , 
"US-SRM", "27601", "GRP_SOIL_TEX", , , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", "72", , , , , , 
"US-SRM", "27605", "GRP_SOIL_TEX", , , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", "80", , , , , , 
"US-SRM", "27606", "GRP_SOIL_TEX", "11", , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", , , , , , , 
"US-SRM", "27973", "GRP_SOIL_TEX", "9", , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", , , , , , , 
"US-SRM", "27975", "GRP_SOIL_TEX", , , , , "(range 0.15 - 0.07) vol. water content ~ 0.15 at field capacity (1/3 bar) and ~0.07 at "wilting point" (15 bar)", , , "0.11", , , , 
"US-SRM", "28323", "GRP_SOIL_TEX", , , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", , "12", , , , , 
"US-SRM", "28585", "GRP_SOIL_TEX", , , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", , "7", , , , , 
"US-SRM", "28586", "GRP_SOIL_TEX", "6", , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", , , , , , , 
"US-SRM", "29055", "GRP_SOIL_TEX", , , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", , "9", , , , , 
"US-SRM", "29169", "GRP_SOIL_TEX", , , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", "84", , , , , , 
"US-SRM", "29170", "GRP_SOIL_TEX", , , , , "loamy sand, sampled on WS#6 from spreadsheet (source: P. Heilman), same soil type", , "17", , , , , 
"US-Syv", "28539", "GRP_SOIL_TEX", "6", , , , "http://www.cheas.psu.edu/data/cheas/publish-on-cheas/Sylvania_tower/Site%20Characterization/Soil%20Characterization/Soil%20Texture/Soil%20Texture.doc", "57", "36", , , , , 
"US-UMB", "24587", "GRP_SOIL_TEX", "0.6", , , "Total", , "92.6", "6.8", , , , , 
"US-UMB", "24854", "GRP_SOIL_TEX", , "0", "15", "Total", , , , "0.031", , , , 
"US-WCr", "26899", "GRP_SOIL_TEX", "13", "0", "30", , "(Top 0-30 cm.)  Cook et al 2004;  (2007 Fluxnet file)", "54", "33", , , , , 
"US-WCr", "27045", "GRP_SOIL_TEX", "6.9", , , , "from Cheas website", "59.3", "34", , , , , 
"US-Wkg", "23654", "GRP_SOIL_TEX", "17", "0", "5", "A", , "67", "16", , , , , 
"US-Wkg", "24295", "GRP_SOIL_TEX", "10", "0", "147", "B", , "70", "20", , , , , 
"US-Wrc", "27981", "GRP_SOIL_TEX", "10", , , "A-Horizon", , "60", "30", , , , , 
