"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "RESEARCH_TOPIC", 
"US-A10", "85095", "GRP_RESEARCH_TOPIC", "Greenhouse Gas fluxes, energy balance and partitioning", 
"US-A32", "30060", "GRP_RESEARCH_TOPIC", "Greenhouse Gas fluxes, energy balance and partitioning", 
"US-A39", "85068", "GRP_RESEARCH_TOPIC", "Greenhouse Gas fluxes, energy balance and partitioning", 
"US-A74", "30086", "GRP_RESEARCH_TOPIC", "Greenhouse Gas fluxes, energy balance and partitioning", 
"US-Act", "81630", "GRP_RESEARCH_TOPIC", "Reservoir methane emission behavior and biophysical drivers, reservoir carbon dioxide dynamics", 
"US-ADR", "15381", "GRP_RESEARCH_TOPIC", "Flux data processing, instrument QA/QC", 
"US-Akn", "22260", "GRP_RESEARCH_TOPIC", "The research objectives of the Aiken site include the following: 1) To determine nocturnal atmospheric footprint estimation and validation; 2) To characterize flow anomalies in stable boundary layers; 3) To examine the importance of atmospheric low-level jets on local and regional fluxes; 4) To provide a quantitative, spatially, and temporally resolved description of carbon, water, and energy exchange at the regional scale; 5) To validate a recently developed, alternate method of measuring fluxes for conditions where eddy-covariance flux measurements are unreliable. The research goal is to produce new, improved and scientifically more accurate estimates of atmosphere-terrestrial ecosystem exchange processes.", 
"US-ALQ", "83470", "GRP_RESEARCH_TOPIC", "Flux data processing", 
"US-An1", "3309", "GRP_RESEARCH_TOPIC", "The research approach of the Arctic Long Term Ecological Research (LTER) project is to predict the future ecological characteristics of the site based upon existing knowledge of the controls of ecosystem structure and function as exerted by physical setting and geological factors, climatic factors, biotic factors, and the changes in fluxes of water and materials from land to water. Three towers were deployed along the Anaktuvuk River burn gradient to monitor post fire Net Ecosystem Exchange of CO2 (NEE):  Severe Burn, Moderate Burn, and Unburned. The research focus of these stations is to characterize the effects of the Anaktuvuk River fire on climate forcing and vegetation recovery on the north slope of Alaska. This work will investigate fire-induced landscape heterogeneity in the Anaktuvuk River fire scar and its implications to scaling disturbances up to the region.", 
"US-An2", "10146", "GRP_RESEARCH_TOPIC", "The research approach of the Arctic Long Term Ecological Research (LTER) project is to predict the future ecological characteristics of the site based upon existing knowledge of the controls of ecosystem structure and function as exerted by physical setting and geological factors, climatic factors, biotic factors, and the changes in fluxes of water and materials from land to water. Three towers were deployed along the Anaktuvuk River burn gradient to monitor post fire Net Ecosystem Exchange of CO2 (NEE):  Severe Burn, Moderate Burn, and Unburned. The research focus of these stations is to characterize the effects of the Anaktuvuk River fire on climate forcing and vegetation recovery on the north slope of Alaska. This work will investigate fire-induced landscape heterogeneity in the Anaktuvuk River fire scar and its implications to scaling disturbances up to the region.", 
"US-An3", "3296", "GRP_RESEARCH_TOPIC", "The research approach of the Arctic Long Term Ecological Research (LTER) project is to predict the future ecological characteristics of the site based upon existing knowledge of the controls of ecosystem structure and function as exerted by physical setting and geological factors, climatic factors, biotic factors, and the changes in fluxes of water and materials from land to water. Three towers were deployed along the Anaktuvuk River burn gradient to monitor post fire Net Ecosystem Exchange of CO2 (NEE):  Severe Burn, Moderate Burn, and Unburned. The research focus of these stations is to characterize the effects of the Anaktuvuk River fire on climate forcing and vegetation recovery on the north slope of Alaska. This work will investigate fire-induced landscape heterogeneity in the Anaktuvuk River fire scar and its implications to scaling disturbances up to the region.", 
"US-AR1", "15962", "GRP_RESEARCH_TOPIC", "The research focus of the ARM USDA UNL OSU Woodward Switchgrass 1 site is to investigate the effects of land use conversion from mixed prairie and old world bluestern grass plots to switchgrass (a biofuel crop) production.", 
"US-AR2", "15982", "GRP_RESEARCH_TOPIC", "The research focus of the ARM USDA UNL OSU Woodward Switchgrass 2 site is to investigate the effects of land use conversion from winter wheat on marginal sandy soil to switchgrass (a biofuel crop) production.", 
"US-ARb", "4127", "GRP_RESEARCH_TOPIC", "The research objective of the ARM SGP Burn site was to quantify the effects of burning on the cyles of carbon, water, and energy in an example of the Southern Great Plains.", 
"US-ARc", "9316", "GRP_RESEARCH_TOPIC", "The research objective of the ARM SGP Control site was to quantify the effects of burning on the cyles of carbon, water, and energy in an example of the Southern Great Plains.", 
"US-ARM", "29689", "GRP_RESEARCH_TOPIC", "The research focus of the ARM SGP Main site is carbon dioxide and water dynamics at a regional scale; influence of the land surface on carbon dioxide in the boundary layer;  and land-atmosphere interactions for example involving convection.", 
"US-ASH", "86826", "GRP_RESEARCH_TOPIC", "Soil and water salinity impact on crop productivity and water use", 
"US-ASL", "86759", "GRP_RESEARCH_TOPIC", "Soil and water salinity impact on crop productivity and water use", 
"US-ASM", "86750", "GRP_RESEARCH_TOPIC", "Soil and water salinity impact on crop productivity and water use", 
"US-Atq", "14887", "GRP_RESEARCH_TOPIC", "1) Seasonal variation of CO2, H2O and CH4 fluxes and the inter-annual differences in arctic landscapes; 2) Climatic effect on the arctic CO2, CH4 budget.", 
"US-BCM", "87299", "GRP_RESEARCH_TOPIC", "Carbon, methane, water and heat fluxes in a Florida peat marsh.", 
"US-BdA", "13315", "GRP_RESEARCH_TOPIC", "Agriculture, carbon balance, water balance", 
"US-BdC", "13333", "GRP_RESEARCH_TOPIC", "Agriculture, carbon balance, water balance", 
"US-Beo", "81624", "GRP_RESEARCH_TOPIC", "Flux data processing, instrument QA/QC", 
"US-Bes", "11829", "GRP_RESEARCH_TOPIC", "Ecology, Climate change, greenhouse gas emission", 
"US-Bi1", "30362", "GRP_RESEARCH_TOPIC", "soil subsidence and greenhouse gas budgets", 
"US-Bi2", "31265", "GRP_RESEARCH_TOPIC", "soil subsidence and greenhouse gas budgets", 
"US-Blo", "14397", "GRP_RESEARCH_TOPIC", "1) Carbon Balance; 2) Ozone deposition; 3) Influence of forest management practices and climate on ozone deposition and carbon balance; 4) Ecosystem modeling and spatial analysis of forest productivity and water balance; 5) Biogenic Hydrocarbon emissions", 
"US-Bn1", "6690", "GRP_RESEARCH_TOPIC", "The research objectives of the Delta Junction 1920 Control, 1987 Burn, and 1999 Burn sites are to characterize changes in the annual surface energy budget caused by fire-induced disturbance and to improve the understanding of global change in terrestrial ecosystems. The use of remote sensing data, atmospheric trace gas observations, field measurements, and models in new ways to study feedbacks between terrestrial ecosystems and climate. These three tower sites were selected in ecosystems that were part of a fire chronosequence and in various stages of recovery following fires that occurred in ~1920, 1987, and 1999.", 
"US-Bn2", "6713", "GRP_RESEARCH_TOPIC", "The research objectives of the Delta Junction 1920 Control, 1987 Burn, and 1999 Burn sites are to characterize changes in the annual surface energy budget caused by fire-induced disturbance and to improve the understanding of global change in terrestrial ecosystems. The use of remote sensing data, atmospheric trace gas observations, field measurements, and models in new ways to study feedbacks between terrestrial ecosystems and climate. These three tower sites were selected in ecosystems that were part of a fire chronosequence and in various stages of recovery following fires that occurred in ~1920, 1987, and 1999.", 
"US-Bn3", "760", "GRP_RESEARCH_TOPIC", "The research objectives of the Delta Junction 1920 Control, 1987 Burn, and 1999 Burn sites are to characterize changes in the annual surface energy budget caused by fire-induced disturbance and to improve the understanding of global change in terrestrial ecosystems. The use of remote sensing data, atmospheric trace gas observations, field measurements, and models in new ways to study feedbacks between terrestrial ecosystems and climate. These three tower sites were selected in ecosystems that were part of a fire chronosequence and in various stages of recovery following fires that occurred in ~1920, 1987, and 1999.", 
"US-Bo1", "10162", "GRP_RESEARCH_TOPIC", "1) Provide a long-term continuous record of the surface energy balance components for model testing and evaluation. 2) Ammonia and sulfate fluxes in croplands", 
"US-Br1", "10145", "GRP_RESEARCH_TOPIC", "The main objective is to develop infrastructure for long-term monitoring of spatial and temporal variation of CO2/H2O vapor exchange and C storage within corn/soybean systems through implementation of a combination field-scale/boundary layer measurement site. Additional objectives include: 1) Comparison of NEE with direct measurement of soil and plant C pools on an annual time step; 2) Determination of agricultural plant contribution to the total CO2 flux; 3) Improve understanding of the complex processes for CO2/H2O exchange at the field and boundary layer scale for the Upper Midwest; 4) Assessment of relative accuracy and feasibility of fluxes measured with the diffusion-gradient technique.", 
"US-Br2", "5871", "GRP_RESEARCH_TOPIC", "The main objective is to develop infrastructure for long-term monitoring of spatial and temporal variation of CO2/H2O vapor exchange and C storage within corn/soybean systems through implementation of a combination field-scale/boundary layer measurement site. Additional objectives include: 1) Comparison of NEE with direct measurement of soil and plant C pools on an annual time step; 2) Determination of agricultural plant contribution to the total CO2 flux; 3) Improve understanding of the complex processes for CO2/H2O  exchange at the field and boundary layer scale for the Upper Midwest; 4) Assessment of relative accuracy and feasibility of fluxes measured with the diffusion-gradient technique; 5) Monitor exchange processes at a height where the influence of individual corn and soybean surfaces on the vertical profiles or fluxes becomes horizontally blended.", 
"US-Br3", "5026", "GRP_RESEARCH_TOPIC", "The main objective is to develop infrastructure for long-term monitoring of spatial and temporal variation of CO2/H2O vapor exchange and C storage within corn/soybean systems through implementation of a combination field-scale/boundary layer measurement site. Additional objectives include: 1) Comparison of NEE with direct measurement of soil and plant C pools on an annual time step; 2) Determination of agricultural plant contribution to the total CO2 flux; 3) Improve understanding of the complex processes for CO2/H2O exchange at the field and boundary layer scale for the Upper Midwest; 4) Assessment of relative accuracy and feasibility of fluxes measured with the diffusion-gradient technique.", 
"US-BRG", "30568", "GRP_RESEARCH_TOPIC", "Land cover effects of energy balance; CO2 flux dynamics across successional chronosequences", 
"US-Brw", "14928", "GRP_RESEARCH_TOPIC", "1) Seasonal variation of CO2, H2O and CH4 fluxes and the inter-annual differences in arctic landscapes; 2) Climatic effect on the arctic CO2, CH4 budget; 3) Quantify the CO2, CH4 budget of arctic coastal regions", 
"US-Bsg", "29690", "GRP_RESEARCH_TOPIC", "Flux patterns in dry shrubland areas of the northwestern Great Basin", 
"US-BSM", "31119", "GRP_RESEARCH_TOPIC", "Studying carbon and water fluxes in a natural salt marsh.", 
"US-BZB", "87205", "GRP_RESEARCH_TOPIC", "Part of a long-term study to examine carbon, water, and energy fluxes across a gradient of permafrost thaw. Data are already available by request or through the Bonanza Creek LTER database: https://www.lter.uaf.edu/data/", 
"US-BZF", "87217", "GRP_RESEARCH_TOPIC", "Part of a long-term study to examine carbon, water, and energy fluxes across a gradient of permafrost thaw. Data are already available by request or through the Bonanza Creek LTER database: https://www.lter.uaf.edu/data/", 
"US-BZL", "87241", "GRP_RESEARCH_TOPIC", "This is part of a study to better understand methane emissions from newly formed thermokarst lakes in Alaska.", 
"US-BZo", "87277", "GRP_RESEARCH_TOPIC", "Part of a long-term study to examine carbon, water, and energy fluxes across a gradient of permafrost thaw. Data are already available by request or through the Bonanza Creek LTER database: https://www.lter.uaf.edu/data/", 
"US-BZS", "87178", "GRP_RESEARCH_TOPIC", "Part of a long-term study to examine carbon, water, and energy fluxes across a gradient of permafrost thaw. Data are already available by request or through the Bonanza Creek LTER database: https://www.lter.uaf.edu/data/", 
"US-CdM", "86836", "GRP_RESEARCH_TOPIC", "Pairing ecosystem fluxes with ecophysiological measurements, C and H2O fluxes, ecosystem recovery from drought", 
"US-Ced", "12665", "GRP_RESEARCH_TOPIC", "1) Impact of fire management activities on stand carbon dynamics, 2) Flux measurements and smoke emissions during prescribed burns, 3) Comparision of biometric, remotely sensed (LiDAR), and flux-based measurements of stand carbon dynamics.", 
"US-Cms", "84700", "GRP_RESEARCH_TOPIC", "Long-term monitoring energy & greenhouse gas fluxes under high-latitude climate change", 
"US-Cop", "6726", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Corral Pocket site are as follows: 1) Investigate the response of carbon, water, and energy fluxes in a semi-arid cold desert to multi-year drought conditions; 2) Quantify the sensitivity of the Colorado Plateau to climate change; 3) Investigate the impacts and land use of on the southwestern United States.", 
"US-CPk", "86477", "GRP_RESEARCH_TOPIC", "Ecosystem Effects of Mountain Pine Bark Beetle.
Interactive Effects of Fire following Bark Beetle Mortality.", 
"US-CS1", "83388", "GRP_RESEARCH_TOPIC", "Evapotranspiration, irrigation, groundwater recharge", 
"US-CS2", "87364", "GRP_RESEARCH_TOPIC", "Evapotranspiration, irrigation, groundwater recharge", 
"US-CS3", "87390", "GRP_RESEARCH_TOPIC", "Evapotranspiration, irrigation, groundwater recharge", 
"US-Cst", "13217", "GRP_RESEARCH_TOPIC", "interactions between management and carbon/water cycling; links between carbon cycling and plant defense;", 
"US-Cwt", "85001", "GRP_RESEARCH_TOPIC", "Carbon, water, and energy fluxes; ecohydrology.", 
"US-Dea", "11413", "GRP_RESEARCH_TOPIC", "alfalfa growth, hydrology and biogeochemistry in a sub-drip irrigation system", 
"US-Deu", "11433", "GRP_RESEARCH_TOPIC", "Hydrology and biogeochemistry of an urban working farm.  Algorithm development to correspond to HysPIRI instrument flyover", 
"US-DFK", "87341", "GRP_RESEARCH_TOPIC", "This tower is located in an intermediate wheatgrass cropfield to measure carbon and energy exchanges relative to annual counterparts", 
"US-Dia", "30449", "GRP_RESEARCH_TOPIC", "Drought-effects on carbon fluxes, effects of variable winter precipitation on carbon fluxes, flows in moderate complex terrain, katabatic flows, sea-breeze", 
"US-Dix", "5037", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Fort Dix site are as follows: 1) Characterize net ecosystem productivity (NEP) in oak- and pine-dominated forests that were defoliated by Gypsy moth (Lymantria dispar L.) in the New Jersey Pine Barrens; 2) Investigate the impacts of transient disturbance due to Gypsy moth (Lymantria dispar L.) defoliation; 3) Quantify the extent Gypsy moth defoliation alter patterns of net CO2 exchange at stand and landscape scales; 4) Determine the extent differences in annual productivity in deciduous vs. conifer dominated stands account for the observed patterns of aboveground biomass distribution in these nutrient limited forests; 5) Characterize forest structure and ladder fuels in the New Jersey Pinelands using LIDAR measurements, intensive biometric measurements, and Forest Inventory and Analysis (FIA) data. (Clark et al., 2009a, Skowronski et al., 2007)", 
"US-Dk1", "7536", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Duke Forest Open Field site are as follows: 1) Examine ecological roles of vegetation and climate in controlling long-term carbon exchange; 2) Determine the contribution of vegetation from that of climate and soils on controlling ET at three adjacent SE Piedmont ecosystems, namely the three Duke Forest Sites, US-Dk1, US-Dk2, and US-Dk3; 3) Assess the magnitude and direction of NEE and its components, carbon assimilation and respiration, in a southeastern United States warm-temperate grassland ecosystem, and to assess NEE and ET responses to episodic droughts and harvests. (Stoy et al., 2008, Stoy et al., 2006, Novick et al., 2004)", 
"US-Dk2", "4094", "GRP_RESEARCH_TOPIC", "The research objectives of the Duke Forest Hardwoods site are as follows: 1) Examine ecological roles of vegetation and climate in controlling long-term carbon exchange; 2) Determine the contribution of vegetation from that of climate and soils on controlling ET at three adjacent SE Piedmont ecosystems, namely the three Duke Forest Sites, US-Dk1, US-Dk2, and US-Dk3; 3) Quantify seasonal and annual forest floor CO2 efflux in a mature oak-hickory forest type, and to separate the effect of forest type from that of climate or soil on the magnitude and dynamics of forest floor CO2 efflux. (Stoy et al., 2008, Stoy et al., 2006, Palmroth et al., 2005)", 
"US-Dk3", "6686", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Duke Forest Loblolly Pine site are as follows: 1) Examine ecological roles of vegetation and climate in controlling long-term carbon exchange; 2) Determine the contribution of vegetation from that of climate and soils on controlling ET at three adjacent SE Piedmont ecosystems, namely the three Duke Forest Sites, US-Dk1, US-Dk2, and US-Dk3; 3) Quantify soil carbon pools, inputs, turnover, and long-term storage to better understand the capacity of forest soils for carbon sequestration; 4) Quantify seasonal and annual forest floor CO2 efflux in a loblolly pine plantation forest type, and to separate the effect of forest type from that of climate or soil on the magnitude and dynamics of forest floor CO2 efflux. (Stoy et al., 2008, Stoy et al., 2006, Lichter et al., 2005, Palmroth et al., 2005)", 
"US-DPP", "86731", "GRP_RESEARCH_TOPIC", "Carbon, water and heat fluxes in a Florida pine flatwoods under fire management", 
"US-DPW", "86873", "GRP_RESEARCH_TOPIC", "Carbon, water and heat fluxes in a Florida pine flatwoods under fire management and hydrologic restoration", 
"US-EDN", "84713", "GRP_RESEARCH_TOPIC", "Processing collected flux data, Instrument QA", 
"US-Elm", "10160", "GRP_RESEARCH_TOPIC", "1) The CO2 balances of Everglades peat and marl forming wetlands; 2) The relative contributions of physiologically-based exchange and abiotic carbon precipitation to the net CO2 flux; 3) The responses of the CO2 exchange processes to the dominant control, hydroperiod; 4) Contributions of macrophyte CO2 flux vary with hydropreiod across the landscape.", 
"US-EML", "31032", "GRP_RESEARCH_TOPIC", "CO2, CH4, H20 and heat fluxes fluxes in a permafrost thaw gradient", 
"US-Esm", "1623", "GRP_RESEARCH_TOPIC", "1) The CO2 balances of Everglades peat and marl forming wetlands; 2) The relative contributions of physiologically-based exchange and abiotic carbon precipitation to the net CO2 flux; 3) The responses of the CO2 exchange processes to the dominant control, hydroperiod; 4) Contributions of macrophyte CO2 flux vary with hydropreiod across the landscape.", 
"US-Fcr", "85272", "GRP_RESEARCH_TOPIC", "Understanding energy & CO2 fluxes at early successions after fire.", 
