"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SOIL_CLASSIFICATION", "SOIL_CLASSIFICATION_TAXONOMY", "SOIL_CLASSIFICATION_COMMENT", 
"US-Br1", "28813", "GRP_SOIL_CLASSIFICATION", "Soil morphology is based on local topographic orientation. Soils within depressions are characterized by poorly drained clay material while the upslope soils are better drained. All soils are dominantly Clarion-Nicollet-Webster, fine textured with moderate to high organic matter content.", "Other", , 
"US-Br2", "27489", "GRP_SOIL_CLASSIFICATION", "Soil morphology is based on local topographic orientation. Soils within depressions are characterized by poorly drained clay material while the upslope soils are better drained. All soils are dominantly Clarion-Nicollet-Webster, fine textured with moderate to high organic matter content.", "Other", , 
"US-Br3", "28814", "GRP_SOIL_CLASSIFICATION", "Soil morphology is based on local topographic orientation. Soils within depressions are characterized by poorly drained clay material while the upslope soils are better drained. All soils are dominantly Clarion-Nicollet-Webster, fine textured with moderate to high organic matter content.", "Other", , 
"US-Ced", "29625", "GRP_SOIL_CLASSIFICATION", "Podzol, underlain by late Miocene fluvial sediments of the Kirkwood formation, and overlain with Cohansey sandy soil with low nutrient and cation exchange capacity", "Other", , 
"US-Cop", "28094", "GRP_SOIL_CLASSIFICATION", "Young, alkaline, well-drained fine sandy loams with weak or little horizonation", "Other", , 
"US-Dix", "28939", "GRP_SOIL_CLASSIFICATION", "Podzol, underlain by late Miocene fluvial sediments of the Kirkwood formation, and overlain with Cohansey sandy soil with low nutrient and cation exchange capacity", "Other", , 
"US-Dk1", "28092", "GRP_SOIL_CLASSIFICATION", "Enon Series, low-fertility, acidic Hapludalf. An imprevious clay pan is located beneath all soils at a depth of 0.30 m.", "Other", , 
"US-Dk2", "29423", "GRP_SOIL_CLASSIFICATION", "Enron silt loam transitioning to Iredell gravely loam to the southwest, an imprevious clay pan is located beneath all soils at a depth of 0.30 m", "Other", , 
"US-Dk3", "27188", "GRP_SOIL_CLASSIFICATION", "Enon Series, low-fertility, acidic Hapludalf. An imprevious clay pan is located beneath all soils at a depth of 0.30 m.", "Other", , 
"US-Elm", "29421", "GRP_SOIL_CLASSIFICATION", "Peat", "Other", , 
"US-Fmf", "24401", "GRP_SOIL_CLASSIFICATION", "fine montmorillonitic complex of frigid Typic Argiborolls and Mollic Eutroboralfs", "Other", , 
"US-FR2", "24799", "GRP_SOIL_CLASSIFICATION", "vertisol", "Other", , 
"US-Fuf", "24786", "GRP_SOIL_CLASSIFICATION", "fine montmorillonitic complex of frigid Typic Argiborolls and Mollic Eutroboralfs", "Other", , 
"US-Fwf", "25041", "GRP_SOIL_CLASSIFICATION", "fine montmorillonitic complex of frigid Typic Argiborolls and Mollic Eutroboralfs", "Other", , 
"US-Goo", "27488", "GRP_SOIL_CLASSIFICATION", "Predominantly deep and well drained soils with silt loam textures", "Other", , 
"US-Ho1", "28812", "GRP_SOIL_CLASSIFICATION", "Soils throughout the forest are glacial tills, acid in reaction, with low fertility and high organic composition. Upland soils are fine sandy loams, classified as Aquic Haplorthods.", "Other", , 
"US-Ho2", "28090", "GRP_SOIL_CLASSIFICATION", "Soils throughout the forest are glacial tills, acid in reaction, with low fertility and high organic composition. Upland soils are fine sandy loams, classified as Aquic Haplorthods.", "Other", , 
"US-Ho3", "27186", "GRP_SOIL_CLASSIFICATION", "Soils throughout the forest are glacial tills, acid in reaction, with low fertility and high organic composition. Upland soils are fine sandy loams, classified as Aquic Haplorthods.", "Other", , 
"US-IB1", "29619", "GRP_SOIL_CLASSIFICATION", "Silty clay loam topsoil with clay subsoil", "Other", , 
"US-IB2", "27813", "GRP_SOIL_CLASSIFICATION", "Silty clay loam topsoil with clay subsoil", "Other", , 
"US-ICh", "27729", "GRP_SOIL_CLASSIFICATION", "Embedded in piedmont hills, with a predominance of porous organic peat underlain by silt and glacial till", "Other", , 
"US-ICs", "28095", "GRP_SOIL_CLASSIFICATION", "Embedded in piedmont hills, with a predominance of porous organic peat underlain by silt and glacial till", "Other", , 
"US-ICt", "28788", "GRP_SOIL_CLASSIFICATION", "Embedded in piedmont hills, with a predominance of porous organic peat underlain by silt and glacial till", "Other", , 
"US-KFS", "27190", "GRP_SOIL_CLASSIFICATION", "Fine, montmorillonitic, mesic Aquic Argiudolls", "Other", , 
"US-Kon", "28432", "GRP_SOIL_CLASSIFICATION", "Silty clay loam", "Other", , 
"US-KS1", "29417", "GRP_SOIL_CLASSIFICATION", "Myakka (Aeric Haplaquod), a poorly drained, acidic sandy", "Other", , 
"US-KS2", "27483", "GRP_SOIL_CLASSIFICATION", "Well-drained Pomello (Arenic Haplohumod) sands", "Other", , 
"US-Los", "29620", "GRP_SOIL_CLASSIFICATION", "Poorly drained Totagatic-Bowstring-Ausable complex and Seelyeville and Markey mucks formed from outwash sand, and are composed primarily of sapric material about 0.5 m thick", "Other", , 
"US-Me4", "29419", "GRP_SOIL_CLASSIFICATION", "Alfic vitrixerands, freely draining, light-colored, with a high andic component", "Other", , 
"US-Me5", "28088", "GRP_SOIL_CLASSIFICATION", "Ultic haploxeralf, sandy loam, silt and clay proportion increases with depth, very porous with a relatively low bulk density (1.19 g/cm3)", "Other", , 
"US-MOz", "29313", "GRP_SOIL_CLASSIFICATION", "Weller silt loam (typic Hapudalf, fine, montmorillonitic, mesic); rocky thin soil covering, pH 4-7", "Other", , 
"US-MRf", "29418", "GRP_SOIL_CLASSIFICATION", "Silty clay loam, well drained, highly fertile, overlays friable bedrock", "Other", , 
"US-Myb", "27192", "GRP_SOIL_CLASSIFICATION", "Mixture of peat, clay, and sediments", "Other", , 
"US-NC1", "28431", "GRP_SOIL_CLASSIFICATION", "Fine, mixed, semiactive, themic tipic Umbraquuits (Utisols)", "Other", , 
"US-NC2", "29623", "GRP_SOIL_CLASSIFICATION", "Loamy, mixed, dysic, thermic terric, Haplosaprists", "Other", , 
"US-Ne1", "28787", "GRP_SOIL_CLASSIFICATION", "Deep silty clay loams of: Yutan (fine-silty, mixed, superactive, mesic Mollic Hapludalfs), Tomek (fine, smectitic, mesic Pachic Argialbolls), Filbert (fine, smectitic, mesic Vertic Argialbolls), and Filmore (fine, smectitic, mesic Vertic Argialbolls).", "Other", , 
"US-Ne2", "28938", "GRP_SOIL_CLASSIFICATION", "Deep silty clay loams of: Yutan (fine-silty, mixed, superactive, mesic Mollic Hapludalfs), Tomek (fine, smectitic, mesic Pachic Argialbolls), Filbert (fine, smectitic, mesic Vertic Argialbolls), and Filmore (fine, smectitic, mesic Vertic Argialbolls).", "Other", , 
"US-Ne3", "27817", "GRP_SOIL_CLASSIFICATION", "Deep silty clay loams of: Yutan (fine-silty, mixed, superactive, mesic Mollic Hapludalfs), Tomek (fine, smectitic, mesic Pachic Argialbolls), Filbert (fine, smectitic, mesic Vertic Argialbolls), and Filmore (fine, smectitic, mesic Vertic Argialbolls).", "Other", , 
"US-NR1", "29309", "GRP_SOIL_CLASSIFICATION", "Extremely rocky (granite) consisting primarily of mineral clays covered with a surface layer (~10 cm) of organic material", "Other", , 
"US-Oho", "28093", "GRP_SOIL_CLASSIFICATION", "Sandy mixed, mesic, Spodic Udipsamments", "Other", , 
"US-PFa", "29621", "GRP_SOIL_CLASSIFICATION", "Outwash sand gravel, sandy-loamy till", "Other", , 
"US-Pon", "29310", "GRP_SOIL_CLASSIFICATION", "Typic and Pachic Argiustolls of Poncreek and Kirkland complexes, with silty clay loam texture in the upper 0.6 m of soil underlain by a thick clay horizon.", "Other", , 
"US-Ro1", "28091", "GRP_SOIL_CLASSIFICATION", "Waukegan silt loam (fine, mixed, mesic typic hapludoll) with a surface layer of high organic carbon content (2.6% average) and variable thickness (0.3-2.0 m) underlain by coarse outwash sand and gravel", "Other", , 
"US-SdH", "27191", "GRP_SOIL_CLASSIFICATION", "Sandy mixed mesic Mollic Endoaquepts", "Other", , 
"US-Seg", "29626", "GRP_SOIL_CLASSIFICATION", "Loamy Sand - Top 40 cm; Sandy Loam - Below 40 cm; Shallow root depth derived from the vegetation dominance of grasses.", "Other", , 
"US-Ses", "29627", "GRP_SOIL_CLASSIFICATION", "Sandy Loam - Below 40 cm; Deep rooth depth, 20-40 cm, derived from the vegetation dominance of shurbs.", "Other", , 
"US-Shd", "28783", "GRP_SOIL_CLASSIFICATION", "Wolco-Dwight complex (Pachic Argiustolls and Typic Natrustolls) with a silty clay loam texture in the upper 0.6 m of soil underlain by a thick clay horizon.", "Other", , 
"US-SJ1", "29422", "GRP_SOIL_CLASSIFICATION", "Wetland - FAO Classification", "Other", , 
"US-SJ2", "29312", "GRP_SOIL_CLASSIFICATION", "Wetland - FAO Classification", "Other", , 
"US-Skr", "27484", "GRP_SOIL_CLASSIFICATION", "Peat", "Other", , 
"US-Slt", "27189", "GRP_SOIL_CLASSIFICATION", "Podzol, underlain by late Miocene fluvial sediments of the Kirkwood formation, and overlain with Cohansey sandy soil with low nutrient and cation exchange capacity", "Other", , 
"US-Snd", "27818", "GRP_SOIL_CLASSIFICATION", "Carbon content levels in the upper layer is ~5 - 10% and quickly increases to 15 - 50% at depth. Nitrogen content levels are 0.4 - 0.6% in the mineral soil and >1% at depth.", "Other", , 
"US-SO2", "28809", "GRP_SOIL_CLASSIFICATION", "Ultic Haploxeroll and Entic Haploxeroll with a loamy, mixed, and mesic texture", "Other", , 
"US-SO3", "28086", "GRP_SOIL_CLASSIFICATION", "Ultic Haploxeroll and Entic Haploxeroll with a loamy, mixed, and mesic texture", "Other", , 
"US-SO4", "29308", "GRP_SOIL_CLASSIFICATION", "Ultic Haploxeroll and Entic Haploxeroll with a loamy, mixed, and mesic texture", "Other", , 
"US-SP1", "27184", "GRP_SOIL_CLASSIFICATION", "Poorly drained ultic alaquods (sandy, silicecous, thermic) overlying a discontinuous spodic horizon spanning from 0.30 - 0.80 m deep transitioning to an argillic horizon at depths below 0.80 m", "Other", , 
"US-SP2", "28430", "GRP_SOIL_CLASSIFICATION", "Poorly drained ultic alaquods (sandy, silicecous, thermic) overlying a discontinuous spodic horizon spanning from 0.30 - 0.80 m deep transitioning to an argillic horizon at depths below 0.80 m", "Other", , 
"US-SP3", "28087", "GRP_SOIL_CLASSIFICATION", "Poorly drained ultic alaquods (sandy, silicecous, thermic) overlying a discontinuous spodic horizon spanning from 0.30 - 0.80 m deep transitioning to an argillic horizon at depths below 0.80 m", "Other", , 
"US-SP4", "28782", "GRP_SOIL_CLASSIFICATION", "Poorly drained ultic alaquods (sandy, silicecous, thermic) overlying a discontinuous spodic horizon spanning from 0.30 - 0.80 m deep transitioning to an argillic horizon at depths below 0.80 m", "Other", , 
"US-SRC", "28940", "GRP_SOIL_CLASSIFICATION", "Sandy Loam", "Other", , 
"US-SRM", "29307", "GRP_SOIL_CLASSIFICATION", "Sandy loams", "Other", , 
"US-Syv", "27187", "GRP_SOIL_CLASSIFICATION", "Upland soils that are moderately well-drained, coarse or sandy loam spodosols. The thickness of the overlying organic horizon is approximately 0.1 m.", "Other", , 
"US-Twt", "28941", "GRP_SOIL_CLASSIFICATION", "Mixture of peat and mineral soil", "Other", , 
"US-UMB", "28786", "GRP_SOIL_CLASSIFICATION", "Entic Haplorthod, glacial till, sandy, thin Wisconsin sandy lake deposits", "Other", , 
"US-UMd", "28433", "GRP_SOIL_CLASSIFICATION", "Entic Haplorthod, glacial till, sandy, thin Wisconsin sandy lake deposits", "Other", , 
"US-WBW", "28089", "GRP_SOIL_CLASSIFICATION", "Fullerton series, Typic Paleudult, infertile cherty silt loam, acidic, cherty, permeable over dolomitic bedrock", "Other", , 
"US-WCr", "27814", "GRP_SOIL_CLASSIFICATION", "Entic Haplorthod - Sandy loam soils at this site (about 54% sand, 33% silt, and 13% clay in the upper 30 cm) have developed from acidic, reddish, unsorted, coarse glacial till with 1040% rock fragments. Soils have been subjected to mixing by windthrows, burrowing animals and earthworm activity, and frost action. Mottling and saturated soils were observed between 50 and 100 cm below the surface at different times during the year in these somewhat poorly drained soils.", "Other", , 
"US-Wi0", "28937", "GRP_SOIL_CLASSIFICATION", "Deep loamy sills with ground moraine, classified as Psamments and Orthods", "Other", , 
"US-Wi1", "27485", "GRP_SOIL_CLASSIFICATION", "Deep loamy sills with ground moraine, classified as Psamments and Orthods", "Other", , 
"US-Wi2", "28811", "GRP_SOIL_CLASSIFICATION", "Deep loamy sills with ground moraine, classified as Psamments and Orthods", "Other", , 
"US-Wi3", "27486", "GRP_SOIL_CLASSIFICATION", "Deep loamy sills with ground moraine, classified as Psamments and Orthods", "Other", , 
"US-Wi4", "28936", "GRP_SOIL_CLASSIFICATION", "Deep loamy sills with ground moraine, classified as Psamments and Orthods", "Other", , 
"US-Wi5", "27816", "GRP_SOIL_CLASSIFICATION", "Deep loamy sills with ground moraine, classified as Psamments and Orthods", "Other", , 
"US-Wi6", "29311", "GRP_SOIL_CLASSIFICATION", "Deep loamy sills with ground moraine, classified as Psamments and Orthods", "Other", , 
"US-Wi7", "29622", "GRP_SOIL_CLASSIFICATION", "Deep loamy sills with ground moraine, classified as Psamments and Orthods", "Other", , 
"US-Wi8", "27487", "GRP_SOIL_CLASSIFICATION", "Deep loamy sills with ground moraine, classified as Psamments and Orthods", "Other", , 
"US-Wi9", "28785", "GRP_SOIL_CLASSIFICATION", "Deep loamy sills with ground moraine, classified as Psamments and Orthods", "Other", , 
"US-Wkg", "29420", "GRP_SOIL_CLASSIFICATION", "Course-loamy, mixed, thermic, Ustollic Haplargids with limestone fragments", "Other", , 
"US-Wrc", "28784", "GRP_SOIL_CLASSIFICATION", "Entic Vitrands: medial, mesic, well drained, loams and silt loams, generally stone free, and derived from volcanic tephra.", "Other", , 
