"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_FIRE", "DM_COMMENT", "DM_DATE", "DM_SURF", "DM_DATE_START", "DM_DATE_END", "DM_DATE_UNC", "DM_SURF_MEAS_UNC", 
"US-LL3", "86697", "GRP_DM_FIRE", "Prescribed human induced underburn", , , , "201103080800", "201103090000", "3", , 
"US-LL3", "86699", "GRP_DM_FIRE", "Prescribed human induced underburn", "fire return interval 2 yrs", , "100", "200901120800", "200901130000", "2", "100", 
"US-LL3", "86701", "GRP_DM_FIRE", "Prescribed human induced underburn", , , , "201302150800", "201302160000", "3", , 
"US-LL3", "86702", "GRP_DM_FIRE", "Prescribed human induced underburn", , , , "201704250800", "201704260000", "3", , 
"US-LL3", "86703", "GRP_DM_FIRE", "Prescribed human induced underburn", , , , "201504210800", "201504220000", "3", , 
"US-Me1", "22148", "GRP_DM_FIRE", "Nature induced burn", "high", "20020701", , , , , , 
"US-Rpf", "88088", "GRP_DM_FIRE", "Nature induced burn", , , "100", "200406260000", "200408010000", , , 
"US-Shd", "1973", "GRP_DM_FIRE", "Prescribed human induced burn", "prescribed burn", "20010402", , , , , , 
"US-Shd", "2822", "GRP_DM_FIRE", "Prescribed human induced burn", "prescribed burn", "19980331", , , , , , 
"US-Shd", "5373", "GRP_DM_FIRE", "Prescribed human induced burn", "prescribed burn", "19990406", , , , , , 
"US-Shd", "7945", "GRP_DM_FIRE", "Prescribed human induced burn", "prescribed burn", "20000328", , , , , , 
"US-Slt", "7225", "GRP_DM_FIRE", "Prescribed human induced underburn", "Prescribed fire conducted by NJ Forest Fire Service", "2001", , , , , , 
"US-SO2", "1819", "GRP_DM_FIRE", "Nature induced burn", "high; Natural wildfire, site previously un burned for 80 years", "20030715", , , , , , 
"US-SO3", "6081", "GRP_DM_FIRE", "Nature induced burn", "high; Natural wildfire, site previously burned by controlled fire in 1993.", "20030715", , , , , , 
"US-SO4", "8617", "GRP_DM_FIRE", "Nature induced burn", "high; Very old stand similar to US-SO2 site before 2003 wildfire", "19050403", , , , , , 
"US-SP1", "5380", "GRP_DM_FIRE", "Prescribed human induced underburn", , "2003", , , , , , 
"US-SP1", "6239", "GRP_DM_FIRE", "Prescribed human induced underburn", , "2006", , , , , , 
"US-UMB", "8619", "GRP_DM_FIRE", "Nature induced burn", "medium; Patchy fires occurred yearly from 1880 - 1920 that essentially burned the entire region.  Fires were from low - high intensity.", "18800107", , , , , , 
"US-UMB", "86663", "GRP_DM_FIRE", "Other", "The first recorded fire was the summer of 1901 with unknown causes.  Many fires were either human intentionally or unintentionally set as well as possible natural fires.  The areas burned varied in in size and intensity depending on conditions and the amount of slash left behind from earlier logging.  All of the flux footprint was burned at least once and some if not all of the footprint likely burned several times.  The last intense fire was recorded in 1923.", , "100", "19010701", "19230701", "60", , 
"US-UMd", "86670", "GRP_DM_FIRE", "Other", "The first recorded fire was the summer of 1901 with unknown causes.  Many fires were either human intentionally or unintentionally set as well as possible natural fires.  The areas burned varied in in size and intensity depending on conditions and the amount of slash left behind from earlier logging.  All of the flux footprint was burned at least once and some if not all of the footprint likely burned several times.  The last intense fire was recorded in 1923.", , "100", "19010701", "19230701", "60", , 
