"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "TERRAIN", "ASPECT", "WIND_DIRECTION", "SURFACE_HOMOGENEITY", "SITE_SNOW_COVER_DAYS", 
"CA-LuM", "15423", "GRP_SITE_CHAR", "Flat", "SW", "SW", "400", "120", 
"CA-MA1", "22325", "GRP_SITE_CHAR", "flat", , , "300", , 
"CA-MA2", "22304", "GRP_SITE_CHAR", "flat", , , "300", , 
"CA-MA3", "22282", "GRP_SITE_CHAR", "flat", , , "300", , 
"CA-Man", "3347", "GRP_SITE_CHAR", "Flat", , , , , 
"CA-Mer", "33724", "GRP_SITE_CHAR", "Flat", , , , , 
"CA-MR3", "79349", "GRP_SITE_CHAR", "Undulated/Variable", "FLAT", , , , 
"CA-MR5", "79368", "GRP_SITE_CHAR", "Undulated/Variable", "FLAT", , , , 
"CA-RPn", "85980", "GRP_SITE_CHAR", "Flat", "FLAT", "SSE", "300", "100", 
"CA-RPp", "85983", "GRP_SITE_CHAR", "Flat", "FLAT", "SSE", "150", "100", 
"CA-SCB", "85755", "GRP_SITE_CHAR", "FLAT", "FLAT", "NNE", "200", "180", 
"CA-SCC", "30597", "GRP_SITE_CHAR", "Flat", "Flat", "NNE", "600", "180", 
"CA-SF1", "1654", "GRP_SITE_CHAR", "Flat", , , , , 
"CA-SF2", "787", "GRP_SITE_CHAR", "Flat", , , , , 
"CA-SF3", "10187", "GRP_SITE_CHAR", "Flat", , , , , 
"CA-SMC", "81478", "GRP_SITE_CHAR", "Flat", "FLAT", "NW", "600", "180", 
"CA-TP1", "12133", "GRP_SITE_CHAR", "Undulated/Variable", , , , , 
"CA-TP2", "12165", "GRP_SITE_CHAR", "Flat", , "SW", , , 
"CA-TP3", "12193", "GRP_SITE_CHAR", "Flat", , "SW", , , 
"CA-TP4", "12225", "GRP_SITE_CHAR", "Flat", , "SW", , , 
"CA-TPD", "12260", "GRP_SITE_CHAR", "Undulated/Variable", , "SW", , , 
"CA-TVC", "81491", "GRP_SITE_CHAR", "Flat", "FLAT", "ENE", "600", "135", 
"CL-SDF", "30267", "GRP_SITE_CHAR", "Flat", "FLAT", "NW", "1000", "0", 
"CL-SDP", "30244", "GRP_SITE_CHAR", "Flat", "FLAT", "NW", "1000", "0", 
"CR-Fsc", "31097", "GRP_SITE_CHAR", "Flat", "FLAT", "E", "4250", "0", 
"CR-Nmr", "31078", "GRP_SITE_CHAR", "Flat", "FLAT", "NE", "400", "0", 
"CR-SoC", "12535", "GRP_SITE_CHAR", "Strong Slope (>10%)", "ESE", "N", "2000", "0", 
"MX-EMg", "85724", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "NW", "SW", "550", "0", 
"MX-Lpa", "10188", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , "0", 
"MX-PMm", "83434", "GRP_SITE_CHAR", "Flat", "FLAT", "E", "200", "0", 
"PA-Bar", "5898", "GRP_SITE_CHAR", , , "N", , "0", 
"PE-QFR", "86024", "GRP_SITE_CHAR", "Flat", "FLAT", "S", , "0", 
"PE-TNR", "85910", "GRP_SITE_CHAR", "Flat", , "NW", "1000", "0", 
"PR-xGU", "85619", "GRP_SITE_CHAR", , , "S", , , 
"PR-xLA", "85593", "GRP_SITE_CHAR", , , "SSE", , , 
"US-A03", "85026", "GRP_SITE_CHAR", "Flat", "FLAT", "E", "2000", , 
"US-A10", "85087", "GRP_SITE_CHAR", "Flat", "FLAT", "E", "2000", , 
"US-A32", "30057", "GRP_SITE_CHAR", "Flat", "Flat", "S", "150", , 
"US-A39", "85058", "GRP_SITE_CHAR", "Flat", "FLAT", "S", "1000", , 
"US-A74", "30077", "GRP_SITE_CHAR", "Flat", "Flat", "S", "450", , 
"US-Act", "81644", "GRP_SITE_CHAR", "Flat", "FLAT", "NNE", "290", "30", 
"US-ADR", "15383", "GRP_SITE_CHAR", "Flat", "SW", "SW", "7000", "0", 
"US-An1", "4106", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-An2", "1598", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-An3", "9293", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-AR1", "15963", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", , "S", "400", , 
"US-AR2", "15983", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", , "S", "400", , 
"US-ARb", "1595", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", , , , , 
"US-ARc", "5853", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", , , , , 
"US-ARM", "22338", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", , "S", "370", "7", 
"US-ASH", "86818", "GRP_SITE_CHAR", "Flat", "NW", "NW", "600", "0", 
"US-ASL", "86765", "GRP_SITE_CHAR", "Flat", "NW", "NW", "300", "0", 
"US-ASM", "86751", "GRP_SITE_CHAR", "Flat", "NW", "NW", "450", "0", 
"US-Atq", "14889", "GRP_SITE_CHAR", "Flat", , , , "300", 
"US-BCM", "87311", "GRP_SITE_CHAR", "Flat", "FLAT", , "800", "0", 
"US-BdA", "13317", "GRP_SITE_CHAR", "Flat", "Flat", , "350", , 
"US-BdC", "13335", "GRP_SITE_CHAR", "Flat", "Flat", , "350", , 
"US-Beo", "81627", "GRP_SITE_CHAR", "Flat", "E", "E", "300", "270", 
"US-Bes", "11831", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "S", , , "255", 
"US-Bi1", "30372", "GRP_SITE_CHAR", "flat", "flat", "W", "1000", "0", 
"US-Bi2", "31250", "GRP_SITE_CHAR", "flat", "FLAT", "W", "1000", "0", 
"US-Bn1", "7549", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Bn2", "8414", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Bn3", "5856", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Br1", "8412", "GRP_SITE_CHAR", "Flat", , , , , 
"US-Br2", "1596", "GRP_SITE_CHAR", "Flat", , , , , 
"US-Br3", "7548", "GRP_SITE_CHAR", "Flat", , , , , 
"US-BRG", "30570", "GRP_SITE_CHAR", "Flat", "Flat", "SW", "80", "30", 
"US-Brw", "14930", "GRP_SITE_CHAR", "FLAT", , , , "300", 
"US-Bsg", "16089", "GRP_SITE_CHAR", "Flat", "W", "W", "1947", "0", 
"US-BSM", "31121", "GRP_SITE_CHAR", "Flat", , , "400", "60", 
"US-BZB", "87193", "GRP_SITE_CHAR", "Flat", , "ENE", "20", "180", 
"US-BZF", "87213", "GRP_SITE_CHAR", "Flat", , "ENE", "20", "180", 
"US-BZL", "87238", "GRP_SITE_CHAR", "Flat", , "ENE", "20", "180", 
"US-BZo", "87284", "GRP_SITE_CHAR", "Flat", , "ENE", "20", "180", 
"US-BZS", "87185", "GRP_SITE_CHAR", "Flat", , "ENE", "30", "180", 
"US-CdM", "86845", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "4667", , 
"US-Ced", "12667", "GRP_SITE_CHAR", "Flat", "Flat", "WNW", , "20", 
"US-CF1", "84809", "GRP_SITE_CHAR", "Undulated/Variable", "S", "W", "300", , 
"US-CF2", "84829", "GRP_SITE_CHAR", "Undulated/Variable", "S", "W", "200", , 
"US-CF3", "84849", "GRP_SITE_CHAR", "Undulated/Variable", "S", "W", "350", , 
"US-CF4", "84869", "GRP_SITE_CHAR", "Undulated/Variable", "S", "W", "175", , 
"US-Cms", "84689", "GRP_SITE_CHAR", "Flat", , "W", "500", , 
"US-CPk", "10219", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "W", "W", "875", "180", 
"US-CRT", "12773", "GRP_SITE_CHAR", "Flat", "Flat", "WNW", "300", "60", 
"US-CS1", "83389", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "300", , 
"US-CS2", "87370", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "300", , 
"US-CS3", "87386", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "300", , 
"US-Cst", "13219", "GRP_SITE_CHAR", "flat", "flat", , "300", "0", 
"US-Cwt", "84992", "GRP_SITE_CHAR", "Valley", "N", "NE", , "3", 
"US-CZ1", "30812", "GRP_SITE_CHAR", , , , "1000", "0", 
"US-CZ2", "30828", "GRP_SITE_CHAR", , , , "1000", "0", 
"US-CZ3", "30857", "GRP_SITE_CHAR", , , , "1000", "140", 
"US-CZ4", "30842", "GRP_SITE_CHAR", , , , "1000", "200", 
"US-Dea", "11415", "GRP_SITE_CHAR", "flat", "SW", "SW", "300", "0", 
"US-Deu", "11435", "GRP_SITE_CHAR", "flat", "SW", "SW", , "0", 
"US-DFK", "87349", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "WSW", "SW", "200", "100", 
"US-Dia", "11507", "GRP_SITE_CHAR", "Undulated/Variable", "SSW", "SSW", , "0", 
"US-Dk1", "5852", "GRP_SITE_CHAR", "Gentle slope (<2 %)", , , , , 
"US-Dk2", "5851", "GRP_SITE_CHAR", "Gentle slope (<2 %)", , , , , 
"US-Dk3", "8407", "GRP_SITE_CHAR", "Gentle slope (<2 %)", , , , , 
"US-DPP", "86717", "GRP_SITE_CHAR", "Flat", "FLAT", , "800", "0", 
"US-DPW", "86890", "GRP_SITE_CHAR", "Flat", "FLAT", , "80", "0", 
"US-EDN", "84712", "GRP_SITE_CHAR", "Flat", , "NW", , "0", 
"US-EML", "11155", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "N", , , "213", 
"US-Fcr", "85265", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "SE", , , , 
"US-Fmf", "12004", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "FLAT", "SW", "600", "60", 
"US-Fuf", "12024", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "W", "SW", "1000", "60", 
"US-Fwf", "12049", "GRP_SITE_CHAR", "FLAT", "FLAT", "SW", "1000", "60", 
"US-GBT", "16025", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "W", "1900", "243", 
"US-GCE", "86862", "GRP_SITE_CHAR", "Flat", "FLAT", "S", "800", "0", 
"US-GLE", "16004", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "W", "1900", "243", 
"US-GZ1", "85776", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "W", "W", , , 
"US-GZ2", "85818", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "W", , , 
"US-GZ3", "85878", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "W", "W", , , 
"US-Ha1", "11967", "GRP_SITE_CHAR", , "E", "NW", "230", "92", 
"US-Ha2", "12592", "GRP_SITE_CHAR", "Flat", "Flat", "SW", "300", , 
"US-HB1", "79515", "GRP_SITE_CHAR", "flat", , , "65", "0", 
"US-HB2", "79880", "GRP_SITE_CHAR", "flat", , , "65", "0", 
"US-HB3", "86451", "GRP_SITE_CHAR", "Flat", , , "95", "0", 
"US-HBK", "81451", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "N", "W", "1000", "120", 
"US-Hn1", "83540", "GRP_SITE_CHAR", "Flat", , "SSE", , , 
"US-Hn2", "83503", "GRP_SITE_CHAR", "Flat", , "SSE", , , 
"US-Hn3", "83522", "GRP_SITE_CHAR", "Flat", , "SSE", , , 
"US-HPY", "30552", "GRP_SITE_CHAR", "flat", "flat", "NW", "70", "10", 
"US-HRA", "12933", "GRP_SITE_CHAR", "Flat", "Flat", , "350", , 
"US-HRC", "12951", "GRP_SITE_CHAR", "Flat", "Flat", , "350", , 
"US-HRN", "87855", "GRP_SITE_CHAR", "Flat", "FLAT", "S", "400", , 
"US-HRP", "31143", "GRP_SITE_CHAR", "Flat", , , "100", "60", 
"US-HRS", "33518", "GRP_SITE_CHAR", "Flat", "FLAT", "S", "400", , 
"US-HVs", "84660", "GRP_SITE_CHAR", "Flat", , , , , 
"US-ICh", "81667", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "W", , "300", "275", 
"US-ICs", "12094", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "W", , , , 
"US-ICt", "12114", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "W", , , , 
"US-Ivo", "14910", "GRP_SITE_CHAR", "Flat", , , , "280", 
"US-JLN", "85673", "GRP_SITE_CHAR", "Flat", "Flat", "W", "30", "10", 
"US-JLR", "85703", "GRP_SITE_CHAR", "Flat", "Flat", "W", "30", "10", 
"US-JRn", "87865", "GRP_SITE_CHAR", "Hilltop", "ESE", , "100", "91", 
"US-KFB", "30932", "GRP_SITE_CHAR", "Undulated/Variable", "SW", "SW", "100.00", "20", 
"US-KFS", "30934", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "S", "S", "100", "20", 
"US-KL1", "14598", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "SW", "210", "60", 
"US-KL2", "14623", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "NW", "SW", "235", "60", 
"US-KL3", "14649", "GRP_SITE_CHAR", "Gentle slope (<2 %)", , "SW", "270", "60", 
"US-KLS", "30937", "GRP_SITE_CHAR", "Flat", "S", "S", , "20", 
"US-KM1", "14675", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "NE", "SW", "250", "60", 
"US-KM2", "14701", "GRP_SITE_CHAR", "Undulated/Variable", , "SW", "209", "60", 
"US-KM3", "14728", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "S", "SW", "150", "60", 
"US-KM4", "14756", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "NW", "SW", "125", "60", 
"US-Kon", "30943", "GRP_SITE_CHAR", "Undulated/Variable", "SW", "SW", "100", "20", 
"US-KS1", "15547", "GRP_SITE_CHAR", "Flat", "Flat", , , "0", 
"US-KS2", "15572", "GRP_SITE_CHAR", "Flat", "Flat", , "150", "0", 
"US-KS3", "79260", "GRP_SITE_CHAR", "Flat", "FLAT", "SE", "100", "0", 
"US-KS4", "79896", "GRP_SITE_CHAR", "Flat", "FLAT", "SE", "300", "0", 
"US-KUO", "11707", "GRP_SITE_CHAR", "Flat", , "NW", "1500", "90", 
"US-KUT", "11767", "GRP_SITE_CHAR", "Flat", , "NW", "100", "90", 
"US-LA1", "85119", "GRP_SITE_CHAR", "flat", "flat", "SSE", "200", "0", 
"US-LA2", "85130", "GRP_SITE_CHAR", "flat", "flat", "SSE", "200", "0", 
"US-LA3", "85154", "GRP_SITE_CHAR", "flat", "flat", "SSE", "300", "0", 
"US-LGr", "13014", "GRP_SITE_CHAR", "Gentle slope (<2 %)", , "SW", "250", "5", 
"US-LL1", "83566", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "600", "0", 
"US-LL2", "83581", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "600", "0", 
"US-LL3", "83616", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "600", "0", 
"US-Los", "22191", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "500", "100", 
"US-LPH", "5850", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Me2", "12970", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", "1000", "120", 
"US-Me4", "6699", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Me5", "7547", "GRP_SITE_CHAR", "Flat", , , , , 
"US-Me6", "11564", "GRP_SITE_CHAR", "Flat", "Flat", "W", "700", , 
"US-Men", "33590", "GRP_SITE_CHAR", "Flat", "FLAT", "S", , , 
"US-Mj1", "29759", "GRP_SITE_CHAR", "Flat", "NW", "W", "200", , 
"US-Mj2", "29739", "GRP_SITE_CHAR", "Flat", "NW", "W", "200", , 
"US-MMS", "11725", "GRP_SITE_CHAR", "Undulated/Variable", , , , , 
"US-Mpj", "30388", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "SW", "SW", , , 
"US-MRM", "30532", "GRP_SITE_CHAR", "Flat", "Flat", "NW", "30", "10", 
"US-MtB", "87265", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "NW", "WSW", "5000", "30", 
"US-Myb", "11203", "GRP_SITE_CHAR", "Flat", "Flat", "WNW", "900", "0", 
"US-NC1", "12830", "GRP_SITE_CHAR", "Flat", "Flat", "SW", "350", "1", 
"US-NC2", "12859", "GRP_SITE_CHAR", "Flat", "Flat", "SW", "500", "1", 
"US-NC3", "12887", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "Flat", "SW", "200", "1", 
"US-NC4", "12910", "GRP_SITE_CHAR", "Flat", "Flat", "SW", "2000", "1", 
"US-Ne1", "10132", "GRP_SITE_CHAR", "Gentle slope (<2 %)", , , , , 
"US-NGB", "13262", "GRP_SITE_CHAR", "Flat", "FLAT", "E", , "245", 
"US-NGC", "79245", "GRP_SITE_CHAR", "Flat", , "NNW", , , 
"US-NR1", "11583", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "E", "W", "250", "210", 
"US-Nrf", "30916", "GRP_SITE_CHAR", "Flat", "Flat", "S", "1700", "5", 
"US-Nrs", "30876", "GRP_SITE_CHAR", "Flat", "Flat", "S", "1700", "5", 
"US-OF1", "30655", "GRP_SITE_CHAR", "Flat", "S", "S", "396", "10", 
"US-OF2", "30636", "GRP_SITE_CHAR", "Flat", "S", "S", "396", "10", 
"US-Oho", "12797", "GRP_SITE_CHAR", "Flat", "Flat", "WNW", "600", "60", 
"US-ORv", "11224", "GRP_SITE_CHAR", "flat", "FLAT", , "15", , 
"US-OWC", "85894", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", "10", , 
"US-PFa", "22198", "GRP_SITE_CHAR", "Undulated/Variable", "FLAT", , "100", "100", 
"US-PFb", "87422", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "SW", "125", , 
"US-PFc", "87445", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "SW", "SW", , , 
"US-PFd", "87468", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", , , 
"US-PFe", "87491", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "N", "SW", , , 
"US-PFf", "87514", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", , , 
"US-PFg", "87524", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", , , 
"US-PFh", "87564", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", , , 
"US-PFi", "87583", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "SW", , , 
"US-PFj", "87587", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "SW", , , 
"US-PFk", "87629", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", , , 
"US-PFL", "87646", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "NW", "SW", , , 
"US-PFm", "87675", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "NE", "SW", , , 
"US-PFn", "87698", "GRP_SITE_CHAR", "Hilltop", "FLAT", "SW", , , 
"US-PFo", "87721", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", , , 
"US-PFp", "87744", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", , , 
"US-PFq", "87795", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "E", "SW", , , 
"US-PFr", "87772", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", , , 
"US-PFs", "87813", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "SE", "SW", , , 
"US-PFt", "87836", "GRP_SITE_CHAR", "Valley", "FLAT", "SW", , , 
"US-PHM", "30036", "GRP_SITE_CHAR", "Flat", "Flat", "SW", "1000", "30", 
"US-PLM", "79857", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", "600", "30", 
"US-Pnp", "79405", "GRP_SITE_CHAR", "Flat", "FLAT", "S", , , 
"US-Pon", "7546", "GRP_SITE_CHAR", "Gentle slope (<2 %)", , , , , 
"US-Prr", "11891", "GRP_SITE_CHAR", "Flat", "FLAT", "SW", "300", "210", 
"US-PSH", "86809", "GRP_SITE_CHAR", "Flat", "NW", "NW", "750", "0", 
"US-PSL", "86792", "GRP_SITE_CHAR", "Flat", "NW", "NW", "200", "0", 
"US-RC1", "84888", "GRP_SITE_CHAR", "Undulated/Variable", , "W", "150", , 
"US-RC2", "84924", "GRP_SITE_CHAR", "Undulated/Variable", , "W", "175", , 
"US-RC3", "84906", "GRP_SITE_CHAR", "Undulated/Variable", , , , , 
"US-RC4", "84941", "GRP_SITE_CHAR", "Undulated/Variable", , , , , 
"US-RC5", "84958", "GRP_SITE_CHAR", "Undulated/Variable", , , , , 
"US-RFE", "29955", "GRP_SITE_CHAR", "FLAT", "FLAT", "W", "1000", "76", 
"US-RFW", "29972", "GRP_SITE_CHAR", "FLAT", "FLAT", "W", "800", "76", 
"US-Rls", "30702", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "N", "SSW", "200", "60", 
"US-Rms", "30617", "GRP_SITE_CHAR", "Strong Slope (>10%)", "N", "SSW", "110", "180", 
"US-Ro1", "15834", "GRP_SITE_CHAR", "FLAT", "FLAT", "SSE", "190", "150", 
"US-Ro2", "15860", "GRP_SITE_CHAR", "FLAT", "FLAT", "S", "210", "150", 
"US-Ro3", "14571", "GRP_SITE_CHAR", "FLAT", "FLAT", , , "150", 
"US-Ro4", "14493", "GRP_SITE_CHAR", "FLAT", "FLAT", , , "150", 
"US-Ro5", "30139", "GRP_SITE_CHAR", "Flat", "FLAT", , "200", "150", 
"US-Ro6", "30165", "GRP_SITE_CHAR", "Flat", "FLAT", , "200", "150", 
"US-Rpf", "85284", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "N", , "500", , 
"US-RRC", "79835", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "300", "5", 
"US-Rwe", "88148", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "NW", "SSW", , "180", 
"US-Rwf", "88115", "GRP_SITE_CHAR", "Strong Slope (>10%)", "NE", "WNW", "120", "120", 
"US-Rws", "17076", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "N", "SSW", "150", "15", 
"US-Sag", "84754", "GRP_SITE_CHAR", "Flat", "FLAT", "NNE", , , 
"US-SB1", "30998", "GRP_SITE_CHAR", , , "W", "120", , 
"US-SB2", "23558", "GRP_SITE_CHAR", , , "W", "100", , 
"US-SB3", "84639", "GRP_SITE_CHAR", , , "W", "100", "5", 
"US-SdH", "12279", "GRP_SITE_CHAR", "flat", , "S", "700", , 
"US-SDU", "13155", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "14000", "33", 
"US-Seg", "30414", "GRP_SITE_CHAR", "Flat", "Flat", "S", , , 
"US-Ses", "30438", "GRP_SITE_CHAR", "Flat", "Flat", "S", "200", , 
"US-SHC", "33672", "GRP_SITE_CHAR", "Valley", "E", "WSW", "100", , 
"US-SHS", "30512", "GRP_SITE_CHAR", "Flat", "Flat", "NW", "30", "10", 
"US-Skr", "11911", "GRP_SITE_CHAR", "Flat", "Flat", "NE", "250", "0", 
"US-Slt", "13040", "GRP_SITE_CHAR", "Flat", "Flat", "WNW", "1260", "20", 
"US-Snd", "11242", "GRP_SITE_CHAR", "Flat", "Flat", "WNW", "900", "0", 
"US-Sne", "30012", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "1770", "0", 
"US-Snf", "84773", "GRP_SITE_CHAR", "flat", "FLAT", "W", , "0", 
"US-SP1", "728", "GRP_SITE_CHAR", "Flat", , , , , 
"US-SP2", "5840", "GRP_SITE_CHAR", "Flat", , , , , 
"US-SP3", "1585", "GRP_SITE_CHAR", "Flat", , , , , 
"US-SP4", "8399", "GRP_SITE_CHAR", "Flat", , , , , 
"US-SRC", "86650", "GRP_SITE_CHAR", "Flat", "FLAT", "SE", "500", , 
"US-SRG", "11852", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "W", "W", "1000", "5", 
"US-SRM", "11665", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "W", "5000", "2", 
"US-Srr", "30959", "GRP_SITE_CHAR", "Flat", "Flat", "W", "1400", "0", 
"US-SSH", "30692", "GRP_SITE_CHAR", "Hilltop", , "NW", , , 
"US-Sta", "12501", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "1000", , 
"US-StJ", "13294", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "flat", "SE", "970", "18", 
"US-StS", "30112", "GRP_SITE_CHAR", "Flat", , "W", "100", "0", 
"US-SuM", "13068", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "WSW", "NNE", "350", "0", 
"US-SuS", "13087", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "NNE", "500", "0", 
"US-SuW", "13108", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "ENE", "NE", "350", "0", 
"US-Syv", "22193", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "N", "W", "1000", "120", 
"US-SZ1", "85791", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "W", "W", , , 
"US-SZ2", "85831", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "W", , , 
"US-SZ3", "85864", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "W", "W", , , 
