"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "NETWORK", 
"US-BdC", "13332", "GRP_NETWORK", "AMERIFLUX", 
"US-BdC", "86951", "GRP_NETWORK", "Phenocam", 
"US-Beo", "81614", "GRP_NETWORK", "AmeriFlux", 
"US-Bes", "11827", "GRP_NETWORK", "Ameriflux", 
"US-Bi1", "30373", "GRP_NETWORK", "Ameriflux", 
"US-Bi1", "86952", "GRP_NETWORK", "Phenocam", 
"US-Bi2", "31263", "GRP_NETWORK", "AmeriFlux", 
"US-Bi2", "86953", "GRP_NETWORK", "Phenocam", 
"US-Bkg", "6388", "GRP_NETWORK", "AmeriFlux", 
"US-Blk", "9811", "GRP_NETWORK", "AmeriFlux", 
"US-Blo", "14395", "GRP_NETWORK", "AmeriFlux", 
"US-Bn1", "5742", "GRP_NETWORK", "AmeriFlux", 
"US-Bn2", "2321", "GRP_NETWORK", "AmeriFlux", 
"US-Bn3", "6594", "GRP_NETWORK", "AmeriFlux", 
"US-Bo1", "6387", "GRP_NETWORK", "AmeriFlux", 
"US-Bo2", "7216", "GRP_NETWORK", "AmeriFlux", 
"US-Br1", "4697", "GRP_NETWORK", "AmeriFlux", 
"US-Br2", "3811", "GRP_NETWORK", "AmeriFlux", 
"US-Br3", "2966", "GRP_NETWORK", "AmeriFlux", 
"US-BRG", "30567", "GRP_NETWORK", "AmeriFlux", 
"US-Brw", "14926", "GRP_NETWORK", "AmeriFlux", 
"US-Bsg", "16087", "GRP_NETWORK", "AmeriFlux", 
"US-Bsg", "86954", "GRP_NETWORK", "Phenocam", 
"US-BSM", "31118", "GRP_NETWORK", "AmeriFlux", 
"US-BZB", "87200", "GRP_NETWORK", "AmeriFlux", 
"US-BZF", "87220", "GRP_NETWORK", "AmeriFlux", 
"US-BZL", "87236", "GRP_NETWORK", "AmeriFlux", 
"US-BZo", "87271", "GRP_NETWORK", "AmeriFlux", 
"US-BZS", "87172", "GRP_NETWORK", "AmeriFlux", 
"US-CaV", "2150", "GRP_NETWORK", "AmeriFlux", 
"US-CdM", "86850", "GRP_NETWORK", "AmeriFlux", 
"US-Ced", "12663", "GRP_NETWORK", "AmeriFlux", 
"US-CF1", "84808", "GRP_NETWORK", "AmeriFlux", 
"US-CF1", "86955", "GRP_NETWORK", "Phenocam", 
"US-CF2", "84828", "GRP_NETWORK", "AmeriFlux", 
"US-CF2", "86956", "GRP_NETWORK", "Phenocam", 
"US-CF3", "84848", "GRP_NETWORK", "AmeriFlux", 
"US-CF3", "86957", "GRP_NETWORK", "Phenocam", 
"US-CF4", "84868", "GRP_NETWORK", "AmeriFlux", 
"US-CF4", "86958", "GRP_NETWORK", "Phenocam", 
"US-ChR", "433", "GRP_NETWORK", "AmeriFlux", 
"US-ChR", "86959", "GRP_NETWORK", "Phenocam", 
"US-Cms", "84697", "GRP_NETWORK", "AmeriFlux", 
"US-Cop", "630", "GRP_NETWORK", "AmeriFlux", 
"US-CPk", "10216", "GRP_NETWORK", "AmeriFlux", 
"US-CRT", "12771", "GRP_NETWORK", "Ameriflux", 
"US-CRT", "86960", "GRP_NETWORK", "Phenocam", 
"US-CS1", "83397", "GRP_NETWORK", "Ameriflux", 
"US-CS2", "87372", "GRP_NETWORK", "AmeriFlux", 
"US-CS3", "87387", "GRP_NETWORK", "AmeriFlux", 
"US-Cst", "13215", "GRP_NETWORK", "Ameriflux", 
"US-Ctn", "9824", "GRP_NETWORK", "AmeriFlux", 
"US-Cwt", "85003", "GRP_NETWORK", "AmeriFlux", 
"US-Cwt", "86961", "GRP_NETWORK", "Phenocam", 
"US-CZ1", "30811", "GRP_NETWORK", "AmeriFlux", 
"US-CZ2", "30827", "GRP_NETWORK", "AmeriFlux", 
"US-CZ3", "30856", "GRP_NETWORK", "AmeriFlux", 
"US-CZ4", "30841", "GRP_NETWORK", "AmeriFlux", 
"US-Dea", "11412", "GRP_NETWORK", "Ameriflux", 
"US-Deu", "11432", "GRP_NETWORK", "Ameriflux", 
"US-DFK", "87336", "GRP_NETWORK", "AmeriFlux", 
"US-Dia", "11506", "GRP_NETWORK", "AmeriFlux", 
"US-Dix", "7218", "GRP_NETWORK", "AmeriFlux", 
"US-Dk1", "3813", "GRP_NETWORK", "AmeriFlux", 
"US-Dk2", "9813", "GRP_NETWORK", "AmeriFlux", 
"US-Dk2", "86962", "GRP_NETWORK", "Phenocam", 
"US-Dk3", "434", "GRP_NETWORK", "AmeriFlux", 
"US-DPP", "86720", "GRP_NETWORK", "AmeriFlux", 
"US-DPW", "86876", "GRP_NETWORK", "AmeriFlux", 
"US-EDN", "84708", "GRP_NETWORK", "AmeriFlux", 
"US-Elm", "2157", "GRP_NETWORK", "AmeriFlux", 
"US-EML", "11151", "GRP_NETWORK", "AmeriFlux", 
"US-EML", "11162", "GRP_NETWORK", "LTER", 
"US-Esm", "8955", "GRP_NETWORK", "AmeriFlux", 
"US-Fcr", "85274", "GRP_NETWORK", "AmeriFlux", 
"US-Fmf", "12001", "GRP_NETWORK", "AmeriFlux", 
"US-FPe", "5542", "GRP_NETWORK", "AmeriFlux", 
"US-FR1", "436", "GRP_NETWORK", "AmeriFlux", 
"US-FR1", "86963", "GRP_NETWORK", "Phenocam", 
"US-FR2", "4698", "GRP_NETWORK", "AmeriFlux", 
"US-FR2", "87082", "GRP_NETWORK", "Phenocam", 
"US-FR3", "2152", "GRP_NETWORK", "AmeriFlux", 
"US-FR3", "86964", "GRP_NETWORK", "Phenocam", 
"US-Fuf", "12021", "GRP_NETWORK", "AmeriFlux", 
"US-Fwf", "12046", "GRP_NETWORK", "AmeriFlux", 
"US-GBT", "16022", "GRP_NETWORK", "AmeriFlux", 
"US-GCE", "86858", "GRP_NETWORK", "LTER", 
"US-GCE", "86859", "GRP_NETWORK", "AmeriFlux", 
"US-GLE", "15340", "GRP_NETWORK", "AmeriFlux", 
"US-GMF", "8945", "GRP_NETWORK", "AmeriFlux", 
"US-Goo", "5543", "GRP_NETWORK", "AmeriFlux", 
"US-GZ1", "85769", "GRP_NETWORK", "AmeriFlux", 
"US-GZ2", "85817", "GRP_NETWORK", "AmeriFlux", 
"US-GZ3", "85890", "GRP_NETWORK", "AmeriFlux", 
"US-Ha1", "11963", "GRP_NETWORK", "AmeriFlux", 
"US-Ha1", "86965", "GRP_NETWORK", "Phenocam", 
"US-Ha2", "12589", "GRP_NETWORK", "AmeriFlux", 
"US-Ha2", "86966", "GRP_NETWORK", "Phenocam", 
"US-HB1", "79512", "GRP_NETWORK", "AmeriFlux", 
"US-HB1", "86967", "GRP_NETWORK", "Phenocam", 
"US-HB2", "79879", "GRP_NETWORK", "AmeriFlux", 
"US-HB2", "86968", "GRP_NETWORK", "Phenocam", 
"US-HB3", "86468", "GRP_NETWORK", "AmeriFlux", 
"US-HB3", "86969", "GRP_NETWORK", "Phenocam", 
"US-HBK", "81445", "GRP_NETWORK", "AmeriFlux", 
"US-Hn1", "83542", "GRP_NETWORK", "AmeriFlux", 
"US-Hn2", "83496", "GRP_NETWORK", "AmeriFlux", 
"US-Hn3", "83506", "GRP_NETWORK", "AmeriFlux", 
"US-Ho1", "11455", "GRP_NETWORK", "AmeriFlux", 
"US-Ho1", "87083", "GRP_NETWORK", "Phenocam", 
"US-Ho2", "11487", "GRP_NETWORK", "AmeriFlux", 
"US-Ho3", "11783", "GRP_NETWORK", "AmeriFlux", 
"US-HPY", "30548", "GRP_NETWORK", "AmeriFlux", 
"US-HRA", "12930", "GRP_NETWORK", "AMERIFLUX", 
"US-HRA", "86970", "GRP_NETWORK", "Phenocam", 
"US-HRC", "12948", "GRP_NETWORK", "AMERIFLUX", 
"US-HRC", "86971", "GRP_NETWORK", "Phenocam", 
"US-HRN", "87851", "GRP_NETWORK", "AmeriFlux", 
"US-HRP", "31140", "GRP_NETWORK", "AmeriFlux", 
"US-HRS", "33520", "GRP_NETWORK", "AmeriFlux", 
"US-HVa", "15781", "GRP_NETWORK", "AmeriFlux", 
"US-HVs", "84659", "GRP_NETWORK", "AmeriFlux", 
"US-IB1", "1270", "GRP_NETWORK", "AmeriFlux", 
"US-IB2", "1271", "GRP_NETWORK", "AmeriFlux", 
"US-ICh", "12071", "GRP_NETWORK", "AmeriFlux", 
"US-ICh", "86972", "GRP_NETWORK", "Phenocam", 
"US-ICs", "12091", "GRP_NETWORK", "AmeriFlux", 
"US-ICs", "86973", "GRP_NETWORK", "Phenocam", 
"US-ICt", "12111", "GRP_NETWORK", "AmeriFlux", 
"US-ICt", "86974", "GRP_NETWORK", "Phenocam", 
"US-Ivo", "14906", "GRP_NETWORK", "AmeriFlux", 
"US-Ivo", "86975", "GRP_NETWORK", "Phenocam", 
"US-JLN", "85690", "GRP_NETWORK", "AmeriFlux", 
"US-JLR", "85692", "GRP_NETWORK", "AmeriFlux", 
"US-JRn", "87878", "GRP_NETWORK", "AmeriFlux", 
"US-KCM", "2974", "GRP_NETWORK", "AmeriFlux", 
"US-KFB", "13172", "GRP_NETWORK", "AmeriFlux", 
"US-KFS", "11519", "GRP_NETWORK", "AmeriFlux", 
"US-KFS", "86976", "GRP_NETWORK", "Phenocam", 
"US-KL1", "14594", "GRP_NETWORK", "Ameriflux", 
"US-KL2", "14619", "GRP_NETWORK", "Ameriflux", 
"US-KL3", "14645", "GRP_NETWORK", "Ameriflux", 
"US-KLS", "13198", "GRP_NETWORK", "AmeriFlux", 
"US-KM1", "14671", "GRP_NETWORK", "Ameriflux", 
"US-KM1", "86977", "GRP_NETWORK", "Phenocam", 
"US-KM2", "14697", "GRP_NETWORK", "Ameriflux", 
"US-KM3", "14724", "GRP_NETWORK", "Ameriflux", 
"US-KM4", "14752", "GRP_NETWORK", "Ameriflux", 
"US-Kon", "11534", "GRP_NETWORK", "AmeriFlux", 
"US-Kon", "86978", "GRP_NETWORK", "Phenocam", 
"US-KS1", "15545", "GRP_NETWORK", "AmeriFlux", 
"US-KS2", "15569", "GRP_NETWORK", "AmeriFlux", 
"US-KS3", "79257", "GRP_NETWORK", "AmeriFlux", 
"US-KS4", "79886", "GRP_NETWORK", "AmeriFlux", 
"US-KUO", "11703", "GRP_NETWORK", "AmeriFlux", 
"US-KUT", "11763", "GRP_NETWORK", "AmeriFlux", 
"US-LA1", "85101", "GRP_NETWORK", "AmeriFlux", 
"US-LA2", "85127", "GRP_NETWORK", "AmeriFlux", 
"US-LA3", "85164", "GRP_NETWORK", "AmeriFlux", 
"US-LGr", "13005", "GRP_NETWORK", "Ameriflux", 
"US-Lin", "1557", "GRP_NETWORK", "AmeriFlux", 
"US-LL1", "83555", "GRP_NETWORK", "AmeriFlux", 
"US-LL2", "83582", "GRP_NETWORK", "AmeriFlux", 
"US-LL3", "83598", "GRP_NETWORK", "AmeriFlux", 
"US-Los", "15283", "GRP_NETWORK", "AmeriFlux", 
"US-Los", "86979", "GRP_NETWORK", "Phenocam", 
"US-LPH", "5544", "GRP_NETWORK", "AmeriFlux", 
"US-LPH", "86980", "GRP_NETWORK", "Phenocam", 
"US-LWW", "2970", "GRP_NETWORK", "AmeriFlux", 
"US-Me1", "8947", "GRP_NETWORK", "AmeriFlux", 
"US-Me2", "12967", "GRP_NETWORK", "AmeriFlux", 
"US-Me2", "86981", "GRP_NETWORK", "Phenocam", 
"US-Me3", "17280", "GRP_NETWORK", "AmeriFlux", 
"US-Me4", "4700", "GRP_NETWORK", "AmeriFlux", 
"US-Me5", "7220", "GRP_NETWORK", "AmeriFlux", 
"US-Me6", "11561", "GRP_NETWORK", "AmeriFlux", 
"US-Me6", "86982", "GRP_NETWORK", "Phenocam", 
"US-Men", "33587", "GRP_NETWORK", "AmeriFlux", 
"US-Mj1", "29756", "GRP_NETWORK", "AmeriFlux", 
"US-Mj2", "29736", "GRP_NETWORK", "AmeriFlux", 
"US-MMS", "11722", "GRP_NETWORK", "AmeriFlux", 
"US-MMS", "86983", "GRP_NETWORK", "Phenocam", 
"US-MOz", "17090", "GRP_NETWORK", "AmeriFlux", 
"US-MOz", "86984", "GRP_NETWORK", "Phenocam", 
"US-Mpj", "12387", "GRP_NETWORK", "AmeriFlux", 
"US-Mpj", "86985", "GRP_NETWORK", "Phenocam", 
"US-MRf", "435", "GRP_NETWORK", "AmeriFlux", 
"US-MRM", "30528", "GRP_NETWORK", "AmeriFlux", 
"US-MtB", "87266", "GRP_NETWORK", "AmeriFlux", 
"US-Myb", "11201", "GRP_NETWORK", "AmeriFlux", 
"US-Myb", "86986", "GRP_NETWORK", "Phenocam", 
"US-NC1", "12826", "GRP_NETWORK", "AmeriFlux", 
"US-NC1", "84733", "GRP_NETWORK", "USCCC", 
"US-NC2", "12855", "GRP_NETWORK", "AmeriFlux", 
"US-NC2", "84739", "GRP_NETWORK", "USCCC", 
"US-NC2", "86987", "GRP_NETWORK", "Phenocam", 
"US-NC3", "12884", "GRP_NETWORK", "AmeriFlux", 
"US-NC3", "84743", "GRP_NETWORK", "USCCC", 
"US-NC4", "12906", "GRP_NETWORK", "AmeriFlux", 
"US-NC4", "86988", "GRP_NETWORK", "Phenocam", 
"US-Ne1", "9815", "GRP_NETWORK", "AmeriFlux", 
"US-Ne2", "8949", "GRP_NETWORK", "AmeriFlux", 
"US-Ne3", "1273", "GRP_NETWORK", "AmeriFlux", 
"US-NGB", "13260", "GRP_NETWORK", "AmeriFlux", 
"US-NGB", "86989", "GRP_NETWORK", "Phenocam", 
"US-NGC", "79243", "GRP_NETWORK", "AmeriFlux", 
"US-NMj", "8107", "GRP_NETWORK", "AmeriFlux", 
"US-NR1", "11580", "GRP_NETWORK", "AmeriFlux", 
"US-NR1", "86990", "GRP_NETWORK", "Phenocam", 
"US-NR2", "29774", "GRP_NETWORK", "AmeriFlux", 
"US-Nrf", "30912", "GRP_NETWORK", "Ameriflux", 
"US-Nrs", "30872", "GRP_NETWORK", "Ameriflux", 
"US-OF1", "30652", "GRP_NETWORK", "Ameriflux", 
"US-OF1", "86991", "GRP_NETWORK", "Phenocam", 
"US-OF2", "30633", "GRP_NETWORK", "AmeriFlux", 
"US-OF2", "86992", "GRP_NETWORK", "Phenocam", 
"US-Oho", "12795", "GRP_NETWORK", "Ameriflux", 
"US-Oho", "12807", "GRP_NETWORK", "USCCC", 
"US-ORv", "11220", "GRP_NETWORK", "AmeriFlux", 
"US-OWC", "14793", "GRP_NETWORK", "Ameriflux", 
"US-PFa", "15238", "GRP_NETWORK", "AmeriFlux", 
"US-PFb", "87407", "GRP_NETWORK", "AmeriFlux", 
"US-PFc", "87430", "GRP_NETWORK", "AmeriFlux", 
"US-PFd", "87453", "GRP_NETWORK", "AmeriFlux", 
"US-PFe", "87476", "GRP_NETWORK", "AmeriFlux", 
"US-PFf", "87499", "GRP_NETWORK", "AmeriFlux", 
"US-PFg", "87543", "GRP_NETWORK", "AmeriFlux", 
"US-PFh", "87549", "GRP_NETWORK", "AmeriFlux", 
"US-PFi", "87572", "GRP_NETWORK", "AmeriFlux", 
"US-PFj", "87595", "GRP_NETWORK", "AmeriFlux", 
"US-PFk", "87614", "GRP_NETWORK", "AmeriFlux", 
"US-PFL", "87642", "GRP_NETWORK", "AmeriFlux", 
"US-PFm", "87660", "GRP_NETWORK", "AmeriFlux", 
"US-PFn", "87683", "GRP_NETWORK", "AmeriFlux", 
"US-PFo", "87706", "GRP_NETWORK", "AmeriFlux", 
"US-PFp", "87729", "GRP_NETWORK", "AmeriFlux", 
"US-PFq", "87780", "GRP_NETWORK", "AmeriFlux", 
"US-PFr", "87757", "GRP_NETWORK", "AmeriFlux", 
"US-PFs", "87749", "GRP_NETWORK", "AmeriFlux", 
"US-PFt", "87821", "GRP_NETWORK", "AmeriFlux", 
"US-PHM", "30032", "GRP_NETWORK", "AmeriFlux", 
"US-PLM", "79854", "GRP_NETWORK", "AmeriFlux", 
"US-Pnp", "79419", "GRP_NETWORK", "AmeriFlux", 
"US-Pon", "443", "GRP_NETWORK", "AmeriFlux", 
"US-Prr", "11887", "GRP_NETWORK", "AmeriFlux", 
"US-PSH", "86799", "GRP_NETWORK", "AmeriFlux", 
"US-PSL", "86779", "GRP_NETWORK", "AmeriFlux", 
"US-RC1", "84887", "GRP_NETWORK", "AmeriFlux", 
"US-RC2", "84923", "GRP_NETWORK", "AmeriFlux", 
"US-RC3", "84905", "GRP_NETWORK", "AmeriFlux", 
