"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "LMA", "LMA_SPP", "LMA_DATE", "LMA_COMMENT", "LMA_SPATIAL_VARIABILITY", 
"CA-Ojp", "28380", "GRP_LMA", "148", "PIBA2 (NRCS plant code)", "19940531", "assumed that C account for 50% of biomass, data offered by BOREAS (Middleton et al. 1997,J Geophy Res 102, 28831-28844)", "20", 
"CA-Ojp", "28647", "GRP_LMA", "86.9", "PIBA2 (NRCS plant code)", "19940725", "assumed that C account for 50% of biomass, data offered by BOREAS (Middleton et al. 1997,J Geophy Res 102, 28831-28844)", "18.1", 
"CA-Ojp", "28648", "GRP_LMA", "78.55", "PIBA2 (NRCS plant code)", "19940906", "assumed that C account for 50% of biomass, data offered by BOREAS (Middleton et al. 1997,J Geophy Res 102, 28831-28844)", "11.5", 
"CA-SJ3", "26704", "GRP_LMA", "78.4", "PIBA2 (NRCS plant code)", "19940722", "assumed that C account for 50% of mass, data offered by BOREAS (Middleton et al. 1997)", , 
"CA-SJ3", "26845", "GRP_LMA", "115.1", "PIBA2 (NRCS plant code)", "19940526", "assumed that C account for 50% of mass, data offered by BOREAS (Middleton et al. 1997)", , 
"CA-SJ3", "28276", "GRP_LMA", "85", "PIBA2 (NRCS plant code)", "19940907", "assumed that C account for 50% of mass, data offered by BOREAS (Middleton et al. 1997)", , 
"CA-TP1", "25050", "GRP_LMA", "20.08", "(All)", , , , 
"CA-TP2", "23902", "GRP_LMA", "87.27", "(All)", , , , 
"CA-TP3", "24277", "GRP_LMA", "46.01", "(All)", , , , 
"CA-TP4", "25051", "GRP_LMA", "28.55", "(All)", , , , 
"CA-WP1", "24278", "GRP_LMA", "111.524", "(All)", , "Syed_et_al_AgricForestMeteorol_2006 (140): 97-114
page  106 Table3
Specific leaf area m2 kg-1 4.3 ( P.mariana) 
14.5 (L.laricina), 11.5  (B.pumila)
page 103 ..two-third of this aboveground biomass was in the wso tree species....P.mariana had about twice the biomass of L.laricina, …", , 
"US-Bar", "26755", "GRP_LMA", "65.61", "POGR4 (NRCS plant code)", "20040728", , , 
"US-Bar", "26902", "GRP_LMA", "173.67", "PIST (NRCS plant code)", "20040728", , , 
"US-Bar", "27350", "GRP_LMA", "66.33", "BEAL2 (NRCS plant code)", "20040728", , , 
"US-Bar", "27595", "GRP_LMA", "304.67", "PIRU (NRCS plant code)", "20040728", , , 
"US-Bar", "27967", "GRP_LMA", "62.58", "ACRU (NRCS plant code)", "20040728", , , 
"US-Bar", "28317", "GRP_LMA", "74.4", "BEPA (NRCS plant code)", "20040728", , , 
"US-Bar", "28318", "GRP_LMA", "61.32", "FRAM2 (NRCS plant code)", "20040728", , , 
"US-Bar", "28578", "GRP_LMA", "43.97", "ACPE (NRCS plant code)", "20040728", , , 
"US-Bar", "28579", "GRP_LMA", "66.33", "ACSA3 (NRCS plant code)", "20040728", , , 
"US-Bar", "29514", "GRP_LMA", "61.0799999999999", "FAGR (NRCS plant code)", "20040728", , , 
"US-Blo", "23934", "GRP_LMA", "117", "(All)", , "
average for Pinus; 111 for 2 years old needle, 123 for 1 year old needle, 

262 for Arctostaphylos, 104 for ceanothus", , 
"US-Dk1", "26905", "GRP_LMA", "79.78", "(All)", , "SLA is a composite of all species present in the sample, giving rise to its variability.  Area measured on light table (Decagon) and wieghts measured on microbalance.  Mass measurements converted to mass C by assuming 50% carbon content", , 
"US-Dk1", "27056", "GRP_LMA", "76.82", "(All)", , "SLA is a composite of all species present in the sample, giving rise to its variability.  Area measured on light table (Decagon) and wieghts measured on microbalance.  Mass measurements converted to mass C by assuming 50% carbon content", , 
"US-Dk1", "27598", "GRP_LMA", "59.88", "(All)", , "SLA is a composite of all species present in the sample, giving rise to its variability.  Area measured on light table (Decagon) and wieghts measured on microbalance.  Mass measurements converted to mass C by assuming 50% carbon content", , 
"US-Dk1", "27971", "GRP_LMA", "62.47", "(All)", , "SLA is a composite of all species present in the sample, giving rise to its variability.  Area measured on light table (Decagon) and wieghts measured on microbalance.  Mass measurements converted to mass C by assuming 50% carbon content", , 
"US-Dk1", "28582", "GRP_LMA", "26.38", "(All)", , "SLA is a composite of all species present in the sample, giving rise to its variability.  Area measured on light table (Decagon) and wieghts measured on microbalance.  Mass measurements converted to mass C by assuming 50% carbon content", , 
"US-Dk1", "29049", "GRP_LMA", "82.63", "(All)", , "SLA is a composite of all species present in the sample, giving rise to its variability.  Area measured on light table (Decagon) and wieghts measured on microbalance.  Mass measurements converted to mass C by assuming 50% carbon content", , 
"US-Dk1", "29050", "GRP_LMA", "63.38", "(All)", , "SLA is a composite of all species present in the sample, giving rise to its variability.  Area measured on light table (Decagon) and wieghts measured on microbalance.  Mass measurements converted to mass C by assuming 50% carbon content", , 
"US-Dk1", "29051", "GRP_LMA", "73.08", "(All)", , "SLA is a composite of all species present in the sample, giving rise to its variability.  Area measured on light table (Decagon) and wieghts measured on microbalance.  Mass measurements converted to mass C by assuming 50% carbon content", , 
"US-Dk1", "29518", "GRP_LMA", "100.85", "(All)", , "SLA is a composite of all species present in the sample, giving rise to its variability.  Area measured on light table (Decagon) and wieghts measured on microbalance.  Mass measurements converted to mass C by assuming 50% carbon content", , 
"US-Dk1", "29519", "GRP_LMA", "48.36", "(All)", , "SLA is a composite of all species present in the sample, giving rise to its variability.  Area measured on light table (Decagon) and wieghts measured on microbalance.  Mass measurements converted to mass C by assuming 50% carbon content", , 
"US-Dk2", "24004", "GRP_LMA", "62", "LITU (NRCS plant code)", "2006", "Oishi, A.C., Oren, R. and Stoy, P., 2008. Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements Agricultural and Forest Meteorology, In Revision, In Revision.", , 
"US-Dk2", "24119", "GRP_LMA", "62", "QUPH (NRCS plant code)", "2006", "Oishi, A.C., Oren, R. and Stoy, P., 2008. Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements Agricultural and Forest Meteorology, In Revision, In Revision.", , 
"US-Dk2", "25031", "GRP_LMA", "76", "CAAL27 (NRCS plant code)", "2006", "Oishi, A.C., Oren, R. and Stoy, P., 2008. Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements Agricultural and Forest Meteorology, In Revision, In Revision.", , 
"US-Dk2", "25160", "GRP_LMA", "73", "(All)", "2006", "Oishi, A.C., Oren, R. and Stoy, P., 2008. Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements Agricultural and Forest Meteorology, In Revision, In Revision.", , 
"US-Dk2", "25550", "GRP_LMA", "89", "QUAL (NRCS plant code)", "2006", "Oishi, A.C., Oren, R. and Stoy, P., 2008. Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements Agricultural and Forest Meteorology, In Revision, In Revision.", , 
"US-Dk2", "26051", "GRP_LMA", "98", "LIST2 (NRCS plant code)", "2006", "Oishi, A.C., Oren, R. and Stoy, P., 2008. Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements Agricultural and Forest Meteorology, In Revision, In Revision.", , 
"US-Dk2", "26052", "GRP_LMA", "78", "QUMI (NRCS plant code)", "2006", "Oishi, A.C., Oren, R. and Stoy, P., 2008. Estimating components of forest evapotranspiration: A footprint approach for scaling sap flux measurements Agricultural and Forest Meteorology, In Revision, In Revision.", , 
"US-Dk3", "27254", "GRP_LMA", "143.1", "(All)", "2004", "Data from http://face.env.duke.edu/face.cfm", , 
"US-Dk3", "27890", "GRP_LMA", "140.2", "(All)", "2005", "Data from http://face.env.duke.edu/face.cfm", , 
"US-Dk3", "28254", "GRP_LMA", "135.4", "(All)", "2001", "Data from http://face.env.duke.edu/face.cfm", , 
"US-Dk3", "28255", "GRP_LMA", "170.7", "(All)", "2003", "Data from http://face.env.duke.edu/face.cfm", , 
"US-Dk3", "29088", "GRP_LMA", "131.9", "(All)", "2002", "Data from http://face.env.duke.edu/face.cfm", , 
"US-Fmf", "26784", "GRP_LMA", "325", "(All)", , , , 
"US-FR2", "23770", "GRP_LMA", "168", "(All)", , "(range 156-180) Ashe juniper (300) , Honey mesquite (156), King Ranch Bluestem (68); Tamara has a totally different value for KR (180???)", , 
"US-Fuf", "26786", "GRP_LMA", "325", "(All)", , , , 
"US-Fwf", "23903", "GRP_LMA", "79", "(All)", , , , 
"US-Ha1", "24198", "GRP_LMA", "10.4", "ACRU (NRCS plant code)", "19940722", "Source: Bassow and Bazzaz, 1997, Intra- and inter-specific variation in canopy photosynthesis in a mixed deciduous forest, Oecologia 109: 507.", , 
"US-Ha1", "24199", "GRP_LMA", "11", "QURU (NRCS plant code)", "19940722", "Source: Bassow and Bazzaz, 1997, Intra- and inter-specific variation in canopy photosynthesis in a mixed deciduous forest, Oecologia 109: 507.", , 
"US-Ha1", "24967", "GRP_LMA", "5.9", "ACPE (NRCS plant code)", "19940722", "Source: Bassow and Bazzaz, 1997, Intra- and inter-specific variation in canopy photosynthesis in a mixed deciduous forest, Oecologia 109: 507.", , 
"US-Ha2", "23771", "GRP_LMA", "131", "(All)", , "Based on projected leaf area; average over 3 canopy layers and 3 foliage age classes
", , 
"US-Ho1", "24860", "GRP_LMA", "226", "(All)", "19990729", , , 
"US-Ho2", "24983", "GRP_LMA", "226", "(All)", "19990729", "same as Main (US-Ho1)", , 
"US-Ho3", "24223", "GRP_LMA", "226", "(All)", "19990729", "same as Main (US-Ho1)", , 
"US-KS2", "24409", "GRP_LMA", "174", "(All)", , "average of green leaves sampled June, September, and November source: Hymus et al. 2002 Global Change Biology 8:931-940
", , 
"US-Los", "25052", "GRP_LMA", "156", "(All)", , , , 
"US-LPH", "24797", "GRP_LMA", "73", "(All)", , , , 
"US-Me2", "24044", "GRP_LMA", "127", "PIPO (NRCS plant code)", "2001", , , 
"US-Me3", "24538", "GRP_LMA", "300", "(All)", , , , 
"US-Me4", "23814", "GRP_LMA", "114", "PIPO (NRCS plant code)", "2001", , , 
"US-Me4", "24699", "GRP_LMA", "120", "PIPO (NRCS plant code)", "2001", , , 
"US-Me5", "24043", "GRP_LMA", "117", "PIPO (NRCS plant code)", "2001", , , 
"US-MMS", "24151", "GRP_LMA", "42.5", "(All)", , "ddragoni:
dry weight

103,7 wet weight", , 
"US-MOz", "23703", "GRP_LMA", "86.13", "QUAL (NRCS plant code)", "20060613", "(Quercus alba)  Comment: 2007 data reflect effects of severe freeze and consequent shoot and leaf injury/death on LMA and %N", , 
"US-MOz", "23964", "GRP_LMA", "122.6", "JUVI (NRCS plant code)", "20060613", "(Juniperus virginiana)", , 
"US-MOz", "23965", "GRP_LMA", "64.87", "CAOV2 (NRCS plant code)", "20060613", "(Carya ovata)", , 
"US-MOz", "24224", "GRP_LMA", "74.22", "ACSAF (NRCS plant code)", "20070616", "(Acer saccharum)  2007 data reflect effects of severe freeze and consequent shoot and leaf injury/death on LMA and %N", , 
"US-MOz", "24225", "GRP_LMA", "96.78", "JUVI (NRCS plant code)", "20070616", "(Juniperus virginiana)  2007 data reflect effects of severe freeze and consequent shoot and leaf injury/death on LMA and %N", , 
"US-MOz", "24334", "GRP_LMA", "99.48", "QUVE (NRCS plant code)", "20060613", "(Quercus velutina)", , 
"US-MOz", "24724", "GRP_LMA", "65.11", "ACSAF (NRCS plant code)", "20060613", "(Acer saccharum)", , 
"US-MOz", "24984", "GRP_LMA", "77.15", "QUVE (NRCS plant code)", "20070616", "(Quercus velutina)  2007 data reflect effects of severe freeze and consequent shoot and leaf injury/death on LMA and %N", , 
"US-MOz", "24985", "GRP_LMA", "93", "CAOV2 (NRCS plant code)", "20070616", "(Carya ovata)  2007 data reflect effects of severe freeze and consequent shoot and leaf injury/death on LMA and %N", , 
"US-MOz", "25120", "GRP_LMA", "80.61", "QUAL (NRCS plant code)", "20070616", "(Quercus alba)  2007 data reflect effects of severe freeze and consequent shoot and leaf injury/death on LMA and %N", , 
"US-Ne1", "27152", "GRP_LMA", "18.5988", "ZEMAH (NRCS plant code)", "20060616", , , 
"US-Ne1", "27153", "GRP_LMA", "41.0915", "ZEMAH (NRCS plant code)", "20060912", , , 
"US-Ne1", "27156", "GRP_LMA", "20.9", "ZEMAH (NRCS plant code)", "20010719", , , 
"US-Ne1", "27157", "GRP_LMA", "22.08", "ZEMAH (NRCS plant code)", "20020708", , , 
"US-Ne1", "27158", "GRP_LMA", "22.67", "ZEMAH (NRCS plant code)", "20040713", , , 
"US-Ne1", "27159", "GRP_LMA", "24.89", "ZEMAH (NRCS plant code)", "20050801", , , 
"US-Ne1", "27458", "GRP_LMA", "36.5969", "ZEMAH (NRCS plant code)", "20070924", , , 
"US-Ne1", "27461", "GRP_LMA", "25.24", "ZEMAH (NRCS plant code)", "20010815", , , 
"US-Ne1", "27708", "GRP_LMA", "26.11", "ZEMAH (NRCS plant code)", "20030808", , , 
"US-Ne1", "27709", "GRP_LMA", "26.27", "ZEMAH (NRCS plant code)", "20040726", , , 
"US-Ne1", "27710", "GRP_LMA", "26.43", "ZEMAH (NRCS plant code)", "20040817", , , 
"US-Ne1", "27711", "GRP_LMA", "19.34", "ZEMAH (NRCS plant code)", "20050627", , , 
"US-Ne1", "27792", "GRP_LMA", "26.6334", "ZEMAH (NRCS plant code)", "20060712", , , 
"US-Ne1", "27794", "GRP_LMA", "25.84", "ZEMAH (NRCS plant code)", "20030606", , , 
"US-Ne1", "27795", "GRP_LMA", "29.02", "ZEMAH (NRCS plant code)", "20040907", , , 
"US-Ne1", "27796", "GRP_LMA", "18.32", "ZEMAH (NRCS plant code)", "20050617", , , 
"US-Ne1", "28062", "GRP_LMA", "18.73", "ZEMAH (NRCS plant code)", "20020603", , , 
"US-Ne1", "28063", "GRP_LMA", "18.44", "ZEMAH (NRCS plant code)", "20040603", , , 
"US-Ne1", "28064", "GRP_LMA", "20.98", "ZEMAH (NRCS plant code)", "20040701", , , 
"US-Ne1", "28065", "GRP_LMA", "24.97", "ZEMAH (NRCS plant code)", "20050809", , , 
"US-Ne1", "28066", "GRP_LMA", "31.09", "ZEMAH (NRCS plant code)", "20050913", , , 
"US-Ne1", "28401", "GRP_LMA", "14.65", "ZEMAH (NRCS plant code)", "20060601", , , 
"US-Ne1", "28403", "GRP_LMA", "14.1359", "ZEMAH (NRCS plant code)", "20070529", , , 
"US-Ne1", "28404", "GRP_LMA", "18.6309", "ZEMAH (NRCS plant code)", "20070709", , , 
"US-Ne1", "28405", "GRP_LMA", "26.0424", "ZEMAH (NRCS plant code)", "20070724", , , 
"US-Ne1", "28406", "GRP_LMA", "25.6282", "ZEMAH (NRCS plant code)", "20070816", , , 
"US-Ne1", "28410", "GRP_LMA", "20.8", "ZEMAH (NRCS plant code)", "20010705", , , 
"US-Ne1", "28411", "GRP_LMA", "27.19", "ZEMAH (NRCS plant code)", "20020729", , , 
"US-Ne1", "28412", "GRP_LMA", "27.17", "ZEMAH (NRCS plant code)", "20030826", , , 
"US-Ne1", "28686", "GRP_LMA", "28.9373", "ZEMAH (NRCS plant code)", "20070905", , , 
"US-Ne1", "28687", "GRP_LMA", "15.81", "ZEMAH (NRCS plant code)", "20020529", , , 
"US-Ne1", "28688", "GRP_LMA", "18.3", "ZEMAH (NRCS plant code)", "20020618", , , 
"US-Ne1", "28689", "GRP_LMA", "32.68", "ZEMAH (NRCS plant code)", "20030926", , , 
"US-Ne1", "28690", "GRP_LMA", "18.4", "ZEMAH (NRCS plant code)", "20040615", , , 
"US-Ne1", "28691", "GRP_LMA", "25.9", "ZEMAH (NRCS plant code)", "20050919", , , 
"US-Ne1", "28745", "GRP_LMA", "23.5575", "ZEMAH (NRCS plant code)", "20060706", , , 
"US-Ne1", "28746", "GRP_LMA", "26.8221", "ZEMAH (NRCS plant code)", "20060728", , , 
"US-Ne1", "28750", "GRP_LMA", "19.8744", "ZEMAH (NRCS plant code)", "20070606", , , 
"US-Ne1", "28751", "GRP_LMA", "21.1204", "ZEMAH (NRCS plant code)", "20070619", , , 
"US-Ne1", "28754", "GRP_LMA", "14.62", "ZEMAH (NRCS plant code)", "20010529", , , 
"US-Ne1", "28755", "GRP_LMA", "20.96", "ZEMAH (NRCS plant code)", "20010629", , , 
"US-Ne1", "28756", "GRP_LMA", "34.51", "ZEMAH (NRCS plant code)", "20020912", , , 
"US-Ne1", "28757", "GRP_LMA", "13.19", "ZEMAH (NRCS plant code)", "20050531", , , 
"US-Ne1", "28901", "GRP_LMA", "25.2002", "ZEMAH (NRCS plant code)", "20060720", , , 
"US-Ne1", "28904", "GRP_LMA", "19.6636", "ZEMAH (NRCS plant code)", "20070613", , , 
"US-Ne1", "28905", "GRP_LMA", "22.291", "ZEMAH (NRCS plant code)", "20070626", , , 
"US-Ne1", "28907", "GRP_LMA", "14.91", "ZEMAH (NRCS plant code)", "20010613", , , 
"US-Ne1", "28908", "GRP_LMA", "19.6", "ZEMAH (NRCS plant code)", "20010621", , , 
"US-Ne1", "28909", "GRP_LMA", "28.41", "ZEMAH (NRCS plant code)", "20020812", , , 
"US-Ne1", "28910", "GRP_LMA", "17.65", "ZEMAH (NRCS plant code)", "20030625", , , 
"US-Ne1", "28911", "GRP_LMA", "20.19", "ZEMAH (NRCS plant code)", "20030708", , , 
"US-Ne1", "28912", "GRP_LMA", "38.83", "ZEMAH (NRCS plant code)", "20040929", , , 
"US-Ne1", "29278", "GRP_LMA", "28.8982", "ZEMAH (NRCS plant code)", "20060814", , , 
"US-Ne1", "29283", "GRP_LMA", "25.44", "ZEMAH (NRCS plant code)", "20030728", , , 
"US-Ne1", "29284", "GRP_LMA", "25.73", "ZEMAH (NRCS plant code)", "20040805", , , 
"US-Ne1", "29285", "GRP_LMA", "21.17", "ZEMAH (NRCS plant code)", "20050707", , , 
"US-Ne1", "29386", "GRP_LMA", "17.2464", "ZEMAH (NRCS plant code)", "20060608", , , 
"US-Ne1", "29387", "GRP_LMA", "21.2338", "ZEMAH (NRCS plant code)", "20060626", , , 
"US-Ne1", "29388", "GRP_LMA", "28.1258", "ZEMAH (NRCS plant code)", "20060804", , , 
"US-Ne1", "29389", "GRP_LMA", "28.6542", "ZEMAH (NRCS plant code)", "20060824", , , 
"US-Ne1", "29392", "GRP_LMA", "23.8953", "ZEMAH (NRCS plant code)", "20070716", , , 
"US-Ne1", "29393", "GRP_LMA", "28.3167", "ZEMAH (NRCS plant code)", "20070803", , , 
"US-Ne1", "29397", "GRP_LMA", "22.23", "ZEMAH (NRCS plant code)", "20010713", , , 
"US-Ne1", "29398", "GRP_LMA", "25.36", "ZEMAH (NRCS plant code)", "20010809", , , 
"US-Ne1", "29593", "GRP_LMA", "23.28", "ZEMAH (NRCS plant code)", "20020701", , , 
"US-Ne1", "29594", "GRP_LMA", "24.41", "ZEMAH (NRCS plant code)", "20020715", , , 
"US-Ne1", "29595", "GRP_LMA", "24.07", "ZEMAH (NRCS plant code)", "20030718", , , 
"US-Ne1", "29596", "GRP_LMA", "24.2", "ZEMAH (NRCS plant code)", "20050720", , , 
"US-Ne2", "27154", "GRP_LMA", "17.3243", "GLYMA4 (NRCS plant code)", "20060724", , , 
"US-Ne2", "27160", "GRP_LMA", "20.26", "ZEMAH (NRCS plant code)", "20010629", , , 
"US-Ne2", "27161", "GRP_LMA", "16.11", "GLYMA4 (NRCS plant code)", "20020724", , , 
"US-Ne2", "27162", "GRP_LMA", "16.87", "GLYMA4 (NRCS plant code)", "20040813", , , 
"US-Ne2", "27163", "GRP_LMA", "16.87", "GLYMA4 (NRCS plant code)", "20040916", , , 
"US-Ne2", "27164", "GRP_LMA", "25.95", "ZEMAH (NRCS plant code)", "20050815", , , 
"US-Ne2", "27455", "GRP_LMA", "19.014", "GLYMA4 (NRCS plant code)", "20060627", , , 
"US-Ne2", "27459", "GRP_LMA", "19.115", "ZEMAH (NRCS plant code)", "20070614", , , 
"US-Ne2", "27462", "GRP_LMA", "20.48", "ZEMAH (NRCS plant code)", "20010529", , , 
"US-Ne2", "27463", "GRP_LMA", "19.86", "ZEMAH (NRCS plant code)", "20030606", , , 
"US-Ne2", "27464", "GRP_LMA", "13.72", "ZEMAH (NRCS plant code)", "20050531", , , 
"US-Ne2", "27465", "GRP_LMA", "20.3", "ZEMAH (NRCS plant code)", "20050623", , , 
"US-Ne2", "27466", "GRP_LMA", "23.17", "ZEMAH (NRCS plant code)", "20050706", , , 
"US-Ne2", "27703", "GRP_LMA", "17.7273", "GLYMA4 (NRCS plant code)", "20060731", , , 
"US-Ne2", "27705", "GRP_LMA", "25.79", "ZEMAH (NRCS plant code)", "20070710", , , 
"US-Ne2", "27706", "GRP_LMA", "28.9248", "ZEMAH (NRCS plant code)", "20070725", , , 
"US-Ne2", "27712", "GRP_LMA", "16.81", "GLYMA4 (NRCS plant code)", "20020806", , , 
"US-Ne2", "27713", "GRP_LMA", "27.5", "ZEMAH (NRCS plant code)", "20030822", , , 
"US-Ne2", "27793", "GRP_LMA", "38.5263", "ZEMAH (NRCS plant code)", "20070927", , , 
"US-Ne2", "27797", "GRP_LMA", "23.22", "ZEMAH (NRCS plant code)", "20010820", , , 
"US-Ne2", "27798", "GRP_LMA", "14.29", "GLYMA4 (NRCS plant code)", "20020710", , , 
"US-Ne2", "28057", "GRP_LMA", "14.4036", "ZEMAH (NRCS plant code)", "20070529", , , 
"US-Ne2", "28058", "GRP_LMA", "20.1564", "ZEMAH (NRCS plant code)", "20070607", , , 
"US-Ne2", "28067", "GRP_LMA", "18.88", "ZEMAH (NRCS plant code)", "20030624", , , 
"US-Ne2", "28068", "GRP_LMA", "24.94", "ZEMAH (NRCS plant code)", "20050713", , , 
"US-Ne2", "28402", "GRP_LMA", "20.1725", "GLYMA4 (NRCS plant code)", "20060612", , , 
"US-Ne2", "28407", "GRP_LMA", "22.6339", "ZEMAH (NRCS plant code)", "20070628", , , 
"US-Ne2", "28413", "GRP_LMA", "21.69", "ZEMAH (NRCS plant code)", "20010713", , , 
"US-Ne2", "28414", "GRP_LMA", "26.51", "ZEMAH (NRCS plant code)", "20030806", , , 
"US-Ne2", "28681", "GRP_LMA", "17.3564", "GLYMA4 (NRCS plant code)", "20060620", , , 
"US-Ne2", "28682", "GRP_LMA", "20.9623", "GLYMA4 (NRCS plant code)", "20060707", , , 
"US-Ne2", "28683", "GRP_LMA", "18.1394", "GLYMA4 (NRCS plant code)", "20060714", , , 
"US-Ne2", "28692", "GRP_LMA", "17.28", "ZEMAH (NRCS plant code)", "20010613", , , 
"US-Ne2", "28693", "GRP_LMA", "18.74", "ZEMAH (NRCS plant code)", "20010621", , , 
"US-Ne2", "28694", "GRP_LMA", "20.73", "ZEMAH (NRCS plant code)", "20030707", , , 
"US-Ne2", "28695", "GRP_LMA", "23.64", "ZEMAH (NRCS plant code)", "20030716", , , 
"US-Ne2", "28696", "GRP_LMA", "17.01", "ZEMAH (NRCS plant code)", "20050613", , , 
"US-Ne2", "28747", "GRP_LMA", "19.4386", "GLYMA4 (NRCS plant code)", "20060828", , , 
"US-Ne2", "28752", "GRP_LMA", "27.2102", "ZEMAH (NRCS plant code)", "20070820", , , 
"US-Ne2", "28753", "GRP_LMA", "31.7216", "ZEMAH (NRCS plant code)", "20070911", , , 
"US-Ne2", "28758", "GRP_LMA", "14.5", "GLYMA4 (NRCS plant code)", "20040720", , , 
"US-Ne2", "28759", "GRP_LMA", "15.61", "GLYMA4 (NRCS plant code)", "20040730", , , 
"US-Ne2", "28760", "GRP_LMA", "33.69", "ZEMAH (NRCS plant code)", "20050919", , , 
"US-Ne2", "28902", "GRP_LMA", "15.1153", "GLYMA4 (NRCS plant code)", "20060920", , , 
