"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_BIOMASS_OTHER", "AG_BIOMASS_OTHER_ORGAN", "AG_BIOMASS_OTHER_PHEN", "AG_BIOMASS_OTHER_UNIT", "AG_BIOMASS_COMMENT", "AG_BIOMASS_DATE", "AG_BIOMASS_APPROACH", "AG_BIOMASS_OTHER_SPATIAL_VARIABILITY", "AG_BIOMASS_OTHER_SPATIAL_REP_NUMBER", "AG_BIOMASS_DATE_UNC", 
"CA-Let", "25202", "GRP_AG_BIOMASS_OTHER", "14.625066", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020527", , , , , 
"CA-Let", "25203", "GRP_AG_BIOMASS_OTHER", "55.11572", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20030528", , , , , 
"CA-Let", "25204", "GRP_AG_BIOMASS_OTHER", "19.169192", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040519", , , , , 
"CA-Let", "25205", "GRP_AG_BIOMASS_OTHER", "103.094797", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050808", , , , , 
"CA-Let", "25334", "GRP_AG_BIOMASS_OTHER", "88.539066", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19980701", , , , , 
"CA-Let", "25335", "GRP_AG_BIOMASS_OTHER", "22.115002", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020605", , , , , 
"CA-Let", "25336", "GRP_AG_BIOMASS_OTHER", "42.440664", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020618", , , , , 
"CA-Let", "25337", "GRP_AG_BIOMASS_OTHER", "58.3362", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020627", , , , , 
"CA-Let", "25338", "GRP_AG_BIOMASS_OTHER", "65.71334", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020704", , , , , 
"CA-Let", "25339", "GRP_AG_BIOMASS_OTHER", "7.648938", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20030416", , , , , 
"CA-Let", "25340", "GRP_AG_BIOMASS_OTHER", "29.262625", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040603", , , , , 
"CA-Let", "25341", "GRP_AG_BIOMASS_OTHER", "48.002493", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040616", , , , , 
"CA-Let", "25342", "GRP_AG_BIOMASS_OTHER", "59.275968", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040629", , , , , 
"CA-Let", "25343", "GRP_AG_BIOMASS_OTHER", "50.875008", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050620", , , , , 
"CA-Let", "25344", "GRP_AG_BIOMASS_OTHER", "79.39206", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050705", , , , , 
"CA-Let", "25345", "GRP_AG_BIOMASS_OTHER", "86.89548", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050725", , , , , 
"CA-Let", "25459", "GRP_AG_BIOMASS_OTHER", "65.87476", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19980617", , , , , 
"CA-Let", "25460", "GRP_AG_BIOMASS_OTHER", "37.53622", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20000612", , , , , 
"CA-Let", "25461", "GRP_AG_BIOMASS_OTHER", "15.08478", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20000821", , , , , 
"CA-Let", "25462", "GRP_AG_BIOMASS_OTHER", "17.58816", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20001002", , , , , 
"CA-Let", "25463", "GRP_AG_BIOMASS_OTHER", "72.770238", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020923", , , , , 
"CA-Let", "25464", "GRP_AG_BIOMASS_OTHER", "79.814344", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20030730", , , , , 
"CA-Let", "25465", "GRP_AG_BIOMASS_OTHER", "19.9215", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20051012", , , , , 
"CA-Let", "25466", "GRP_AG_BIOMASS_OTHER", "76.31192", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060619", , , , , 
"CA-Let", "25601", "GRP_AG_BIOMASS_OTHER", "17.015453", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19980511", , , , , 
"CA-Let", "25602", "GRP_AG_BIOMASS_OTHER", "26.022048", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19980526", , , , , 
"CA-Let", "25603", "GRP_AG_BIOMASS_OTHER", "22.173703", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19990525", , , , , 
"CA-Let", "25604", "GRP_AG_BIOMASS_OTHER", "41.377975", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19990615", , , , , 
"CA-Let", "25605", "GRP_AG_BIOMASS_OTHER", "52.861814", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19990621", , , , , 
"CA-Let", "25606", "GRP_AG_BIOMASS_OTHER", "41.07502", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20000626", , , , , 
"CA-Let", "25607", "GRP_AG_BIOMASS_OTHER", "16.622144", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20000724", , , , , 
"CA-Let", "25608", "GRP_AG_BIOMASS_OTHER", "32.103736", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010716", , , , , 
"CA-Let", "25609", "GRP_AG_BIOMASS_OTHER", "95.36625", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020731", , , , , 
"CA-Let", "25610", "GRP_AG_BIOMASS_OTHER", "92.411307", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20030819", , , , , 
"CA-Let", "25611", "GRP_AG_BIOMASS_OTHER", "20.558934", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20041004", , , , , 
"CA-Let", "25612", "GRP_AG_BIOMASS_OTHER", "34.86692", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060518", , , , , 
"CA-Let", "25613", "GRP_AG_BIOMASS_OTHER", "51.600626", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060605", , , , , 
"CA-Let", "25715", "GRP_AG_BIOMASS_OTHER", "28.236495", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19990719", , , , , 
"CA-Let", "25716", "GRP_AG_BIOMASS_OTHER", "20.363924", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19990825", , , , , 
"CA-Let", "25717", "GRP_AG_BIOMASS_OTHER", "30.443012", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20000515", , , , , 
"CA-Let", "25718", "GRP_AG_BIOMASS_OTHER", "6.11878", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010425", , , , , 
"CA-Let", "25719", "GRP_AG_BIOMASS_OTHER", "5.395425", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010912", , , , , 
"CA-Let", "25720", "GRP_AG_BIOMASS_OTHER", "93.3766", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020722", , , , , 
"CA-Let", "25721", "GRP_AG_BIOMASS_OTHER", "94.30064", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020820", , , , , 
"CA-Let", "25722", "GRP_AG_BIOMASS_OTHER", "94.695315", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20030702", , , , , 
"CA-Let", "25723", "GRP_AG_BIOMASS_OTHER", "32.036844", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20031002", , , , , 
"CA-Let", "25724", "GRP_AG_BIOMASS_OTHER", "52.29925", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040805", , , , , 
"CA-Let", "25725", "GRP_AG_BIOMASS_OTHER", "32.1113", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050613", , , , , 
"CA-Let", "25837", "GRP_AG_BIOMASS_OTHER", "0", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020417", , , , , 
"CA-Let", "25838", "GRP_AG_BIOMASS_OTHER", "9.98245", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19991004", , , , , 
"CA-Let", "25839", "GRP_AG_BIOMASS_OTHER", "70.564604", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040723", , , , , 
"CA-Let", "25840", "GRP_AG_BIOMASS_OTHER", "12.45244", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050426", , , , , 
"CA-Let", "25841", "GRP_AG_BIOMASS_OTHER", "86.447688", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050823", , , , , 
"CA-Let", "25842", "GRP_AG_BIOMASS_OTHER", "51.870368", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050929", , , , , 
"CA-Let", "25843", "GRP_AG_BIOMASS_OTHER", "82.395152", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060731", , , , , 
"CA-Let", "25844", "GRP_AG_BIOMASS_OTHER", "22.054413", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20061010", , , , , 
"CA-Let", "25950", "GRP_AG_BIOMASS_OTHER", "54.1025", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19980603", , , , , 
"CA-Let", "25951", "GRP_AG_BIOMASS_OTHER", "43.092426", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19980923", , , , , 
"CA-Let", "25952", "GRP_AG_BIOMASS_OTHER", "26.72271", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19990803", , , , , 
"CA-Let", "25953", "GRP_AG_BIOMASS_OTHER", "16.479385", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20000501", , , , , 
"CA-Let", "25954", "GRP_AG_BIOMASS_OTHER", "35.039116", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20000529", , , , , 
"CA-Let", "25955", "GRP_AG_BIOMASS_OTHER", "9.763756", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20001016", , , , , 
"CA-Let", "25956", "GRP_AG_BIOMASS_OTHER", "44.66598", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010620", , , , , 
"CA-Let", "25957", "GRP_AG_BIOMASS_OTHER", "7.356678", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010830", , , , , 
"CA-Let", "25958", "GRP_AG_BIOMASS_OTHER", "3.398114", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010926", , , , , 
"CA-Let", "25959", "GRP_AG_BIOMASS_OTHER", "76.89363", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020715", , , , , 
"CA-Let", "25960", "GRP_AG_BIOMASS_OTHER", "39.82531", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20021009", , , , , 
"CA-Let", "25961", "GRP_AG_BIOMASS_OTHER", "110.158532", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20030716", , , , , 
"CA-Let", "26115", "GRP_AG_BIOMASS_OTHER", "23.365712", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19980520", , , , , 
"CA-Let", "26116", "GRP_AG_BIOMASS_OTHER", "40.427586", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19990705", , , , , 
"CA-Let", "26117", "GRP_AG_BIOMASS_OTHER", "28.861258", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20000711", , , , , 
"CA-Let", "26118", "GRP_AG_BIOMASS_OTHER", "15.140178", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20000808", , , , , 
"CA-Let", "26119", "GRP_AG_BIOMASS_OTHER", "30.877105", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010704", , , , , 
"CA-Let", "26120", "GRP_AG_BIOMASS_OTHER", "85.67625", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020812", , , , , 
"CA-Let", "26121", "GRP_AG_BIOMASS_OTHER", "15.019652", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060420", , , , , 
"CA-Let", "26122", "GRP_AG_BIOMASS_OTHER", "16.36143", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060501", , , , , 
"CA-Let", "26217", "GRP_AG_BIOMASS_OTHER", "52.88472", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19980902", , , , , 
"CA-Let", "26218", "GRP_AG_BIOMASS_OTHER", "7.397", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19981014", , , , , 
"CA-Let", "26219", "GRP_AG_BIOMASS_OTHER", "17.612309", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19990511", , , , , 
"CA-Let", "26220", "GRP_AG_BIOMASS_OTHER", "9.09925", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020516", , , , , 
"CA-Let", "26221", "GRP_AG_BIOMASS_OTHER", "10.49271", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040506", , , , , 
"CA-Let", "26222", "GRP_AG_BIOMASS_OTHER", "69.738639", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040712", , , , , 
"CA-Let", "26223", "GRP_AG_BIOMASS_OTHER", "15.66162", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050505", , , , , 
"CA-Let", "26224", "GRP_AG_BIOMASS_OTHER", "93.02475", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050908", , , , , 
"CA-Let", "26225", "GRP_AG_BIOMASS_OTHER", "101.69145", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060718", , , , , 
"CA-Let", "26226", "GRP_AG_BIOMASS_OTHER", "2.92862", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20061024", , , , , 
"CA-Let", "26345", "GRP_AG_BIOMASS_OTHER", "71.918516", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19980805", , , , , 
"CA-Let", "26346", "GRP_AG_BIOMASS_OTHER", "13.469738", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010509", , , , , 
"CA-Let", "26347", "GRP_AG_BIOMASS_OTHER", "22.94112", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010523", , , , , 
"CA-Let", "26348", "GRP_AG_BIOMASS_OTHER", "34.9168", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010607", , , , , 
"CA-Let", "26349", "GRP_AG_BIOMASS_OTHER", "26.037311", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20030501", , , , , 
"CA-Let", "26350", "GRP_AG_BIOMASS_OTHER", "33.646452", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20030514", , , , , 
"CA-Let", "26351", "GRP_AG_BIOMASS_OTHER", "82.913974", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050714", , , , , 
"CA-Let", "26352", "GRP_AG_BIOMASS_OTHER", "66.7492", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060814", , , , , 
"CA-Let", "26353", "GRP_AG_BIOMASS_OTHER", "86.83136", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060828", , , , , 
"CA-Let", "26354", "GRP_AG_BIOMASS_OTHER", "53.823068", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060911", , , , , 
"CA-Let", "26355", "GRP_AG_BIOMASS_OTHER", "53.11395", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060925", , , , , 
"CA-Let", "26471", "GRP_AG_BIOMASS_OTHER", "13.480472", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010801", , , , , 
"CA-Let", "26472", "GRP_AG_BIOMASS_OTHER", "10.307979", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20010815", , , , , 
"CA-Let", "26473", "GRP_AG_BIOMASS_OTHER", "62.685918", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20030911", , , , , 
"CA-Let", "26474", "GRP_AG_BIOMASS_OTHER", "56.27856", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040915", , , , , 
"CA-Let", "26475", "GRP_AG_BIOMASS_OTHER", "10.173948", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20041025", , , , , 
"CA-Let", "26476", "GRP_AG_BIOMASS_OTHER", "7.580736", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040411", , , , , 
"CA-Let", "26600", "GRP_AG_BIOMASS_OTHER", "6.740448", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19990423", , , , , 
"CA-Let", "26601", "GRP_AG_BIOMASS_OTHER", "21.198228", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20000918", , , , , 
"CA-Let", "26602", "GRP_AG_BIOMASS_OTHER", "74.758882", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20020904", , , , , 
"CA-Let", "26603", "GRP_AG_BIOMASS_OTHER", "96.779776", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20030616", , , , , 
"CA-Let", "26604", "GRP_AG_BIOMASS_OTHER", "5.404545", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040421", , , , , 
"CA-Let", "26605", "GRP_AG_BIOMASS_OTHER", "54.716715", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20040824", , , , , 
"CA-Let", "26606", "GRP_AG_BIOMASS_OTHER", "27.57266", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20050524", , , , , 
"CA-Let", "26607", "GRP_AG_BIOMASS_OTHER", "105.568875", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "20060705", , , , , 
"CA-Man", "25753", "GRP_AG_BIOMASS_OTHER", "97", "Total", "Mixed/unknown", "gC m-2", "data from Gower et al. (1997, J Geophy Res 102, 29029-29041)", "1994", , , , , 
"CA-Man", "25982", "GRP_AG_BIOMASS_OTHER", "97", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass; data from Gower et al. (1997, J Geophy Res 102, 29029-29041)", , , , , , 
"CA-Mer", "25453", "GRP_AG_BIOMASS_OTHER", "101.5", "Total", "Mixed/unknown", "gC m-2", , "20030831", , , , , 
"CA-Mer", "26458", "GRP_AG_BIOMASS_OTHER", "95.5", "Total", "Mixed/unknown", "gC m-2", "~220/1999; data from Moore et al. (2002, Journal of Ecology 90, 25-36). Assumed that carbon account for 50% of biomass", "19990808", , , , , 
"CA-NS1", "24922", "GRP_AG_BIOMASS_OTHER", "9", "Total", "Mixed/unknown", "kgDM m-2", "Andrew McMillan:
kg DM / m2
", , , , , , 
"CA-NS2", "24923", "GRP_AG_BIOMASS_OTHER", "7.01", "Total", "Mixed/unknown", "kgDM m-2", "kgDM/m2", , , , , , 
"CA-NS3", "24147", "GRP_AG_BIOMASS_OTHER", "3.62", "Total", "Mixed/unknown", "kgDM m-2", "kgDM/m2", , , , , , 
"CA-NS5", "23631", "GRP_AG_BIOMASS_OTHER", "2.39", "Total", "Mixed/unknown", "kgDM m-2", "kgDM/m2", , , , , , 
"CA-NS6", "24533", "GRP_AG_BIOMASS_OTHER", "0.29", "Total", "Mixed/unknown", "kgDM m-2", , , , , , , 
"CA-Oas", "25698", "GRP_AG_BIOMASS_OTHER", "70", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass ; Data from Alison Deanne Theede (2007)", , , , , , 
"CA-Oas", "29563", "GRP_AG_BIOMASS_OTHER", "330", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass ; Data from Alison Deanne Theede (2007)", , , , , , 
"CA-Obs", "25710", "GRP_AG_BIOMASS_OTHER", "60", "Total", "Mixed/unknown", "gC m-2", "Gower et al. (1997, J Geophy Res, 29029-29041)", "1993", , , , , 
"CA-Obs", "26596", "GRP_AG_BIOMASS_OTHER", "111", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass (gC/m2); Gower et al. (1997, J Geophy Res, 29029-29041)", , , , , , 
"CA-Ojp", "27118", "GRP_AG_BIOMASS_OTHER", "340", "Total", "Mixed/unknown", "gC m-2", "Data from Alison Deanne Theede (2007)", "2004", , "59", , , 
"CA-Ojp", "28713", "GRP_AG_BIOMASS_OTHER", "350", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass; Data from Alison Deanne Theede (2007)", , , , , , 
"CA-Ojp", "28884", "GRP_AG_BIOMASS_OTHER", "330", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass; Data from Alison Deanne Theede (2007)", , , , , , 
"CA-Ojp", "29569", "GRP_AG_BIOMASS_OTHER", "310", "Total", "Mixed/unknown", "gC m-2", "Data from Alison Deanne Theede (2007)", "1994", , , , , 
"CA-Qcu", "24534", "GRP_AG_BIOMASS_OTHER", "0.187", "Total", "Mixed/unknown", "kgDM m-2", "Source:      Giasson et al  2006.  Agric. For. Meteorol. 140, 23-40.
Mesic areas accounted for approximately 75% of the total surface area of the footprint and humid areas accounted for 25%
Mesic_Before scarification (2001):
Stem+foliar dry biomass (g/m2): 165,9 + 74,9=240,8
Humid_Before scarification (2001):
Stem+foliar dry biomass (g/m2): 17.2 + 10.6=27.8
187.55
Mesic_After scarification (2005):
Stem+foliar dry biomass (g/m2):  114,4 + 78,7=193,1
Humid_After scarification (2005):
 - no data -", , , , , , 
"CA-Qfo", "24924", "GRP_AG_BIOMASS_OTHER", "8.911559", "Total", "Mixed/unknown", "kgDM m-2", "additional data in extra datasheet", , , , , , 
"CA-SF1", "23762", "GRP_AG_BIOMASS_OTHER", "4.08", "Total", "Mixed/unknown", "kgDM m-2", "Live above ground
Carbon biomass (tC/ha): 20,4
additional data see extra data sheet", , , , , , 
"CA-SF2", "23632", "GRP_AG_BIOMASS_OTHER", "1.686", "Total", "Mixed/unknown", "kgDM m-2", "Live above ground
Carbon biomass (tC/ha): 8,43
additional data see extra data sheet", , , , , , 
"CA-SF3", "24656", "GRP_AG_BIOMASS_OTHER", "0.13", "Total", "Mixed/unknown", "kgDM m-2", "Live above ground
Carbon biomass (tC/ha): 0,65
additional data see extra data sheet", , , , , , 
"CA-SJ1", "28161", "GRP_AG_BIOMASS_OTHER", "1.363", "Total", "Mixed/unknown", "gC m-2", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", "2002", , , , , 
"CA-SJ1", "28162", "GRP_AG_BIOMASS_OTHER", "10.6", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass; measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , , 
"CA-SJ2", "26991", "GRP_AG_BIOMASS_OTHER", "11.939", "Total", "Mixed/unknown", "gC m-2", "measured followed Fluxnet-Canada protocol", "2002", , , , , 
"CA-SJ2", "28499", "GRP_AG_BIOMASS_OTHER", "28.671", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass; measured followed Fluxnet-Canada protocol", , , , , , 
"CA-SJ3", "27554", "GRP_AG_BIOMASS_OTHER", "32", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass; measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , , 
"CA-SJ3", "28504", "GRP_AG_BIOMASS_OTHER", "7", "Total", "Mixed/unknown", "gC m-2", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", "2002", , , , , 
"CA-TP1", "28170", "GRP_AG_BIOMASS_OTHER", "66", "Total", "Mixed/unknown", "gC m-2", , "20041001", "Canadian national forest inventory protocol: clipping of 12 microplots (each 1m2).", , , , 
"CA-TP1", "28510", "GRP_AG_BIOMASS_OTHER", "86.6", "Total", "Mixed/unknown", "gC m-2", , "20071016", "Canadian national forest inventory protocol: clipping of 12 microplots (each 1m2).", , , , 
"CA-TP2", "28520", "GRP_AG_BIOMASS_OTHER", "11.5", "Total", "Mixed/unknown", "gC m-2", "Total aboveground (TT) includes bark;", "20070927", "Canadian national forest inventory protocol: clipping of 12 microplots (each 1m2).", , , , 
