"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "IGBP", "IGBP_COMMENT", "IGBP_DATE_START", 
"CA-Obs", "262", "GRP_IGBP", "ENF", , , 
"CA-Ojp", "6222", "GRP_IGBP", "ENF", "naturally regenerated pure jack pine stand after wild fire", , 
"CA-Qc2", "33609", "GRP_IGBP", "MF", , , 
"CA-Qcu", "2505", "GRP_IGBP", "ENF", , , 
"CA-Qfo", "2819", "GRP_IGBP", "ENF", "naturally regenerated  forest stand after wild fire", , 
"CA-RPn", "85967", "GRP_IGBP", "OSH", "Sphagnum species dominant. About 45% of the bog covered by hummocks (with ericaceous shrubs), 45% covered by hollows (with sedges), 10% by small pools.", , 
"CA-RPp", "85986", "GRP_IGBP", "OSH", "Forage grasses dominant. About 45% of the peatland covered by grasses, 45% covered by shrubs, roughly 10% by drainage ditches.", , 
"CA-SCB", "85749", "GRP_IGBP", "WET", , , 
"CA-SCC", "30587", "GRP_IGBP", "ENF", "Flux footprint contain to equal amounts needleleaf black spruce forest and treeless wetlands", , 
"CA-SF1", "2506", "GRP_IGBP", "ENF", , , 
"CA-SF2", "1655", "GRP_IGBP", "ENF", , , 
"CA-SF3", "6517", "GRP_IGBP", "OSH", "Brian Amiro - site dominated by small shrubs so this should be the primary classification. ENF is the minor classification. (Deb)", , 
"CA-SJ1", "4505", "GRP_IGBP", "ENF", "naturally regenerated  forest stand after clear-cut harvesting", , 
"CA-SJ2", "300", "GRP_IGBP", "ENF", "naturally regenerated  forest stand after clear-cut harvesting", , 
"CA-SJ3", "1980", "GRP_IGBP", "ENF", "naturally regenerated  forest stand after clear-cut harvesting", , 
"CA-SMC", "81484", "GRP_IGBP", "ENF", , "201707181300", 
"CA-TP1", "12128", "GRP_IGBP", "ENF", "Plantation", , 
"CA-TP2", "12160", "GRP_IGBP", "ENF", "Plantation", , 
"CA-TP3", "12188", "GRP_IGBP", "ENF", "Plantation", , 
"CA-TP4", "12220", "GRP_IGBP", "ENF", "Plantation", , 
"CA-TPD", "12256", "GRP_IGBP", "DBF", , , 
"CA-TVC", "81510", "GRP_IGBP", "OSH", "no landcover changes apply", "201304281030", 
"CA-WP1", "5370", "GRP_IGBP", "WET", "The site is in an advanced stage of successional development, tending towards a bog system", , 
"CA-WP2", "6001", "GRP_IGBP", "WET", , , 
"CA-WP3", "58", "GRP_IGBP", "WET", , , 
"CL-SDF", "30319", "GRP_IGBP", "EBF", "Ours is a mixed forest but not in the sense of deciduous vs evergreen but in the sense of broadleaf vs conifer trees. They are all evergreen species.", , 
"CL-SDP", "30237", "GRP_IGBP", "WET", , , 
"CR-Fsc", "31107", "GRP_IGBP", "CRO", , , 
"CR-Lse", "7695", "GRP_IGBP", "EBF", , , 
"CR-Nmr", "31072", "GRP_IGBP", "CRO", "transitional vegetation from bare soil to herbaceus vegetation in between crops (from April to July)", , 
"CR-SoC", "12530", "GRP_IGBP", "EBF", , "20140627", 
"MX-EMg", "85720", "GRP_IGBP", "CSH", , , 
"MX-Lpa", "3349", "GRP_IGBP", "OSH", "This is a true desert with Larrea divericata and cardon cactus", , 
"MX-PMm", "83423", "GRP_IGBP", "EBF", "The surface within the flux tower footprint is not permanently flooded (not permanent wetland). However, the mangrove fringe is part of a complex of coastal wetlands with patches that are permanently flooded. Also, the vegetation type is endangared due to extensive urban development fueled by the tourism industry in the area (Mayan Riviera). Such development has in part probably caused changes in flooding regime as the outlets to the Caribbean sea have been blocked by modification of dunes and beaches.", , 
"PA-Bar", "5051", "GRP_IGBP", "EBF", , , 
"PE-QFR", "86040", "GRP_IGBP", "WET", , , 
"PE-TNR", "85923", "GRP_IGBP", "MF", "Mixed primary tropical forest, floodable", , 
"PR-xGU", "85613", "GRP_IGBP", "EBF", , , 
"PR-xLA", "85607", "GRP_IGBP", "GRA", , , 
"US-A03", "85019", "GRP_IGBP", "BSV", "Coastal Arctic tundra", , 
"US-A10", "85090", "GRP_IGBP", "BSV", "Coastal Arctic tundra", , 
"US-A32", "30048", "GRP_IGBP", "GRA", "Grass pasture, periodically cut for hay", , 
"US-A39", "85060", "GRP_IGBP", "CRO", "Cropland and pasture", , 
"US-A74", "30080", "GRP_IGBP", "CRO", "Milo field", , 
"US-Act", "81650", "GRP_IGBP", "WAT", , , 
"US-ADR", "15376", "GRP_IGBP", "BSV", , , 
"US-Akn", "22257", "GRP_IGBP", "MF", , , 
"US-ALQ", "83476", "GRP_IGBP", "WET", , , 
"US-An1", "5891", "GRP_IGBP", "OSH", , , 
"US-An2", "5892", "GRP_IGBP", "OSH", , , 
"US-An3", "6722", "GRP_IGBP", "OSH", , , 
"US-AR1", "15958", "GRP_IGBP", "GRA", "Planted Switchgrass", "20100408", 
"US-AR2", "15978", "GRP_IGBP", "GRA", "Planted Switchgrass", "20100408", 
"US-ARb", "8548", "GRP_IGBP", "GRA", , , 
"US-ARc", "6837", "GRP_IGBP", "GRA", , , 
"US-ARM", "11130", "GRP_IGBP", "CRO", , , 
"US-ASH", "86827", "GRP_IGBP", "DBF", "almond orchard", "199802010000", 
"US-ASL", "86766", "GRP_IGBP", "DBF", "almond orchard", "201002010000", 
"US-ASM", "86736", "GRP_IGBP", "DBF", "almond orchard", "200602010000", 
"US-Atq", "14882", "GRP_IGBP", "WET", "Moist tussock tundra", , 
"US-Aud", "2641", "GRP_IGBP", "GRA", , , 
"US-Bar", "1821", "GRP_IGBP", "DBF", "<10% total ENF", , 
"US-BCM", "87309", "GRP_IGBP", "WET", "Sawgrass marsh", , 
"US-BdA", "13311", "GRP_IGBP", "CRO", , , 
"US-BdC", "13329", "GRP_IGBP", "CRO", , , 
"US-Beo", "81619", "GRP_IGBP", "WET", , , 
"US-Bes", "11824", "GRP_IGBP", "WET", "polygon-dominated landscape", , 
"US-Bi1", "30365", "GRP_IGBP", "CRO", , "201608111800", 
"US-Bi2", "31256", "GRP_IGBP", "CRO", , "20170426", 
"US-Bkg", "2615", "GRP_IGBP", "GRA", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.brookings.01", , 
"US-Blk", "820", "GRP_IGBP", "ENF", , , 
"US-Blo", "14393", "GRP_IGBP", "ENF", , , 
"US-Bn1", "4260", "GRP_IGBP", "ENF", , , 
"US-Bn2", "3454", "GRP_IGBP", "DBF", , , 
"US-Bn3", "9433", "GRP_IGBP", "OSH", , , 
"US-Bo1", "9434", "GRP_IGBP", "CRO", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.bondville.01", , 
"US-Bo2", "8549", "GRP_IGBP", "CRO", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.bondville.02", , 
"US-Br1", "817", "GRP_IGBP", "CRO", , , 
"US-Br2", "6", "GRP_IGBP", "CRO", , , 
"US-Br3", "5937", "GRP_IGBP", "CRO", , , 
"US-BRG", "30564", "GRP_IGBP", "GRA", , "200510010000", 
"US-Brw", "14923", "GRP_IGBP", "WET", "Wet sedge Tundra", , 
"US-Bsg", "16084", "GRP_IGBP", "OSH", , , 
"US-BSM", "31156", "GRP_IGBP", "WET", "Natural salt marsh dominated by Spartina", , 
"US-BZB", "87202", "GRP_IGBP", "WET", "Classified as a bog wetland", , 
"US-BZF", "87224", "GRP_IGBP", "WET", "Classified as a rich fen", , 
"US-BZL", "87232", "GRP_IGBP", "WET", "Thermokarst Lake, with lake margins surrounded by black spruce and shrubs", , 
"US-BZo", "87280", "GRP_IGBP", "WET", "Classified as a bog wetland", , 
"US-BZS", "87181", "GRP_IGBP", "ENF", "Black spruce", , 
"US-CaV", "931", "GRP_IGBP", "GRA", , , 
"US-CdM", "86833", "GRP_IGBP", "WSA", , "20190510", 
"US-Ced", "12660", "GRP_IGBP", "CSH", , , 
"US-CF1", "84805", "GRP_IGBP", "CRO", "Dryland cropping system, predominantly winter wheat, spring cereals (barley and wheat), and pulse crops (dry pea, lentil and chickpea)", , 
"US-CF2", "84825", "GRP_IGBP", "CRO", "Dryland cropping system, predominantly winter wheat, spring cereals (barley and wheat), and pulse crops (dry pea, lentil and chickpea)", , 
"US-CF3", "84845", "GRP_IGBP", "CRO", "Annual dryland cropping system, predominantly winter wheat, spring cereals (barley and wheat), and pulse crops (dry pea, lentil and chickpea).", , 
"US-CF4", "84865", "GRP_IGBP", "CRO", "Dryland cropping system, predominantly winter wheat, spring cereals (barley and wheat), and pulse crops (dry pea, lentil and chickpea)", , 
"US-ChR", "8477", "GRP_IGBP", "DBF", , , 
"US-Cms", "84695", "GRP_IGBP", "WET", "Vegetation consists of wet sedges, grasses, moss and lichens, and the dominant species is Arctophila fulva.", , 
"US-Cop", "7579", "GRP_IGBP", "GRA", , , 
"US-CPk", "10213", "GRP_IGBP", "ENF", "Tree mortality from Bark Beetles is high at the site (45-80% depending on year)", "20090101", 
"US-CRT", "12768", "GRP_IGBP", "CRO", , , 
"US-CS1", "83396", "GRP_IGBP", "CRO", "2018 is Potatoes, 3-yr rotation", , 
"US-CS2", "87361", "GRP_IGBP", "ENF", "Red Pine, White Pine", , 
"US-CS3", "87377", "GRP_IGBP", "CRO", "2018 is Potatoes, 3-yr rotation", , 
"US-Cst", "13212", "GRP_IGBP", "ENF", "the site is ~65 years old", , 
"US-Ctn", "768", "GRP_IGBP", "GRA", , , 
"US-Cwt", "85002", "GRP_IGBP", "DBF", , , 
"US-CZ1", "30808", "GRP_IGBP", "SAV", , , 
"US-CZ2", "30824", "GRP_IGBP", "ENF", , , 
"US-CZ3", "30853", "GRP_IGBP", "ENF", , , 
"US-CZ4", "30838", "GRP_IGBP", "ENF", , , 
"US-Dea", "11409", "GRP_IGBP", "CRO", "Not certain how long this alfalfa field has been planted.  It is an established research farm with periodic crop rotation.  Alfalfa has a perennial root system.", , 
"US-Deu", "11429", "GRP_IGBP", "URB", , , 
"US-DFK", "87344", "GRP_IGBP", "CRO", , "1980", 
"US-Dia", "11504", "GRP_IGBP", "GRA", , , 
"US-Dix", "9318", "GRP_IGBP", "MF", , , 
"US-Dk1", "1133", "GRP_IGBP", "GRA", , , 
"US-Dk2", "4465", "GRP_IGBP", "DBF", "There is a transition to MF toward the FACE site (Duke Pine forest). For the purposes of research, the area around the tower should be considered DBF.", , 
"US-Dk3", "7942", "GRP_IGBP", "ENF", "In early 2002, pines made up 90% of the basal area in this site. The predominantly hardwood midstory has been expanding since site establishment.", , 
"US-DPP", "86725", "GRP_IGBP", "ENF", "Longleaf pine flatwoods", , 
"US-DPW", "86872", "GRP_IGBP", "WET", "Graminoid marsh", , 
"US-EDN", "84715", "GRP_IGBP", "WET", "West coast of North America salt marsh plants: pickleweed (Salicornia spp.) and cordgrass (Spartina spp.).  These vegetations were the native of this tidal salt marshe in Eden Landing prior to turning the site for Agricultural and catel use in mid 1800 and then salt harvesting production starting late 1800's up to 1972 .", "20110201", 
"US-Elm", "8796", "GRP_IGBP", "WET", , , 
"US-EML", "11148", "GRP_IGBP", "OSH", , , 
"US-Esm", "5384", "GRP_IGBP", "WET", , , 
"US-Fcr", "85259", "GRP_IGBP", "OSH", "grasses and low shrubs.", , 
"US-Fmf", "11998", "GRP_IGBP", "ENF", , , 
"US-FPe", "893", "GRP_IGBP", "GRA", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.fort_peck.01", , 
"US-FR1", "5094", "GRP_IGBP", "GRA", , , 
"US-FR2", "5164", "GRP_IGBP", "WSA", "Source: template", , 
"US-FR3", "6770", "GRP_IGBP", "CSH", , , 
"US-Fuf", "12018", "GRP_IGBP", "ENF", , , 
"US-Fwf", "12043", "GRP_IGBP", "GRA", , , 
"US-GBT", "16019", "GRP_IGBP", "ENF", "85% Engelmann spruce 15% Subalpine fir", , 
"US-GCE", "86855", "GRP_IGBP", "WET", "Natural salt marsh ecosystem, so date not relevent", , 
"US-GLE", "15338", "GRP_IGBP", "ENF", "85% Engelmann spruce 15% Subalpine fir", , 
"US-GMF", "5045", "GRP_IGBP", "MF", , , 
"US-Goo", "1753", "GRP_IGBP", "GRA", "Source: http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.goodwin_creek.01", , 
"US-GZ1", "85782", "GRP_IGBP", "CRO", "Dryland cropping system, predominantly winter wheat, spring cereals (barley and wheat), and pulse crops (dry pea, lentil and chickpea)", , 
"US-GZ2", "85810", "GRP_IGBP", "CRO", "Dryland cropping system, predominantly winter wheat, spring cereals (barley and wheat), and pulse crops (dry pea, lentil and chickpea)", , 
"US-GZ3", "85877", "GRP_IGBP", "CRO", "Dryland cropping system, predominantly winter wheat, spring cereals (barley and wheat), and pulse crops (dry pea, lentil and chickpea)", , 
"US-Ha1", "11960", "GRP_IGBP", "DBF", , , 
"US-Ha2", "12587", "GRP_IGBP", "ENF", , , 
"US-HB1", "79507", "GRP_IGBP", "WET", "Does not change.  Permanent, natural wetland.", "201706150000", 
"US-HB2", "79881", "GRP_IGBP", "ENF", "Primary species is pinus palustris", "201706150000", 
"US-HB3", "86453", "GRP_IGBP", "ENF", "currently longleaf seedlings mixed with herbaceous and deciduous regrowth", "201803010000", 
"US-HBK", "81444", "GRP_IGBP", "DBF", , , 
"US-Hn1", "83531", "GRP_IGBP", "OSH", , , 
"US-Hn2", "83487", "GRP_IGBP", "GRA", , , 
"US-Hn3", "83517", "GRP_IGBP", "OSH", , , 
"US-Ho1", "11452", "GRP_IGBP", "ENF", "~90% ENF and 10% BDF in 1km around tower.  Across region forest type is mixed ENF, DBF (no type>60%).", , 
"US-Ho2", "11484", "GRP_IGBP", "ENF", "~90% ENF and 10% BDF in 1km around tower.  Across region forest type is mixed ENF, DBF (no type>60%).", , 
"US-Ho3", "11780", "GRP_IGBP", "ENF", "~80% ENF and 20% BDF in 200m around tower.  Across region forest type is mixed ENF, DBF (no type>60%).", , 
"US-HPY", "30545", "GRP_IGBP", "WET", , "1900", 
"US-HRA", "12927", "GRP_IGBP", "CRO", , , 
"US-HRC", "12945", "GRP_IGBP", "CRO", , , 
"US-HRN", "87842", "GRP_IGBP", "CRO", , , 
"US-HRP", "31155", "GRP_IGBP", "WET", "Degraded, invasive Phragmites wetland.", , 
"US-HRS", "33534", "GRP_IGBP", "CRO", , , 
"US-HVa", "15779", "GRP_IGBP", "WET", , , 
"US-HVs", "84663", "GRP_IGBP", "WET", "Wet sedge tundra: the dominant vegetation was sphagnum moss, sedge, and other vascular plants (Carex aquatilis Wahlenb, and Eriophorum sheuchzeri Hoppe).", , 
"US-IB1", "7894", "GRP_IGBP", "CRO", "corn and soybean rotation", , 
"US-IB2", "29986", "GRP_IGBP", "GRA", "restored prairie", , 
"US-ICh", "12068", "GRP_IGBP", "OSH", , , 
"US-ICs", "12088", "GRP_IGBP", "WET", , , 
"US-ICt", "12108", "GRP_IGBP", "OSH", , , 
"US-Ivo", "14903", "GRP_IGBP", "WET", "Tussock sedge, dwarf shrub, moss communities", , 
"US-JLN", "85685", "GRP_IGBP", "WET", , "1982", 
"US-JLR", "85709", "GRP_IGBP", "WET", , , 
"US-JRn", "87873", "GRP_IGBP", "GRA", , "200101010000", 
"US-KCM", "33556", "GRP_IGBP", "CRO", , "20070401", 
"US-KFB", "13170", "GRP_IGBP", "GRA", , , 
"US-KFS", "11517", "GRP_IGBP", "GRA", , , 
"US-KL1", "14591", "GRP_IGBP", "CRO", "corn/soybean row crop rotation before 2008, Soybean in 2009 and continuous corn from 2010 onwards", , 
"US-KL2", "14616", "GRP_IGBP", "CRO", "corn/soybean row crop rotation", , 
"US-KL2", "14633", "GRP_IGBP", "GRA", "Switchgrass (Panicum virgatum L.)", "2010", 
"US-KL3", "14642", "GRP_IGBP", "CRO", "corn/soybean row crop rotation", , 
"US-KL3", "14659", "GRP_IGBP", "GRA", "The site was initially planted to 19 native prairie and forbes dominated by C3 species; but species composition has been changing since then.", "2010", 
"US-KLS", "13196", "GRP_IGBP", "GRA", , , 
"US-KM1", "14668", "GRP_IGBP", "GRA", "Smooth brome grass (Bromus inermis L.)", , 
"US-KM1", "14685", "GRP_IGBP", "CRO", "Soybean (Glycin max L.) in 2009 and continuous corn (Zea mays L.) from 2010 onwards", "2009", 
"US-KM2", "14694", "GRP_IGBP", "GRA", "Smooth brome grass (Bromus inermis L.)", , 
"US-KM2", "14711", "GRP_IGBP", "CRO", "Soybean (Glycine max L.)", "2009", 
"US-KM2", "14715", "GRP_IGBP", "GRA", "The site was initially planted to 19 native prairie and forbes dominated by C3 species; but species composition has been changing since then.", "2010", 
"US-KM3", "14721", "GRP_IGBP", "GRA", "Smooth brome grass (Bromus inermis L.)", , 
"US-KM3", "14738", "GRP_IGBP", "CRO", "Soybean (Glycine max L.)", "2009", 
"US-KM3", "14743", "GRP_IGBP", "GRA", "Switchgrass (Panicum virgatum L.)", "2010", 
"US-KM4", "14749", "GRP_IGBP", "CRO", "row crops and hay at least since 1938", , 
"US-KM4", "14766", "GRP_IGBP", "GRA", "Smooth brome grass (Bromus inermis L.)", "1987", 
"US-Kon", "11532", "GRP_IGBP", "GRA", , , 
"US-KS1", "15542", "GRP_IGBP", "ENF", "ENF covers approximately 15% of the canopy.  CSH comprises the  understory.", , 
"US-KS2", "15566", "GRP_IGBP", "CSH", "Source: template", , 
"US-KS3", "79254", "GRP_IGBP", "WET", "Salt marsh dominated by Distichlis spicata with mixture of Batis and Salicornia.  Encroaching mangrove.", , 
"US-KS4", "79889", "GRP_IGBP", "WET", "Spartina bakeri salt marsh", "20170418", 
"US-KUO", "11700", "GRP_IGBP", "URB", "The site was a suburban residential neighborhood with a mature tree canopy (predominantly deciduous broadleaf trees) and cool-season turfgrass ground cover. It was representative of an open low-rise local climate zone (LCZ 6) in the urban landscape classification system of Stewart and Oke (2012). There was a golf course to the southwest of the tower.", , 
"US-KUT", "11760", "GRP_IGBP", "GRA", "The footprint of this tower fell within a large turfgrass field, so the flux measurements represented only grass vegetation. However, the field was located within a suburban residential neighborhood, so the local climate and environment represented urban conditions. Note that the land management of the  field site changed (removal of the turfgrass lawn and planting of trees) AFTER the flux study was completed--this means that imagery after 2009 does not show the land conditions during the flux study.", , 
"US-LA1", "85109", "GRP_IGBP", "WET", "Dominant Spartina patens + Schoenoplectus americanus, as well as shallow open water areas", , 
"US-LA2", "85126", "GRP_IGBP", "WET", "Fresh floatant marsh, dominant species are Sagittaria lancifolia + Leersia oryzoides, with
patchy Typha domingensis", , 
"US-LA3", "85157", "GRP_IGBP", "WET", "Dominated by Spartina alterniflora + Juncus roemarianus, some Spartina patens + Distichlis spicata", , 
"US-LGr", "13009", "GRP_IGBP", "GRA", "Perennial grass", "20070101", 
"US-Lin", "2478", "GRP_IGBP", "CRO", , , 
"US-LL1", "83567", "GRP_IGBP", "SAV", "C4 grass in the understory", "19230101", 
"US-LL2", "83591", "GRP_IGBP", "SAV", "C4 grass in the understory", "19230101", 
"US-LL3", "83602", "GRP_IGBP", "SAV", "C4 grass in the understory", "19230101", 
"US-Los", "15280", "GRP_IGBP", "WET", "Alder (Alnus incana), willows (Salix spp.)", , 
"US-LPH", "4261", "GRP_IGBP", "DBF", , , 
"US-LWW", "7687", "GRP_IGBP", "GRA", , , 
"US-Me1", "1790", "GRP_IGBP", "ENF", , , 
"US-Me2", "12964", "GRP_IGBP", "ENF", , , 
"US-Me3", "17277", "GRP_IGBP", "ENF", , , 
"US-Me4", "945", "GRP_IGBP", "ENF", , , 
"US-Me5", "6879", "GRP_IGBP", "ENF", , , 
"US-Me6", "11558", "GRP_IGBP", "ENF", , , 
"US-Men", "33584", "GRP_IGBP", "WAT", , "201201010000", 
"US-Mj1", "29753", "GRP_IGBP", "CRO", "Winter wheat (2013). Spring wheat (2014).", , 
"US-Mj2", "29733", "GRP_IGBP", "CRO", "Summer fallow", , 
"US-MMS", "11719", "GRP_IGBP", "DBF", "secondary successional, 29 tree species", , 
"US-MOz", "17087", "GRP_IGBP", "DBF", , , 
"US-Mpj", "12385", "GRP_IGBP", "OSH", , , 
"US-Mpj", "15435", "GRP_IGBP", "ENF", "Pinyon Pine, Juniper", "200701010000", 
"US-Mpj", "15446", "GRP_IGBP", "WSA", "Woody savannah after ~100% Pinyon mortality in 2013", "201401010000", 
"US-MRf", "7637", "GRP_IGBP", "ENF", , , 
"US-MRM", "30525", "GRP_IGBP", "WET", "mitigated in 2001", "20010101", 
"US-MtB", "87250", "GRP_IGBP", "ENF", , , 
"US-Myb", "11198", "GRP_IGBP", "WET", "cattail and tule vegetation", "20101014", 
"US-NC1", "12823", "GRP_IGBP", "OSH", "Loblolly pine plantation, in the first years after clearcutting, the site was dominated by deciduous shrubs, and could have been viewed as OSH, but since 2008 it is best described as ENF", , 
"US-NC1", "12839", "GRP_IGBP", "ENF", , "2008", 
"US-NC2", "12852", "GRP_IGBP", "ENF", "Loblolly pine plantation", , 
"US-NC3", "12881", "GRP_IGBP", "ENF", , , 
"US-NC4", "12903", "GRP_IGBP", "WET", "Forested wetland", , 
"US-Ne1", "1946", "GRP_IGBP", "CRO", "Agriculture (continuous maize)", , 
"US-Ne2", "4467", "GRP_IGBP", "CRO", "Agriculture (maize-soybean rotation)", , 
"US-Ne3", "5349", "GRP_IGBP", "CRO", "Agriculture (maize-soybean rotation)", , 
"US-NGB", "13257", "GRP_IGBP", "SNO", "sedge/grass moss wetland (CAVM)", , 
"US-NGC", "79240", "GRP_IGBP", "GRA", "The more precise IGBP should be Tussock Tundra.", , 
"US-NMj", "6821", "GRP_IGBP", "ENF", , , 
"US-NR1", "11577", "GRP_IGBP", "ENF", "Subalpine fir (Abies lasiocarpa), Engelmann spruce (Picea engelmannii), and lodgepole pine (Pinus contorta) comprise the overstory. The understory is relatively sparse, containing tree seedlings from all three species and patches of whortleberry (Vaccinium myrtillus). There are aspens (Populus tremuloides) near the tower, but not within the tower's dominat east-west footprint. The presence of aspens may influence fluxes when the footprint shifts to the northwesterly direction from the tower (wind directions from 270-290 degrees).", , 
"US-NR2", "5152", "GRP_IGBP", "ENF", , , 
"US-Nrf", "30909", "GRP_IGBP", "WET", "Lyngbi sedge, Pickleweed, Puget Sound gumweed", , 
"US-Nrs", "30869", "GRP_IGBP", "WET", "Lyngbi sedge, Pickleweed, Puget Sound gumweed", , 
"US-OF1", "30649", "GRP_IGBP", "CRO", "rice-soybean-rice annual rotation", , 
"US-OF2", "30630", "GRP_IGBP", "CRO", "rice-soybean-rice annual rotation", , 
"US-Oho", "12792", "GRP_IGBP", "DBF", , , 
"US-ORv", "11217", "GRP_IGBP", "WET", , "1994", 
