"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "FLUX_MEASUREMENTS_METHOD", "FLUX_MEASUREMENTS_VARIABLE", "FLUX_MEASUREMENTS_DATE_START", "FLUX_MEASUREMENTS_DATE_END", "FLUX_MEASUREMENTS_OPERATIONS", "FLUX_MEASUREMENTS_COMMENT", 
"BR-PRS", "88112", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200306", "200408", "Continuous operation", , 
"BR-Sa1", "8890", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", , "Continuous operation", , 
"BR-Sa3", "6337", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2000", "2003", "Continuous operation", , 
"CA-ARB", "31180", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20100901", , "Continuous operation", , 
"CA-ARB", "31181", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CH4", "20110401", , "Growing season operation only", , 
"CA-ARB", "31182", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H", "20100901", , "Continuous operation", , 
"CA-ARB", "31183", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20100901", , "Continuous operation", , 
"CA-ARF", "31160", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20101001", , "Continuous operation", , 
"CA-ARF", "31161", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20101001", , "Continuous operation", , 
"CA-ARF", "31162", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CH4", "20110401", , "Growing season operation only", , 
"CA-ARF", "31163", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H", "20101001", , "Continuous operation", , 
"CA-Ca1", "23604", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1997", , "Continuous operation", , 
"CA-Ca2", "23587", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2000", , "Continuous operation", , 
"CA-Ca3", "23569", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Continuous operation", , 
"CA-Cbo", "79225", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1995", , "Continuous operation", "added by AMF Data Team based on imports from Fluxnet-Canada", 
"CA-Cbo", "79226", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1995", , "Continuous operation", "added by AMF Data Team based on imports from Fluxnet-Canada", 
"CA-Cbo", "79227", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "1995", , "Continuous operation", "added by AMF Data Team based on imports from Fluxnet-Canada", 
"CA-CF1", "30730", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20070619", "20081020", "Growing season operation only", , 
"CA-CF1", "30734", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20070619", "20081020", "Growing season operation only", , 
"CA-CF1", "30744", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20070619", "20081020", "Growing season operation only", , 
"CA-CF2", "30751", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20080629", "20111114", "Growing season operation only", , 
"CA-CF2", "30758", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20080629", "20111114", "Growing season operation only", , 
"CA-CF2", "30768", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20080629", "20111114", "Growing season operation only", , 
"CA-CF2", "30770", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20080629", "20111114", "Growing season operation only", "Some periods have missing data, often caused by power generation issues", 
"CA-Cha", "79228", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "2004", "2005", "Continuous operation", "added by AMF Data Team based on imports from Fluxnet-Canada", 
"CA-Cha", "79229", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2004", "2005", "Continuous operation", "added by AMF Data Team based on imports from Fluxnet-Canada", 
"CA-Cha", "79230", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", "2005", "Continuous operation", "added by AMF Data Team based on imports from Fluxnet-Canada", 
"CA-DBB", "30783", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201407100000", , "Continuous operation", , 
"CA-DBB", "30784", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201407100000", , "Continuous operation", , 
"CA-DBB", "30785", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201407100000", , "Continuous operation", , 
"CA-DBB", "30786", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201606160000", , "Continuous operation", , 
"CA-DL1", "12616", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20040515", , "Growing season operation only", , 
"CA-DL1", "12631", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20040515", , "Growing season operation only", , 
"CA-DL2", "12637", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20060515", , "Growing season operation only", , 
"CA-DL2", "12651", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20060515", , "Growing season operation only", , 
"CA-DL2", "12654", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CH4", "20090701", , "Intermittent", , 
"CA-DL2", "12656", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "20060515", , "Intermittent", , 
"CA-ER1", "81329", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201506171600", , "Continuous operation", , 
"CA-ER1", "81330", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201506171600", , "Continuous operation", , 
"CA-ER1", "81337", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201506171600", , "Continuous operation", , 
"CA-Gro", "2511", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", "Ongoing", 
"CA-HPC", "81587", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201304301700", "201709041430", "Continuous operation", "No measurements in 2014, 2015 and most of 2016 (restarted August 2016)", 
"CA-HPC", "81589", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201304301700", "201709041430", "Continuous operation", "No measurements in 2014, 2015 and most of 2016 (restarted August 2016)", 
"CA-HPC", "81593", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201304301700", "201709041430", "Continuous operation", "No measurements in 2014, 2015 and most of 2016 (restarted August 2016)", 
"CA-HPC", "81605", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201304301700", "201709041430", "Continuous operation", "No measurements in 2014, 2015 and most of 2016 (restarted August 2016)", 
"CA-KLP", "31229", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20090801", , "Continuous operation", , 
"CA-KLP", "31230", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20090801", , "Continuous operation", , 
"CA-KLP", "31231", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H", "20090801", , "Continuous operation", , 
"CA-Let", "4644", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1998", , "Continuous operation", , 
"CA-LuM", "15416", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140530", "20141009", "Growing season operation only", , 
"CA-LuM", "15430", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140530", "20141009", "Growing season operation only", , 
"CA-LuM", "15431", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20140530", "20141009", "Growing season operation only", , 
"CA-LuM", "15432", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20140530", "20141009", "Growing season operation only", , 
"CA-MA1", "22314", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090603", "20111125", "Growing season operation only", "Note that flux measurements were attempted in the winter of 2009/2010, but success was sporadic because of cold temperatures causing power failures.  Winter fluxes were not attempted during the winter of 2010/2011.", 
"CA-MA1", "22315", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090603", "20111125", "Growing season operation only", "Note that flux measurements were attempted in the winter of 2009/2010, but success was sporadic because of cold temperatures causing power failures.  Winter fluxes were not attempted during the winter of 2010/2011.", 
"CA-MA1", "22316", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090603", "20111125", "Growing season operation only", "Note that flux measurements were attempted in the winter of 2009/2010, but success was sporadic because of cold temperatures causing power failures.  Winter fluxes were not attempted during the winter of 2010/2011.", 
"CA-MA2", "22292", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090603", "20111125", "Growing season operation only", "Note that flux measurements were attempted in the winter of 2009/2010, but success was sporadic because of cold temperatures causing power failures.  Winter fluxes were not attempted during the winter of 2010/2011.", 
"CA-MA2", "22293", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090603", "20111125", "Growing season operation only", "Note that flux measurements were attempted in the winter of 2009/2010, but success was sporadic because of cold temperatures causing power failures.  Winter fluxes were not attempted during the winter of 2010/2011.", 
"CA-MA2", "22294", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090603", "20111125", "Growing season operation only", "Note that flux measurements were attempted in the winter of 2009/2010, but success was sporadic because of cold temperatures causing power failures.  Winter fluxes were not attempted during the winter of 2010/2011.", 
"CA-MA3", "22271", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090603", "20111125", "Growing season operation only", "Note that flux measurements were attempted in the winter of 2009/2010, but success was sporadic because of cold temperatures causing power failures.  Winter fluxes were not attempted during the winter of 2010/2011.", 
"CA-MA3", "22272", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090603", "20111125", "Growing season operation only", "Note that flux measurements were attempted in the winter of 2009/2010, but success was sporadic because of cold temperatures causing power failures.  Winter fluxes were not attempted during the winter of 2010/2011.", 
"CA-MA3", "22273", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090603", "20111125", "Growing season operation only", "Note that flux measurements were attempted in the winter of 2009/2010, but success was sporadic because of cold temperatures causing power failures.  Winter fluxes were not attempted during the winter of 2010/2011.", 
"CA-Man", "7610", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1994", "2008", "Continuous operation", "Decommissioned", 
"CA-Mer", "4645", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1998", , "Continuous operation", , 
"CA-MR3", "79343", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201205", , "Growing season operation only", , 
"CA-MR3", "79344", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201205", , "Growing season operation only", , 
"CA-MR5", "79362", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201205", , "Growing season operation only", , 
"CA-MR5", "79363", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201205", , "Growing season operation only", , 
"CA-Na1", "9755", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", , 
"CA-NS1", "2097", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", "2005", "Continuous operation", , 
"CA-NS2", "2913", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2005", "Continuous operation", , 
"CA-NS3", "3770", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2005", "Continuous operation", , 
"CA-NS4", "8891", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", "2004", "Continuous operation", , 
"CA-NS5", "2914", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2005", "Continuous operation", , 
"CA-NS6", "9756", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2005", "Continuous operation", , 
"CA-NS7", "7166", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", "2005", "Continuous operation", , 
"CA-NS8", "5483", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2005", "Continuous operation", , 
"CA-Oas", "2098", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1997", , "Continuous operation", , 
"CA-Obs", "8892", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", , "Continuous operation", , 
"CA-Ojp", "9757", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", , "Continuous operation", , 
"CA-Qc2", "33605", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200707", , "Continuous operation", , 
"CA-Qcu", "1661", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Intermittent", "Intermittent data collection", 
"CA-Qfo", "3353", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", , 
"CA-RPn", "85962", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201404151900", , "Continuous operation", , 
"CA-RPn", "85963", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201404151900", , "Continuous operation", , 
"CA-RPn", "85965", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201404151900", , "Continuous operation", , 
"CA-RPn", "85976", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201404151900", , "Continuous operation", , 
"CA-RPp", "85987", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201404151630", , "Continuous operation", , 
"CA-RPp", "85989", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201404151630", , "Continuous operation", , 
"CA-RPp", "85991", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201404151630", , "Continuous operation", , 
"CA-RPp", "86001", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201404151630", , "Continuous operation", , 
"CA-SCB", "85743", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201404111830", "201711172000", "Growing season operation only", , 
"CA-SCB", "85747", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201404111830", "201711172000", "Continuous operation", , 
"CA-SCB", "85750", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201404111830", "201711172000", "Continuous operation", , 
"CA-SCC", "30584", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201305120030", "201608300030", "Continuous operation", , 
"CA-SCC", "30586", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201305120030", "201608300030", "Continuous operation", , 
"CA-SF1", "4157", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", "2006", "Continuous operation", "Decommisioned", 
"CA-SF2", "3354", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2005", "Continuous operation", "Decommissioned", 
"CA-SF3", "3355", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2006", "Continuous operation", "Decommissioned", 
"CA-SJ1", "1220", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Continuous operation", , 
"CA-SJ2", "2099", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", , 
"CA-SJ3", "2915", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"CA-SMC", "81468", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201707181300", , "Continuous operation", , 
"CA-SMC", "81469", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201707181300", , "Continuous operation", , 
"CA-SMC", "81470", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201707181300", , "Continuous operation", , 
"CA-SMC", "81483", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201707181300", , "Continuous operation", , 
"CA-TP1", "12127", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", , 
"CA-TP1", "12141", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2003", , "Continuous operation", , 
"CA-TP1", "12144", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "2003", , "Continuous operation", , 
"CA-TP2", "12159", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", "20080612", "Continuous operation", , 
"CA-TP2", "12172", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2003", "20080612", "Continuous operation", , 
"CA-TP2", "12175", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "2003", "20080612", "Continuous operation", , 
"CA-TP3", "12187", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", , 
"CA-TP3", "12200", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2003", , "Continuous operation", , 
"CA-TP3", "12203", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "2003", , "Continuous operation", , 
"CA-TP4", "12219", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20030101", , "Continuous operation", , 
"CA-TP4", "12232", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20030101", , "Continuous operation", , 
"CA-TP4", "12235", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20030101", , "Continuous operation", , 
"CA-TP4", "12237", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20080701", , "Continuous operation", , 
"CA-TPD", "12255", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20120105", , "Continuous operation", , 
"CA-TPD", "12267", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20120105", , "Continuous operation", , 
"CA-TPD", "12269", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20120105", , "Continuous operation", , 
"CA-TPD", "12270", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20140704", , "continuous operation", , 
"CA-TVC", "81497", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201304281030", "201708282100", "Continuous operation", , 
"CA-TVC", "81498", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201304281030", "201708282100", "Continuous operation", , 
"CA-TVC", "81507", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201304281030", "201708282100", "Continuous operation", , 
"CA-TVC", "81508", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201304281030", "201708282100", "Continuous operation", , 
"CA-WP1", "6341", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", , 
"CA-WP2", "8894", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", "2004", "Continuous operation", , 
"CA-WP3", "1221", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", "2004", "Continuous operation", , 
"CL-SDF", "30254", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "20140915", , "Periodic operation", , 
"CL-SDF", "30255", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20130108", , "Periodic operation", , 
"CL-SDF", "30256", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20130108", , "Continuous Operation", , 
"CL-SDF", "30257", "GRP_FLUX_MEASUREMENTS", "Chambers", "N2O", "20140915", , "Periodic operation", , 
"CL-SDF", "30258", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20130108", , "Continuous Operation", , 
"CL-SDP", "30234", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "20140915", , "Periodic operation", , 
"CL-SDP", "30235", "GRP_FLUX_MEASUREMENTS", "Chambers", "N2O", "20140915", , "Periodic operation", , 
"CL-SDP", "30236", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20140426", , "Periodic operation", , 
"CL-SDP", "88076", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20130801", , "Continuous operation", , 
"CL-SDP", "88086", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20130801", , "Continuous operation", , 
"CR-Fsc", "31088", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201407022030", , "Continuous operation", , 
"CR-Fsc", "31093", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201407022030", , "Continuous operation", , 
"CR-Lse", "4648", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1998", , "Continuous operation", , 
"CR-Nmr", "31070", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201407181830", , "Continuous operation", , 
"CR-Nmr", "31071", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201407181830", , "Continuous operation", , 
"CR-SoC", "12529", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140627", , "Continuous operation", , 
"CR-SoC", "12543", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140627", , "Continuous operation", , 
"MX-EMg", "85714", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20110901", , "Intermittent", , 
"MX-EMg", "85728", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20080101", , "Continuous operation", , 
"MX-EMg", "85731", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20080101", , "Continuous operation", , 
"MX-EMg", "85732", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20080101", , "Continuous operation", , 
"MX-Lpa", "10193", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Continuous operation", "Lightning and a loss of fiber optic cable caused a loss of data in 2011 and 2012.  Tower operational as of July 03, 2013", 
"MX-PMm", "83417", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201706131400", , "Continuous operation", "Primary paper reporting the first year of measurements is in preparation thus data is not yet uploaded", 
"MX-PMm", "83419", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201706131400", , "Continuous operation", "Primary paper reporting the first year of measurements is in preparation thus data is not yet uploaded", 
"MX-PMm", "83420", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201706131400", , "Continuous operation", "Primary paper reporting the first year of measurements is in preparation thus data is not yet uploaded", 
"MX-PMm", "83421", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201706131400", , "Continuous operation", "Primary paper reporting the first year of measurements is in preparation thus data is not yet uploaded", 
"PA-Bar", "2486", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2012", , "Continuous operation", , 
"PE-QFR", "86031", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201701141200", , "Continuous operation", "Lightning damage in 2017 led to months of missing data", 
"PE-QFR", "86035", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201701141200", , "Continuous operation", "Lightning damage in 2017 led to months of missing data. CH4 sensor back as of 20190227", 
"PE-QFR", "86037", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201701141200", , "Continuous operation", "Lightning damage in 2017 led to months of missing data", 
"PE-TNR", "85906", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20151211", , "Continuous operation", "Original tower with EC measurements at 42m height from 2011. Raised to 45m in 2014 and second platform built with intake at 47 m in November 2016.", 
"PE-TNR", "85914", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20151211", , "Continuous operation", "Original tower with EC measurements at 42m height from 2011. Raised to 45m in 2014 and second platform built with intake at 47 m in November 2016.", 
"PR-xGU", "85618", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180711", , "Continuous operation", , 
"PR-xGU", "85620", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20180711", , "Continuous operation", , 
"PR-xGU", "85630", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180711", , "Continuous operation", , 
